track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGYX20200602-1,KGYX20200602_084844_V06,0,0.483,1.200,15783,3,935.139,3115,3,792.470
KGYX20200602-1,KGYX20200602_084844_V06,2,0.879,1.200,15785,0,146.834,3343,0,117.374
KGYX20200602-1,KGYX20200602_084844_V06,4,1.318,1.200,15787,0,16.773,3371,0,5.724
KGYX20200602-1,KGYX20200602_084844_V06,8,1.802,1.200,7898,0,2.919,1328,0,1.288
KGYX20200602-1,KGYX20200602_084844_V06,9,2.417,1.200,7903,0,6.134,904,0,0.572
KGYX20200602-1,KGYX20200602_084844_V06,10,3.120,1.200,7907,0,0.436,738,0,0.329
KGYX20200602-1,KGYX20200602_084844_V06,11,3.999,1.200,7915,0,0.401,595,0,0.319
KGYX20200602-1,KGYX20200602_084844_V06,12,5.098,1.200,7930,0,0.392,653,0,0.296
KGYX20200602-1,KGYX20200602_084844_V06,13,6.416,1.200,7950,0,0.364,544,0,0.289
KGYX20200605-3,KGYX20200605_092021_V06,0,0.483,1.200,2727,0,10108.585,959,0,5944.962
KGYX20200605-3,KGYX20200605_092021_V06,2,0.879,1.200,2727,0,3259.923,1194,0,513.939
KGYX20200605-3,KGYX20200605_092021_V06,4,1.318,1.200,2728,0,4260.318,1464,0,221.967
KGYX20200605-3,KGYX20200605_092021_V06,6,1.802,1.200,1362,0,6005.688,823,0,94.495
KGYX20200605-3,KGYX20200605_092021_V06,7,2.417,1.200,1362,0,9999.161,980,0,114.676
KGYX20200605-3,KGYX20200605_092021_V06,8,3.120,1.200,1365,0,15278.764,1114,0,88.615
KGYX20200605-3,KGYX20200605_092021_V06,11,3.999,1.200,1366,0,18004.074,1235,0,89.194
KGYX20200605-3,KGYX20200605_092021_V06,12,5.098,1.200,1366,0,15067.438,956,0,57.024
KGYX20200605-3,KGYX20200605_092021_V06,13,6.416,1.200,1371,0,2428.852,340,0,8.348
KGYX20200605-8,KGYX20200605_095213_V06,0,0.483,1.200,15255,0,68023.263,4693,0,2239.675
KGYX20200605-8,KGYX20200605_095213_V06,2,0.879,1.200,15254,0,110311.117,5074,0,1740.720
KGYX20200605-8,KGYX20200605_095213_V06,4,1.318,1.200,15260,0,173326.849,5046,0,1692.298
KGYX20200605-8,KGYX20200605_095213_V06,6,1.802,1.200,7641,1,281750.095,1770,0,2264.726
KGYX20200605-8,KGYX20200605_095213_V06,7,2.417,1.200,7643,6,325612.048,2090,0,8965.517
KGYX20200605-8,KGYX20200605_095213_V06,10,3.120,1.200,7652,3,759580.246,2239,1,130014.984
KGYX20200605-8,KGYX20200605_095213_V06,11,3.999,1.200,7658,1,474423.146,2289,0,41657.449
KGYX20200605-8,KGYX20200605_095213_V06,12,5.098,1.200,7672,0,109967.854,2271,0,7522.631
KGYX20200605-8,KGYX20200605_095213_V06,13,6.416,1.200,7698,0,16492.094,1499,0,2425.681
KGYX20200605-9,KGYX20200605_095213_V06,0,0.483,1.200,2571,0,76334.125,1016,0,1604.852
KGYX20200605-9,KGYX20200605_095213_V06,2,0.879,1.200,2574,0,108015.372,1132,0,1856.145
KGYX20200605-9,KGYX20200605_095213_V06,4,1.318,1.200,2580,0,135309.763,1080,0,7404.793
KGYX20200605-9,KGYX20200605_095213_V06,6,1.802,1.200,1291,0,145630.445,273,0,24134.530
