track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KILN20210601-1,KILN20210601_101324_V06,0,0.483,1.200,4751,0,66411.935,559,0,13447.350
KILN20210601-1,KILN20210601_101324_V06,2,0.879,1.200,4751,0,187033.939,1363,0,27016.600
KILN20210601-1,KILN20210601_102009_V06,0,0.483,1.200,8064,0,107219.595,1138,0,24638.328
KILN20210601-1,KILN20210601_102009_V06,2,0.879,1.200,8064,0,375016.332,3268,0,61447.455
KILN20210601-1,KILN20210601_102655_V06,0,0.483,1.200,7825,0,91770.208,1168,0,25737.984
KILN20210601-1,KILN20210601_102655_V06,2,0.879,1.200,7827,0,342946.476,3843,0,56423.936
KILN20210601-1,KILN20210601_103341_V06,0,0.483,1.200,8183,0,76570.715,825,0,20898.423
KILN20210601-1,KILN20210601_103341_V06,2,0.879,1.200,8188,0,315994.909,4019,0,65904.585
KILN20210602-8,KILN20210602_104203_V06,0,0.483,1.200,16200,3,23548624.618,15035,0,337528.042
KILN20210602-8,KILN20210602_104203_V06,2,0.879,1.200,16209,0,16774132.010,15011,0,837091.705
KILN20210602-8,KILN20210602_104203_V06,4,1.318,1.200,16212,0,6613335.871,14691,0,642506.491
KILN20210603-10,KILN20210603_103039_V06,0,0.483,1.200,841,0,2748.038,108,0,2355.588
KILN20210603-10,KILN20210603_103039_V06,2,0.879,1.200,842,0,191.702,40,0,120.174
KILN20210603-10,KILN20210603_103039_V06,4,1.318,1.200,839,0,7.623,6,0,0.750
KILN20210603-10,KILN20210603_103039_V06,6,1.802,1.200,422,0,0.761,0,0,0.761
KILN20210603-10,KILN20210603_103039_V06,7,2.417,1.200,419,0,0.757,0,0,0.757
KILN20210603-10,KILN20210603_103039_V06,8,3.120,1.200,421,0,0.762,0,0,0.762
KILN20210603-10,KILN20210603_103039_V06,11,3.999,1.200,419,0,0.759,0,0,0.759
KILN20210603-13,KILN20210603_104634_V06,0,0.483,1.200,4649,40,4261214.501,1383,0,907.572
KILN20210603-13,KILN20210603_104634_V06,2,0.879,1.200,4648,32,3433955.053,1258,0,4454.090
KILN20210603-13,KILN20210603_104634_V06,4,1.318,1.200,4652,12,2355530.542,1071,0,7084.268
KILN20210603-13,KILN20210603_104634_V06,6,1.802,1.200,2323,1,1096725.100,377,0,475.159
KILN20210613-1,KILN20210613_101150_V06,0,0.483,1.200,11226,0,58541.605,2933,0,41673.785
KILN20210613-1,KILN20210613_101150_V06,2,0.879,1.200,11228,0,12824.212,2893,0,8424.337
KILN20210613-1,KILN20210613_101150_V06,4,1.318,1.200,11229,0,1783.563,1729,0,911.962
KILN20210613-1,KILN20210613_101150_V06,8,1.802,1.200,5616,0,49.670,8,0,44.219
