track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KIWA20170601-2,KIWA20170601_120726_V06,0,0.483,1.200,2819,8,420923.877,600,4,250276.347
KIWA20170601-2,KIWA20170601_120726_V06,2,0.879,1.200,2816,2,174665.076,672,2,98165.911
KIWA20170601-2,KIWA20170601_120726_V06,4,1.318,1.200,2820,0,9156.233,524,0,2340.259
KIWA20170601-2,KIWA20170601_120726_V06,6,1.802,1.200,1413,0,658.056,92,0,192.177
KIWA20170601-2,KIWA20170601_120726_V06,7,2.417,1.200,1412,0,246.563,43,0,159.085
KIWA20170601-2,KIWA20170601_120726_V06,8,3.120,1.200,1413,0,143.091,47,0,39.292
KIWA20170601-2,KIWA20170601_120726_V06,9,3.999,1.200,1415,0,34.894,6,0,29.131
KIWA20170601-2,KIWA20170601_120726_V06,10,5.098,1.200,1416,0,13.575,1,0,12.481
KIWA20170601-2,KIWA20170601_121108_V06,0,0.483,1.200,5084,7,346280.032,770,3,198211.072
KIWA20170601-2,KIWA20170601_121108_V06,2,0.879,1.200,5085,5,238988.887,901,3,129377.960
KIWA20170601-2,KIWA20170601_121108_V06,4,1.318,1.200,5092,0,25172.946,903,0,15618.427
KIWA20170601-2,KIWA20170601_121108_V06,6,1.802,1.200,2533,0,559.723,121,0,244.314
KIWA20170601-2,KIWA20170601_121108_V06,7,2.417,1.200,2534,0,296.609,77,0,98.042
KIWA20170601-2,KIWA20170601_121108_V06,8,3.120,1.200,2537,0,173.370,38,0,65.871
KIWA20170601-2,KIWA20170601_121108_V06,9,3.999,1.200,2538,0,72.081,8,0,50.527
KIWA20170601-2,KIWA20170601_121108_V06,10,5.098,1.200,2550,0,25.374,3,0,23.249
KIWA20170601-1,KIWA20170601_114534_V06,0,0.483,1.200,957,0,71546.073,146,0,32565.489
KIWA20170601-1,KIWA20170601_114534_V06,2,0.879,1.200,953,0,3677.201,85,0,1803.025
KIWA20170601-1,KIWA20170601_114534_V06,4,1.318,1.200,960,0,661.672,35,0,394.609
KIWA20170601-1,KIWA20170601_114534_V06,6,1.802,1.200,476,0,55.717,0,0,55.717
KIWA20170601-1,KIWA20170601_114534_V06,7,2.417,1.200,475,0,236.599,1,0,227.361
KIWA20170602-6,KIWA20170602_133253_V06,0,0.483,1.200,877,0,198879.461,159,0,66117.219
KIWA20170602-6,KIWA20170602_133253_V06,2,1.494,1.200,877,0,229.182,8,0,172.557
KIWA20170602-6,KIWA20170602_133253_V06,4,2.505,1.200,435,0,237.061,5,0,169.842
KIWA20170602-6,KIWA20170602_134235_V06,0,0.483,1.200,2574,1,240757.141,185,0,86837.412
KIWA20170602-6,KIWA20170602_134235_V06,2,1.494,1.200,2579,0,26.339,4,0,4.274
KIWA20170602-6,KIWA20170602_134235_V06,4,2.505,1.200,1293,0,4.299,0,0,4.299
KIWA20170602-7,KIWA20170602_133253_V06,0,0.483,1.200,9919,1,725808.456,1906,0,249625.132
