track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KIWX20140602-4,KIWX20140602_094620_V06,0,0.483,1.200,12643,3,29554.756,3010,1,6352.688
KIWX20140602-4,KIWX20140602_094620_V06,2,0.879,1.200,12643,0,26917.554,3716,0,8202.973
KIWX20140602-4,KIWX20140602_094620_V06,4,1.318,1.200,12643,0,25235.783,5019,0,4429.592
KIWX20140602-4,KIWX20140602_094620_V06,6,1.802,1.200,6326,0,22044.488,2230,0,3890.495
KIWX20140602-4,KIWX20140602_094620_V06,7,2.417,1.200,6326,0,19489.132,2156,0,2780.332
KIWX20140602-4,KIWX20140602_094620_V06,8,3.120,1.200,6337,0,17540.722,1915,0,1100.206
KIWX20140602-4,KIWX20140602_094620_V06,9,3.999,1.200,6340,0,14948.270,1824,0,535.721
KIWX20140602-4,KIWX20140602_094620_V06,10,5.098,1.200,6348,0,16629.141,1704,0,535.532
KIWX20140602-4,KIWX20140602_094620_V06,11,6.416,1.200,6362,0,15443.080,1531,0,285.275
KIWX20140602-4,KIWX20140602_094930_V06,0,0.483,1.200,21232,0,25156.148,4661,0,7256.978
KIWX20140602-4,KIWX20140602_094930_V06,2,0.879,1.200,21236,0,20261.014,5707,0,5699.548
KIWX20140602-4,KIWX20140602_094930_V06,4,1.318,1.200,21237,0,18431.062,7691,0,2267.164
KIWX20140602-4,KIWX20140602_094930_V06,6,1.802,1.200,10622,0,15641.342,3797,0,1823.938
KIWX20140602-4,KIWX20140602_094930_V06,7,2.417,1.200,10629,0,14302.183,3494,0,1403.411
KIWX20140602-4,KIWX20140602_094930_V06,8,3.120,1.200,10631,0,13541.784,3185,0,390.345
KIWX20140602-4,KIWX20140602_094930_V06,9,3.999,1.200,10643,0,12869.913,2790,0,220.230
KIWX20140602-4,KIWX20140602_094930_V06,10,5.098,1.200,10666,0,12031.511,2568,0,249.327
KIWX20140602-4,KIWX20140602_094930_V06,11,6.416,1.200,10698,0,11412.211,2463,0,75.548
KIWX20140602-1,KIWX20140602_091751_V06,0,0.483,1.200,5227,0,176999.223,1930,0,35853.041
KIWX20140602-1,KIWX20140602_091751_V06,2,0.879,1.200,5229,0,158303.500,2287,0,18958.609
KIWX20140602-1,KIWX20140602_091751_V06,4,1.318,1.200,5229,0,131609.691,2370,0,6760.177
KIWX20140602-1,KIWX20140602_091751_V06,6,1.802,1.200,2619,0,96174.315,906,0,2313.137
KIWX20140602-1,KIWX20140602_091751_V06,7,2.417,1.200,2614,0,87795.360,866,0,1146.970
KIWX20140602-1,KIWX20140602_091751_V06,8,3.120,1.200,2619,0,102575.373,783,0,940.369
KIWX20140602-1,KIWX20140602_091751_V06,9,3.999,1.200,2624,0,99314.518,766,0,47.741
KIWX20140602-1,KIWX20140602_091751_V06,10,5.098,1.200,2628,0,94297.510,681,0,1875.752
KIWX20140602-1,KIWX20140602_091751_V06,11,6.416,1.200,2641,7,276590.828,582,0,45837.735
KIWX20140602-3,KIWX20140602_094000_V06,0,0.483,1.200,3306,0,72368.172,1253,0,14125.458
KIWX20140602-3,KIWX20140602_094000_V06,2,0.879,1.200,3317,0,66446.107,1352,0,7983.122
KIWX20140602-3,KIWX20140602_094000_V06,4,1.318,1.200,3309,0,61307.218,1009,0,2289.639
KIWX20140602-3,KIWX20140602_094000_V06,6,1.802,1.200,1654,0,59077.022,290,0,907.327
KIWX20140602-3,KIWX20140602_094000_V06,7,2.417,1.200,1649,0,36865.754,297,0,197.868
KIWX20140602-3,KIWX20140602_094000_V06,8,3.120,1.200,1647,0,70743.124,250,0,9741.157
KIWX20140602-3,KIWX20140602_094000_V06,9,3.999,1.200,1654,0,22598.516,233,0,1085.337
KIWX20140602-5,KIWX20140602_100210_V06,0,0.483,1.200,2836,0,11305.353,851,0,6892.314
KIWX20140602-5,KIWX20140602_100210_V06,2,0.879,1.200,2831,0,3830.845,600,0,1444.890
KIWX20140602-5,KIWX20140602_100210_V06,4,1.318,1.200,2831,0,2679.708,434,0,692.271
KIWX20140602-5,KIWX20140602_100210_V06,6,1.802,1.200,1415,0,1712.115,105,0,476.303
KIWX20140602-5,KIWX20140602_100210_V06,7,2.417,1.200,1417,0,1766.603,148,0,159.943
KIWX20140602-5,KIWX20140602_100210_V06,8,3.120,1.200,1423,0,1253.872,153,0,41.650
KIWX20140602-5,KIWX20140602_100210_V06,9,3.999,1.200,1425,0,971.245,106,0,50.888
KIWX20140602-5,KIWX20140602_100210_V06,10,5.098,1.200,1425,0,290.822,81,0,43.929
KIWX20140605-2,KIWX20140605_112621_V06,0,0.483,1.200,1518,127,10443549.377,32,124,10251109.594
KIWX20140605-2,KIWX20140605_112621_V06,2,1.494,1.200,1525,0,14793.018,122,0,3861.384
KIWX20140605-2,KIWX20140605_113554_V06,0,0.483,1.200,2963,334,9535766.436,156,328,9478498.596
KIWX20140605-2,KIWX20140605_113554_V06,2,1.494,1.200,2968,0,41860.605,149,0,25233.607
KIWX20140605-1,KIWX20140605_095053_V06,0,0.483,1.200,7177,0,156683.309,86,0,151189.524
KIWX20140605-1,KIWX20140605_095053_V06,2,1.494,1.200,7185,0,117.789,3,0,92.125
KIWX20140606-2,KIWX20140606_101745_V06,0,0.483,1.200,59,0,1649.798,0,0,1649.798
KIWX20140606-2,KIWX20140606_101745_V06,2,1.494,1.200,62,0,1.883,2,0,0.501
KIWX20140606-2,KIWX20140606_101745_V06,4,2.505,1.200,35,0,3.793,0,0,3.793
KIWX20140606-2,KIWX20140606_101745_V06,5,3.516,1.200,35,0,8089.677,27,0,0.014
KIWX20140608-6,KIWX20140608_095200_V06,0,0.483,1.200,1143,0,352178.075,539,0,104406.588
KIWX20140608-6,KIWX20140608_095200_V06,2,0.879,1.200,1131,0,344005.877,515,0,90123.606
KIWX20140608-6,KIWX20140608_095200_V06,4,1.318,1.200,1134,0,54862.602,295,0,6166.465
KIWX20140608-6,KIWX20140608_095617_V06,0,0.483,1.200,2022,0,398657.360,777,0,81516.389
KIWX20140608-6,KIWX20140608_095617_V06,2,0.879,1.200,2019,0,357114.393,743,0,87541.804
KIWX20140608-6,KIWX20140608_095617_V06,4,1.318,1.200,2023,0,89336.066,522,0,7634.254
KIWX20140608-6,KIWX20140608_100036_V06,0,0.483,1.200,2455,0,589502.767,963,0,91206.704
KIWX20140608-6,KIWX20140608_100036_V06,2,0.879,1.200,2456,0,550151.367,884,0,122453.647
KIWX20140608-6,KIWX20140608_100036_V06,4,1.318,1.200,2456,0,261951.177,759,0,40194.729
KIWX20140608-6,KIWX20140608_100455_V06,0,0.483,1.200,3616,0,822317.780,1051,0,104290.380
KIWX20140608-6,KIWX20140608_100455_V06,2,0.879,1.200,3620,0,838488.318,1063,0,161142.105
KIWX20140608-6,KIWX20140608_100455_V06,4,1.318,1.200,3614,0,269710.200,974,0,36064.593
KIWX20140608-6,KIWX20140608_100913_V06,0,0.483,1.200,4804,0,999733.696,1164,0,117433.248
KIWX20140608-6,KIWX20140608_100913_V06,2,0.879,1.200,4804,0,1140568.712,1217,0,178639.004
KIWX20140608-6,KIWX20140608_100913_V06,4,1.318,1.200,4814,0,448773.532,1201,0,57996.106
KIWX20140608-6,KIWX20140608_101330_V06,0,0.483,1.200,6197,0,1064235.379,1236,0,129523.213
KIWX20140608-6,KIWX20140608_101330_V06,2,0.879,1.200,6201,0,1734403.401,1241,0,333394.609
KIWX20140608-6,KIWX20140608_101330_V06,4,1.318,1.200,6198,0,623380.431,1391,0,102512.482
KIWX20140608-6,KIWX20140608_101748_V06,0,0.483,1.200,7786,0,1119947.491,1447,0,81212.726
KIWX20140608-6,KIWX20140608_101748_V06,2,0.879,1.200,7784,0,1533897.743,1393,0,297914.902
KIWX20140608-6,KIWX20140608_101748_V06,4,1.318,1.200,7788,0,588088.552,1590,0,87852.848
KIWX20140608-6,KIWX20140608_102206_V06,0,0.483,1.200,14112,0,1365555.405,2330,0,59733.290
KIWX20140608-6,KIWX20140608_102206_V06,2,0.879,1.200,14125,0,1679453.375,2205,0,264792.008
KIWX20140608-6,KIWX20140608_102206_V06,4,1.318,1.200,14133,0,712429.758,2104,0,110883.934
KIWX20140608-6,KIWX20140608_102624_V06,0,0.483,1.200,15496,0,1217985.102,2871,0,54857.004
KIWX20140608-6,KIWX20140608_102624_V06,2,0.879,1.200,15495,0,1608801.384,2790,0,312795.878
KIWX20140608-6,KIWX20140608_102624_V06,4,1.318,1.200,15510,0,945689.948,2451,0,128662.695
KIWX20140608-6,KIWX20140608_103042_V06,0,0.483,1.200,15397,0,1171785.150,3213,0,43583.520
KIWX20140608-6,KIWX20140608_103042_V06,2,0.879,1.200,15401,0,1762048.387,2859,0,262544.336
KIWX20140608-6,KIWX20140608_103042_V06,4,1.318,1.200,15412,0,1067581.607,2543,0,155335.885
KIWX20140608-6,KIWX20140608_103459_V06,0,0.483,1.200,17091,0,1445760.550,3167,0,108368.968
KIWX20140608-6,KIWX20140608_103459_V06,2,0.879,1.200,17087,0,2266986.924,2894,0,398009.242
KIWX20140608-6,KIWX20140608_103459_V06,4,1.318,1.200,17101,0,1452919.459,2538,0,206900.330
KIWX20140608-6,KIWX20140608_103916_V06,0,0.483,1.200,17294,0,1411621.340,3472,0,40577.150
KIWX20140608-6,KIWX20140608_103916_V06,2,0.879,1.200,17299,0,2526402.709,3066,0,389778.605
KIWX20140608-6,KIWX20140608_103916_V06,4,1.318,1.200,17301,0,1728732.847,2652,0,247425.285
KIWX20140608-6,KIWX20140608_104335_V06,0,0.483,1.200,20514,0,1289670.081,3417,0,17680.379
KIWX20140608-6,KIWX20140608_104335_V06,2,0.879,1.200,20508,0,2442978.674,3030,0,387774.041
KIWX20140608-6,KIWX20140608_104335_V06,4,1.318,1.200,20524,0,2013256.145,2675,0,284172.554
KIWX20140608-6,KIWX20140608_104752_V06,0,0.483,1.200,21410,0,1310555.109,3452,0,14893.884
KIWX20140608-6,KIWX20140608_104752_V06,2,0.879,1.200,21395,0,2476547.813,3051,0,334680.521
KIWX20140608-6,KIWX20140608_104752_V06,4,1.318,1.200,21415,0,2485395.588,2707,0,343331.539
KIWX20140608-6,KIWX20140608_104752_V06,6,1.802,1.200,10683,0,191831.797,746,0,7770.747
KIWX20140608-6,KIWX20140608_105209_V06,0,0.483,1.200,19278,0,1283037.260,3457,0,8454.402
KIWX20140608-6,KIWX20140608_105209_V06,2,0.879,1.200,19288,0,2134551.391,3224,0,231488.175
KIWX20140608-6,KIWX20140608_105209_V06,4,1.318,1.200,19303,0,2370170.526,2682,0,406406.493
KIWX20140608-6,KIWX20140608_105209_V06,6,1.802,1.200,9651,0,289766.210,821,0,12973.213
KIWX20140608-8,KIWX20140608_100913_V06,0,0.483,1.200,10834,0,1007223.219,1216,0,120081.252
