track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KJAX20230602-2,KJAX20230602_095336_V06,0,0.483,1.200,9553,0,6890.598,1214,0,4393.734
KJAX20230602-2,KJAX20230602_095336_V06,2,0.879,1.200,9556,0,999.567,589,0,388.238
KJAX20230602-2,KJAX20230602_095336_V06,4,1.318,1.200,9564,0,209.133,128,0,122.322
KJAX20230602-2,KJAX20230602_095336_V06,6,1.802,1.200,4783,0,11.818,1,0,9.298
KJAX20230602-2,KJAX20230602_095336_V06,7,2.417,1.200,4787,0,11.108,0,0,11.108
KJAX20230602-2,KJAX20230602_095336_V06,8,3.120,1.200,4787,0,8.625,0,0,8.625
KJAX20230602-2,KJAX20230602_095336_V06,9,3.999,1.200,4795,0,8.658,0,0,8.658
KJAX20230603-3,KJAX20230603_095046_V06,0,0.483,1.200,37,0,386.494,14,0,113.720
KJAX20230603-3,KJAX20230603_095046_V06,2,0.879,1.200,36,0,0.064,0,0,0.064
KJAX20230603-3,KJAX20230603_095046_V06,4,1.318,1.200,38,0,0.068,0,0,0.068
KJAX20230603-3,KJAX20230603_095046_V06,6,1.802,1.200,17,0,0.060,0,0,0.060
KJAX20230603-3,KJAX20230603_095046_V06,7,2.417,1.200,17,0,0.060,0,0,0.060
KJAX20230604-5,KJAX20230604_103958_V06,0,0.483,1.200,3379,24,322237.081,1147,0,473.929
KJAX20230604-5,KJAX20230604_103958_V06,2,0.879,1.200,3382,23,408388.317,925,0,73.889
KJAX20230604-5,KJAX20230604_103958_V06,4,1.318,1.200,3381,44,261146.957,850,0,30.239
KJAX20230604-5,KJAX20230604_103958_V06,6,1.802,1.200,1683,20,385303.056,361,0,23.877
KJAX20230604-5,KJAX20230604_103958_V06,7,2.417,1.200,1685,10,424319.433,328,0,40.505
KJAX20230604-5,KJAX20230604_103958_V06,8,3.120,1.200,1687,1,373656.148,277,0,19.064
KJAX20230604-5,KJAX20230604_103958_V06,9,3.999,1.200,1694,0,167086.308,248,0,1544.187
KJAX20230604-5,KJAX20230604_103958_V06,10,5.098,1.200,1698,0,54752.240,228,0,13.555
KJAX20230606-1,KJAX20230606_093014_V06,0,0.483,1.200,375,0,329377.639,38,0,224691.088
KJAX20230606-1,KJAX20230606_093014_V06,2,0.879,1.200,375,2,64308.078,32,0,44264.470
KJAX20230606-1,KJAX20230606_093014_V06,4,1.318,1.200,374,0,1167.571,46,0,668.251
KJAX20230606-1,KJAX20230606_093014_V06,6,1.802,1.200,189,0,96.469,3,0,37.157
KJAX20230606-1,KJAX20230606_093014_V06,7,2.417,1.200,188,0,31.865,0,0,31.865
KJAX20230606-2,KJAX20230606_093712_V06,0,0.483,1.200,4119,0,72684.391,608,0,33311.787
KJAX20230606-2,KJAX20230606_093712_V06,2,0.879,1.200,4123,0,16527.818,157,0,8543.458
KJAX20230606-2,KJAX20230606_093712_V06,4,1.318,1.200,4125,0,20.063,0,0,20.063
KJAX20230606-7,KJAX20230606_112135_V06,0,0.483,1.200,168,0,37881.625,62,0,6098.138
KJAX20230606-7,KJAX20230606_112135_V06,2,0.879,1.200,168,0,39243.901,50,0,1988.964
KJAX20230606-7,KJAX20230606_112135_V06,4,1.318,1.200,168,0,60.328,4,0,38.269
KJAX20230606-7,KJAX20230606_112135_V06,6,1.802,1.200,85,0,0.360,0,0,0.360
KJAX20230606-7,KJAX20230606_112135_V06,7,2.417,1.200,85,0,0.360,0,0,0.360
KJAX20230606-8,KJAX20230606_112828_V06,0,0.483,1.200,1330,0,34498.455,7,0,34297.199
KJAX20230606-8,KJAX20230606_112828_V06,2,0.879,1.200,1328,0,852.013,16,0,683.170
KJAX20230606-8,KJAX20230606_112828_V06,4,1.318,1.200,1332,0,7556.884,131,0,4410.235
KJAX20230606-8,KJAX20230606_112828_V06,6,1.802,1.200,671,0,499.254,9,0,176.621
KJAX20230606-9,KJAX20230606_113526_V06,0,0.483,1.200,409,0,14963.584,0,0,14963.584
KJAX20230606-9,KJAX20230606_113526_V06,2,0.879,1.200,409,0,163.776,2,0,153.291
KJAX20230606-9,KJAX20230606_113526_V06,4,1.318,1.200,408,0,954.950,23,0,730.645
KJAX20230606-9,KJAX20230606_113526_V06,6,1.802,1.200,208,0,72.043,2,0,43.564
KJAX20230606-9,KJAX20230606_113526_V06,7,2.417,1.200,207,0,0.790,0,0,0.790
KJAX20230607-8,KJAX20230607_103748_V06,0,0.483,1.200,5008,0,38273.425,1854,0,1340.702
KJAX20230607-8,KJAX20230607_103748_V06,2,0.879,1.200,5012,0,74509.741,2377,0,884.695
KJAX20230607-8,KJAX20230607_103748_V06,4,1.318,1.200,5008,0,154297.674,2953,0,1200.490
KJAX20230607-8,KJAX20230607_103748_V06,6,1.802,1.200,2509,0,138069.958,945,0,2521.993
KJAX20230607-8,KJAX20230607_103748_V06,7,2.417,1.200,2511,0,181832.757,1105,0,13705.286
KJAX20230607-8,KJAX20230607_103748_V06,8,3.120,1.200,2509,0,96975.547,1653,0,2532.359
KJAX20230608-1,KJAX20230608_093247_V06,0,0.483,1.200,363,0,241.598,79,0,179.450
KJAX20230608-1,KJAX20230608_093247_V06,2,0.879,1.200,365,0,18.463,10,0,14.261
KJAX20230608-1,KJAX20230608_093247_V06,4,1.318,1.200,365,0,1.354,1,0,0.547
KJAX20230608-1,KJAX20230608_093247_V06,6,1.802,1.200,184,0,0.233,0,0,0.233
KJAX20230608-1,KJAX20230608_093247_V06,7,2.417,1.200,182,0,0.231,0,0,0.231
KJAX20230608-1,KJAX20230608_093247_V06,8,3.120,1.200,184,0,0.233,0,0,0.233
KJAX20230608-1,KJAX20230608_093247_V06,9,3.999,1.200,184,0,0.234,0,0,0.234
KJAX20230608-2,KJAX20230608_103455_V06,0,0.483,1.200,47039,0,46113.440,2021,0,24223.332
KJAX20230608-2,KJAX20230608_103455_V06,2,0.879,1.200,47045,0,19606.927,805,0,9231.936
KJAX20230608-2,KJAX20230608_103455_V06,4,1.318,1.200,47062,0,285.261,30,0,221.763
KJAX20230608-2,KJAX20230608_103455_V06,6,1.802,1.200,23543,0,129.814,0,0,129.814
KJAX20230609-3,KJAX20230609_114030_V06,0,0.483,1.200,7182,0,7448.479,108,0,3083.186
KJAX20230609-3,KJAX20230609_114030_V06,2,0.879,1.200,7185,0,9102.138,77,0,4655.834
KJAX20230609-3,KJAX20230609_114030_V06,4,1.318,1.200,7191,0,149.932,1,0,129.160
KJAX20230609-3,KJAX20230609_114727_V06,0,0.483,1.200,9909,0,23425.768,217,0,11390.783
KJAX20230609-3,KJAX20230609_114727_V06,2,0.879,1.200,9909,0,16131.267,108,0,5769.270
KJAX20230609-3,KJAX20230609_114727_V06,4,1.318,1.200,9917,0,372.839,5,0,134.451
KJAX20230609-1,KJAX20230609_102945_V06,0,0.483,1.200,240,0,1603.686,14,0,1132.171
KJAX20230609-1,KJAX20230609_102945_V06,2,0.879,1.200,241,0,55.445,2,0,27.467
KJAX20230609-1,KJAX20230609_102945_V06,4,1.318,1.200,239,0,0.717,0,0,0.717
