track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KJKL20140603-9,KJKL20140603_103748_V06,0,0.483,1.200,38255,597,4184369.387,15731,9,54025.476
KJKL20140603-9,KJKL20140603_103748_V06,2,0.879,1.200,38268,626,3873316.403,15300,1,7840.096
KJKL20140603-9,KJKL20140603_103748_V06,4,1.318,1.200,38274,595,3662066.521,15064,0,981.971
KJKL20140603-9,KJKL20140603_103748_V06,6,1.802,1.200,19136,244,3050042.277,6810,0,4057.950
KJKL20140603-9,KJKL20140603_103748_V06,7,2.417,1.200,19147,221,2857296.130,6592,0,11935.225
KJKL20140603-9,KJKL20140603_103748_V06,8,3.120,1.200,19167,201,2642360.001,6251,0,28314.265
KJKL20140603-9,KJKL20140603_103748_V06,9,3.999,1.200,19180,167,2771574.309,6672,0,64966.391
KJKL20140603-9,KJKL20140603_103748_V06,10,5.098,1.200,19226,174,2830600.005,6999,0,138255.937
KJKL20140610-2,KJKL20140610_103114_V06,0,0.483,1.200,6504,0,3384.830,2463,0,2029.577
KJKL20140610-2,KJKL20140610_103114_V06,2,0.879,1.200,6501,0,3207.289,2795,0,1695.888
KJKL20140610-2,KJKL20140610_103114_V06,4,1.318,1.200,6499,0,2488.579,3214,0,604.748
KJKL20140610-2,KJKL20140610_103114_V06,6,1.802,1.200,3256,0,2248.120,1629,0,303.615
KJKL20140610-2,KJKL20140610_103114_V06,7,2.417,1.200,3254,0,2867.654,1524,0,417.128
KJKL20140610-2,KJKL20140610_103114_V06,8,3.120,1.200,3255,0,3029.505,1449,0,213.262
KJKL20140610-2,KJKL20140610_103114_V06,9,3.999,1.200,3257,0,4436.928,1867,0,236.544
KJKL20140610-2,KJKL20140610_103114_V06,10,5.098,1.200,3258,0,6182.167,2093,0,159.910
KJKL20140610-2,KJKL20140610_103114_V06,11,6.416,1.200,3263,0,9155.840,2370,0,152.525
KJKL20140610-2,KJKL20140610_103114_V06,12,7.998,1.200,3284,0,22399.395,2403,0,883.652
KJKL20140610-2,KJKL20140610_103114_V06,13,10.020,1.200,3299,0,11679.359,2458,0,573.586
KJKL20140610-2,KJKL20140610_103114_V06,14,12.480,1.200,3330,0,3414.715,2438,0,102.975
KJKL20140610-2,KJKL20140610_103532_V06,0,0.483,1.200,13321,0,7267.808,4565,0,4496.171
KJKL20140610-2,KJKL20140610_103532_V06,2,0.879,1.200,13326,0,5085.134,5346,0,2881.669
KJKL20140610-2,KJKL20140610_103532_V06,4,1.318,1.200,13333,0,3321.930,6387,0,791.526
KJKL20140610-2,KJKL20140610_103532_V06,6,1.802,1.200,6659,0,3292.083,2972,0,457.195
KJKL20140610-2,KJKL20140610_103532_V06,7,2.417,1.200,6668,0,4375.425,2923,0,517.721
KJKL20140610-2,KJKL20140610_103532_V06,8,3.120,1.200,6673,0,6009.909,2964,0,200.692
KJKL20140610-2,KJKL20140610_103532_V06,9,3.999,1.200,6674,0,9226.109,3269,0,383.227
KJKL20140610-2,KJKL20140610_103532_V06,10,5.098,1.200,6685,0,11333.085,3685,0,220.266
KJKL20140610-2,KJKL20140610_103532_V06,11,6.416,1.200,6706,0,24726.510,3866,0,966.898
KJKL20140610-2,KJKL20140610_103532_V06,12,7.998,1.200,6739,0,33494.680,4132,0,1966.428
KJKL20140610-2,KJKL20140610_103532_V06,13,10.020,1.200,6771,0,13757.855,4482,0,507.571
KJKL20140610-2,KJKL20140610_103532_V06,14,12.480,1.200,6824,0,4604.924,4510,0,127.894
KJKL20140610-4,KJKL20140610_104827_V06,0,0.483,1.200,3799,0,12633.636,163,0,839.552
KJKL20140610-4,KJKL20140610_104827_V06,2,0.879,1.200,3796,0,4740.285,83,0,466.975
KJKL20140610-4,KJKL20140610_104827_V06,4,1.318,1.200,3803,0,18.181,0,0,18.181
KJKL20140610-4,KJKL20140610_105246_V06,0,0.483,1.200,5544,0,10261.785,153,0,848.618
KJKL20140610-4,KJKL20140610_105246_V06,2,0.879,1.200,5543,0,4969.206,104,0,742.659
KJKL20140610-4,KJKL20140610_105246_V06,4,1.318,1.200,5551,0,26.473,0,0,26.473
KJKL20140611-6,KJKL20140611_101510_V06,0,0.483,1.200,3184,3,152651.381,981,0,568.704
KJKL20140611-6,KJKL20140611_101510_V06,2,0.879,1.200,3185,6,126685.410,895,0,9692.336
KJKL20140611-6,KJKL20140611_101510_V06,4,1.318,1.200,3176,3,151733.750,617,0,979.606
KJKL20140611-6,KJKL20140611_101510_V06,6,1.802,1.200,1586,0,93482.567,209,0,687.371
KJKL20140611-6,KJKL20140611_101510_V06,7,2.417,1.200,1583,3,96859.533,166,0,118.011
KJKL20140611-6,KJKL20140611_101510_V06,8,3.120,1.200,1584,1,54345.808,135,0,13.886
KJKL20140611-6,KJKL20140611_101510_V06,9,3.999,1.200,1589,3,45569.818,144,0,39.441
KJKL20140611-6,KJKL20140611_101510_V06,10,5.098,1.200,1589,2,37461.633,119,0,106.900
KJKL20140611-6,KJKL20140611_101510_V06,11,6.416,1.200,1597,0,6198.560,135,0,10.172
KJKL20140611-6,KJKL20140611_101929_V06,0,0.483,1.200,7341,5,104194.841,1409,0,6028.418
KJKL20140611-6,KJKL20140611_101929_V06,2,0.879,1.200,7343,3,99793.977,1217,0,1859.440
KJKL20140611-6,KJKL20140611_101929_V06,4,1.318,1.200,7349,6,87680.528,717,0,264.696
KJKL20140611-6,KJKL20140611_101929_V06,6,1.802,1.200,3684,2,58305.319,182,0,210.177
KJKL20140611-6,KJKL20140611_101929_V06,7,2.417,1.200,3680,3,73185.175,140,0,49.011
KJKL20140611-6,KJKL20140611_101929_V06,8,3.120,1.200,3691,2,44557.672,110,0,26.489
KJKL20140611-6,KJKL20140611_101929_V06,9,3.999,1.200,3689,1,29363.201,92,0,21.832
KJKL20140611-6,KJKL20140611_101929_V06,10,5.098,1.200,3692,1,17051.243,90,0,22.483
KJKL20140611-6,KJKL20140611_101929_V06,11,6.416,1.200,3700,0,6838.095,117,0,7.805
KJKL20140611-6,KJKL20140611_102347_V06,0,0.483,1.200,11499,2,88658.729,2636,0,2633.581
KJKL20140611-6,KJKL20140611_102347_V06,2,0.879,1.200,11490,1,91660.878,2408,0,376.262
KJKL20140611-6,KJKL20140611_102347_V06,4,1.318,1.200,11500,1,76248.005,1606,0,104.787
KJKL20140611-6,KJKL20140611_102347_V06,6,1.802,1.200,5752,1,69880.589,446,0,44.863
KJKL20140611-6,KJKL20140611_102347_V06,7,2.417,1.200,5757,2,75782.708,362,0,29.649
KJKL20140611-6,KJKL20140611_102347_V06,8,3.120,1.200,5762,1,72668.731,302,0,35.393
KJKL20140611-6,KJKL20140611_102347_V06,9,3.999,1.200,5758,5,53769.977,314,0,29.550
KJKL20140611-6,KJKL20140611_102347_V06,10,5.098,1.200,5762,0,26212.055,261,0,67.218
