track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLCH20130601-2,KLCH20130601_113657_V06,0,0.483,1.200,42163,11,146942.998,4164,9,137314.273
KLCH20130601-2,KLCH20130601_113657_V06,2,1.494,1.200,42182,0,3066.016,12481,0,1745.447
KLCH20130601-2,KLCH20130601_113657_V06,4,2.505,1.200,21088,0,140.663,5045,0,44.219
KLCH20130601-2,KLCH20130601_113657_V06,5,3.516,1.200,21109,0,109.165,5613,0,10.630
KLCH20130601-2,KLCH20130601_113657_V06,6,4.482,1.200,21144,0,103.062,5814,0,7.165
KLCH20130604-1,KLCH20130604_120315_V06,0,0.483,1.200,11644,0,166798.097,722,0,147846.371
KLCH20130604-1,KLCH20130604_120315_V06,2,1.494,1.200,11652,0,7060.197,1502,0,5970.382
KLCH20130604-1,KLCH20130604_120315_V06,4,2.505,1.200,5844,0,1574.905,424,0,1236.166
KLCH20130604-1,KLCH20130604_120315_V06,5,3.516,1.200,5846,0,206.282,243,0,122.218
KLCH20130604-1,KLCH20130604_120315_V06,6,4.482,1.200,5860,0,33.967,128,0,20.670
KLCH20130605-7,KLCH20130605_113015_V06,0,0.483,1.200,6857,9,216334.513,1513,0,22491.528
KLCH20130605-7,KLCH20130605_113015_V06,2,1.494,1.200,6864,1,180831.079,2009,0,1526.111
KLCH20130605-7,KLCH20130605_113015_V06,4,2.505,1.200,3431,0,1871.384,554,0,111.905
KLCH20130605-7,KLCH20130605_113015_V06,5,3.516,1.200,3438,0,223.632,153,0,84.825
KLCH20130605-7,KLCH20130605_113015_V06,6,4.482,1.200,3445,0,842.132,853,0,181.752
KLCH20130605-7,KLCH20130605_114000_V06,0,0.483,1.200,11933,2,342117.001,2394,0,38890.018
KLCH20130605-7,KLCH20130605_114000_V06,2,1.494,1.200,11933,0,228506.201,2713,0,3068.359
KLCH20130605-7,KLCH20130605_114000_V06,4,2.505,1.200,5975,0,3719.764,702,0,686.714
KLCH20130605-7,KLCH20130605_114000_V06,5,3.516,1.200,5978,0,956.699,572,0,297.862
KLCH20130605-7,KLCH20130605_114000_V06,6,4.482,1.200,5991,0,1567.550,1286,0,323.190
KLCH20130605-7,KLCH20130605_114943_V06,0,0.483,1.200,10744,13,613374.247,2447,0,35858.443
KLCH20130605-7,KLCH20130605_114943_V06,2,1.494,1.200,10752,8,689099.852,2725,0,3201.542
KLCH20130605-7,KLCH20130605_114943_V06,4,2.505,1.200,5379,0,6095.213,533,0,466.178
KLCH20130605-7,KLCH20130605_114943_V06,5,3.516,1.200,5382,0,1573.022,719,0,529.406
KLCH20130605-7,KLCH20130605_114943_V06,6,4.482,1.200,5394,0,1599.198,1253,0,299.950
KLCH20130605-7,KLCH20130605_115926_V06,0,0.483,1.200,10563,36,571821.602,2612,1,27109.709
KLCH20130605-7,KLCH20130605_115926_V06,2,1.494,1.200,10563,35,653697.669,2731,0,2632.811
KLCH20130605-7,KLCH20130605_115926_V06,4,2.505,1.200,5288,0,17149.715,476,0,571.461
KLCH20130605-7,KLCH20130605_115926_V06,5,3.516,1.200,5291,0,1937.380,803,0,638.155
KLCH20130605-7,KLCH20130605_115926_V06,6,4.482,1.200,5298,0,1597.016,1155,0,422.612
KLCH20130605-7,KLCH20130605_120909_V06,0,0.483,1.200,6638,23,809564.150,2010,0,34723.976
KLCH20130605-7,KLCH20130605_120909_V06,2,1.494,1.200,6639,14,547879.202,2061,0,1259.203
KLCH20130605-7,KLCH20130605_120909_V06,4,2.505,1.200,3323,0,4325.620,307,0,129.817
KLCH20130605-7,KLCH20130605_120909_V06,5,3.516,1.200,3321,0,1829.669,632,0,684.630
KLCH20130605-7,KLCH20130605_120909_V06,6,4.482,1.200,3327,0,1237.141,827,0,327.147
KLCH20130605-7,KLCH20130605_121855_V06,0,0.483,1.200,9481,6,459974.839,3272,0,16943.972
KLCH20130605-7,KLCH20130605_121855_V06,2,0.879,1.200,9483,11,498887.162,3211,0,3905.561
KLCH20130605-7,KLCH20130605_121855_V06,4,1.318,1.200,9487,2,505578.553,2778,0,1397.818
KLCH20130605-7,KLCH20130605_121855_V06,6,1.802,1.200,4754,0,89511.647,800,0,799.970
KLCH20130605-7,KLCH20130605_121855_V06,7,2.417,1.200,4751,0,2906.000,282,0,239.319
KLCH20130605-7,KLCH20130605_121855_V06,8,3.120,1.200,4751,0,778.932,120,0,317.791
KLCH20130605-7,KLCH20130605_121855_V06,9,3.999,1.200,4755,0,1232.379,363,0,351.985
KLCH20130605-7,KLCH20130605_122339_V06,0,0.483,1.200,4552,3,405087.631,1614,0,13824.815
KLCH20130605-7,KLCH20130605_122339_V06,2,0.879,1.200,4554,0,361126.566,1676,0,1557.407
KLCH20130605-7,KLCH20130605_122339_V06,4,1.318,1.200,4556,0,266697.399,1478,0,820.509
KLCH20130605-7,KLCH20130605_122339_V06,6,1.802,1.200,2274,0,51691.788,499,0,436.545
KLCH20130605-7,KLCH20130605_122339_V06,7,2.417,1.200,2285,0,804.682,109,0,104.035
KLCH20130605-7,KLCH20130605_122339_V06,8,3.120,1.200,2281,0,703.821,99,0,300.181
KLCH20130605-7,KLCH20130605_122339_V06,9,3.999,1.200,2281,0,956.725,239,0,306.291
KLCH20130605-7,KLCH20130605_122822_V06,0,0.483,1.200,7158,2,475198.280,2343,0,14500.425
KLCH20130605-7,KLCH20130605_122822_V06,2,0.879,1.200,7162,2,433206.370,2226,0,2519.079
KLCH20130605-7,KLCH20130605_122822_V06,4,1.318,1.200,7163,2,351074.560,2000,0,676.215
KLCH20130605-7,KLCH20130605_122822_V06,6,1.802,1.200,3587,0,70304.450,637,0,437.092
KLCH20130605-7,KLCH20130605_122822_V06,7,2.417,1.200,3580,0,1653.933,153,0,139.546
KLCH20130605-7,KLCH20130605_122822_V06,8,3.120,1.200,3584,0,1137.203,124,0,443.089
KLCH20130605-7,KLCH20130605_122822_V06,9,3.999,1.200,3587,0,969.001,272,0,341.830
KLCH20130605-7,KLCH20130605_123304_V06,0,0.483,1.200,4544,3,430886.956,1545,0,7046.050
KLCH20130605-7,KLCH20130605_123304_V06,2,0.879,1.200,4537,1,369407.063,1597,0,1202.815
KLCH20130605-7,KLCH20130605_123304_V06,4,1.318,1.200,4546,0,202637.611,1323,0,512.332
