track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLRX20130605-1,KLRX20130605_112050_V06,0,0.483,1.200,2020,0,8922.469,209,0,8397.570
KLRX20130605-1,KLRX20130605_112050_V06,2,1.494,1.200,2021,0,113.300,55,0,49.517
KLRX20130605-1,KLRX20130605_112050_V06,4,2.505,1.200,1010,0,32.914,6,0,24.960
KLRX20130605-1,KLRX20130605_112050_V06,5,3.516,1.200,1010,0,38.602,8,0,26.397
KLRX20130605-1,KLRX20130605_112050_V06,6,4.482,1.200,1012,0,34.231,11,0,20.939
KLRX20130611-1,KLRX20130611_121853_V06,0,0.483,1.200,7325,0,2836.049,88,0,172.301
KLRX20130611-1,KLRX20130611_122833_V06,0,0.483,1.200,12026,0,6138.680,214,0,121.446
KLRX20130611-1,KLRX20130611_123813_V06,0,0.483,1.200,9823,0,1965.936,98,0,117.175
KLRX20130612-1,KLRX20130612_111950_V06,0,0.483,1.200,13482,0,72381.130,647,0,2159.161
KLRX20130612-1,KLRX20130612_111950_V06,2,0.879,1.200,13485,0,343788.324,1591,0,1580.735
KLRX20130612-1,KLRX20130612_111950_V06,4,1.318,1.200,13501,0,283935.572,1881,0,3507.586
KLRX20130612-1,KLRX20130612_112430_V06,0,0.483,1.200,16281,0,68911.220,607,0,1937.141
KLRX20130612-1,KLRX20130612_112430_V06,2,0.879,1.200,16273,0,303166.604,1706,0,2460.707
KLRX20130612-1,KLRX20130612_112430_V06,4,1.318,1.200,16300,0,329917.401,2304,0,3638.123
KLRX20130612-1,KLRX20130612_112909_V06,0,0.483,1.200,20457,0,57273.861,598,0,2082.465
KLRX20130612-1,KLRX20130612_112909_V06,2,0.879,1.200,20568,0,317849.966,1948,0,3921.426
KLRX20130612-1,KLRX20130612_112909_V06,4,1.318,1.200,20464,0,345907.070,2949,0,4076.197
