track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLWX20200601-1,KLWX20200601_090700_V06,0,0.483,1.200,587,0,40409.685,50,0,29566.514
KLWX20200601-1,KLWX20200601_090700_V06,2,0.879,1.200,585,0,13769.256,46,0,10488.627
KLWX20200601-1,KLWX20200601_090700_V06,4,1.318,1.200,587,0,224.837,26,0,179.638
KLWX20200601-1,KLWX20200601_090700_V06,6,1.802,1.200,288,0,3.878,0,0,3.878
KLWX20200601-1,KLWX20200601_090700_V06,7,2.417,1.200,290,0,1.282,0,0,1.282
KLWX20200601-1,KLWX20200601_090700_V06,8,3.120,1.200,286,0,2.166,1,0,1.770
KLWX20200601-1,KLWX20200601_090700_V06,9,3.999,1.200,287,0,1.434,2,0,0.265
KLWX20200601-1,KLWX20200601_090700_V06,10,5.098,1.200,287,0,0.268,0,0,0.268
KLWX20200602-12,KLWX20200602_100805_V06,0,0.483,1.200,1945,0,747253.058,924,0,332240.154
KLWX20200602-12,KLWX20200602_100805_V06,2,0.879,1.200,1941,0,692923.683,1087,0,215963.581
KLWX20200602-12,KLWX20200602_101312_V06,0,0.483,1.200,3327,0,2619133.858,1596,0,1052877.972
KLWX20200602-12,KLWX20200602_101312_V06,2,0.879,1.200,3325,0,1714796.620,1856,0,474406.234
KLWX20200602-1,KLWX20200602_085255_V06,0,0.483,1.200,3030,0,317901.085,1785,0,33614.670
KLWX20200602-1,KLWX20200602_085255_V06,2,0.879,1.200,3030,0,1354698.132,2596,0,29153.932
KLWX20200602-1,KLWX20200602_085255_V06,4,1.318,1.200,3031,0,814782.975,2635,0,14297.924
KLWX20200602-4,KLWX20200602_091814_V06,0,0.483,1.200,23683,0,6000559.871,5070,0,1506736.357
KLWX20200602-4,KLWX20200602_091814_V06,2,0.879,1.200,23686,0,11366875.889,9561,0,2234880.618
KLWX20200602-4,KLWX20200602_091814_V06,4,1.318,1.200,23698,0,4763076.300,11011,0,652437.436
KLWX20200602-7,KLWX20200602_092306_V06,0,0.483,1.200,3423,0,2416988.942,2808,0,316744.799
KLWX20200602-7,KLWX20200602_092306_V06,2,0.879,1.200,3427,0,4095129.559,2747,0,812535.534
KLWX20200602-7,KLWX20200602_092306_V06,4,1.318,1.200,3431,0,1316996.158,2751,0,151787.486
KLWX20200602-25,KLWX20200602_105205_V06,0,0.483,1.200,12296,0,14397.533,2342,0,1597.607
KLWX20200602-25,KLWX20200602_105205_V06,2,0.879,1.200,12297,0,19895.887,3684,0,596.972
KLWX20200602-25,KLWX20200602_105205_V06,4,1.318,1.200,12294,0,42563.081,5914,0,551.837
KLWX20200602-25,KLWX20200602_105205_V06,6,1.802,1.200,6151,0,103369.472,4008,0,1028.662
KLWX20200602-25,KLWX20200602_105205_V06,7,2.417,1.200,6149,0,266894.320,5026,0,12097.017
KLWX20200602-25,KLWX20200602_105205_V06,8,3.120,1.200,6152,0,599451.447,5591,0,42830.200
KLWX20200602-25,KLWX20200602_105205_V06,9,3.999,1.200,6168,0,805715.073,5723,0,20445.759
KLWX20200602-25,KLWX20200602_105205_V06,10,5.098,1.200,6171,0,432017.398,5663,0,5174.914
KLWX20200604-4,KLWX20200604_100735_V06,0,0.483,1.200,3116,0,12787.139,127,0,1057.973
KLWX20200604-4,KLWX20200604_100735_V06,2,0.879,1.200,3120,0,45244.241,340,0,2055.848
KLWX20200604-4,KLWX20200604_100735_V06,4,1.318,1.200,3115,0,127084.727,1356,0,7942.379
KLWX20200604-4,KLWX20200604_101157_V06,0,0.483,1.200,4919,0,5260.293,113,0,1060.891
KLWX20200604-4,KLWX20200604_101157_V06,2,0.879,1.200,4927,0,14197.618,300,0,2111.033
KLWX20200604-4,KLWX20200604_101157_V06,4,1.318,1.200,4933,0,125776.613,1806,0,9282.949
KLWX20200604-8,KLWX20200604_110229_V06,0,0.483,1.200,8517,0,1689772.603,2594,0,133828.477
KLWX20200604-8,KLWX20200604_110229_V06,2,0.879,1.200,8526,0,1988446.742,3136,0,140852.664
KLWX20200604-8,KLWX20200604_110735_V06,0,0.483,1.200,11334,0,2411032.773,2810,0,243489.464
KLWX20200604-8,KLWX20200604_110735_V06,2,0.879,1.200,11344,0,2249640.102,3472,0,198041.308
KLWX20200604-1,KLWX20200604_085333_V06,0,0.483,1.200,4531,0,32958.943,1393,0,4830.370
KLWX20200604-1,KLWX20200604_085333_V06,2,0.879,1.200,4533,0,34189.717,1461,0,1217.405
KLWX20200604-1,KLWX20200604_085333_V06,4,1.318,1.200,4532,0,29523.132,943,0,218.199
KLWX20200604-1,KLWX20200604_085333_V06,6,1.802,1.200,2267,0,27290.428,277,0,82.405
KLWX20200604-1,KLWX20200604_085333_V06,7,2.417,1.200,2265,0,26558.513,256,0,71.296
KLWX20200604-1,KLWX20200604_085333_V06,8,3.120,1.200,2270,0,46113.715,212,0,196.023
KLWX20200604-1,KLWX20200604_085333_V06,9,3.999,1.200,2270,0,53198.942,257,0,3208.657
KLWX20200604-1,KLWX20200604_085333_V06,10,5.098,1.200,2274,0,30594.955,429,0,78.906
KLWX20200604-2,KLWX20200604_085333_V06,0,0.483,1.200,3135,0,84030.290,835,0,2596.625
KLWX20200604-2,KLWX20200604_085333_V06,2,0.879,1.200,3136,0,246583.982,1135,0,7879.180
KLWX20200604-2,KLWX20200604_085333_V06,4,1.318,1.200,3141,0,578319.408,1888,0,18338.673
KLWX20200604-2,KLWX20200604_085333_V06,6,1.802,1.200,1572,0,1062806.131,506,0,577869.977
KLWX20200604-5,KLWX20200604_102924_V06,0,0.483,1.200,7694,0,220310.338,927,0,34917.534
KLWX20200604-5,KLWX20200604_102924_V06,2,0.879,1.200,7699,0,321824.910,1826,0,34906.977
KLWX20200605-3,KLWX20200605_084915_V06,0,0.483,1.200,4133,0,24081.302,527,0,1988.612
KLWX20200605-3,KLWX20200605_084915_V06,2,0.879,1.200,4137,0,44348.878,735,0,1628.477
KLWX20200605-3,KLWX20200605_084915_V06,4,1.318,1.200,4141,0,51509.304,607,0,4087.956
KLWX20200605-3,KLWX20200605_084915_V06,6,1.802,1.200,2070,0,36619.938,106,0,4593.906
KLWX20200605-3,KLWX20200605_085337_V06,0,0.483,1.200,6689,0,9920.137,313,0,1239.401
KLWX20200605-3,KLWX20200605_085337_V06,2,0.879,1.200,6687,0,16288.705,400,0,1114.851
KLWX20200605-3,KLWX20200605_085337_V06,4,1.318,1.200,6689,0,13461.621,318,0,1743.519
KLWX20200605-3,KLWX20200605_085337_V06,6,1.802,1.200,3349,0,6356.829,72,0,2496.351
KLWX20200605-10,KLWX20200605_094138_V06,0,0.483,1.200,579,0,69110.707,92,0,47331.839
KLWX20200605-10,KLWX20200605_094138_V06,2,0.879,1.200,577,0,26514.235,132,0,15070.438
KLWX20200605-10,KLWX20200605_094138_V06,4,1.318,1.200,575,0,318.969,47,0,264.797
KLWX20200605-10,KLWX20200605_094138_V06,6,1.802,1.200,288,0,3.639,4,0,1.920
KLWX20200605-10,KLWX20200605_094138_V06,7,2.417,1.200,286,0,4.549,4,0,2.922
KLWX20200605-10,KLWX20200605_094138_V06,8,3.120,1.200,285,0,2.263,3,0,0.524
KLWX20200605-10,KLWX20200605_094138_V06,9,3.999,1.200,285,0,6.251,8,0,2.641
KLWX20200605-10,KLWX20200605_094138_V06,10,5.098,1.200,288,0,2.591,1,0,2.236
