track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLZK20200601-1,KLZK20200601_104425_V06,0,0.483,1.200,972,0,21909.143,46,0,21484.410
KLZK20200601-1,KLZK20200601_104425_V06,2,0.879,1.200,974,0,1887.018,109,0,1010.231
KLZK20200601-1,KLZK20200601_104425_V06,4,1.318,1.200,971,0,151.432,26,0,89.749
KLZK20200601-1,KLZK20200601_104425_V06,6,1.802,1.200,485,0,31.612,1,0,22.732
KLZK20200601-1,KLZK20200601_104425_V06,7,2.417,1.200,488,0,24.482,1,0,9.932
KLZK20200603-2,KLZK20200603_103830_V06,0,0.483,1.200,9955,0,122676.219,357,0,110264.748
KLZK20200603-2,KLZK20200603_103830_V06,2,0.879,1.200,9962,0,15121.898,312,0,8297.980
KLZK20200603-2,KLZK20200603_103830_V06,4,1.318,1.200,9969,0,15307.064,394,0,10120.372
KLZK20200603-2,KLZK20200603_103830_V06,6,1.802,1.200,4987,0,3448.463,49,0,1041.837
KLZK20200603-2,KLZK20200603_104310_V06,0,0.483,1.200,12732,0,97539.267,525,0,78511.426
KLZK20200603-2,KLZK20200603_104310_V06,2,0.879,1.200,12741,0,23347.694,605,0,10422.317
KLZK20200603-2,KLZK20200603_104310_V06,4,1.318,1.200,12735,0,14364.120,447,0,8445.583
KLZK20200603-2,KLZK20200603_104310_V06,6,1.802,1.200,6370,0,6280.247,75,0,1568.275
KLZK20200603-1,KLZK20200603_100034_V06,0,0.483,1.200,890,0,48378.381,208,0,11547.653
KLZK20200603-1,KLZK20200603_100034_V06,2,0.879,1.200,890,0,50584.925,256,0,4254.941
KLZK20200603-1,KLZK20200603_100034_V06,4,1.318,1.200,892,0,37022.544,428,0,1826.104
KLZK20200603-1,KLZK20200603_100034_V06,6,1.802,1.200,441,0,52796.444,180,0,247.660
KLZK20200603-1,KLZK20200603_100034_V06,7,2.417,1.200,444,0,53066.181,152,0,64.117
KLZK20200603-1,KLZK20200603_100034_V06,8,3.120,1.200,444,0,51306.093,189,0,64.096
KLZK20200603-1,KLZK20200603_100034_V06,9,3.999,1.200,451,0,98867.317,232,0,4046.492
KLZK20200603-1,KLZK20200603_100034_V06,10,5.098,1.200,449,0,24714.207,250,0,296.328
KLZK20200603-5,KLZK20200603_113416_V06,0,0.483,1.200,6928,0,42875.643,1513,0,11853.566
KLZK20200603-5,KLZK20200603_113416_V06,2,0.879,1.200,6928,0,30328.226,1792,0,6903.349
KLZK20200603-5,KLZK20200603_113416_V06,4,1.318,1.200,6932,0,20167.937,1714,0,1463.832
KLZK20200603-5,KLZK20200603_113416_V06,6,1.802,1.200,3466,0,19190.394,379,0,217.951
KLZK20200603-5,KLZK20200603_113416_V06,7,2.417,1.200,3467,0,26667.254,379,0,157.177
KLZK20200603-5,KLZK20200603_113416_V06,8,3.120,1.200,3473,0,22934.903,363,0,169.509
KLZK20200603-5,KLZK20200603_113416_V06,9,3.999,1.200,3480,0,27503.772,391,0,1806.468
KLZK20200603-5,KLZK20200603_113416_V06,10,5.098,1.200,3481,0,9423.700,240,0,204.281
