track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMAX20180601-1,KMAX20180601_113852_V06,0,0.483,1.200,541,0,31335.016,9,0,30774.357
KMAX20180601-1,KMAX20180601_113852_V06,2,1.494,1.200,546,0,207.157,1,0,204.574
KMAX20180601-1,KMAX20180601_113852_V06,4,2.505,1.200,276,0,6.228,0,0,6.228
KMAX20180601-2,KMAX20180601_113852_V06,0,0.483,1.200,57,0,3603.650,3,0,2626.697
KMAX20180601-2,KMAX20180601_113852_V06,2,1.494,1.200,56,0,0.031,0,0,0.031
KMAX20180601-2,KMAX20180601_113852_V06,4,2.505,1.200,29,0,0.032,0,0,0.032
KMAX20180601-2,KMAX20180601_113852_V06,5,3.516,1.200,29,0,0.032,0,0,0.032
KMAX20180601-2,KMAX20180601_113852_V06,6,4.482,1.200,29,0,0.032,0,0,0.032
KMAX20180601-3,KMAX20180601_123701_V06,0,0.483,1.200,563,0,34871.538,10,0,34802.358
KMAX20180601-3,KMAX20180601_123701_V06,2,1.494,1.200,561,0,224.014,1,0,222.175
KMAX20180601-3,KMAX20180601_123701_V06,4,2.505,1.200,280,0,13.684,0,0,13.684
KMAX20180602-4,KMAX20180602_123633_V06,0,0.483,1.200,1668,0,12810.734,198,0,11516.606
KMAX20180602-4,KMAX20180602_123633_V06,2,1.494,1.200,1663,0,33.400,32,0,17.627
KMAX20180602-4,KMAX20180602_123633_V06,4,2.505,1.200,836,0,14.689,1,0,14.047
KMAX20180602-4,KMAX20180602_123633_V06,5,3.516,1.200,837,0,15.567,2,0,14.452
KMAX20180602-4,KMAX20180602_123633_V06,6,4.482,1.200,834,0,7.932,2,0,6.279
KMAX20180602-4,KMAX20180602_124613_V06,0,0.483,1.200,3656,0,23048.769,325,0,21197.030
KMAX20180602-4,KMAX20180602_124613_V06,2,1.494,1.200,3655,0,103.361,47,0,78.725
KMAX20180602-4,KMAX20180602_124613_V06,4,2.505,1.200,1834,0,40.376,5,0,37.348
KMAX20180602-4,KMAX20180602_124613_V06,5,3.516,1.200,1830,0,30.213,6,0,25.960
KMAX20180602-4,KMAX20180602_130535_V06,0,0.483,1.200,3583,0,14124.015,394,0,12885.165
KMAX20180602-4,KMAX20180602_130535_V06,2,1.494,1.200,3583,0,64.032,55,0,38.267
KMAX20180602-4,KMAX20180602_130535_V06,4,2.505,1.200,1791,0,25.495,4,0,21.894
KMAX20180602-4,KMAX20180602_130535_V06,5,3.516,1.200,1797,0,35.590,5,0,32.147
KMAX20180602-4,KMAX20180602_131515_V06,0,0.483,1.200,5437,0,14574.085,654,0,12292.164
KMAX20180602-4,KMAX20180602_131515_V06,2,1.494,1.200,5439,0,121.450,86,0,75.570
KMAX20180602-4,KMAX20180602_131515_V06,4,2.505,1.200,2720,0,45.199,7,0,40.935
KMAX20180602-4,KMAX20180602_131515_V06,5,3.516,1.200,2725,0,32.602,2,0,31.761
KMAX20180602-4,KMAX20180602_132457_V06,0,0.483,1.200,7307,0,18014.553,716,0,15251.732
KMAX20180602-4,KMAX20180602_132457_V06,2,1.494,1.200,7314,0,170.222,76,0,126.706
KMAX20180602-4,KMAX20180602_132457_V06,4,2.505,1.200,3651,0,53.193,5,0,50.356
KMAX20180602-4,KMAX20180602_132457_V06,5,3.516,1.200,3659,0,62.739,11,0,47.024
KMAX20180602-4,KMAX20180602_133439_V06,0,0.483,1.200,3672,0,55151.310,660,0,44272.923
KMAX20180602-4,KMAX20180602_133439_V06,2,1.494,1.200,3672,0,113.536,51,0,67.035
KMAX20180602-4,KMAX20180602_133439_V06,4,2.505,1.200,1840,0,39.446,3,0,34.068
KMAX20180602-4,KMAX20180602_133439_V06,5,3.516,1.200,1841,0,34.920,3,0,32.370
KMAX20180602-1,KMAX20180602_113826_V06,0,0.483,1.200,521,0,54623.686,40,0,52344.994
KMAX20180602-1,KMAX20180602_113826_V06,2,1.494,1.200,522,0,162.987,6,0,143.506
KMAX20180602-1,KMAX20180602_113826_V06,4,2.505,1.200,261,0,5.116,0,0,5.116
KMAX20180602-1,KMAX20180602_114807_V06,0,0.483,1.200,2100,0,63176.907,369,0,57252.690
KMAX20180602-1,KMAX20180602_114807_V06,2,1.494,1.200,2097,0,162.970,13,0,125.327
KMAX20180602-1,KMAX20180602_114807_V06,4,2.505,1.200,1047,0,107.019,1,0,104.559
KMAX20180602-3,KMAX20180602_122652_V06,0,0.483,1.200,552,0,136718.772,30,0,130222.366
KMAX20180602-3,KMAX20180602_122652_V06,2,1.494,1.200,554,0,341.922,4,0,329.525
KMAX20180602-3,KMAX20180602_122652_V06,4,2.505,1.200,281,0,23.042,1,0,18.438
KMAX20180602-5,KMAX20180602_133439_V06,0,0.483,1.200,589,0,46080.205,17,0,45202.040
KMAX20180602-5,KMAX20180602_133439_V06,2,1.494,1.200,590,0,1074.148,1,0,1062.129
KMAX20180602-5,KMAX20180602_133439_V06,4,2.505,1.200,295,0,17.534,0,0,17.534
KMAX20180603-1,KMAX20180603_113829_V06,0,0.483,1.200,399,0,53055.014,25,0,51441.238
KMAX20180603-1,KMAX20180603_113829_V06,2,1.494,1.200,401,0,190.159,1,0,187.704
KMAX20180603-1,KMAX20180603_113829_V06,4,2.505,1.200,200,0,18.859,0,0,18.859
KMAX20180603-1,KMAX20180603_114810_V06,0,0.483,1.200,1728,0,54130.538,322,0,52680.991
KMAX20180603-1,KMAX20180603_114810_V06,2,1.494,1.200,1723,0,361.320,12,0,255.177
KMAX20180603-1,KMAX20180603_114810_V06,4,2.505,1.200,865,0,18.019,0,0,18.019
KMAX20180603-1,KMAX20180603_120734_V06,0,0.483,1.200,7632,0,56984.319,1782,0,50362.771
KMAX20180603-1,KMAX20180603_120734_V06,2,1.494,1.200,7630,0,835.061,72,0,529.874
KMAX20180603-1,KMAX20180603_120734_V06,4,2.505,1.200,3824,0,232.919,13,0,206.715
KMAX20180603-1,KMAX20180603_121715_V06,0,0.483,1.200,580,0,41019.878,34,0,37817.803
KMAX20180603-1,KMAX20180603_121715_V06,2,1.494,1.200,583,0,355.807,0,0,355.807
KMAX20180603-1,KMAX20180603_121715_V06,4,2.505,1.200,291,0,33.380,1,0,30.283
KMAX20180603-1,KMAX20180603_122657_V06,0,0.483,1.200,1890,0,36506.482,258,0,33984.803
KMAX20180603-1,KMAX20180603_122657_V06,2,1.494,1.200,1887,0,374.318,15,0,295.637
KMAX20180603-1,KMAX20180603_122657_V06,4,2.505,1.200,943,0,113.583,1,0,101.324
KMAX20180603-3,KMAX20180603_132507_V06,0,0.483,1.200,130,0,36506.082,4,0,34313.600
KMAX20180603-3,KMAX20180603_132507_V06,2,1.494,1.200,128,0,342.042,1,0,311.144
KMAX20180603-3,KMAX20180603_132507_V06,4,2.505,1.200,65,0,0.192,0,0,0.192
KMAX20180604-1,KMAX20180604_113707_V06,0,0.483,1.200,246,0,34471.010,1,0,34235.371
KMAX20180604-1,KMAX20180604_113707_V06,2,1.494,1.200,247,0,169.641,0,0,169.641
KMAX20180604-1,KMAX20180604_113707_V06,4,2.505,1.200,122,0,0.359,0,0,0.359
KMAX20180604-1,KMAX20180604_114649_V06,0,0.483,1.200,1287,0,42053.603,135,0,41581.691
KMAX20180604-1,KMAX20180604_114649_V06,2,1.494,1.200,1290,0,190.680,7,0,174.191
KMAX20180604-1,KMAX20180604_114649_V06,4,2.505,1.200,645,0,9.539,0,0,9.539
KMAX20180604-4,KMAX20180604_124500_V06,0,0.483,1.200,333,0,49606.927,3,0,49586.223
KMAX20180604-4,KMAX20180604_124500_V06,2,1.494,1.200,335,0,122.474,1,0,106.989
KMAX20180604-4,KMAX20180604_124500_V06,4,2.505,1.200,171,0,6.123,0,0,6.123
KMAX20180604-4,KMAX20180604_130423_V06,0,0.483,1.200,1464,0,94357.019,30,0,94092.287
KMAX20180604-4,KMAX20180604_130423_V06,2,1.494,1.200,1461,0,230.197,5,0,164.839
KMAX20180604-4,KMAX20180604_130423_V06,4,2.505,1.200,731,0,27.694,0,0,27.694
KMAX20180604-3,KMAX20180604_122537_V06,0,0.483,1.200,430,0,50448.900,9,0,50175.658
KMAX20180604-3,KMAX20180604_122537_V06,2,1.494,1.200,430,0,509.498,1,0,505.134
KMAX20180604-3,KMAX20180604_122537_V06,4,2.505,1.200,217,0,2.595,0,0,2.595
KMAX20180605-1,KMAX20180605_114446_V06,0,0.483,1.200,637,0,171352.164,26,0,171150.135
KMAX20180605-1,KMAX20180605_114446_V06,2,1.494,1.200,636,0,914.587,9,0,860.100
KMAX20180605-1,KMAX20180605_114446_V06,4,2.505,1.200,319,0,20.464,1,0,15.052
KMAX20180605-1,KMAX20180605_120406_V06,0,0.483,1.200,1631,0,74673.342,63,0,74016.752
KMAX20180605-1,KMAX20180605_120406_V06,2,1.494,1.200,1630,0,407.959,9,0,386.600
KMAX20180605-1,KMAX20180605_120406_V06,4,2.505,1.200,818,0,84.525,9,0,54.703
KMAX20180605-1,KMAX20180605_121347_V06,0,0.483,1.200,2357,0,109027.376,71,0,108682.619
KMAX20180605-1,KMAX20180605_121347_V06,2,1.494,1.200,2359,0,223.720,22,0,106.559
KMAX20180605-1,KMAX20180605_121347_V06,4,2.505,1.200,1180,0,98.982,2,0,81.991
KMAX20180605-1,KMAX20180605_122328_V06,0,0.483,1.200,489,0,73668.693,7,0,73614.001
KMAX20180605-1,KMAX20180605_122328_V06,2,1.494,1.200,487,0,171.691,5,0,158.533
KMAX20180605-1,KMAX20180605_122328_V06,4,2.505,1.200,243,0,0.727,0,0,0.727
KMAX20180605-1,KMAX20180605_123310_V06,0,0.483,1.200,1914,0,97181.194,39,0,96935.470
KMAX20180605-1,KMAX20180605_123310_V06,2,1.494,1.200,1916,0,610.350,25,0,453.243
KMAX20180605-1,KMAX20180605_123310_V06,4,2.505,1.200,956,0,37.534,1,0,35.489
KMAX20180605-1,KMAX20180605_124251_V06,0,0.483,1.200,579,0,77744.863,16,0,77620.313
KMAX20180605-1,KMAX20180605_124251_V06,2,1.494,1.200,581,0,812.614,7,0,679.143
KMAX20180605-1,KMAX20180605_124251_V06,4,2.505,1.200,290,0,46.270,2,0,35.160
KMAX20180605-2,KMAX20180605_114446_V06,0,0.483,1.200,185,0,12072.916,8,0,12032.517
KMAX20180605-2,KMAX20180605_114446_V06,2,1.494,1.200,185,0,0.241,0,0,0.241
KMAX20180605-2,KMAX20180605_114446_V06,4,2.505,1.200,92,0,4.438,0,0,4.438
KMAX20180605-6,KMAX20180605_134053_V06,0,0.483,1.200,587,0,81526.144,14,0,81450.506
KMAX20180605-6,KMAX20180605_134053_V06,2,1.494,1.200,588,0,607.629,8,0,480.916
KMAX20180605-6,KMAX20180605_134053_V06,4,2.505,1.200,294,0,54.617,4,0,41.586
KMAX20180606-10,KMAX20180606_132040_V06,0,0.483,1.200,147,0,48795.291,3,0,48757.630
KMAX20180606-10,KMAX20180606_132040_V06,2,1.494,1.200,146,0,139.662,1,0,134.850
KMAX20180606-10,KMAX20180606_132040_V06,4,2.505,1.200,72,0,0.210,0,0,0.210
KMAX20180606-10,KMAX20180606_133021_V06,0,0.483,1.200,1079,0,110520.192,10,0,110426.902
KMAX20180606-10,KMAX20180606_133021_V06,2,1.494,1.200,1082,0,543.291,4,0,534.115
KMAX20180606-10,KMAX20180606_133021_V06,4,2.505,1.200,542,0,20.009,0,0,20.009
KMAX20180606-10,KMAX20180606_134001_V06,0,0.483,1.200,1033,0,104735.862,21,0,104193.678
KMAX20180606-10,KMAX20180606_134001_V06,2,1.494,1.200,1028,0,933.812,4,0,922.499
KMAX20180606-10,KMAX20180606_134001_V06,4,2.505,1.200,515,0,17.254,0,0,17.254
KMAX20180606-1,KMAX20180606_114153_V06,0,0.483,1.200,292,0,60643.485,2,0,60634.000
KMAX20180606-1,KMAX20180606_114153_V06,2,1.494,1.200,291,0,215.565,0,0,215.565
KMAX20180606-1,KMAX20180606_114153_V06,4,2.505,1.200,148,0,6.565,0,0,6.565
KMAX20180606-1,KMAX20180606_120116_V06,0,0.483,1.200,956,0,97270.003,58,0,91816.394
KMAX20180606-1,KMAX20180606_120116_V06,2,1.494,1.200,951,0,157.833,3,0,151.980
KMAX20180606-1,KMAX20180606_120116_V06,4,2.505,1.200,480,0,16.563,0,0,16.563
KMAX20180606-1,KMAX20180606_121256_V06,0,0.483,1.200,417,0,99786.130,9,0,99751.020
KMAX20180606-1,KMAX20180606_121256_V06,2,1.494,1.200,415,0,136.107,2,0,112.880
KMAX20180606-1,KMAX20180606_121256_V06,4,2.505,1.200,211,0,4.895,0,0,4.895
KMAX20180606-1,KMAX20180606_122237_V06,0,0.483,1.200,2039,0,65381.231,58,0,65209.926
KMAX20180606-1,KMAX20180606_122237_V06,2,1.494,1.200,2047,0,152.630,19,0,87.096
KMAX20180606-1,KMAX20180606_122237_V06,4,2.505,1.200,1020,0,34.263,0,0,34.263
