track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMBX20170602-1,KMBX20170602_114949_V06,0,0.483,1.200,10821,0,39630.453,406,0,32730.091
KMBX20170603-2,KMBX20170603_101743_V06,0,0.483,1.200,1291,0,111167.412,43,0,110068.456
KMBX20170603-2,KMBX20170603_101743_V06,2,0.879,1.200,1285,0,21027.382,88,0,20257.254
KMBX20170603-2,KMBX20170603_101743_V06,6,1.318,1.200,1290,0,897.010,156,0,823.316
KMBX20170603-2,KMBX20170603_101743_V06,8,1.802,1.200,645,0,11.616,35,0,7.866
KMBX20170603-2,KMBX20170603_101743_V06,9,2.417,1.200,647,0,7.545,12,0,4.515
KMBX20170603-2,KMBX20170603_101743_V06,12,3.120,1.200,646,0,6.289,33,0,3.562
KMBX20170603-2,KMBX20170603_101743_V06,13,3.999,1.200,647,0,7.873,28,0,4.029
KMBX20170603-2,KMBX20170603_101743_V06,14,5.098,1.200,647,0,1.686,1,0,1.566
KMBX20170603-2,KMBX20170603_101743_V06,15,6.416,1.200,649,0,1.216,10,0,0.764
KMBX20170603-2,KMBX20170603_102235_V06,0,0.483,1.200,5307,1,192780.366,653,1,184883.604
KMBX20170603-2,KMBX20170603_102235_V06,2,0.879,1.200,5310,0,64302.303,814,0,60625.987
KMBX20170603-2,KMBX20170603_102235_V06,6,1.318,1.200,5308,0,8330.590,883,0,7893.594
KMBX20170603-2,KMBX20170603_102235_V06,8,1.802,1.200,2655,0,286.182,206,0,161.271
KMBX20170603-2,KMBX20170603_102235_V06,9,2.417,1.200,2658,0,43.626,175,0,24.004
KMBX20170603-2,KMBX20170603_102235_V06,12,3.120,1.200,2659,0,39.454,178,0,20.060
KMBX20170603-2,KMBX20170603_102235_V06,13,3.999,1.200,2666,0,23.708,113,0,12.279
KMBX20170603-2,KMBX20170603_102235_V06,14,5.098,1.200,2667,0,4.091,5,0,3.919
KMBX20170603-2,KMBX20170603_102235_V06,15,6.416,1.200,2676,0,4.151,24,0,3.233
KMBX20170603-2,KMBX20170603_102729_V06,0,0.483,1.200,7741,1,228331.189,780,1,216380.242
KMBX20170603-2,KMBX20170603_102729_V06,2,0.879,1.200,7743,0,80310.850,1179,0,75282.790
KMBX20170603-2,KMBX20170603_102729_V06,6,1.318,1.200,7750,0,23119.569,1431,0,21007.960
KMBX20170603-2,KMBX20170603_102729_V06,8,1.802,1.200,3879,0,3682.216,524,0,2770.772
KMBX20170603-2,KMBX20170603_102729_V06,9,2.417,1.200,3884,0,108.934,280,0,70.471
KMBX20170603-2,KMBX20170603_102729_V06,12,3.120,1.200,3888,0,50.369,239,0,24.526
KMBX20170603-2,KMBX20170603_102729_V06,13,3.999,1.200,3885,0,16.068,83,0,9.152
KMBX20170603-2,KMBX20170603_102729_V06,14,5.098,1.200,3892,0,6.969,13,0,5.921
KMBX20170603-2,KMBX20170603_102729_V06,15,6.416,1.200,3897,0,6.010,51,0,3.937
KMBX20170603-2,KMBX20170603_103222_V06,0,0.483,1.200,8716,0,226987.648,837,0,215251.503
KMBX20170603-2,KMBX20170603_103222_V06,2,0.879,1.200,8723,0,67910.663,1323,0,63365.539
KMBX20170603-2,KMBX20170603_103222_V06,6,1.318,1.200,8716,0,15052.656,1666,0,13752.959
KMBX20170603-2,KMBX20170603_103222_V06,8,1.802,1.200,4361,0,2642.215,521,0,1531.869
KMBX20170603-2,KMBX20170603_103222_V06,9,2.417,1.200,4368,0,316.652,335,0,280.599
KMBX20170603-2,KMBX20170603_103222_V06,12,3.120,1.200,4369,0,134.805,296,0,90.062
KMBX20170603-2,KMBX20170603_103222_V06,13,3.999,1.200,4369,0,11.213,99,0,7.604
KMBX20170603-2,KMBX20170603_103222_V06,14,5.098,1.200,4374,0,10.716,33,0,7.939
KMBX20170603-2,KMBX20170603_103222_V06,15,6.416,1.200,4387,0,8.150,74,0,4.725
KMBX20170603-2,KMBX20170603_103715_V06,0,0.483,1.200,9883,0,219151.209,1108,0,205684.331
KMBX20170603-2,KMBX20170603_103715_V06,2,0.879,1.200,9888,0,60672.892,1518,0,55138.222
KMBX20170603-2,KMBX20170603_103715_V06,6,1.318,1.200,9891,0,9917.329,1744,0,8680.857
KMBX20170603-2,KMBX20170603_103715_V06,8,1.802,1.200,4953,0,999.924,575,0,442.937
KMBX20170603-2,KMBX20170603_103715_V06,9,2.417,1.200,4954,0,297.617,399,0,128.972
KMBX20170603-2,KMBX20170603_103715_V06,12,3.120,1.200,4950,0,51.691,279,0,24.439
KMBX20170603-2,KMBX20170603_103715_V06,13,3.999,1.200,4952,0,12.469,106,0,10.800
KMBX20170603-2,KMBX20170603_103715_V06,14,5.098,1.200,4966,0,9.620,41,0,8.058
KMBX20170603-2,KMBX20170603_103715_V06,15,6.416,1.200,4984,0,7.483,78,0,3.945
KMBX20170603-8,KMBX20170603_113548_V06,0,0.483,1.200,14424,0,224461.713,917,0,195948.443
KMBX20170603-8,KMBX20170603_113548_V06,2,0.879,1.200,14433,0,11214.232,506,0,2998.048
KMBX20170603-8,KMBX20170603_113548_V06,6,1.318,1.200,14434,0,2252.254,312,0,1407.375
KMBX20170603-8,KMBX20170603_113548_V06,8,1.802,1.200,7225,0,228.651,6,0,209.869
KMBX20170603-8,KMBX20170603_113548_V06,9,2.417,1.200,7224,0,223.117,8,0,203.127
KMBX20170603-8,KMBX20170603_113548_V06,12,3.120,1.200,7229,0,119.157,3,0,109.447
KMBX20170603-8,KMBX20170603_114041_V06,0,0.483,1.200,18117,0,194404.862,1188,0,152850.028
KMBX20170603-8,KMBX20170603_114041_V06,2,0.879,1.200,18117,0,4462.835,526,0,2852.533
KMBX20170603-8,KMBX20170603_114041_V06,6,1.318,1.200,18130,0,2484.103,349,0,1514.118
KMBX20170603-8,KMBX20170603_114041_V06,8,1.802,1.200,9065,0,346.077,6,0,315.076
KMBX20170603-8,KMBX20170603_114041_V06,9,2.417,1.200,9066,0,166.732,9,0,139.682
KMBX20170603-8,KMBX20170603_114041_V06,12,3.120,1.200,9077,0,80.830,4,0,67.087
KMBX20170603-8,KMBX20170603_114534_V06,0,0.483,1.200,18127,0,83150.226,1148,0,74418.824
KMBX20170603-8,KMBX20170603_114534_V06,2,0.879,1.200,18140,0,3418.323,413,0,2122.022
KMBX20170603-8,KMBX20170603_114534_V06,6,1.318,1.200,18143,0,2598.885,330,0,1619.097
KMBX20170603-8,KMBX20170603_114534_V06,8,1.802,1.200,9069,0,185.834,1,0,184.093
KMBX20170603-8,KMBX20170603_114534_V06,9,2.417,1.200,9072,0,160.171,4,0,131.902
KMBX20170603-8,KMBX20170603_114534_V06,12,3.120,1.200,9088,0,78.422,0,0,78.422
KMBX20170603-6,KMBX20170603_111125_V06,0,0.483,1.200,14443,0,222804.580,883,0,208112.339
KMBX20170603-6,KMBX20170603_111125_V06,2,0.879,1.200,14444,0,3834.360,397,0,2650.133
KMBX20170603-6,KMBX20170603_111125_V06,6,1.318,1.200,14454,0,1371.099,240,0,904.969
KMBX20170603-6,KMBX20170603_111125_V06,8,1.802,1.200,7232,0,325.024,12,0,275.808
KMBX20170603-6,KMBX20170603_111125_V06,9,2.417,1.200,7231,0,231.487,5,0,187.959
KMBX20170603-6,KMBX20170603_111125_V06,12,3.120,1.200,7241,0,57.467,0,0,57.467
KMBX20170603-6,KMBX20170603_111617_V06,0,0.483,1.200,18402,0,223917.374,1275,0,208985.247
KMBX20170603-6,KMBX20170603_111617_V06,2,0.879,1.200,18396,0,4150.207,565,0,2901.471
KMBX20170603-6,KMBX20170603_111617_V06,6,1.318,1.200,18410,0,1743.713,306,0,1181.070
KMBX20170603-6,KMBX20170603_111617_V06,8,1.802,1.200,9204,0,301.313,6,0,275.340
KMBX20170603-6,KMBX20170603_111617_V06,9,2.417,1.200,9217,0,241.857,11,0,200.405
KMBX20170603-6,KMBX20170603_111617_V06,12,3.120,1.200,9218,0,136.467,0,0,136.467
KMBX20170603-6,KMBX20170603_112110_V06,0,0.483,1.200,11445,0,131800.121,771,0,125673.501
KMBX20170603-6,KMBX20170603_112110_V06,2,0.879,1.200,11451,0,5754.227,395,0,2444.667
KMBX20170603-6,KMBX20170603_112110_V06,6,1.318,1.200,11448,0,1962.914,212,0,1449.229
KMBX20170603-6,KMBX20170603_112110_V06,8,1.802,1.200,5725,0,292.639,10,0,256.493
KMBX20170603-6,KMBX20170603_112110_V06,9,2.417,1.200,5730,0,137.887,10,0,101.027
KMBX20170603-6,KMBX20170603_112110_V06,12,3.120,1.200,5735,0,134.735,2,0,124.350
KMBX20170603-6,KMBX20170603_112604_V06,0,0.483,1.200,16103,0,186509.489,1165,0,172956.424
KMBX20170603-6,KMBX20170603_112604_V06,2,0.879,1.200,16110,0,4914.556,548,0,2971.064
KMBX20170603-6,KMBX20170603_112604_V06,6,1.318,1.200,16113,0,1764.570,324,0,1075.093
KMBX20170603-6,KMBX20170603_112604_V06,8,1.802,1.200,8056,0,245.539,10,0,216.975
KMBX20170603-6,KMBX20170603_112604_V06,9,2.417,1.200,8068,0,210.735,7,0,174.789
KMBX20170603-6,KMBX20170603_112604_V06,12,3.120,1.200,8071,0,148.532,3,0,143.589
KMBX20170603-1,KMBX20170603_094826_V06,0,0.483,1.200,1105,110,896757.060,101,92,777569.971
KMBX20170603-1,KMBX20170603_094826_V06,2,0.879,1.200,1102,3,283841.803,54,2,232448.861
KMBX20170603-1,KMBX20170603_094826_V06,6,1.318,1.200,1105,0,980.361,74,0,593.089
KMBX20170603-1,KMBX20170603_094826_V06,8,1.802,1.200,554,0,55.424,1,0,51.369
KMBX20170603-1,KMBX20170603_094826_V06,9,2.417,1.200,553,0,53.958,4,0,42.836
KMBX20170603-1,KMBX20170603_094826_V06,12,3.120,1.200,551,0,18.868,0,0,18.868
KMBX20170603-4,KMBX20170603_101743_V06,0,0.483,1.200,11866,0,72357.256,868,0,65036.997
KMBX20170603-4,KMBX20170603_101743_V06,2,0.879,1.200,11878,0,5822.851,409,0,4689.347
KMBX20170603-4,KMBX20170603_101743_V06,6,1.318,1.200,11879,0,2686.337,322,0,1789.153
KMBX20170603-4,KMBX20170603_101743_V06,8,1.802,1.200,5938,0,348.435,7,0,320.799
KMBX20170603-4,KMBX20170603_101743_V06,9,2.417,1.200,5943,0,190.224,10,0,171.295
KMBX20170603-4,KMBX20170603_101743_V06,12,3.120,1.200,5951,0,98.552,2,0,96.293
KMBX20170603-4,KMBX20170603_102235_V06,0,0.483,1.200,17381,0,91599.039,1559,0,83398.853
KMBX20170603-4,KMBX20170603_102235_V06,2,0.879,1.200,17384,0,5148.854,679,0,3408.128
KMBX20170603-4,KMBX20170603_102235_V06,6,1.318,1.200,17380,0,3204.684,482,0,2091.691
KMBX20170603-4,KMBX20170603_102235_V06,8,1.802,1.200,8694,0,328.708,17,0,266.946
KMBX20170603-4,KMBX20170603_102235_V06,9,2.417,1.200,8703,0,282.294,14,0,244.031
KMBX20170603-4,KMBX20170603_102235_V06,12,3.120,1.200,8714,0,89.567,2,0,86.080
KMBX20170603-4,KMBX20170603_102729_V06,0,0.483,1.200,12023,0,83717.176,1292,0,75592.779
