track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMKX20170601-1,KMKX20170601_092125_V06,0,0.483,1.200,179,0,85598.656,5,0,85586.049
KMKX20170601-1,KMKX20170601_092125_V06,2,1.494,1.200,175,0,359.275,17,0,104.692
KMKX20170601-1,KMKX20170601_092125_V06,4,2.505,1.200,89,0,147.759,8,0,69.801
KMKX20170601-1,KMKX20170601_093106_V06,0,0.483,1.200,1134,0,165818.525,72,0,71850.374
KMKX20170601-1,KMKX20170601_093106_V06,2,1.494,1.200,1135,0,287.860,18,0,79.064
KMKX20170601-1,KMKX20170601_093106_V06,4,2.505,1.200,565,0,56.564,1,0,53.286
KMKX20170601-3,KMKX20170601_100012_V06,0,0.483,1.200,124,0,14549.960,27,0,2974.144
KMKX20170601-3,KMKX20170601_100012_V06,2,1.494,1.200,124,0,33.466,0,0,33.466
KMKX20170601-3,KMKX20170601_100012_V06,4,2.505,1.200,61,0,0.165,0,0,0.165
KMKX20170601-3,KMKX20170601_100955_V06,0,0.483,1.200,4273,0,17117.517,228,0,14312.196
KMKX20170601-3,KMKX20170601_100955_V06,2,1.494,1.200,4272,0,69.146,7,0,54.619
KMKX20170601-3,KMKX20170601_100955_V06,4,2.505,1.200,2141,0,5.831,0,0,5.831
KMKX20170601-5,KMKX20170601_100955_V06,0,0.483,1.200,621,3,256776.427,31,3,256028.191
KMKX20170601-5,KMKX20170601_100955_V06,2,1.494,1.200,625,0,125.274,7,0,67.397
KMKX20170601-5,KMKX20170601_100955_V06,4,2.505,1.200,314,0,0.665,0,0,0.665
KMKX20170601-5,KMKX20170601_100955_V06,5,3.516,1.200,312,0,0.664,0,0,0.664
KMKX20170601-5,KMKX20170601_101936_V06,0,0.483,1.200,1965,43,1052986.433,78,42,1014575.539
KMKX20170601-5,KMKX20170601_101936_V06,2,1.494,1.200,1966,0,607.769,20,0,549.783
KMKX20170601-5,KMKX20170601_101936_V06,4,2.505,1.200,980,0,269.676,9,0,237.315
KMKX20170601-5,KMKX20170601_101936_V06,5,3.516,1.200,980,0,31.864,1,0,24.830
KMKX20170601-2,KMKX20170601_092125_V06,0,0.483,1.200,529,2,146603.534,1,2,146546.712
