track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMQT20220601-1,KMQT20220601_093934_V06,0,0.483,1.200,12119,0,6612.320,1078,0,5766.872
KMQT20220601-1,KMQT20220601_093934_V06,2,0.879,1.200,12125,0,980.432,518,0,731.685
KMQT20220601-1,KMQT20220601_093934_V06,4,1.318,1.200,12125,0,25.294,54,0,14.349
KMQT20220601-1,KMQT20220601_093934_V06,6,1.802,1.200,6066,0,12.453,0,0,12.453
KMQT20220601-1,KMQT20220601_093934_V06,7,2.417,1.200,6072,0,9.097,0,0,9.097
KMQT20220601-1,KMQT20220601_093934_V06,8,3.120,1.200,6075,0,9.795,0,0,9.795
KMQT20220601-1,KMQT20220601_093934_V06,9,3.999,1.200,6078,0,8.557,0,0,8.557
KMQT20220603-1,KMQT20220603_090757_V06,0,0.483,1.200,16659,0,40008.654,1904,0,4918.703
KMQT20220603-1,KMQT20220603_090757_V06,2,0.879,1.200,16660,0,43897.360,2610,0,4719.891
KMQT20220603-1,KMQT20220603_090757_V06,4,1.318,1.200,16668,0,15019.499,1438,0,2224.766
KMQT20220603-1,KMQT20220603_091459_V06,0,0.483,1.200,25951,0,36690.263,2380,0,5817.472
KMQT20220603-1,KMQT20220603_091459_V06,2,0.879,1.200,25964,0,44288.708,3481,0,5638.782
KMQT20220603-1,KMQT20220603_091459_V06,4,1.318,1.200,25975,0,22162.666,2489,0,2686.232
KMQT20220604-10,KMQT20220604_111350_V06,0,0.483,1.200,1418,0,298193.909,615,0,2232.095
KMQT20220604-10,KMQT20220604_111350_V06,2,0.879,1.200,1415,0,708400.285,706,0,1259.284
KMQT20220604-10,KMQT20220604_112046_V06,0,0.483,1.200,2902,0,457708.046,761,0,2100.381
KMQT20220604-10,KMQT20220604_112046_V06,2,0.879,1.200,2901,0,1107967.808,824,0,1185.634
KMQT20220604-10,KMQT20220604_112731_V06,0,0.483,1.200,3369,0,595478.398,754,0,2037.481
KMQT20220604-10,KMQT20220604_112731_V06,2,0.879,1.200,3368,0,1577526.257,808,0,2051.669
KMQT20220604-10,KMQT20220604_112731_V06,4,1.318,1.200,3371,0,505834.337,574,0,1544.821
KMQT20220604-11,KMQT20220604_112046_V06,0,0.483,1.200,2242,0,44875.369,512,0,1740.632
KMQT20220604-11,KMQT20220604_112046_V06,2,0.879,1.200,2243,0,130431.522,829,0,2667.931
