track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMRX20190605-13,KMRX20190605_093407_V06,0,0.483,1.200,3467,0,118505.433,959,0,14184.702
KMRX20190605-13,KMRX20190605_093407_V06,2,0.879,1.200,3467,1,294422.105,1230,0,16812.769
KMRX20190605-13,KMRX20190605_093407_V06,4,1.318,1.200,3468,0,516558.271,1455,0,5430.139
KMRX20190605-13,KMRX20190605_093407_V06,6,1.802,1.200,1740,1,469678.388,628,0,1324.886
KMRX20190605-13,KMRX20190605_093407_V06,7,2.417,1.200,1738,1,341694.981,525,0,12858.514
KMRX20190605-13,KMRX20190605_093407_V06,8,3.120,1.200,1736,0,38006.500,377,0,499.772
KMRX20190605-13,KMRX20190605_093842_V06,0,0.483,1.200,5904,0,149246.529,1043,0,11002.044
KMRX20190605-13,KMRX20190605_093842_V06,2,0.879,1.200,5911,1,451692.423,1491,0,14947.509
KMRX20190605-13,KMRX20190605_093842_V06,4,1.318,1.200,5911,4,451477.747,1652,0,3390.637
KMRX20190605-13,KMRX20190605_093842_V06,6,1.802,1.200,2956,1,495832.846,656,0,4918.386
KMRX20190605-13,KMRX20190605_093842_V06,7,2.417,1.200,2960,0,267799.352,566,0,8761.343
KMRX20190605-13,KMRX20190605_093842_V06,8,3.120,1.200,2961,0,13727.800,332,0,301.866
KMRX20190605-13,KMRX20190605_094229_V06,0,0.483,1.200,4000,0,79563.207,894,0,7991.232
KMRX20190605-13,KMRX20190605_094229_V06,2,0.879,1.200,4001,2,340999.891,1323,0,11920.169
KMRX20190605-13,KMRX20190605_094229_V06,4,1.318,1.200,4001,0,458530.139,1460,0,2838.281
KMRX20190605-13,KMRX20190605_094229_V06,6,1.802,1.200,2000,0,342290.623,631,0,10890.665
KMRX20190605-13,KMRX20190605_094229_V06,7,2.417,1.200,2001,0,143009.907,533,0,6297.917
KMRX20190605-13,KMRX20190605_094229_V06,8,3.120,1.200,2005,0,6193.107,232,0,131.329
KMRX20190605-13,KMRX20190605_094650_V06,0,0.483,1.200,6327,0,67649.483,960,0,8777.908
KMRX20190605-13,KMRX20190605_094650_V06,2,0.879,1.200,6328,0,275333.302,1488,0,9088.309
KMRX20190605-13,KMRX20190605_094650_V06,4,1.318,1.200,6327,0,340485.742,1512,0,1963.697
KMRX20190605-13,KMRX20190605_094650_V06,6,1.802,1.200,3175,0,347249.254,593,0,27864.829
KMRX20190605-13,KMRX20190605_094650_V06,7,2.417,1.200,3177,0,110204.647,488,0,6624.591
KMRX20190605-13,KMRX20190605_094650_V06,8,3.120,1.200,3176,0,2928.910,148,0,182.459
KMRX20190605-13,KMRX20190605_095109_V06,0,0.483,1.200,4801,0,53589.637,881,0,2820.202
KMRX20190605-13,KMRX20190605_095109_V06,2,0.879,1.200,4803,0,190394.047,1271,0,5166.246
KMRX20190605-13,KMRX20190605_095109_V06,4,1.318,1.200,4806,0,280677.577,1313,0,6697.922
KMRX20190605-13,KMRX20190605_095109_V06,6,1.802,1.200,2409,0,312880.684,460,0,34175.311
KMRX20190605-13,KMRX20190605_095109_V06,7,2.417,1.200,2407,0,84263.155,408,0,6996.948
KMRX20190605-13,KMRX20190605_095109_V06,8,3.120,1.200,2411,0,1054.887,63,0,97.881
KMRX20190605-26,KMRX20190605_110847_V06,0,0.483,1.200,1498,0,21720.893,139,0,1495.352
KMRX20190605-26,KMRX20190605_110847_V06,2,0.879,1.200,1498,0,11105.552,110,0,2073.328
KMRX20190605-26,KMRX20190605_110847_V06,4,1.318,1.200,1501,0,7028.983,93,0,1616.086
KMRX20190605-26,KMRX20190605_111437_V06,0,0.483,1.200,3558,0,6869.641,109,0,1350.634
KMRX20190605-26,KMRX20190605_111437_V06,2,0.879,1.200,3562,0,4637.841,104,0,1365.345
KMRX20190605-26,KMRX20190605_111437_V06,4,1.318,1.200,3563,0,7123.999,106,0,1469.679
KMRX20190605-2,KMRX20190605_091648_V06,0,0.483,1.200,1553,8,223212.931,505,1,70897.691
KMRX20190605-2,KMRX20190605_091648_V06,2,0.879,1.200,1556,20,308059.682,601,0,26376.821
KMRX20190605-2,KMRX20190605_091648_V06,4,1.318,1.200,1554,8,394719.751,732,2,74879.149
KMRX20190605-2,KMRX20190605_091648_V06,6,1.802,1.200,774,1,400016.783,375,0,252.087
KMRX20190605-2,KMRX20190605_091648_V06,7,2.417,1.200,775,6,479434.136,395,0,931.709
KMRX20190605-2,KMRX20190605_091648_V06,8,3.120,1.200,779,2,253994.965,366,0,1508.081
KMRX20190605-2,KMRX20190605_091648_V06,9,3.999,1.200,783,0,30672.624,339,0,128.139
KMRX20190605-7,KMRX20190605_091648_V06,0,0.483,1.200,350,0,74074.658,86,0,495.533
KMRX20190605-7,KMRX20190605_091648_V06,2,0.879,1.200,352,10,367733.525,147,0,5012.114
KMRX20190605-7,KMRX20190605_091648_V06,4,1.318,1.200,349,30,519166.729,179,0,470.230
KMRX20190605-7,KMRX20190605_091648_V06,6,1.802,1.200,177,19,532646.977,79,3,1990.795
KMRX20190605-7,KMRX20190605_091648_V06,7,2.417,1.200,175,15,349710.334,60,3,10.387
KMRX20190605-12,KMRX20190605_092947_V06,0,0.483,1.200,6365,0,257387.199,1950,0,6474.048
KMRX20190605-12,KMRX20190605_092947_V06,2,0.879,1.200,6362,0,480206.885,2368,0,5012.855
KMRX20190605-12,KMRX20190605_092947_V06,4,1.318,1.200,6366,0,471108.680,2271,0,1061.762
KMRX20190605-12,KMRX20190605_092947_V06,6,1.802,1.200,3182,0,550279.900,976,0,28857.715
KMRX20190605-12,KMRX20190605_092947_V06,7,2.417,1.200,3189,0,564826.466,859,0,95258.888
KMRX20190605-12,KMRX20190605_092947_V06,8,3.120,1.200,3188,0,297943.834,809,0,23411.625
KMRX20190605-12,KMRX20190605_092947_V06,9,3.999,1.200,3188,0,19512.756,558,0,179.293
KMRX20190605-15,KMRX20190605_094650_V06,0,0.483,1.200,2138,0,12158.631,458,0,2901.006
KMRX20190605-15,KMRX20190605_094650_V06,2,0.879,1.200,2138,0,21981.220,793,0,1533.395
KMRX20190605-15,KMRX20190605_094650_V06,4,1.318,1.200,2139,0,39995.204,1241,0,614.038
KMRX20190605-15,KMRX20190605_094650_V06,6,1.802,1.200,1069,0,57888.535,767,0,202.368
KMRX20190605-15,KMRX20190605_094650_V06,7,2.417,1.200,1067,0,51173.418,781,0,84.208
KMRX20190605-15,KMRX20190605_094650_V06,8,3.120,1.200,1067,0,69331.765,844,0,15.857
KMRX20190605-15,KMRX20190605_094650_V06,9,3.999,1.200,1071,0,71385.695,934,0,6.120
KMRX20190605-15,KMRX20190605_094650_V06,10,5.098,1.200,1070,0,56034.735,891,0,6597.677
KMRX20190605-15,KMRX20190605_094650_V06,11,6.416,1.200,1071,0,8785.941,729,0,1212.723
KMRX20190605-16,KMRX20190605_094650_V06,0,0.483,1.200,1765,0,26203.509,459,0,2634.566
KMRX20190605-16,KMRX20190605_094650_V06,2,0.879,1.200,1764,0,33936.946,584,0,960.178
KMRX20190605-16,KMRX20190605_094650_V06,4,1.318,1.200,1765,0,30385.588,473,0,310.413
KMRX20190605-16,KMRX20190605_094650_V06,6,1.802,1.200,883,0,18825.046,157,0,39.108
KMRX20190605-16,KMRX20190605_094650_V06,7,2.417,1.200,885,0,17613.577,146,0,894.492
KMRX20190605-16,KMRX20190605_094650_V06,8,3.120,1.200,887,0,5492.738,103,0,873.273
KMRX20190605-16,KMRX20190605_094650_V06,9,3.999,1.200,884,0,1.323,0,0,1.323
KMRX20190605-30,KMRX20190605_113902_V06,0,0.483,1.200,25947,0,15138.344,9953,0,5137.416
KMRX20190605-30,KMRX20190605_113902_V06,2,0.879,1.200,25953,5,17050.515,10112,1,4932.303
KMRX20190605-30,KMRX20190605_113902_V06,4,1.318,1.200,25964,0,17562.219,8884,0,5266.411
KMRX20190605-30,KMRX20190605_113902_V06,6,1.802,1.200,12982,0,12544.246,5548,0,2860.292
KMRX20190605-30,KMRX20190605_113902_V06,7,2.417,1.200,12986,0,11922.309,6120,0,1908.465
KMRX20190605-30,KMRX20190605_113902_V06,8,3.120,1.200,12995,0,12267.519,6587,0,1334.448
KMRX20190605-30,KMRX20190605_113902_V06,9,3.999,1.200,13006,0,11294.651,6744,0,878.444
KMRX20190605-30,KMRX20190605_113902_V06,10,5.098,1.200,13034,0,10440.257,7256,0,774.235
KMRX20190605-30,KMRX20190605_113902_V06,11,6.416,1.200,13074,0,10120.571,7632,0,617.815
KMRX20190605-30,KMRX20190605_113902_V06,12,7.998,1.200,13131,0,11373.795,7357,0,618.390
KMRX20190605-30,KMRX20190605_113902_V06,13,10.020,1.200,13226,0,11087.554,7646,0,588.303
KMRX20190605-30,KMRX20190605_113902_V06,14,11.997,1.200,13332,0,11859.175,8283,0,565.207
KMRX20190605-30,KMRX20190605_113902_V06,15,14.019,1.200,13461,0,15810.543,8451,0,1189.181
KMRX20190605-30,KMRX20190605_113902_V06,16,16.699,1.200,13691,0,16602.020,8867,0,1775.036
KMRX20190605-30,KMRX20190605_113902_V06,17,19.512,1.200,13955,0,11528.011,9071,0,862.506
KMRX20190606-2,KMRX20190606_092323_V06,0,0.483,1.200,478,0,10642.193,7,0,10607.584
KMRX20190606-2,KMRX20190606_092323_V06,2,0.879,1.200,481,0,26954.578,5,0,26948.834
