track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMUX20190602-1,KMUX20190602_121119_V06,0,0.220,1.200,372,0,1399.387,4,0,1262.349
KMUX20190602-1,KMUX20190602_121119_V06,4,0.879,1.200,375,0,2317.497,29,0,950.694
KMUX20190602-1,KMUX20190602_121119_V06,6,1.318,1.200,372,0,1562.726,27,0,530.138
KMUX20190603-1,KMUX20190603_120529_V06,0,0.220,1.200,342,0,947.150,7,0,596.736
KMUX20190603-1,KMUX20190603_120529_V06,4,0.879,1.200,343,0,3370.359,39,0,1372.393
KMUX20190603-1,KMUX20190603_120529_V06,6,1.318,1.200,342,0,2084.701,35,0,436.652
KMUX20190603-2,KMUX20190603_124824_V06,0,0.220,1.200,140,0,2690.087,1,0,2602.066
KMUX20190603-2,KMUX20190603_124824_V06,4,0.879,1.200,140,0,2102.688,0,0,2102.688
KMUX20190603-2,KMUX20190603_124824_V06,6,1.318,1.200,141,0,378.235,0,0,378.235
KMUX20190603-2,KMUX20190603_124824_V06,8,1.802,1.200,68,0,11.533,2,0,7.506
KMUX20190603-2,KMUX20190603_124824_V06,9,2.417,1.200,68,0,9.973,0,0,9.973
KMUX20190603-2,KMUX20190603_124824_V06,10,3.120,1.200,67,0,2.398,0,0,2.398
KMUX20190603-2,KMUX20190603_124824_V06,11,3.999,1.200,68,0,3.592,1,0,2.668
KMUX20190604-2,KMUX20190604_123917_V06,0,0.220,1.200,312,0,3152.586,3,0,2937.378
KMUX20190604-2,KMUX20190604_123917_V06,4,0.879,1.200,311,0,2809.152,2,0,2807.984
KMUX20190604-2,KMUX20190604_123917_V06,6,1.318,1.200,309,0,1043.389,6,0,1031.092
KMUX20190604-2,KMUX20190604_123917_V06,8,1.802,1.200,156,0,76.697,5,0,42.506
KMUX20190604-2,KMUX20190604_123917_V06,9,2.417,1.200,157,0,43.597,10,0,25.813
KMUX20190604-2,KMUX20190604_123917_V06,10,3.120,1.200,157,0,0.216,0,0,0.216
KMUX20190604-2,KMUX20190604_123917_V06,11,3.999,1.200,157,0,0.216,0,0,0.216
KMUX20190604-2,KMUX20190604_124803_V06,0,0.220,1.200,1814,0,6659.231,40,0,6506.964
KMUX20190604-2,KMUX20190604_124803_V06,4,0.879,1.200,1815,0,7702.728,23,0,7677.657
KMUX20190604-2,KMUX20190604_124803_V06,6,1.318,1.200,1813,0,6018.587,30,0,5965.933
KMUX20190604-2,KMUX20190604_124803_V06,8,1.802,1.200,894,0,899.591,57,0,590.313
KMUX20190604-2,KMUX20190604_124803_V06,9,2.417,1.200,895,0,316.790,75,0,152.323
KMUX20190604-2,KMUX20190604_124803_V06,10,3.120,1.200,894,0,74.426,17,0,56.531
KMUX20190604-2,KMUX20190604_124803_V06,11,3.999,1.200,893,0,56.382,9,0,43.562
KMUX20190604-1,KMUX20190604_121301_V06,0,0.220,1.200,94,0,5836.796,1,0,5531.271
KMUX20190604-1,KMUX20190604_121301_V06,4,0.879,1.200,95,0,182.511,0,0,182.511
KMUX20190604-1,KMUX20190604_121301_V06,6,1.318,1.200,96,0,384.038,3,0,375.551
KMUX20190604-1,KMUX20190604_121301_V06,8,1.802,1.200,49,0,68.868,16,0,44.620
KMUX20190604-1,KMUX20190604_121301_V06,9,2.417,1.200,49,0,0.834,0,0,0.834
KMUX20190604-1,KMUX20190604_121301_V06,10,3.120,1.200,48,0,0.999,1,0,0.525
KMUX20190604-1,KMUX20190604_121301_V06,11,3.999,1.200,48,0,1.899,3,0,0.691
KMUX20190604-1,KMUX20190604_121301_V06,12,5.098,1.200,50,0,1.422,2,0,0.390
KMUX20190604-1,KMUX20190604_121301_V06,13,6.416,1.200,49,0,0.035,0,0,0.035
KMUX20190605-1,KMUX20190605_124154_V06,0,0.220,1.200,136,0,3006.570,0,0,3006.570
KMUX20190605-1,KMUX20190605_124154_V06,4,0.879,1.200,136,0,1703.157,0,0,1703.157
KMUX20190605-1,KMUX20190605_124154_V06,6,1.318,1.200,136,0,683.968,0,0,683.968
KMUX20190605-1,KMUX20190605_124154_V06,8,1.802,1.200,72,0,45.486,12,0,19.766
KMUX20190605-1,KMUX20190605_124154_V06,9,2.417,1.200,71,0,11.377,8,0,0.087
KMUX20190605-1,KMUX20190605_124154_V06,10,3.120,1.200,71,0,12.388,2,0,10.080
KMUX20190605-1,KMUX20190605_124154_V06,11,3.999,1.200,71,0,0.098,0,0,0.098
KMUX20190605-3,KMUX20190605_132541_V06,0,0.220,1.200,968,0,70756.166,27,0,48567.365
KMUX20190605-3,KMUX20190605_132541_V06,4,0.879,1.200,971,0,10174.346,50,0,7788.464
KMUX20190605-3,KMUX20190605_132541_V06,6,1.318,1.200,973,0,11195.300,47,0,4493.156
KMUX20190605-3,KMUX20190605_132541_V06,8,1.802,1.200,489,0,5830.919,13,0,5280.821
