track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMXX20170602-3,KMXX20170602_112736_V06,0,0.483,1.200,1434,0,42386.307,565,0,9318.045
KMXX20170602-3,KMXX20170602_112736_V06,2,1.450,1.200,1441,0,29173.794,616,0,619.789
KMXX20170602-3,KMXX20170602_112736_V06,4,2.417,1.200,718,0,27025.940,265,0,435.806
KMXX20170602-3,KMXX20170602_112736_V06,5,3.384,1.200,716,0,31282.576,248,0,31.848
KMXX20170602-3,KMXX20170602_112736_V06,6,4.307,1.200,719,0,43792.891,280,0,24.247
KMXX20170602-3,KMXX20170602_112736_V06,7,6.021,1.200,723,0,34039.177,274,0,6.043
KMXX20170605-3,KMXX20170605_101636_V06,0,0.483,1.200,221,0,8898.510,5,0,8319.874
KMXX20170605-3,KMXX20170605_101636_V06,2,1.450,1.200,218,0,0.709,2,0,0.095
KMXX20170605-3,KMXX20170605_101636_V06,4,2.417,1.200,110,0,0.097,0,0,0.097
KMXX20170605-3,KMXX20170605_101636_V06,5,3.384,1.200,110,0,0.097,0,0,0.097
KMXX20170605-3,KMXX20170605_101636_V06,6,4.307,1.200,110,0,0.097,0,0,0.097
KMXX20170605-3,KMXX20170605_101636_V06,7,6.021,1.200,112,0,0.100,0,0,0.100
KMXX20170608-3,KMXX20170608_101019_V06,0,0.483,1.200,661,0,7646.547,28,0,7404.345
KMXX20170608-3,KMXX20170608_101019_V06,2,1.494,1.200,658,0,1.311,0,0,1.311
KMXX20170608-3,KMXX20170608_101019_V06,4,2.505,1.200,319,0,24.425,0,0,24.425
KMXX20170608-3,KMXX20170608_102003_V06,0,0.483,1.200,2260,0,7504.526,82,0,6681.409
KMXX20170608-3,KMXX20170608_102003_V06,2,1.494,1.200,2264,0,4.673,0,0,4.673
KMXX20170608-3,KMXX20170608_102003_V06,4,2.505,1.200,1132,0,4.696,0,0,4.696
KMXX20170608-3,KMXX20170608_102948_V06,0,0.483,1.200,4438,0,3557.447,66,0,3010.271
KMXX20170608-3,KMXX20170608_102948_V06,2,1.494,1.200,4441,0,30.031,3,0,24.115
KMXX20170608-2,KMXX20170608_100034_V06,0,0.483,1.200,920,0,20117.467,150,0,19421.479
KMXX20170608-2,KMXX20170608_100034_V06,2,1.494,1.200,916,0,314.023,108,0,126.246
KMXX20170608-2,KMXX20170608_100034_V06,4,2.505,1.200,456,0,1.158,0,0,1.158
KMXX20170608-2,KMXX20170608_101019_V06,0,0.483,1.200,2255,0,26042.477,506,0,23715.499
KMXX20170608-2,KMXX20170608_101019_V06,2,1.494,1.200,2259,0,2428.203,729,0,915.655
KMXX20170608-2,KMXX20170608_101019_V06,4,2.505,1.200,1132,0,2.802,0,0,2.802
KMXX20170608-4,KMXX20170608_102003_V06,0,0.483,1.200,691,0,2463.721,8,0,2144.754
KMXX20170608-4,KMXX20170608_102948_V06,0,0.483,1.200,2216,0,11673.031,28,0,9923.770
KMXX20170608-1,KMXX20170608_094105_V06,0,0.483,1.200,659,0,11378.831,30,0,11011.651
KMXX20170608-1,KMXX20170608_094105_V06,2,1.494,1.200,659,0,536.096,180,0,468.194
KMXX20170608-1,KMXX20170608_094105_V06,4,2.505,1.200,341,0,39.942,23,0,31.551
KMXX20170608-1,KMXX20170608_094105_V06,5,3.516,1.200,343,0,7.611,3,0,6.883
KMXX20170608-1,KMXX20170608_094105_V06,6,4.482,1.200,343,0,2.771,0,0,2.771
KMXX20170609-1,KMXX20170609_100201_V06,0,0.483,1.200,1609,0,12059.853,132,0,9871.720
KMXX20170609-1,KMXX20170609_100201_V06,2,1.494,1.200,1608,0,3.521,0,0,3.521
KMXX20170610-2,KMXX20170610_103936_V06,0,0.483,1.200,3198,0,127508.799,630,0,96642.284
KMXX20170610-2,KMXX20170610_103936_V06,2,1.494,1.200,3205,0,1053.686,205,0,783.053
KMXX20170610-2,KMXX20170610_103936_V06,4,2.505,1.200,1603,0,142.817,13,0,113.463
KMXX20170610-2,KMXX20170610_103936_V06,5,3.516,1.200,1606,0,186.418,9,0,164.939
KMXX20170611-1,KMXX20170611_100902_V06,0,0.483,1.200,1028,0,2561.585,32,0,2365.243
KMXX20170611-1,KMXX20170611_100902_V06,2,1.494,1.200,1029,0,1.255,0,0,1.255
KMXX20170611-1,KMXX20170611_100902_V06,4,2.505,1.200,510,0,1.245,0,0,1.245
KMXX20170611-1,KMXX20170611_101846_V06,0,0.483,1.200,2956,0,2652.024,63,0,2275.080
KMXX20170611-1,KMXX20170611_101846_V06,2,1.494,1.200,2954,0,713.723,51,0,559.914
KMXX20170611-1,KMXX20170611_101846_V06,4,2.505,1.200,1479,0,3.590,0,0,3.590
KMXX20170611-2,KMXX20170611_101846_V06,0,0.483,1.200,2786,0,17868.038,141,0,16892.817
KMXX20170611-2,KMXX20170611_101846_V06,2,1.494,1.200,2790,0,1218.223,76,0,1033.674
KMXX20170611-2,KMXX20170611_101846_V06,4,2.505,1.200,1396,0,16.986,0,0,16.986
KMXX20170611-2,KMXX20170611_102831_V06,0,0.483,1.200,8128,0,2734.436,162,0,2240.718
KMXX20170611-2,KMXX20170611_102831_V06,2,1.494,1.200,8125,0,8315.271,257,0,6815.515
KMXX20170611-2,KMXX20170611_102831_V06,4,2.505,1.200,4070,0,179.663,13,0,163.645
KMXX20170612-3,KMXX20170612_100521_V06,0,0.483,1.200,498,0,13096.003,28,0,12238.845
KMXX20170612-3,KMXX20170612_100521_V06,2,1.450,1.200,498,0,57.877,15,0,40.889
KMXX20170612-3,KMXX20170612_100521_V06,4,2.417,1.200,251,0,6.842,1,0,6.064
KMXX20170612-3,KMXX20170612_100521_V06,5,3.384,1.200,249,0,10.898,0,0,10.898
KMXX20170612-3,KMXX20170612_100521_V06,6,4.307,1.200,248,0,16.483,5,0,11.843
KMXX20170612-3,KMXX20170612_101002_V06,0,0.483,1.200,1856,0,84418.821,163,0,82988.948
KMXX20170612-3,KMXX20170612_101002_V06,2,1.450,1.200,1853,0,40.530,31,0,20.614
KMXX20170612-3,KMXX20170612_101002_V06,4,2.417,1.200,923,0,9.918,0,0,9.918
KMXX20170612-3,KMXX20170612_101002_V06,5,3.384,1.200,923,0,37.919,7,0,31.209
KMXX20170612-3,KMXX20170612_101002_V06,6,4.307,1.200,927,0,27.143,13,0,17.140
KMXX20170612-3,KMXX20170612_101443_V06,0,0.483,1.200,3302,0,38425.164,291,0,36286.345
KMXX20170612-3,KMXX20170612_101443_V06,2,1.450,1.200,3307,0,43.491,24,0,30.183
KMXX20170612-3,KMXX20170612_101443_V06,4,2.417,1.200,1650,0,14.070,3,0,11.240
KMXX20170612-3,KMXX20170612_101443_V06,5,3.384,1.200,1653,0,31.716,2,0,30.214
KMXX20170612-3,KMXX20170612_101443_V06,6,4.307,1.200,1656,0,68.655,37,0,41.401
KMXX20170612-4,KMXX20170612_101002_V06,0,0.483,1.200,1024,0,33927.372,88,0,30641.841
KMXX20170612-4,KMXX20170612_101002_V06,2,1.450,1.200,1020,0,114.521,26,0,37.720
KMXX20170612-4,KMXX20170612_101002_V06,4,2.417,1.200,512,0,1.404,0,0,1.404
KMXX20170612-4,KMXX20170612_101443_V06,0,0.483,1.200,2675,0,30336.627,276,0,24867.106
KMXX20170612-4,KMXX20170612_101443_V06,2,1.450,1.200,2682,0,457.396,78,0,217.327
KMXX20170612-4,KMXX20170612_101443_V06,4,2.417,1.200,1337,0,52.822,0,0,52.822
KMXX20170612-1,KMXX20170612_100040_V06,0,0.483,1.200,669,0,10524.050,74,0,9929.130
KMXX20170612-1,KMXX20170612_100040_V06,2,1.450,1.200,670,0,49.897,13,0,43.370
KMXX20170612-1,KMXX20170612_100040_V06,4,2.417,1.200,335,0,0.261,0,0,0.261
KMXX20170612-1,KMXX20170612_100040_V06,5,3.384,1.200,335,0,0.261,0,0,0.261
KMXX20170612-1,KMXX20170612_100040_V06,6,4.307,1.200,334,0,4.307,0,0,4.307
KMXX20170612-1,KMXX20170612_100040_V06,7,6.021,1.200,338,0,0.266,0,0,0.266
KMXX20170612-6,KMXX20170612_101925_V06,0,0.483,1.200,2490,0,2601.722,70,0,1882.213
KMXX20170612-6,KMXX20170612_101925_V06,2,1.450,1.200,2495,0,21.526,5,0,11.858
KMXX20170612-6,KMXX20170612_101925_V06,4,2.417,1.200,1246,0,880.528,80,0,454.520
KMXX20170612-6,KMXX20170612_101925_V06,5,3.384,1.200,1247,0,2.969,0,0,2.969
KMXX20170612-7,KMXX20170612_103329_V06,0,0.483,1.200,16442,0,17840.142,3633,0,15315.780
KMXX20170612-7,KMXX20170612_103329_V06,2,1.450,1.200,16449,0,706.811,4709,0,436.201
KMXX20170612-7,KMXX20170612_103329_V06,4,2.417,1.200,8230,0,157.719,2122,0,91.422
KMXX20170612-7,KMXX20170612_103329_V06,5,3.384,1.200,8238,0,60.968,1888,0,30.197
KMXX20170612-7,KMXX20170612_103329_V06,6,4.307,1.200,8244,0,18.076,1612,0,8.160
KMXX20170612-7,KMXX20170612_103329_V06,7,6.021,1.200,8264,0,42.113,1365,0,17.321
KMXX20170612-7,KMXX20170612_103329_V06,8,9.888,1.200,8344,0,168.153,1778,0,59.951
KMXX20170613-3,KMXX20170613_101947_V06,0,0.483,1.200,623,0,9359.771,39,0,8329.140
KMXX20170613-3,KMXX20170613_101947_V06,2,1.450,1.200,619,0,1.172,0,0,1.172
KMXX20170613-3,KMXX20170613_101947_V06,4,2.417,1.200,313,0,1.191,0,0,1.191
KMXX20170613-3,KMXX20170613_102425_V06,0,0.483,1.200,1785,0,16531.893,114,0,13013.787
KMXX20170613-3,KMXX20170613_102425_V06,2,1.450,1.200,1783,0,13.794,1,0,7.413
KMXX20170613-3,KMXX20170613_102425_V06,4,2.417,1.200,894,0,191.989,6,0,14.736
KMXX20170613-3,KMXX20170613_102905_V06,0,0.483,1.200,2488,0,19056.768,148,0,13372.572
KMXX20170613-3,KMXX20170613_102905_V06,2,1.450,1.200,2493,0,776.068,34,0,111.104
KMXX20170613-3,KMXX20170613_102905_V06,4,2.417,1.200,1245,0,1464.755,30,0,321.855
KMXX20170613-3,KMXX20170613_103343_V06,0,0.483,1.200,3348,0,18799.732,221,0,9094.716
KMXX20170613-3,KMXX20170613_103343_V06,2,1.450,1.200,3350,0,4559.490,139,0,672.041
KMXX20170613-3,KMXX20170613_103343_V06,4,2.417,1.200,1667,0,11061.165,148,0,1173.689
KMXX20170613-1,KMXX20170613_101508_V06,0,0.483,1.200,1051,0,27860.661,95,0,22420.301
KMXX20170613-1,KMXX20170613_101508_V06,2,1.450,1.200,1057,0,852.514,152,0,316.549
KMXX20170613-1,KMXX20170613_101508_V06,4,2.417,1.200,528,0,1.443,0,0,1.443
KMXX20170613-1,KMXX20170613_101947_V06,0,0.483,1.200,2482,0,27259.671,190,0,23975.101
KMXX20170613-1,KMXX20170613_101947_V06,2,1.450,1.200,2482,0,2386.618,353,0,1023.352
KMXX20170613-1,KMXX20170613_101947_V06,4,2.417,1.200,1244,0,3.398,0,0,3.398
KMXX20170613-1,KMXX20170613_102425_V06,0,0.483,1.200,4402,0,14990.236,217,0,12594.727
KMXX20170613-1,KMXX20170613_102425_V06,2,1.450,1.200,4416,0,6650.307,671,0,3509.649
KMXX20170613-1,KMXX20170613_102425_V06,4,2.417,1.200,2205,0,39.718,2,0,31.286
KMXX20170613-2,KMXX20170613_101508_V06,0,0.483,1.200,2497,0,9252.409,192,0,7302.393
KMXX20170613-2,KMXX20170613_101508_V06,2,1.450,1.200,2500,0,63.490,6,0,42.839
KMXX20170613-2,KMXX20170613_101508_V06,4,2.417,1.200,1249,0,156.588,2,0,147.875
KMXX20170613-2,KMXX20170613_101508_V06,5,3.384,1.200,1251,0,3.012,0,0,3.012
KMXX20170613-2,KMXX20170613_101947_V06,0,0.483,1.200,4965,0,11224.385,235,0,8026.391
KMXX20170613-2,KMXX20170613_101947_V06,2,1.450,1.200,4969,0,736.594,86,0,420.212
KMXX20170613-2,KMXX20170613_101947_V06,4,2.417,1.200,2488,0,273.749,5,0,253.958
KMXX20170613-2,KMXX20170613_101947_V06,5,3.384,1.200,2486,0,6.044,0,0,6.044
KMXX20170613-4,KMXX20170613_101947_V06,0,0.483,1.200,763,0,40576.856,190,0,1280.836
KMXX20170613-4,KMXX20170613_101947_V06,2,1.450,1.200,763,0,61352.028,338,0,8325.442
KMXX20170614-1,KMXX20170614_102543_V06,0,0.483,1.200,766,0,2481.505,26,0,2032.218
KMXX20170614-1,KMXX20170614_102543_V06,2,1.494,1.200,768,0,24.868,2,0,14.891
KMXX20170614-1,KMXX20170614_102543_V06,4,2.505,1.200,385,0,0.943,0,0,0.943
KMXX20170614-2,KMXX20170614_102543_V06,0,0.483,1.200,3253,0,2031.329,253,0,1862.145
KMXX20170614-2,KMXX20170614_102543_V06,2,1.494,1.200,3259,0,22.352,26,0,12.718
KMXX20170614-2,KMXX20170614_102543_V06,4,2.505,1.200,1669,0,77.104,15,0,67.755
KMXX20170614-2,KMXX20170614_102543_V06,5,3.516,1.200,1671,0,95.971,124,0,56.343
KMXX20170614-2,KMXX20170614_102543_V06,6,4.482,1.200,1675,0,5.271,0,0,5.271
KMXX20170614-3,KMXX20170614_104513_V06,0,0.483,1.200,934,0,6520.097,49,0,6503.367
KMXX20170614-3,KMXX20170614_104513_V06,2,1.494,1.200,936,0,3.374,0,0,3.374
KMXX20170614-3,KMXX20170614_104513_V06,4,2.505,1.200,473,0,0.960,0,0,0.960
KMXX20170614-3,KMXX20170614_104513_V06,5,3.516,1.200,472,0,9.638,2,0,8.694
KMXX20170614-3,KMXX20170614_104513_V06,6,4.482,1.200,475,0,36.281,28,0,27.654
KMXX20170615-9,KMXX20170615_102318_V06,0,0.483,1.200,916,0,6804.161,20,0,6345.091
KMXX20170615-9,KMXX20170615_102318_V06,2,1.494,1.200,914,0,1.792,0,0,1.792
KMXX20170615-9,KMXX20170615_102318_V06,4,2.505,1.200,453,0,1.778,0,0,1.778
KMXX20170615-9,KMXX20170615_103303_V06,0,0.483,1.200,3692,0,12618.820,67,0,11847.737
KMXX20170615-9,KMXX20170615_103303_V06,2,1.494,1.200,3699,0,95.053,5,0,76.805
KMXX20170615-9,KMXX20170615_103303_V06,4,2.505,1.200,1852,0,7.463,0,0,7.463
KMXX20170615-9,KMXX20170615_104248_V06,0,0.483,1.200,6609,0,4388.281,73,0,3784.082
KMXX20170615-9,KMXX20170615_104248_V06,2,1.494,1.200,6615,0,981.066,40,0,694.639
KMXX20170615-9,KMXX20170615_104248_V06,4,2.505,1.200,3303,0,13.675,0,0,13.675
KMXX20170615-5,KMXX20170615_100348_V06,0,0.483,1.200,387,0,10277.529,26,0,10092.309
KMXX20170615-5,KMXX20170615_100348_V06,2,1.494,1.200,385,0,5.224,2,0,3.765
KMXX20170615-5,KMXX20170615_100348_V06,4,2.505,1.200,192,0,2.333,2,0,1.867
KMXX20170615-5,KMXX20170615_100348_V06,5,3.516,1.200,192,0,2.537,0,0,2.537
KMXX20170615-5,KMXX20170615_100348_V06,6,4.482,1.200,192,0,1.691,0,0,1.691
KMXX20170615-5,KMXX20170615_101333_V06,0,0.483,1.200,3716,0,13945.071,453,0,12788.772
KMXX20170615-5,KMXX20170615_101333_V06,2,1.494,1.200,3715,0,1248.404,85,0,1100.989
KMXX20170615-5,KMXX20170615_101333_V06,4,2.505,1.200,1859,0,29.333,2,0,28.557
KMXX20170615-5,KMXX20170615_101333_V06,5,3.516,1.200,1861,0,54.456,71,0,43.651
KMXX20170615-5,KMXX20170615_101333_V06,6,4.482,1.200,1863,0,60.216,135,0,37.428
KMXX20170615-1,KMXX20170615_100348_V06,0,0.483,1.200,416,0,6964.202,38,0,6159.472
KMXX20170615-1,KMXX20170615_100348_V06,2,1.494,1.200,417,0,0.537,0,0,0.537
KMXX20170615-1,KMXX20170615_100348_V06,4,2.505,1.200,210,0,0.542,0,0,0.542
KMXX20170615-1,KMXX20170615_101333_V06,0,0.483,1.200,4269,0,13881.323,133,0,12497.814
KMXX20170615-1,KMXX20170615_101333_V06,2,1.494,1.200,4270,0,830.112,40,0,686.073
KMXX20170615-1,KMXX20170615_101333_V06,4,2.505,1.200,2138,0,5.515,0,0,5.515
KMXX20170615-1,KMXX20170615_102318_V06,0,0.483,1.200,7502,0,6807.732,295,0,5302.686
KMXX20170615-1,KMXX20170615_102318_V06,2,1.494,1.200,7514,0,4562.573,122,0,3943.505
KMXX20170615-1,KMXX20170615_102318_V06,4,2.505,1.200,3755,0,17.176,0,0,17.176
KMXX20170615-2,KMXX20170615_100348_V06,0,0.483,1.200,735,0,185870.457,164,0,388.010
KMXX20170615-2,KMXX20170615_100348_V06,2,1.494,1.200,735,0,222405.584,233,0,59.584
KMXX20170615-2,KMXX20170615_100348_V06,4,2.505,1.200,368,0,3010.764,32,0,26.282
KMXX20170615-6,KMXX20170615_100348_V06,0,0.483,1.200,1020,0,20617.996,204,0,9453.447
KMXX20170615-10,KMXX20170615_103303_V06,0,0.483,1.200,6956,0,40800.607,666,0,20278.146
KMXX20170615-10,KMXX20170615_103303_V06,2,1.494,1.200,6962,0,5962.463,223,0,2724.112
KMXX20170615-10,KMXX20170615_103303_V06,4,2.505,1.200,3485,0,188.700,29,0,111.784
KMXX20170622-3,KMXX20170622_102833_V06,0,0.483,1.200,2142,0,42270.705,102,0,28014.907
KMXX20170622-3,KMXX20170622_102833_V06,2,0.879,1.200,2150,0,7421.248,27,0,4420.645
KMXX20170622-3,KMXX20170622_102833_V06,4,1.318,1.200,2149,0,10.007,0,0,10.007
KMXX20170622-3,KMXX20170622_103500_V06,0,0.483,1.200,3977,0,104483.903,175,0,67948.370
KMXX20170622-3,KMXX20170622_103500_V06,2,0.879,1.200,3985,0,36129.967,118,0,21466.174
KMXX20170622-3,KMXX20170622_103500_V06,4,1.318,1.200,3977,0,18.376,0,0,18.376
KMXX20170622-3,KMXX20170622_104126_V06,0,0.483,1.200,5952,0,47029.648,143,0,28086.985
KMXX20170622-3,KMXX20170622_104126_V06,2,0.879,1.200,5948,0,31344.401,148,0,18186.282
KMXX20170622-3,KMXX20170622_104126_V06,6,1.318,1.200,5945,0,279.691,2,0,154.424
KMXX20170622-1,KMXX20170622_102158_V06,0,0.483,1.200,1401,0,24157.849,182,0,20391.684
KMXX20170622-1,KMXX20170622_102158_V06,2,0.879,1.200,1399,0,23651.802,184,0,19846.739
KMXX20170622-1,KMXX20170622_102158_V06,4,1.318,1.200,1400,0,3174.640,124,0,2321.639
KMXX20170622-1,KMXX20170622_102158_V06,8,1.802,1.200,702,0,38.763,3,0,1.694
KMXX20170622-1,KMXX20170622_102158_V06,9,2.417,1.200,700,0,1.696,0,0,1.696
KMXX20170622-1,KMXX20170622_102158_V06,10,3.120,1.200,698,0,1.694,0,0,1.694
KMXX20170622-2,KMXX20170622_102158_V06,0,0.483,1.200,15869,0,2842869.860,5473,0,115718.416
KMXX20170622-2,KMXX20170622_102158_V06,2,0.879,1.200,15890,0,10617622.580,7699,0,113900.618
KMXX20170622-2,KMXX20170622_102158_V06,4,1.318,1.200,15892,0,16256032.840,8836,0,957374.278
KMXX20170623-3,KMXX20170623_101331_V06,0,0.483,1.200,635,0,35164.739,111,0,24435.133
KMXX20170623-3,KMXX20170623_101331_V06,2,0.879,1.200,643,0,18326.935,93,0,13510.412
KMXX20170623-3,KMXX20170623_101331_V06,6,1.318,1.200,636,0,319.093,28,0,193.691
KMXX20170623-3,KMXX20170623_101331_V06,10,1.802,1.200,319,0,0.861,0,0,0.861
KMXX20170623-3,KMXX20170623_101331_V06,11,2.417,1.200,316,0,0.854,0,0,0.854
KMXX20170623-3,KMXX20170623_101331_V06,12,3.120,1.200,319,0,0.865,0,0,0.865
KMXX20170623-3,KMXX20170623_101849_V06,0,0.483,1.200,1947,0,69242.003,214,0,47931.747
KMXX20170623-3,KMXX20170623_101849_V06,2,0.879,1.200,1955,0,31056.926,174,0,25380.692
KMXX20170623-3,KMXX20170623_101849_V06,6,1.318,1.200,1952,0,825.424,47,0,425.912
KMXX20170623-3,KMXX20170623_101849_V06,10,1.802,1.200,971,0,2.644,0,0,2.644
KMXX20170623-3,KMXX20170623_101849_V06,11,2.417,1.200,975,0,2.657,0,0,2.657
KMXX20170623-3,KMXX20170623_101849_V06,12,3.120,1.200,980,0,2.677,0,0,2.677
KMXX20170623-3,KMXX20170623_102408_V06,0,0.483,1.200,2671,0,21129.452,264,0,12652.289
KMXX20170623-3,KMXX20170623_102408_V06,2,0.879,1.200,2667,0,14846.952,223,0,10742.056
KMXX20170623-3,KMXX20170623_102408_V06,6,1.318,1.200,2669,0,2709.581,96,0,1773.873
KMXX20170623-3,KMXX20170623_102408_V06,10,1.802,1.200,1338,0,3.734,0,0,3.734
KMXX20170623-3,KMXX20170623_102408_V06,11,2.417,1.200,1340,0,3.742,0,0,3.742
KMXX20170623-3,KMXX20170623_102408_V06,12,3.120,1.200,1340,0,3.748,0,0,3.748
KMXX20170623-2,KMXX20170623_101331_V06,0,0.483,1.200,1194,0,7917.558,136,0,5229.406
KMXX20170623-2,KMXX20170623_101331_V06,2,0.879,1.200,1190,0,9301.110,130,0,6565.403
KMXX20170623-2,KMXX20170623_101331_V06,6,1.318,1.200,1198,0,724.165,31,0,495.018
KMXX20170623-2,KMXX20170623_101331_V06,10,1.802,1.200,597,0,1.687,0,0,1.687
KMXX20170623-2,KMXX20170623_101331_V06,11,2.417,1.200,598,0,1.691,0,0,1.691
KMXX20170623-2,KMXX20170623_101331_V06,12,3.120,1.200,598,0,1.692,0,0,1.692
KMXX20170623-2,KMXX20170623_101849_V06,0,0.483,1.200,3388,0,10972.830,180,0,5471.072
KMXX20170623-2,KMXX20170623_101849_V06,2,0.879,1.200,3389,0,15411.108,254,0,9780.212
KMXX20170623-2,KMXX20170623_101849_V06,6,1.318,1.200,3394,0,2014.086,107,0,1136.819
KMXX20170623-2,KMXX20170623_101849_V06,10,1.802,1.200,1697,0,4.851,0,0,4.851
KMXX20170623-2,KMXX20170623_101849_V06,11,2.417,1.200,1695,0,4.850,0,0,4.850
KMXX20170623-2,KMXX20170623_101849_V06,12,3.120,1.200,1696,0,4.863,0,0,4.863
KMXX20170623-4,KMXX20170623_101849_V06,0,0.483,1.200,2510,0,17487.741,322,0,15980.824
KMXX20170623-4,KMXX20170623_101849_V06,2,0.879,1.200,2504,0,3082.735,307,0,2648.397
KMXX20170623-4,KMXX20170623_101849_V06,6,1.318,1.200,2504,0,11.974,7,0,8.405
KMXX20170623-4,KMXX20170623_101849_V06,10,1.802,1.200,1242,0,1.369,0,0,1.369
KMXX20170623-4,KMXX20170623_101849_V06,11,2.417,1.200,1236,0,2.697,0,0,2.697
KMXX20170623-4,KMXX20170623_101849_V06,12,3.120,1.200,1238,0,1.369,0,0,1.369
KMXX20170623-4,KMXX20170623_101849_V06,15,3.999,1.200,1237,0,1.370,0,0,1.370
KMXX20170623-4,KMXX20170623_101849_V06,16,5.098,1.200,1240,0,2.603,0,0,2.603
KMXX20170623-4,KMXX20170623_102408_V06,0,0.483,1.200,1933,0,21688.753,256,0,20871.708
KMXX20170623-4,KMXX20170623_102408_V06,2,0.879,1.200,1942,0,3528.593,325,0,2895.288
KMXX20170623-4,KMXX20170623_102408_V06,6,1.318,1.200,1933,0,25.092,6,0,21.680
KMXX20170623-4,KMXX20170623_102408_V06,10,1.802,1.200,966,0,1.022,0,0,1.022
KMXX20170623-4,KMXX20170623_102408_V06,11,2.417,1.200,968,0,1.025,0,0,1.025
KMXX20170623-4,KMXX20170623_102408_V06,12,3.120,1.200,965,0,1.023,0,0,1.023
KMXX20170623-4,KMXX20170623_102408_V06,15,3.999,1.200,961,0,1.022,0,0,1.022
KMXX20170623-4,KMXX20170623_102408_V06,16,5.098,1.200,966,0,1.030,0,0,1.030
KMXX20170624-1,KMXX20170624_094306_V06,0,0.483,1.200,8609,0,913414.954,2802,0,22730.022
KMXX20170624-1,KMXX20170624_094306_V06,2,0.879,1.200,8616,0,1713925.888,3510,0,29842.581
KMXX20170624-1,KMXX20170624_094306_V06,4,1.318,1.200,8624,0,3006105.025,3514,0,481104.287
KMXX20170624-1,KMXX20170624_094742_V06,0,0.483,1.200,11458,0,911200.354,3174,0,21942.268
KMXX20170624-1,KMXX20170624_094742_V06,2,0.879,1.200,11465,0,1648382.618,4029,0,24136.255
KMXX20170624-1,KMXX20170624_094742_V06,4,1.318,1.200,11477,0,2692209.571,3969,0,342097.016
KMXX20170624-1,KMXX20170624_095203_V06,0,0.483,1.200,11609,0,868566.280,3073,0,21268.566
KMXX20170624-1,KMXX20170624_095203_V06,2,0.879,1.200,11612,0,1520770.060,3847,0,21437.717
KMXX20170624-1,KMXX20170624_095203_V06,4,1.318,1.200,11628,0,1976438.628,4008,0,112478.162
KMXX20170624-9,KMXX20170624_113159_V06,0,0.483,1.200,3571,0,66495.285,1117,0,363.257
KMXX20170624-9,KMXX20170624_113159_V06,2,0.879,1.200,3571,0,156893.731,1347,0,246.459
KMXX20170624-9,KMXX20170624_113159_V06,4,1.318,1.200,3573,0,166037.216,1423,0,491.066
KMXX20170624-9,KMXX20170624_113159_V06,6,1.802,1.200,1785,0,180217.579,660,0,349.096
KMXX20170624-9,KMXX20170624_113159_V06,7,2.417,1.200,1787,0,152911.934,731,0,882.200
KMXX20170624-9,KMXX20170624_113159_V06,8,3.120,1.200,1788,0,181058.365,841,0,794.095
KMXX20170624-10,KMXX20170624_113159_V06,0,0.483,1.200,4508,0,61573.056,1399,0,556.557
