track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KNKX20180601-1,KNKX20180601_120036_V06,0,0.483,1.200,80,0,3273.955,2,0,3271.626
KNKX20180601-1,KNKX20180601_120036_V06,2,1.494,1.200,81,0,34.936,6,0,31.240
KNKX20180601-1,KNKX20180601_120036_V06,4,2.505,1.200,36,0,0.042,0,0,0.042
KNKX20180601-1,KNKX20180601_120036_V06,5,3.516,1.200,35,0,0.041,0,0,0.041
KNKX20180601-1,KNKX20180601_120036_V06,6,4.482,1.200,36,0,0.390,0,0,0.390
KNKX20180603-1,KNKX20180603_124705_V06,0,0.483,1.200,1591,15,2928141.433,47,8,2803646.217
KNKX20180603-1,KNKX20180603_124705_V06,2,1.494,1.200,1593,0,8780.677,22,0,5820.480
KNKX20180603-2,KNKX20180603_124705_V06,0,0.483,1.200,164,0,6453.196,16,0,6410.401
KNKX20180603-2,KNKX20180603_124705_V06,2,1.494,1.200,165,0,1108.509,8,0,1103.151
KNKX20180603-2,KNKX20180603_124705_V06,4,2.505,1.200,87,0,1.113,0,0,1.113
KNKX20180603-2,KNKX20180603_124705_V06,5,3.516,1.200,88,0,292.203,7,0,30.388
KNKX20180603-2,KNKX20180603_124705_V06,6,4.482,1.200,87,0,2.758,0,0,2.758
KNKX20180604-1,KNKX20180604_120651_V06,0,0.483,1.200,322,5,348077.534,11,2,342376.713
KNKX20180608-2,KNKX20180608_120133_V06,0,0.483,1.200,320,6,607885.295,12,4,475910.973
KNKX20180609-1,KNKX20180609_114045_V06,0,0.483,1.200,368,8,1028474.355,22,0,951453.225
KNKX20180610-1,KNKX20180610_122807_V06,0,0.483,1.200,1516,0,26995.693,84,0,26379.863
KNKX20180610-1,KNKX20180610_122807_V06,2,1.494,1.200,1514,0,203.809,32,0,129.163
KNKX20180610-1,KNKX20180610_122807_V06,4,2.505,1.200,757,0,152.438,10,0,64.083
KNKX20180610-1,KNKX20180610_122807_V06,5,3.516,1.200,760,0,81.643,3,0,48.429
KNKX20180611-2,KNKX20180611_131521_V06,0,0.483,1.200,2469,0,8410.282,72,0,6036.779
KNKX20180611-2,KNKX20180611_131521_V06,2,1.494,1.200,2468,0,223.848,6,0,168.835
KNKX20180611-2,KNKX20180611_132506_V06,0,0.483,1.200,6284,0,10398.995,104,0,7461.155
KNKX20180611-2,KNKX20180611_132506_V06,2,1.494,1.200,6289,0,474.782,29,0,258.672
KNKX20180611-1,KNKX20180611_114738_V06,0,0.483,1.200,97,0,3591.212,4,0,3496.097
KNKX20180611-1,KNKX20180611_114738_V06,2,1.494,1.200,98,0,450.548,6,0,362.383
KNKX20180611-1,KNKX20180611_114738_V06,4,2.505,1.200,55,0,12.943,0,0,12.943
KNKX20180611-1,KNKX20180611_114738_V06,5,3.516,1.200,56,0,26.118,2,0,6.291
KNKX20180611-1,KNKX20180611_114738_V06,6,4.482,1.200,55,0,0.064,0,0,0.064
KNKX20180616-1,KNKX20180616_124504_V06,0,0.483,1.200,873,0,7514.976,30,0,7433.193
KNKX20180616-1,KNKX20180616_124504_V06,2,1.494,1.200,874,0,141.789,17,0,62.713
KNKX20180616-1,KNKX20180616_124504_V06,4,2.505,1.200,439,0,146.925,7,0,66.382
KNKX20180616-1,KNKX20180616_130433_V06,0,0.483,1.200,3269,0,6417.755,119,0,4967.431
KNKX20180616-1,KNKX20180616_130433_V06,2,1.494,1.200,3270,0,166.256,25,0,115.551
KNKX20180616-1,KNKX20180616_130433_V06,4,2.505,1.200,1640,0,136.875,5,0,91.108
KNKX20180618-1,KNKX20180618_114122_V06,0,0.483,1.200,79,0,3257.010,1,0,3254.917
KNKX20180618-1,KNKX20180618_114122_V06,2,1.494,1.200,78,0,167.981,0,0,167.981
KNKX20180618-1,KNKX20180618_114122_V06,4,2.505,1.200,40,0,0.047,0,0,0.047
KNKX20180618-1,KNKX20180618_114122_V06,5,3.516,1.200,41,0,0.048,0,0,0.048
KNKX20180618-1,KNKX20180618_114122_V06,6,4.482,1.200,39,0,13.602,2,0,0.044
KNKX20180618-1,KNKX20180618_120051_V06,0,0.483,1.200,882,0,5392.456,24,0,5350.178
KNKX20180618-1,KNKX20180618_120051_V06,2,1.494,1.200,882,0,1724.849,23,0,1608.721
KNKX20180618-1,KNKX20180618_120051_V06,4,2.505,1.200,434,0,198.295,8,0,10.824
KNKX20180618-1,KNKX20180618_120051_V06,5,3.516,1.200,439,0,1171.751,4,0,52.211
KNKX20180618-1,KNKX20180618_120051_V06,6,4.482,1.200,439,0,38.040,5,0,23.757
