track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KNQA20130601-3,KNQA20130601_100512_V06,0,0.483,1.200,5773,0,15893.580,1021,0,13568.487
KNQA20130601-3,KNQA20130601_100512_V06,2,0.879,1.200,5770,0,4644.061,1104,0,3823.756
KNQA20130601-3,KNQA20130601_100512_V06,4,1.318,1.200,5778,0,955.404,1399,0,614.109
KNQA20130601-3,KNQA20130601_100512_V06,6,1.802,1.200,2890,0,250.890,484,0,135.892
KNQA20130601-3,KNQA20130601_100512_V06,7,2.417,1.200,2897,0,64.359,259,0,35.788
KNQA20130601-3,KNQA20130601_100512_V06,8,3.120,1.200,2894,0,37.730,105,0,10.185
KNQA20130601-3,KNQA20130601_100512_V06,9,3.999,1.200,2895,0,2.270,6,0,2.185
KNQA20130601-3,KNQA20130601_100512_V06,10,5.098,1.200,2902,0,1.861,6,0,1.359
KNQA20130601-3,KNQA20130601_100512_V06,11,6.416,1.200,2912,0,1.387,3,0,1.343
KNQA20130601-3,KNQA20130601_100512_V06,12,7.998,1.200,2919,0,1.229,3,0,1.079
KNQA20130601-4,KNQA20130601_110112_V06,0,0.483,1.200,1908,0,7251.957,317,0,6645.366
KNQA20130601-4,KNQA20130601_110112_V06,2,0.879,1.200,1909,0,2595.847,336,0,2382.165
KNQA20130601-4,KNQA20130601_110112_V06,4,1.318,1.200,1911,0,391.302,386,0,342.532
KNQA20130601-4,KNQA20130601_110112_V06,6,1.802,1.200,957,0,86.555,142,0,48.103
KNQA20130601-4,KNQA20130601_110112_V06,7,2.417,1.200,960,0,13.130,56,0,8.451
KNQA20130601-4,KNQA20130601_110112_V06,8,3.120,1.200,956,0,2.469,14,0,1.588
KNQA20130601-4,KNQA20130601_110112_V06,9,3.999,1.200,957,0,1.001,3,0,0.620
KNQA20130601-4,KNQA20130601_110112_V06,10,5.098,1.200,958,0,0.906,4,0,0.719
KNQA20130601-4,KNQA20130601_110112_V06,11,6.416,1.200,959,0,0.991,4,0,0.653
KNQA20130601-4,KNQA20130601_110112_V06,12,7.998,1.200,968,0,3.974,22,0,0.448
KNQA20130601-4,KNQA20130601_110112_V06,13,10.020,1.200,971,0,0.560,1,0,0.491
KNQA20130605-1,KNQA20130605_102629_V06,0,0.483,1.200,241,0,868.408,81,0,629.743
KNQA20130605-1,KNQA20130605_102629_V06,2,1.450,1.200,242,0,14.484,11,0,5.850
KNQA20130605-1,KNQA20130605_102629_V06,4,2.417,1.200,121,0,0.158,0,0,0.158
KNQA20130605-1,KNQA20130605_102629_V06,5,3.384,1.200,121,0,0.158,0,0,0.158
KNQA20130605-1,KNQA20130605_102629_V06,6,4.307,1.200,121,0,0.158,0,0,0.158
KNQA20130606-1,KNQA20130606_101638_V06,0,0.483,1.200,5390,0,29875.962,1046,0,25729.343
KNQA20130606-1,KNQA20130606_101638_V06,2,0.879,1.200,5388,0,4538.094,831,0,3894.286
KNQA20130606-1,KNQA20130606_101638_V06,4,1.318,1.200,5388,0,1159.758,1226,0,862.154
KNQA20130606-1,KNQA20130606_101638_V06,6,1.802,1.200,2700,0,433.171,714,0,255.553
KNQA20130606-1,KNQA20130606_101638_V06,7,2.417,1.200,2700,0,192.079,586,0,106.391
KNQA20130606-1,KNQA20130606_101638_V06,8,3.120,1.200,2704,0,80.591,411,0,41.556
KNQA20130606-1,KNQA20130606_101638_V06,9,3.999,1.200,2704,0,27.683,186,0,16.746
KNQA20130606-1,KNQA20130606_101638_V06,10,5.098,1.200,2704,0,10.029,97,0,6.228
KNQA20130606-1,KNQA20130606_101638_V06,11,6.416,1.200,2717,0,2.347,36,0,1.561
KNQA20130606-1,KNQA20130606_101638_V06,12,7.998,1.200,2727,0,1.391,4,0,1.082
KNQA20130606-1,KNQA20130606_101638_V06,13,10.020,1.200,2739,0,1.477,4,0,1.199
KNQA20130606-2,KNQA20130606_120113_V06,0,0.483,1.200,14261,0,15476.410,2628,0,13669.269
KNQA20130606-2,KNQA20130606_120113_V06,2,1.494,1.200,14264,0,2563.849,3802,0,2011.043
KNQA20130606-2,KNQA20130606_120113_V06,4,2.505,1.200,7131,0,1829.854,1408,0,1345.243
KNQA20130606-2,KNQA20130606_120113_V06,5,3.516,1.200,7141,0,677.556,1161,0,435.697
KNQA20130606-2,KNQA20130606_120113_V06,6,4.482,1.200,7149,0,267.846,868,0,175.543
KNQA20130608-1,KNQA20130608_105347_V06,0,0.483,1.200,132,0,829.143,8,0,717.576
KNQA20130608-1,KNQA20130608_105347_V06,2,1.494,1.200,134,0,0.263,0,0,0.263
KNQA20130608-1,KNQA20130608_105347_V06,4,2.505,1.200,70,0,0.275,0,0,0.275
KNQA20130608-2,KNQA20130608_111317_V06,0,0.483,1.200,355,0,9692.719,16,0,9264.855
KNQA20130608-2,KNQA20130608_111317_V06,2,1.494,1.200,353,0,1.228,0,0,1.228
KNQA20130610-1,KNQA20130610_101914_V06,0,0.483,1.200,50534,3,47936.992,5503,1,41905.608
KNQA20130610-1,KNQA20130610_101914_V06,2,1.450,1.200,50552,0,10230.841,7280,0,8593.909
KNQA20130610-1,KNQA20130610_101914_V06,4,2.417,1.200,25287,0,2359.945,4915,0,1773.803
KNQA20130610-1,KNQA20130610_101914_V06,5,3.384,1.200,25313,0,1233.513,6205,0,787.238
KNQA20130610-1,KNQA20130610_101914_V06,6,4.307,1.200,25348,0,836.510,6725,0,521.111
KNQA20130610-1,KNQA20130610_101914_V06,7,6.021,1.200,25446,0,534.881,7235,0,292.994
KNQA20130610-1,KNQA20130610_101914_V06,8,9.888,1.200,25718,0,242.792,7436,0,87.709
KNQA20130610-1,KNQA20130610_101914_V06,9,14.590,1.200,26233,0,80.874,6062,0,24.007
KNQA20130610-1,KNQA20130610_101914_V06,10,19.512,1.200,27008,0,33.137,4626,0,8.821
KNQA20130611-1,KNQA20130611_102123_V06,0,0.483,1.200,42105,0,36187.163,1470,0,33344.722
KNQA20130611-1,KNQA20130611_102123_V06,2,1.494,1.200,42121,0,4421.710,1502,0,3918.125
KNQA20130611-1,KNQA20130611_102123_V06,4,2.505,1.200,21071,0,1501.642,744,0,1361.065
KNQA20130611-1,KNQA20130611_102123_V06,5,3.516,1.200,21093,0,856.338,907,0,791.125
KNQA20130611-1,KNQA20130611_102123_V06,6,4.482,1.200,21122,0,714.119,1891,0,537.147
KNQA20130612-2,KNQA20130612_101814_V06,0,0.483,1.200,26166,1,35538.205,827,1,33802.286
