track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KOAX20180602-4,KOAX20180602_110254_V06,0,0.483,1.200,4827,0,12064.417,999,0,10853.415
KOAX20180602-4,KOAX20180602_110254_V06,2,0.879,1.200,4826,0,3623.663,624,0,3124.389
KOAX20180602-4,KOAX20180602_110254_V06,4,1.318,1.200,4826,0,227.923,233,0,152.525
KOAX20180602-4,KOAX20180602_110254_V06,8,1.802,1.200,2413,0,49.686,5,0,35.571
KOAX20180602-4,KOAX20180602_110254_V06,9,2.417,1.200,2414,0,2.707,0,0,2.707
KOAX20180602-4,KOAX20180602_110254_V06,10,3.120,1.200,2414,0,6.773,1,0,6.498
KOAX20180602-4,KOAX20180602_110254_V06,11,3.999,1.200,2424,0,1.796,0,0,1.796
KOAX20180602-4,KOAX20180602_110254_V06,12,5.098,1.200,2421,0,3.494,0,0,3.494
KOAX20180602-4,KOAX20180602_110254_V06,13,6.416,1.200,2431,0,1.815,0,0,1.815
KOAX20180602-5,KOAX20180602_113215_V06,0,0.483,1.200,178,0,5303.942,17,0,5228.542
KOAX20180602-5,KOAX20180602_113215_V06,2,0.879,1.200,179,0,4399.578,11,0,4363.839
KOAX20180602-5,KOAX20180602_113215_V06,4,1.318,1.200,180,0,905.007,6,0,900.603
KOAX20180602-5,KOAX20180602_113215_V06,8,1.802,1.200,89,0,78.652,2,0,65.143
KOAX20180602-5,KOAX20180602_113215_V06,9,2.417,1.200,90,0,1.108,0,0,1.108
KOAX20180602-5,KOAX20180602_113215_V06,10,3.120,1.200,91,0,0.053,0,0,0.053
KOAX20180602-5,KOAX20180602_113215_V06,11,3.999,1.200,92,0,0.053,0,0,0.053
KOAX20180602-5,KOAX20180602_113215_V06,12,5.098,1.200,89,0,0.052,0,0,0.052
KOAX20180602-5,KOAX20180602_113215_V06,13,6.416,1.200,90,0,0.052,0,0,0.052
KOAX20180603-1,KOAX20180603_100844_V06,0,0.483,1.200,86,1,49100.623,13,0,27834.114
KOAX20180603-1,KOAX20180603_100844_V06,2,1.494,1.200,86,0,0.121,0,0,0.121
KOAX20180603-1,KOAX20180603_100844_V06,4,2.505,1.200,44,0,0.124,0,0,0.124
KOAX20180603-1,KOAX20180603_101829_V06,0,0.483,1.200,1058,22,230560.953,40,7,114014.441
KOAX20180603-1,KOAX20180603_101829_V06,2,1.494,1.200,1054,0,265.719,20,0,140.914
KOAX20180603-1,KOAX20180603_101829_V06,4,2.505,1.200,528,0,75.696,0,0,75.696
KOAX20180603-3,KOAX20180603_101829_V06,0,0.483,1.200,707,0,5205.364,54,0,4941.049
KOAX20180603-3,KOAX20180603_101829_V06,2,1.494,1.200,710,0,6.575,8,0,3.891
KOAX20180603-3,KOAX20180603_101829_V06,4,2.505,1.200,359,0,5.435,6,0,3.600
KOAX20180603-3,KOAX20180603_101829_V06,5,3.516,1.200,357,0,3.250,2,0,2.799
KOAX20180603-3,KOAX20180603_101829_V06,6,4.482,1.200,355,0,0.524,0,0,0.524
KOAX20180603-4,KOAX20180603_120548_V06,0,0.483,1.200,120,1,314168.952,4,1,314120.951
KOAX20180603-4,KOAX20180603_120548_V06,2,1.494,1.200,121,0,586.234,14,0,296.885
KOAX20180604-1,KOAX20180604_113732_V06,0,0.483,1.200,4901,0,720310.961,1363,0,234905.111
KOAX20180604-1,KOAX20180604_113732_V06,2,0.879,1.200,4907,0,1423489.406,1511,0,353191.633
KOAX20180604-1,KOAX20180604_113732_V06,4,1.318,1.200,4901,0,633145.171,1579,0,72665.164
