track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KOTX20200601-1,KOTX20200601_120440_V06,0,0.483,1.200,12346,0,6597.879,1436,0,4774.820
KOTX20200601-1,KOTX20200601_120440_V06,2,0.879,1.200,12351,0,6891.303,1733,0,4530.534
KOTX20200601-1,KOTX20200601_120440_V06,4,1.318,1.200,12351,0,3727.330,1414,0,2186.948
KOTX20200601-1,KOTX20200601_120440_V06,6,1.802,1.200,6177,0,390.978,101,0,230.184
KOTX20200601-1,KOTX20200601_120440_V06,7,2.417,1.200,6178,0,80.133,40,0,22.040
KOTX20200601-1,KOTX20200601_120440_V06,8,3.120,1.200,6193,0,30.742,5,0,28.314
KOTX20200601-1,KOTX20200601_120440_V06,9,3.999,1.200,6195,0,104.024,40,0,39.253
KOTX20200603-1,KOTX20200603_112510_V06,0,0.483,1.200,1759,0,19512.230,35,0,19321.581
KOTX20200603-1,KOTX20200603_112510_V06,2,0.879,1.200,1758,0,17335.354,25,0,17292.908
KOTX20200603-1,KOTX20200603_112510_V06,4,1.318,1.200,1758,0,4071.848,52,0,4034.535
KOTX20200603-1,KOTX20200603_112510_V06,6,1.802,1.200,878,0,197.367,174,0,104.144
KOTX20200603-1,KOTX20200603_112510_V06,7,2.417,1.200,880,0,1.626,9,0,1.136
KOTX20200603-1,KOTX20200603_112510_V06,8,3.120,1.200,880,0,1.053,8,0,0.741
KOTX20200603-1,KOTX20200603_112510_V06,9,3.999,1.200,879,0,0.415,2,0,0.315
KOTX20200603-1,KOTX20200603_112510_V06,10,5.098,1.200,880,0,0.373,0,0,0.373
KOTX20200603-1,KOTX20200603_112510_V06,11,6.416,1.200,886,0,0.365,0,0,0.365
KOTX20200604-3,KOTX20200604_113337_V06,0,0.483,1.200,8419,0,37253.651,1228,0,34068.464
KOTX20200604-3,KOTX20200604_113337_V06,2,0.879,1.200,8420,0,26261.136,928,0,24479.606
KOTX20200604-3,KOTX20200604_113337_V06,4,1.318,1.200,8414,0,2337.990,532,0,1981.565
KOTX20200604-3,KOTX20200604_113337_V06,6,1.802,1.200,4208,0,33.257,8,0,20.594
KOTX20200604-3,KOTX20200604_113337_V06,7,2.417,1.200,4208,0,6.901,0,0,6.901
KOTX20200604-3,KOTX20200604_113337_V06,8,3.120,1.200,4215,0,7.898,0,0,7.898
KOTX20200604-3,KOTX20200604_113337_V06,9,3.999,1.200,4222,0,6.383,0,0,6.383
KOTX20200604-3,KOTX20200604_114044_V06,0,0.483,1.200,13403,0,38699.048,1654,0,34899.771
KOTX20200604-3,KOTX20200604_114044_V06,2,0.879,1.200,13409,0,31174.459,1454,0,28871.468
KOTX20200604-3,KOTX20200604_114044_V06,4,1.318,1.200,13413,0,5105.606,1000,0,4472.811
KOTX20200604-3,KOTX20200604_114044_V06,6,1.802,1.200,6705,0,47.620,24,0,35.393
KOTX20200604-3,KOTX20200604_114044_V06,7,2.417,1.200,6709,0,18.933,1,0,18.646
KOTX20200604-3,KOTX20200604_114044_V06,8,3.120,1.200,6710,0,9.961,0,0,9.961
KOTX20200604-3,KOTX20200604_114044_V06,9,3.999,1.200,6725,0,10.003,0,0,10.003
KOTX20200604-3,KOTX20200604_114750_V06,0,0.483,1.200,12180,0,30058.401,1626,0,26615.313
KOTX20200604-3,KOTX20200604_114750_V06,2,0.879,1.200,12179,0,26811.139,1500,0,24614.285
KOTX20200604-3,KOTX20200604_114750_V06,4,1.318,1.200,12181,0,5923.563,734,0,5397.354
KOTX20200604-3,KOTX20200604_114750_V06,6,1.802,1.200,6090,0,104.430,50,0,69.832
KOTX20200604-3,KOTX20200604_114750_V06,7,2.417,1.200,6088,0,15.969,1,0,15.655
KOTX20200604-3,KOTX20200604_114750_V06,8,3.120,1.200,6100,0,8.781,0,0,8.781
KOTX20200604-3,KOTX20200604_114750_V06,9,3.999,1.200,6110,0,8.818,0,0,8.818
KOTX20200604-3,KOTX20200604_120203_V06,0,0.483,1.200,15534,0,15459.199,1621,0,13754.220
KOTX20200604-3,KOTX20200604_120203_V06,2,0.879,1.200,15532,0,16984.233,1266,0,15927.471
KOTX20200604-3,KOTX20200604_120203_V06,4,1.318,1.200,15536,0,6632.939,774,0,6212.174
KOTX20200604-3,KOTX20200604_120203_V06,6,1.802,1.200,7770,0,361.341,138,0,256.171
KOTX20200604-3,KOTX20200604_120203_V06,7,2.417,1.200,7780,0,17.396,4,0,15.454
KOTX20200604-3,KOTX20200604_120203_V06,8,3.120,1.200,7784,0,10.393,0,0,10.393
KOTX20200604-3,KOTX20200604_120203_V06,9,3.999,1.200,7791,0,10.522,0,0,10.522
KOTX20200604-3,KOTX20200604_120908_V06,0,0.483,1.200,18779,0,11114.205,1907,0,9428.947
KOTX20200604-3,KOTX20200604_120908_V06,2,0.879,1.200,18783,0,12614.731,1419,0,11608.989
KOTX20200604-3,KOTX20200604_120908_V06,4,1.318,1.200,18784,0,4425.878,929,0,4088.524
KOTX20200604-3,KOTX20200604_120908_V06,6,1.802,1.200,9400,0,340.069,111,0,242.111
KOTX20200604-3,KOTX20200604_120908_V06,7,2.417,1.200,9400,0,17.698,6,0,15.222
KOTX20200604-3,KOTX20200604_120908_V06,8,3.120,1.200,9407,0,13.917,1,0,13.822
KOTX20200604-3,KOTX20200604_120908_V06,9,3.999,1.200,9416,0,13.357,0,0,13.357
KOTX20200605-1,KOTX20200605_114706_V06,0,0.483,1.200,20242,0,55066.660,2023,0,53177.635
KOTX20200605-1,KOTX20200605_114706_V06,2,0.879,1.200,20245,0,43987.632,2073,0,42646.167
KOTX20200605-1,KOTX20200605_114706_V06,4,1.318,1.200,20251,0,7988.116,1631,0,7265.042
KOTX20200605-1,KOTX20200605_114706_V06,6,1.802,1.200,10134,0,581.225,342,0,317.896
KOTX20200605-1,KOTX20200605_114706_V06,7,2.417,1.200,10134,0,117.169,139,0,29.859
KOTX20200605-1,KOTX20200605_114706_V06,8,3.120,1.200,10143,0,360.560,149,0,69.024
KOTX20200605-1,KOTX20200605_114706_V06,9,3.999,1.200,10147,0,29189.396,1276,0,965.699
KOTX20200605-1,KOTX20200605_114706_V06,10,5.098,1.200,10166,0,61161.678,3741,0,1006.283
KOTX20200605-1,KOTX20200605_114706_V06,11,6.416,1.200,10195,0,44949.538,4979,0,536.155
KOTX20200607-1,KOTX20200607_110437_V06,0,0.483,1.200,188,0,10842.320,11,0,10293.491
KOTX20200607-1,KOTX20200607_110437_V06,2,0.879,1.200,187,0,539.308,8,0,307.733
KOTX20200607-1,KOTX20200607_110437_V06,4,1.318,1.200,187,0,99.443,5,0,30.877
KOTX20200607-1,KOTX20200607_110437_V06,6,1.802,1.200,95,0,108.623,2,0,86.031
KOTX20200607-1,KOTX20200607_110437_V06,7,2.417,1.200,95,0,39.420,2,0,16.616
KOTX20200607-3,KOTX20200607_122606_V06,0,0.483,1.200,2253,0,82986.490,94,0,74256.328
KOTX20200607-3,KOTX20200607_122606_V06,2,0.879,1.200,2252,0,23594.124,74,0,23489.508
KOTX20200607-3,KOTX20200607_122606_V06,4,1.318,1.200,2255,0,4705.827,87,0,4626.132
KOTX20200607-3,KOTX20200607_122606_V06,6,1.802,1.200,1131,0,25.193,15,0,21.292
KOTX20200607-3,KOTX20200607_122606_V06,7,2.417,1.200,1131,0,14.736,27,0,5.843
KOTX20200607-3,KOTX20200607_122606_V06,8,3.120,1.200,1131,0,12.455,18,0,7.742
KOTX20200607-3,KOTX20200607_122606_V06,9,3.999,1.200,1129,0,6.864,9,0,5.397
KOTX20200607-3,KOTX20200607_122606_V06,10,5.098,1.200,1130,0,68.749,5,0,67.230
KOTX20200607-3,KOTX20200607_122606_V06,11,6.416,1.200,1138,0,93.919,123,0,33.366
KOTX20200609-1,KOTX20200609_114604_V06,0,0.483,1.200,17799,0,324130.481,4383,0,21697.943
KOTX20200609-1,KOTX20200609_114604_V06,2,0.879,1.200,17804,0,473547.367,7239,0,29832.527
KOTX20200609-1,KOTX20200609_114604_V06,4,1.318,1.200,17813,0,259255.870,8148,0,28336.215
KOTX20200609-1,KOTX20200609_120016_V06,0,0.483,1.200,30481,0,294441.586,6259,0,54407.588
KOTX20200609-1,KOTX20200609_120016_V06,2,0.879,1.200,30484,0,441441.206,12515,0,72358.445
KOTX20200609-1,KOTX20200609_120016_V06,4,1.318,1.200,30490,0,488144.551,15189,0,40334.636
KOTX20200609-1,KOTX20200609_120723_V06,0,0.483,1.200,30745,0,275850.485,7257,0,66687.910
KOTX20200609-1,KOTX20200609_120723_V06,2,0.879,1.200,30759,0,481090.641,15082,0,87491.135
KOTX20200609-1,KOTX20200609_120723_V06,4,1.318,1.200,30767,0,616895.588,16624,0,41998.950
KOTX20200609-1,KOTX20200609_121429_V06,0,0.483,1.200,16896,0,213344.495,6073,0,51691.125
KOTX20200609-1,KOTX20200609_121429_V06,2,0.879,1.200,16899,0,417381.880,10395,0,68946.527
KOTX20200609-1,KOTX20200609_121429_V06,4,1.318,1.200,16903,0,291397.737,7806,0,29471.742
KOTX20200610-2,KOTX20200610_110118_V06,0,0.483,1.200,674,0,19420.803,54,0,13403.471
KOTX20200610-2,KOTX20200610_110118_V06,2,0.879,1.200,677,0,12602.111,90,0,6536.969
KOTX20200610-2,KOTX20200610_110118_V06,4,1.318,1.200,675,0,129.812,66,0,82.385
KOTX20200610-2,KOTX20200610_110118_V06,6,1.802,1.200,339,0,4.425,5,0,0.658
KOTX20200610-2,KOTX20200610_110118_V06,7,2.417,1.200,337,0,6.551,7,0,1.928
KOTX20200610-2,KOTX20200610_110118_V06,8,3.120,1.200,336,0,12.032,9,0,5.317
KOTX20200610-2,KOTX20200610_110118_V06,9,3.999,1.200,336,0,2.133,0,0,2.133
KOTX20200610-2,KOTX20200610_110118_V06,10,5.098,1.200,341,0,10.493,3,0,8.896
KOTX20200611-2,KOTX20200611_122311_V06,0,0.483,1.200,5651,0,263656.955,996,0,6898.671
KOTX20200611-2,KOTX20200611_122311_V06,2,0.879,1.200,5656,0,509191.478,1873,0,9295.580
KOTX20200612-2,KOTX20200612_105403_V06,0,0.483,1.200,322,0,12615.728,103,0,575.188
KOTX20200612-2,KOTX20200612_105403_V06,2,0.879,1.200,320,0,13921.743,90,0,244.609
KOTX20200612-2,KOTX20200612_105403_V06,4,1.318,1.200,320,0,2319.077,30,0,23.254
KOTX20200613-6,KOTX20200613_111824_V06,0,0.483,1.200,2424,0,10862.099,212,0,206.052
KOTX20200613-6,KOTX20200613_111824_V06,2,0.879,1.200,2426,0,13745.551,288,0,611.804
KOTX20200613-6,KOTX20200613_111824_V06,4,1.318,1.200,2424,0,28125.364,591,0,2348.898
KOTX20200613-6,KOTX20200613_111824_V06,6,1.802,1.200,1217,0,87582.423,447,0,1909.929
KOTX20200613-13,KOTX20200613_115136_V06,0,0.483,1.200,2615,0,1402814.914,780,0,130874.005
KOTX20200613-13,KOTX20200613_115136_V06,2,0.879,1.200,2612,0,1761343.549,1066,0,63634.721
KOTX20200613-13,KOTX20200613_115136_V06,4,1.318,1.200,2613,0,1679683.733,1189,0,1914.175
KOTX20200614-1,KOTX20200614_105428_V06,0,0.483,1.200,49,0,2539.377,5,0,2199.388
KOTX20200614-1,KOTX20200614_105428_V06,2,0.879,1.200,50,0,254.563,6,0,127.383
KOTX20200614-1,KOTX20200614_105428_V06,4,1.318,1.200,50,0,14.040,2,0,12.507
KOTX20200614-1,KOTX20200614_105428_V06,6,1.802,1.200,24,0,0.049,0,0,0.049
KOTX20200614-1,KOTX20200614_105428_V06,7,2.417,1.200,24,0,0.049,0,0,0.049
KOTX20200614-1,KOTX20200614_105428_V06,8,3.120,1.200,23,0,0.047,0,0,0.047
KOTX20200615-1,KOTX20200615_111115_V06,0,0.483,1.200,260,0,14754.200,25,0,8174.954
KOTX20200615-1,KOTX20200615_111115_V06,2,0.879,1.200,259,0,743.976,7,0,660.669
KOTX20200615-1,KOTX20200615_111115_V06,4,1.318,1.200,260,0,422.075,12,0,110.833
KOTX20200615-1,KOTX20200615_111115_V06,6,1.802,1.200,132,0,30.846,1,0,23.111
KOTX20200615-1,KOTX20200615_111115_V06,7,2.417,1.200,132,0,0.432,0,0,0.432
KOTX20200616-12,KOTX20200616_121348_V06,0,0.483,1.200,13431,0,102617.454,1737,0,20773.902
KOTX20200616-12,KOTX20200616_121348_V06,2,0.879,1.200,13436,0,187294.875,3493,0,33915.550
KOTX20200616-12,KOTX20200616_121348_V06,4,1.318,1.200,13432,0,98494.207,2782,0,24772.862
KOTX20200617-1,KOTX20200617_105204_V06,0,0.483,1.200,81,0,10911.079,0,0,10911.079
KOTX20200617-1,KOTX20200617_105204_V06,2,0.879,1.200,81,0,1167.556,13,0,883.234
KOTX20200617-1,KOTX20200617_105204_V06,4,1.318,1.200,82,0,3.116,0,0,3.116
KOTX20200617-1,KOTX20200617_105204_V06,6,1.802,1.200,41,0,0.131,0,0,0.131
KOTX20200617-1,KOTX20200617_105204_V06,7,2.417,1.200,43,0,4.434,0,0,4.434
KOTX20200618-1,KOTX20200618_110528_V06,0,0.483,1.200,199,0,22791.774,21,0,19388.891
KOTX20200618-1,KOTX20200618_110528_V06,2,0.879,1.200,199,0,3783.743,24,0,3467.073
KOTX20200618-1,KOTX20200618_110528_V06,4,1.318,1.200,202,0,472.564,7,0,439.960
