track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KPBZ20160601-3,KPBZ20160601_101529_V06,0,0.483,1.200,29,0,952.065,0,0,952.065
KPBZ20160601-3,KPBZ20160601_101529_V06,2,1.494,1.200,28,0,0.055,0,0,0.055
KPBZ20160601-3,KPBZ20160601_101529_V06,4,2.505,1.200,10,0,0.040,0,0,0.040
KPBZ20160601-3,KPBZ20160601_102513_V06,0,0.483,1.200,633,0,1529.554,8,0,1500.569
KPBZ20160601-3,KPBZ20160601_102513_V06,2,1.494,1.200,633,0,6.619,2,0,1.243
KPBZ20160601-3,KPBZ20160601_102513_V06,4,2.505,1.200,317,0,1.248,0,0,1.248
KPBZ20160601-1,KPBZ20160601_093633_V06,0,0.483,1.200,259,6,398139.729,21,3,303719.578
KPBZ20160601-1,KPBZ20160601_093633_V06,2,1.494,1.200,258,0,188.755,10,0,163.737
KPBZ20160601-1,KPBZ20160601_093633_V06,4,2.505,1.200,131,0,25.199,0,0,25.199
KPBZ20160601-2,KPBZ20160601_100545_V06,0,0.483,1.200,4713,0,2937.573,72,0,2061.976
KPBZ20160601-2,KPBZ20160601_100545_V06,2,1.494,1.200,4720,0,17.361,0,0,17.361
KPBZ20160605-4,KPBZ20160605_091717_V06,0,0.483,1.200,15900,0,646109.336,2168,0,31741.874
KPBZ20160605-4,KPBZ20160605_091717_V06,2,0.879,1.200,15903,0,791873.052,3048,0,69074.819
KPBZ20160605-4,KPBZ20160605_091717_V06,4,1.318,1.200,15897,0,266881.748,3053,0,29185.972
KPBZ20160605-4,KPBZ20160605_092040_V06,0,0.483,1.200,18042,0,803717.648,2762,0,48625.464
KPBZ20160605-4,KPBZ20160605_092040_V06,2,0.879,1.200,18053,0,918838.669,3714,0,72916.975
KPBZ20160605-4,KPBZ20160605_092040_V06,4,1.318,1.200,18067,0,230670.553,3414,0,30180.603
KPBZ20160605-4,KPBZ20160605_092402_V06,0,0.483,1.200,17645,0,888861.496,3232,0,51306.435
KPBZ20160605-4,KPBZ20160605_092402_V06,2,0.879,1.200,17653,0,964000.397,4211,0,72766.747
KPBZ20160605-4,KPBZ20160605_092402_V06,4,1.318,1.200,17666,0,339003.491,4010,0,42376.057
KPBZ20160605-4,KPBZ20160605_092725_V06,0,0.483,1.200,16667,0,809689.281,3700,0,48050.260
KPBZ20160605-4,KPBZ20160605_092725_V06,2,0.879,1.200,16686,0,896062.553,4812,0,81892.050
KPBZ20160605-4,KPBZ20160605_092725_V06,4,1.318,1.200,16691,0,315453.914,4530,0,46111.320
KPBZ20160605-4,KPBZ20160605_093049_V06,0,0.483,1.200,19076,0,781927.590,4100,0,56610.379
KPBZ20160605-4,KPBZ20160605_093049_V06,2,0.879,1.200,19083,0,835504.124,5243,0,80389.674
KPBZ20160605-4,KPBZ20160605_093049_V06,4,1.318,1.200,19081,0,294922.629,4888,0,37803.406
KPBZ20160605-14,KPBZ20160605_101128_V06,0,0.483,1.200,824,0,6990.350,64,0,6783.483
KPBZ20160605-14,KPBZ20160605_101128_V06,2,0.879,1.200,823,0,2300.091,76,0,2210.578
KPBZ20160605-14,KPBZ20160605_101128_V06,4,1.318,1.200,823,0,129.777,58,0,89.296
KPBZ20160605-14,KPBZ20160605_101128_V06,6,1.802,1.200,416,0,12.313,1,0,11.062
KPBZ20160605-14,KPBZ20160605_101128_V06,7,2.417,1.200,416,0,51.417,13,0,26.755
KPBZ20160605-14,KPBZ20160605_101128_V06,8,3.120,1.200,413,0,175.652,72,0,30.331
KPBZ20160605-14,KPBZ20160605_101128_V06,9,3.999,1.200,411,0,1409.570,294,0,75.882
KPBZ20160605-14,KPBZ20160605_101451_V06,0,0.483,1.200,1962,0,8482.498,157,0,8267.200
KPBZ20160605-14,KPBZ20160605_101451_V06,2,0.879,1.200,1960,0,2360.769,167,0,2202.073
KPBZ20160605-14,KPBZ20160605_101451_V06,4,1.318,1.200,1966,0,156.813,101,0,106.044
KPBZ20160605-14,KPBZ20160605_101451_V06,6,1.802,1.200,998,0,7.696,0,0,7.696
KPBZ20160605-14,KPBZ20160605_101451_V06,7,2.417,1.200,1001,0,35.015,6,0,20.720
KPBZ20160605-14,KPBZ20160605_101451_V06,8,3.120,1.200,999,0,234.222,92,0,66.152
KPBZ20160605-14,KPBZ20160605_101451_V06,9,3.999,1.200,1003,0,4520.110,670,0,170.554
KPBZ20160605-18,KPBZ20160605_103149_V06,0,0.483,1.200,2281,0,528041.573,1292,0,30472.317
