track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KPDT20230602-1,KPDT20230602_111135_V06,0,0.483,1.200,74,6,39936.578,24,2,1461.351
KPDT20230602-1,KPDT20230602_111135_V06,2,0.879,1.200,74,3,38491.381,21,0,14378.028
KPDT20230602-1,KPDT20230602_111135_V06,4,1.318,1.200,75,0,218.864,10,0,87.355
KPDT20230602-1,KPDT20230602_111135_V06,6,1.802,1.200,35,0,3.024,2,0,0.048
KPDT20230602-1,KPDT20230602_111135_V06,7,2.417,1.200,35,0,0.051,0,0,0.051
KPDT20230602-1,KPDT20230602_111135_V06,8,3.120,1.200,36,0,8.019,3,0,0.048
KPDT20230602-1,KPDT20230602_111135_V06,9,3.999,1.200,38,0,0.056,0,0,0.056
KPDT20230604-1,KPDT20230604_111318_V06,0,0.483,1.200,195,7,53884.868,0,7,53884.868
KPDT20230604-1,KPDT20230604_111318_V06,2,0.879,1.200,196,4,11954.713,7,1,11117.637
KPDT20230604-1,KPDT20230604_111318_V06,4,1.318,1.200,197,0,275.370,3,0,265.321
KPDT20230604-1,KPDT20230604_111318_V06,6,1.802,1.200,100,0,35.573,7,0,24.599
KPDT20230604-1,KPDT20230604_111318_V06,7,2.417,1.200,100,0,1.901,5,0,1.283
KPDT20230604-1,KPDT20230604_111318_V06,8,3.120,1.200,98,0,9.649,9,0,5.052
KPDT20230604-1,KPDT20230604_111318_V06,9,3.999,1.200,99,0,0.927,6,0,0.157
KPDT20230604-1,KPDT20230604_111318_V06,10,5.098,1.200,99,0,1.439,1,0,1.319
KPDT20230604-1,KPDT20230604_111318_V06,11,6.416,1.200,100,0,1.207,0,0,1.207
KPDT20230604-1,KPDT20230604_112023_V06,0,0.483,1.200,2547,16,47888.132,98,9,44037.970
KPDT20230604-1,KPDT20230604_112023_V06,2,0.879,1.200,2545,4,24417.384,94,4,24216.302
KPDT20230604-1,KPDT20230604_112023_V06,4,1.318,1.200,2544,0,1273.018,330,0,1084.524
KPDT20230604-1,KPDT20230604_112023_V06,6,1.802,1.200,1268,0,231.336,57,0,199.722
KPDT20230604-1,KPDT20230604_112023_V06,7,2.417,1.200,1268,0,52.564,30,0,38.186
KPDT20230604-1,KPDT20230604_112023_V06,8,3.120,1.200,1269,0,20.982,19,0,16.745
KPDT20230604-1,KPDT20230604_112023_V06,9,3.999,1.200,1271,0,5.326,12,0,3.787
KPDT20230604-1,KPDT20230604_112023_V06,10,5.098,1.200,1275,0,12.101,11,0,10.363
KPDT20230604-1,KPDT20230604_112023_V06,11,6.416,1.200,1281,0,11.674,17,0,10.172
KPDT20230605-1,KPDT20230605_120055_V06,0,0.483,1.200,11134,0,2865.129,905,0,2264.492
KPDT20230605-1,KPDT20230605_120055_V06,2,0.879,1.200,11131,0,6193.947,1759,0,4965.444
KPDT20230605-1,KPDT20230605_120055_V06,4,1.318,1.200,11142,0,5256.990,2414,0,3873.366
KPDT20230605-1,KPDT20230605_120055_V06,6,1.802,1.200,5574,0,933.750,210,0,559.178
KPDT20230605-1,KPDT20230605_120055_V06,7,2.417,1.200,5574,0,642.427,218,0,260.098
KPDT20230605-1,KPDT20230605_120055_V06,8,3.120,1.200,5574,0,217.789,175,0,114.110
KPDT20230605-1,KPDT20230605_120055_V06,9,3.999,1.200,5590,0,64.776,107,0,34.402
KPDT20230605-1,KPDT20230605_120055_V06,10,5.098,1.200,5596,0,26.203,34,0,19.275
KPDT20230606-1,KPDT20230606_111000_V06,0,0.483,1.200,494,10,38626.078,5,10,38412.321
KPDT20230606-1,KPDT20230606_111000_V06,2,0.879,1.200,494,6,26063.510,14,4,19419.053
KPDT20230606-1,KPDT20230606_111000_V06,4,1.318,1.200,494,0,208.141,51,0,191.225
KPDT20230606-1,KPDT20230606_111000_V06,6,1.802,1.200,250,0,99.834,30,0,84.014
KPDT20230606-1,KPDT20230606_111000_V06,7,2.417,1.200,249,0,23.879,12,0,20.992
KPDT20230606-1,KPDT20230606_111000_V06,8,3.120,1.200,248,0,4.575,11,0,3.129
KPDT20230606-1,KPDT20230606_111000_V06,9,3.999,1.200,248,0,6.680,7,0,5.733
KPDT20230606-1,KPDT20230606_111000_V06,10,5.098,1.200,249,0,1.878,2,0,1.516
KPDT20230606-1,KPDT20230606_111000_V06,11,6.416,1.200,250,0,1.034,0,0,1.034
KPDT20230606-3,KPDT20230606_115230_V06,0,0.483,1.200,1138,0,954.817,148,0,853.407
KPDT20230606-3,KPDT20230606_115230_V06,2,0.879,1.200,1140,0,688.498,191,0,626.866
KPDT20230606-3,KPDT20230606_115230_V06,4,1.318,1.200,1142,0,225.853,287,0,173.044
KPDT20230606-3,KPDT20230606_115230_V06,6,1.802,1.200,570,0,15.859,11,0,9.188
KPDT20230606-3,KPDT20230606_115230_V06,7,2.417,1.200,572,0,1.259,0,0,1.259
KPDT20230606-3,KPDT20230606_115230_V06,8,3.120,1.200,572,0,3.593,2,0,2.043
KPDT20230606-3,KPDT20230606_115230_V06,9,3.999,1.200,574,0,0.912,0,0,0.912
KPDT20230606-3,KPDT20230606_115230_V06,10,5.098,1.200,570,0,0.392,0,0,0.392
KPDT20230606-3,KPDT20230606_115230_V06,11,6.416,1.200,574,0,0.396,0,0,0.396
KPDT20230606-4,KPDT20230606_120634_V06,0,0.483,1.200,663,0,7114.139,196,0,4425.118
KPDT20230606-4,KPDT20230606_120634_V06,2,0.879,1.200,660,0,70.580,5,0,25.040
KPDT20230606-4,KPDT20230606_120634_V06,4,1.318,1.200,660,0,34.088,2,0,13.839
KPDT20230606-4,KPDT20230606_120634_V06,6,1.802,1.200,327,0,2.011,0,0,2.011
KPDT20230606-5,KPDT20230606_121338_V06,0,0.483,1.200,1309,11,36646.815,130,11,36590.656
