track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KPUX20180601-1,KPUX20180601_103636_V06,0,0.483,1.200,606,4,528108.781,27,4,479271.545
KPUX20180601-1,KPUX20180601_103636_V06,2,0.879,1.200,605,5,318886.642,40,4,312937.826
KPUX20180601-1,KPUX20180601_103636_V06,4,1.318,1.200,604,0,11299.821,52,0,10012.998
KPUX20180601-1,KPUX20180601_103636_V06,6,1.802,1.200,306,0,202.876,1,0,185.079
KPUX20180601-1,KPUX20180601_104017_V06,0,0.483,1.200,1294,16,1124729.124,83,16,1043838.531
KPUX20180601-1,KPUX20180601_104017_V06,2,0.879,1.200,1302,6,605950.241,86,6,534769.486
KPUX20180601-1,KPUX20180601_104017_V06,4,1.318,1.200,1298,0,63484.514,115,0,58538.593
KPUX20180601-1,KPUX20180601_104017_V06,6,1.802,1.200,650,0,181.572,0,0,181.572
KPUX20180601-3,KPUX20180601_104017_V06,0,0.483,1.200,597,11,228929.177,30,11,226292.727
KPUX20180601-3,KPUX20180601_104017_V06,2,0.879,1.200,597,13,165753.771,35,13,163786.848
KPUX20180601-3,KPUX20180601_104017_V06,4,1.318,1.200,594,1,16344.860,18,1,16337.110
KPUX20180601-3,KPUX20180601_104017_V06,6,1.802,1.200,298,0,51.202,3,0,41.636
KPUX20180601-3,KPUX20180601_104017_V06,7,2.417,1.200,299,0,38.680,7,0,22.431
KPUX20180601-3,KPUX20180601_104017_V06,8,3.120,1.200,300,0,10.024,2,0,8.400
KPUX20180601-3,KPUX20180601_104017_V06,9,3.999,1.200,299,0,0.373,0,0,0.373
KPUX20180602-1,KPUX20180602_114541_V06,0,0.483,1.200,42369,0,2138.763,10844,0,1382.286
KPUX20180602-1,KPUX20180602_114541_V06,2,0.879,1.200,42379,0,399.225,13116,0,262.638
KPUX20180602-1,KPUX20180602_114541_V06,4,1.318,1.200,42386,0,270.675,14762,0,171.485
KPUX20180602-1,KPUX20180602_114541_V06,6,1.802,1.200,21212,0,205.390,7835,0,93.174
KPUX20180602-1,KPUX20180602_114541_V06,7,2.417,1.200,21221,0,128.728,6421,0,55.013
KPUX20180602-1,KPUX20180602_114541_V06,8,3.120,1.200,21237,0,71.416,6276,0,24.530
KPUX20180602-1,KPUX20180602_114541_V06,9,3.999,1.200,21254,0,26.087,4974,0,9.176
KPUX20180602-1,KPUX20180602_114541_V06,10,5.098,1.200,21286,0,11.367,4116,0,4.527
KPUX20180602-1,KPUX20180602_114541_V06,11,6.416,1.200,21341,0,7.600,3590,0,3.158
KPUX20180603-1,KPUX20180603_124433_V06,0,0.483,1.200,8821,0,684459.931,3202,0,40868.463
KPUX20180603-1,KPUX20180603_124433_V06,2,0.879,1.200,8829,0,2404634.083,5270,0,28909.110
KPUX20180606-1,KPUX20180606_111546_V06,0,0.483,1.200,767,0,12111.981,4,0,12037.544
KPUX20180606-1,KPUX20180606_111546_V06,2,0.879,1.200,770,0,3.613,0,0,3.613
KPUX20180606-1,KPUX20180606_111546_V06,4,1.318,1.200,763,0,3.581,0,0,3.581
KPUX20180606-2,KPUX20180606_112834_V06,0,0.483,1.200,5397,0,23845.563,939,0,20532.614
KPUX20180606-2,KPUX20180606_112834_V06,2,0.879,1.200,5393,0,18327.873,665,0,16121.110
KPUX20180606-2,KPUX20180606_112834_V06,4,1.318,1.200,5398,0,5937.534,670,0,5090.457
KPUX20180606-2,KPUX20180606_112834_V06,8,1.802,1.200,2698,0,1060.258,290,0,775.083
KPUX20180606-2,KPUX20180606_112834_V06,9,2.417,1.200,2697,0,581.597,259,0,411.926
KPUX20180606-2,KPUX20180606_112834_V06,10,3.120,1.200,2700,0,390.006,204,0,260.579
KPUX20180606-2,KPUX20180606_112834_V06,11,3.999,1.200,2701,0,104.246,117,0,53.099
KPUX20180606-2,KPUX20180606_112834_V06,12,5.098,1.200,2710,0,6.571,7,0,5.428
KPUX20180606-2,KPUX20180606_112834_V06,13,6.416,1.200,2717,0,5.055,4,0,4.319
KPUX20180608-1,KPUX20180608_103312_V06,0,0.483,1.200,32,0,4535.779,5,0,1596.374
KPUX20180608-1,KPUX20180608_103312_V06,2,0.879,1.200,32,0,8.280,0,0,8.280
KPUX20180608-1,KPUX20180608_103312_V06,6,1.318,1.200,32,0,0.072,0,0,0.072
KPUX20180608-1,KPUX20180608_103312_V06,8,1.802,1.200,16,0,0.072,0,0,0.072
KPUX20180610-1,KPUX20180610_104946_V06,0,0.483,1.200,178,0,17098.385,5,0,15497.469
KPUX20180610-1,KPUX20180610_104946_V06,2,0.879,1.200,177,0,1654.152,6,0,596.015
KPUX20180610-1,KPUX20180610_104946_V06,6,1.318,1.200,174,0,0.458,0,0,0.458
KPUX20180610-1,KPUX20180610_104946_V06,8,1.802,1.200,88,0,0.463,0,0,0.463
KPUX20180611-1,KPUX20180611_111956_V06,0,0.483,1.200,8115,0,4601.463,404,0,4001.280
KPUX20180611-1,KPUX20180611_111956_V06,2,0.879,1.200,8120,0,158.772,32,0,110.003
KPUX20180611-1,KPUX20180611_111956_V06,6,1.318,1.200,8118,0,99.161,15,0,65.124
KPUX20180611-1,KPUX20180611_111956_V06,8,1.802,1.200,4062,0,14.727,0,0,14.727
KPUX20180611-1,KPUX20180611_111956_V06,9,2.417,1.200,4062,0,18.384,0,0,18.384
KPUX20180611-1,KPUX20180611_111956_V06,10,3.120,1.200,4059,0,12.097,0,0,12.097
KPUX20180611-2,KPUX20180611_114623_V06,0,0.483,1.200,2685,1,37362.619,143,0,33986.852
KPUX20180611-2,KPUX20180611_114623_V06,2,0.879,1.200,2682,0,3152.196,85,0,3045.084
KPUX20180611-2,KPUX20180611_114623_V06,6,1.318,1.200,2687,0,445.509,71,0,367.536
