track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRAX20210601-1,KRAX20210601_100544_V06,0,0.176,1.200,142,0,2582.148,10,0,2549.207
KRAX20210601-1,KRAX20210601_100544_V06,2,0.483,1.200,141,0,714.581,5,0,700.545
KRAX20210601-1,KRAX20210601_100544_V06,4,0.879,1.200,142,0,2.397,0,0,2.397
KRAX20210601-1,KRAX20210601_100544_V06,6,1.318,1.200,143,0,8.828,3,0,0.252
KRAX20210601-1,KRAX20210601_100544_V06,8,1.802,1.200,71,0,0.256,0,0,0.256
KRAX20210601-1,KRAX20210601_100544_V06,9,2.417,1.200,70,0,0.253,0,0,0.253
KRAX20210601-1,KRAX20210601_101429_V06,0,0.176,1.200,1093,0,5048.271,29,0,4761.022
KRAX20210601-1,KRAX20210601_101429_V06,2,0.483,1.200,1093,0,1148.354,23,0,1106.212
KRAX20210601-1,KRAX20210601_101429_V06,4,0.879,1.200,1092,0,7.983,0,0,7.983
KRAX20210601-1,KRAX20210601_101429_V06,6,1.318,1.200,1094,0,7.927,2,0,1.957
KRAX20210601-1,KRAX20210601_101429_V06,8,1.802,1.200,547,0,1.960,0,0,1.960
KRAX20210601-1,KRAX20210601_101429_V06,9,2.417,1.200,549,0,1.969,0,0,1.969
KRAX20210602-6,KRAX20210602_101719_V06,0,0.176,1.200,29,0,1882.435,5,0,1650.329
KRAX20210602-6,KRAX20210602_101719_V06,2,0.483,1.200,28,0,540.654,4,0,490.613
KRAX20210602-6,KRAX20210602_101719_V06,4,0.879,1.200,28,0,8.748,4,0,0.042
KRAX20210602-6,KRAX20210602_101719_V06,6,1.318,1.200,29,0,0.051,0,0,0.051
KRAX20210602-6,KRAX20210602_101719_V06,8,1.802,1.200,16,0,0.056,0,0,0.056
KRAX20210602-6,KRAX20210602_101719_V06,9,2.417,1.200,15,0,0.053,0,0,0.053
KRAX20210602-6,KRAX20210602_102130_V06,0,0.176,1.200,370,0,2140.449,18,0,2063.888
KRAX20210602-6,KRAX20210602_102130_V06,2,0.483,1.200,375,0,1305.950,18,0,1144.962
KRAX20210602-6,KRAX20210602_102130_V06,4,0.879,1.200,374,0,9.757,3,0,0.653
KRAX20210602-6,KRAX20210602_102130_V06,6,1.318,1.200,374,0,0.658,0,0,0.658
KRAX20210602-6,KRAX20210602_102130_V06,8,1.802,1.200,186,0,0.655,0,0,0.655
KRAX20210602-6,KRAX20210602_102130_V06,9,2.417,1.200,184,0,0.649,0,0,0.649
KRAX20210602-6,KRAX20210602_102542_V06,0,0.176,1.200,32,0,968.596,3,0,950.039
KRAX20210602-6,KRAX20210602_102542_V06,2,0.483,1.200,31,0,474.335,1,0,464.543
KRAX20210602-6,KRAX20210602_102542_V06,4,0.879,1.200,31,0,17.355,3,0,10.097
KRAX20210602-6,KRAX20210602_102542_V06,6,1.318,1.200,32,0,0.056,0,0,0.056
KRAX20210602-6,KRAX20210602_102542_V06,8,1.802,1.200,13,0,0.045,0,0,0.045
KRAX20210602-6,KRAX20210602_102542_V06,9,2.417,1.200,13,0,0.046,0,0,0.046
KRAX20210602-6,KRAX20210602_102954_V06,0,0.176,1.200,548,0,1892.392,42,0,1566.515
KRAX20210602-6,KRAX20210602_102954_V06,2,0.483,1.200,550,0,1059.081,22,0,864.981
KRAX20210602-6,KRAX20210602_102954_V06,4,0.879,1.200,550,0,68.315,10,0,30.389
KRAX20210602-6,KRAX20210602_102954_V06,6,1.318,1.200,549,0,0.959,0,0,0.959
KRAX20210602-6,KRAX20210602_102954_V06,8,1.802,1.200,276,0,0.965,0,0,0.965
KRAX20210602-6,KRAX20210602_102954_V06,9,2.417,1.200,276,0,0.966,0,0,0.966
KRAX20210602-6,KRAX20210602_103406_V06,0,0.176,1.200,226,0,1964.098,30,0,1662.127
KRAX20210602-6,KRAX20210602_103406_V06,2,0.483,1.200,228,0,1239.080,28,0,997.886
KRAX20210602-6,KRAX20210602_103406_V06,4,0.879,1.200,227,0,55.717,13,0,23.427
KRAX20210602-6,KRAX20210602_103406_V06,6,1.318,1.200,228,0,0.412,0,0,0.412
KRAX20210602-6,KRAX20210602_103406_V06,8,1.802,1.200,113,0,0.408,0,0,0.408
KRAX20210602-6,KRAX20210602_103406_V06,9,2.417,1.200,113,0,0.409,0,0,0.409
KRAX20210602-4,KRAX20210602_100853_V06,0,0.176,1.200,158,0,1267.542,21,0,1053.159
KRAX20210602-4,KRAX20210602_100853_V06,2,0.483,1.200,159,0,577.970,22,0,415.055
KRAX20210602-4,KRAX20210602_100853_V06,4,0.879,1.200,158,0,34.030,4,0,14.068
KRAX20210602-4,KRAX20210602_100853_V06,6,1.318,1.200,158,0,18.907,4,0,3.719
KRAX20210602-4,KRAX20210602_100853_V06,8,1.802,1.200,78,0,0.301,0,0,0.301
KRAX20210602-4,KRAX20210602_100853_V06,9,2.417,1.200,77,0,0.298,0,0,0.298
KRAX20210602-4,KRAX20210602_101306_V06,0,0.176,1.200,906,0,6682.654,43,0,6132.767
