track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRGX20170602-1,KRGX20170602_130624_V06,0,0.483,1.200,471,0,33.133,119,0,24.236
KRGX20170602-1,KRGX20170602_130624_V06,2,1.494,1.200,469,0,13.829,14,0,8.160
KRGX20170602-1,KRGX20170602_130624_V06,4,2.505,1.200,235,0,4.489,1,0,4.488
KRGX20170602-1,KRGX20170602_130624_V06,5,3.516,1.200,236,0,3.023,0,0,3.023
KRGX20170602-1,KRGX20170602_130624_V06,6,4.482,1.200,235,0,2.733,0,0,2.733
KRGX20170608-4,KRGX20170608_113432_V06,0,0.483,1.200,26796,0,1570204.703,6391,0,52272.253
KRGX20170608-4,KRGX20170608_113432_V06,2,0.879,1.200,26809,0,663979.964,4421,0,25941.694
KRGX20170608-4,KRGX20170608_113432_V06,4,1.318,1.200,26809,0,248130.810,3080,0,18306.494
KRGX20170608-4,KRGX20170608_113825_V06,0,0.483,1.200,31003,0,2304739.645,8440,0,84199.584
KRGX20170608-4,KRGX20170608_113825_V06,2,0.879,1.200,30997,0,822332.894,5076,0,26944.650
KRGX20170608-4,KRGX20170608_113825_V06,4,1.318,1.200,31034,0,229925.962,3299,0,18837.199
KRGX20170608-3,KRGX20170608_113432_V06,0,0.483,1.200,2693,0,5211.367,779,0,3101.857
KRGX20170608-3,KRGX20170608_113432_V06,2,0.879,1.200,2693,0,12057.187,891,0,5258.737
KRGX20170608-3,KRGX20170608_113432_V06,4,1.318,1.200,2693,0,17624.295,761,0,6414.186
KRGX20170608-3,KRGX20170608_113432_V06,6,1.802,1.200,1352,0,8715.341,311,0,3136.383
KRGX20170608-3,KRGX20170608_113432_V06,7,2.417,1.200,1354,0,11009.174,229,0,3103.342
KRGX20170608-3,KRGX20170608_113432_V06,8,3.120,1.200,1355,0,5339.661,109,0,3561.543
KRGX20170608-3,KRGX20170608_113432_V06,9,3.999,1.200,1352,0,363.084,44,0,158.134
KRGX20170608-12,KRGX20170608_133719_V06,0,0.483,1.200,7069,0,4151492.284,5366,0,167090.525
KRGX20170608-12,KRGX20170608_133719_V06,2,0.879,1.200,7076,0,1542991.516,3829,0,52296.531
KRGX20170608-12,KRGX20170608_133719_V06,4,1.318,1.200,7085,0,281747.743,2060,0,22575.752
KRGX20170609-7,KRGX20170609_114801_V06,0,0.483,1.200,10169,0,84838.943,3603,0,17977.200
KRGX20170609-7,KRGX20170609_114801_V06,2,0.879,1.200,10168,0,54859.836,3530,0,9984.829
KRGX20170609-7,KRGX20170609_114801_V06,4,1.318,1.200,10173,0,21878.806,3579,0,4920.768
KRGX20170609-7,KRGX20170609_114801_V06,6,1.802,1.200,5086,0,13819.098,1742,0,2948.729
KRGX20170609-7,KRGX20170609_114801_V06,7,2.417,1.200,5089,0,8172.853,1776,0,1494.364
KRGX20170609-7,KRGX20170609_114801_V06,8,3.120,1.200,5097,0,2670.607,1422,0,534.678
KRGX20170609-7,KRGX20170609_114801_V06,9,3.999,1.200,5099,0,292.502,1024,0,76.567
KRGX20170609-7,KRGX20170609_114801_V06,10,5.098,1.200,5107,0,21.770,602,0,10.504
KRGX20170609-7,KRGX20170609_114801_V06,11,6.416,1.200,5113,0,15.111,271,0,9.882
KRGX20170609-18,KRGX20170609_131423_V06,0,0.483,1.200,8664,0,74085.648,1264,0,46329.948
KRGX20170609-18,KRGX20170609_131423_V06,2,0.879,1.200,8668,0,16630.901,1236,0,7849.925
KRGX20170609-18,KRGX20170609_131423_V06,4,1.318,1.200,8667,0,1735.956,630,0,702.999
KRGX20170609-18,KRGX20170609_131423_V06,6,1.802,1.200,4332,0,273.868,30,0,210.647
KRGX20170609-18,KRGX20170609_131423_V06,7,2.417,1.200,4339,0,124.463,11,0,114.154
KRGX20170609-18,KRGX20170609_131423_V06,8,3.120,1.200,4341,0,85.999,1,0,84.801
KRGX20170609-18,KRGX20170609_131423_V06,9,3.999,1.200,4345,0,133.013,2,0,120.385
KRGX20170612-1,KRGX20170612_114204_V06,0,0.483,1.200,16446,0,361808.785,6060,0,23091.603
KRGX20170612-1,KRGX20170612_114204_V06,2,0.879,1.200,16443,0,235770.038,5497,0,21220.324
KRGX20170612-1,KRGX20170612_114204_V06,4,1.318,1.200,16457,0,68446.913,2466,0,9725.842
KRGX20170612-1,KRGX20170612_114624_V06,0,0.483,1.200,19672,0,367913.145,6733,0,24573.074
KRGX20170612-1,KRGX20170612_114624_V06,2,0.879,1.200,19689,0,257086.973,6212,0,25521.493
KRGX20170612-1,KRGX20170612_114624_V06,4,1.318,1.200,19705,0,86069.366,3066,0,12790.266
KRGX20170612-1,KRGX20170612_115044_V06,0,0.483,1.200,8239,0,112777.655,2348,0,12305.504
KRGX20170612-1,KRGX20170612_115044_V06,2,0.879,1.200,8244,0,122032.268,2673,0,11176.082
KRGX20170612-1,KRGX20170612_115044_V06,4,1.318,1.200,8249,0,35251.405,1062,0,5623.356
KRGX20170612-1,KRGX20170612_115504_V06,0,0.483,1.200,10624,0,168015.487,3121,0,13503.759
KRGX20170612-1,KRGX20170612_115504_V06,2,0.879,1.200,10631,0,161211.964,3336,0,14682.128
KRGX20170612-1,KRGX20170612_115504_V06,4,1.318,1.200,10644,0,45892.395,1374,0,6281.997
KRGX20170616-2,KRGX20170616_124423_V06,0,0.483,1.200,3645,0,12963.498,239,0,9804.439
KRGX20170616-2,KRGX20170616_124423_V06,2,1.494,1.200,3649,0,59.521,42,0,26.984
KRGX20170616-2,KRGX20170616_124423_V06,4,2.505,1.200,1822,0,5.539,0,0,5.539
KRGX20170616-2,KRGX20170616_124423_V06,5,3.516,1.200,1824,0,6.428,0,0,6.428
KRGX20170616-3,KRGX20170616_131336_V06,0,0.483,1.200,3904,0,413.332,152,0,393.525
KRGX20170616-3,KRGX20170616_131336_V06,2,1.494,1.200,3905,0,35.322,368,0,16.905
KRGX20170616-3,KRGX20170616_131336_V06,4,2.505,1.200,1953,0,15.011,1,0,14.979
KRGX20170616-3,KRGX20170616_131336_V06,5,3.516,1.200,1954,0,15.859,1,0,15.558
KRGX20170616-3,KRGX20170616_131336_V06,6,4.482,1.200,1954,0,14.808,2,0,13.708
KRGX20170618-1,KRGX20170618_121114_V06,0,0.483,1.200,8665,0,2708.469,507,0,1078.858
KRGX20170618-1,KRGX20170618_121114_V06,2,1.494,1.200,8665,0,597.086,263,0,300.573
KRGX20170618-1,KRGX20170618_121114_V06,4,2.505,1.200,4332,0,204.627,13,0,177.653
KRGX20170618-1,KRGX20170618_121114_V06,5,3.516,1.200,4336,0,337.634,23,0,246.330
KRGX20170618-1,KRGX20170618_122055_V06,0,0.483,1.200,20828,0,7917.727,2849,0,4625.815
KRGX20170618-1,KRGX20170618_122055_V06,2,1.494,1.200,20828,0,1214.512,574,0,583.923
KRGX20170618-1,KRGX20170618_122055_V06,4,2.505,1.200,10415,0,462.953,31,0,348.837
KRGX20170618-1,KRGX20170618_122055_V06,5,3.516,1.200,10426,0,388.430,42,0,315.656
KRGX20170618-1,KRGX20170618_123037_V06,0,0.483,1.200,3244,0,1438.611,641,0,714.497
KRGX20170618-1,KRGX20170618_123037_V06,2,1.494,1.200,3254,0,162.497,91,0,60.801
KRGX20170618-1,KRGX20170618_123037_V06,4,2.505,1.200,1625,0,63.968,7,0,56.573
KRGX20170618-1,KRGX20170618_123037_V06,5,3.516,1.200,1620,0,120.422,13,0,102.925
KRGX20170618-1,KRGX20170618_123037_V06,6,4.482,1.200,1625,0,89.552,14,0,66.137
KRGX20170619-1,KRGX20170619_112958_V06,0,0.483,1.200,68,0,136.931,21,0,111.957
KRGX20170619-1,KRGX20170619_112958_V06,2,0.879,1.200,69,0,45.755,19,0,27.846
KRGX20170619-1,KRGX20170619_112958_V06,4,1.318,1.200,69,0,17.237,8,0,10.529
KRGX20170619-1,KRGX20170619_112958_V06,6,1.802,1.200,34,0,0.049,0,0,0.049
KRGX20170619-1,KRGX20170619_112958_V06,7,2.417,1.200,34,0,0.049,0,0,0.049
KRGX20170619-1,KRGX20170619_112958_V06,8,3.120,1.200,34,0,0.049,0,0,0.049
KRGX20170619-1,KRGX20170619_112958_V06,9,3.999,1.200,33,0,1.968,0,0,1.968
