track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRIW20200601-2,KRIW20200601_113614_V06,0,0.483,1.200,2882,0,22272.694,311,0,5992.853
KRIW20200601-2,KRIW20200601_113614_V06,2,0.879,1.200,2886,0,65737.631,884,0,6860.436
KRIW20200601-2,KRIW20200601_113614_V06,6,1.318,1.200,2882,0,51770.844,848,0,3781.737
KRIW20200601-2,KRIW20200601_114455_V06,0,0.483,1.200,5439,0,21215.636,347,0,7148.541
KRIW20200601-2,KRIW20200601_114455_V06,2,0.879,1.200,5439,0,89994.327,1164,0,7514.637
KRIW20200601-2,KRIW20200601_114455_V06,6,1.318,1.200,5438,0,97648.575,1126,0,5614.341
KRIW20200601-3,KRIW20200601_122142_V06,0,0.483,1.200,3727,0,5559.658,157,0,1864.166
KRIW20200601-3,KRIW20200601_122142_V06,2,0.879,1.200,3726,0,117463.059,1488,0,4939.328
KRIW20200601-3,KRIW20200601_122142_V06,6,1.318,1.200,3728,0,164904.357,1621,0,4361.477
KRIW20200601-4,KRIW20200601_124739_V06,0,0.483,1.200,5816,0,30167.950,137,0,22867.500
KRIW20200601-4,KRIW20200601_124739_V06,2,0.879,1.200,5812,0,23006.737,259,0,7241.269
KRIW20200601-4,KRIW20200601_124739_V06,6,1.318,1.200,5818,0,7319.544,85,0,2558.860
KRIW20200602-1,KRIW20200602_111249_V06,0,0.483,1.200,13164,0,53571.974,2168,0,29969.971
KRIW20200602-1,KRIW20200602_111249_V06,2,0.879,1.200,13167,0,21676.938,3176,0,15933.700
KRIW20200602-1,KRIW20200602_111249_V06,6,1.318,1.200,13174,0,9806.126,3199,0,6859.295
KRIW20200602-1,KRIW20200602_111249_V06,8,1.802,1.200,6584,0,2602.292,876,0,1033.104
KRIW20200602-1,KRIW20200602_111249_V06,9,2.417,1.200,6590,0,453.337,284,0,151.638
KRIW20200602-1,KRIW20200602_111249_V06,10,3.120,1.200,6593,0,137.966,148,0,61.513
KRIW20200602-1,KRIW20200602_111249_V06,11,3.999,1.200,6601,0,72.011,62,0,48.802
KRIW20200602-1,KRIW20200602_111249_V06,12,5.098,1.200,6615,0,53.985,51,0,39.428
KRIW20200602-1,KRIW20200602_111249_V06,13,6.416,1.200,6632,0,33.932,51,0,28.054
KRIW20200603-1,KRIW20200603_120634_V06,0,0.483,1.200,33322,0,540.640,5882,0,311.909
KRIW20200603-1,KRIW20200603_120634_V06,2,0.879,1.200,33324,0,193.686,6613,0,108.241
KRIW20200603-1,KRIW20200603_120634_V06,6,1.318,1.200,33328,0,101.857,6448,0,59.251
KRIW20200603-1,KRIW20200603_120634_V06,8,1.802,1.200,16664,0,39.837,2138,0,15.501
KRIW20200603-1,KRIW20200603_120634_V06,9,2.417,1.200,16666,0,9.377,1764,0,3.807
KRIW20200603-1,KRIW20200603_120634_V06,10,3.120,1.200,16681,0,5.622,2005,0,2.629
KRIW20200603-1,KRIW20200603_120634_V06,11,3.999,1.200,16700,0,7.046,1859,0,5.731
KRIW20200603-1,KRIW20200603_120634_V06,12,5.098,1.200,16734,0,5.403,1953,0,3.466
KRIW20200603-1,KRIW20200603_120634_V06,13,6.416,1.200,16795,0,4.021,1921,0,2.827
KRIW20200606-10,KRIW20200606_121557_V06,0,0.483,1.200,9406,0,376231.148,3619,0,16257.763
KRIW20200606-10,KRIW20200606_121557_V06,2,0.879,1.200,9410,0,655262.086,4631,0,41152.607
KRIW20200606-10,KRIW20200606_121557_V06,4,1.318,1.200,9404,0,1631893.695,5494,0,117969.993
KRIW20200606-10,KRIW20200606_121557_V06,8,1.802,1.200,4700,0,1896660.348,2693,0,50022.462
KRIW20200606-10,KRIW20200606_121557_V06,9,2.417,1.200,4699,0,794052.806,2571,0,2670.649
KRIW20200613-1,KRIW20200613_104535_V06,0,0.483,1.200,11175,0,200.999,2302,0,167.513
KRIW20200613-1,KRIW20200613_104535_V06,2,0.879,1.200,11177,0,205.776,2434,0,163.709
KRIW20200613-1,KRIW20200613_104535_V06,6,1.318,1.200,11184,0,166.504,2491,0,126.910
KRIW20200613-1,KRIW20200613_104535_V06,8,1.802,1.200,5587,0,111.816,1760,0,62.634
KRIW20200613-1,KRIW20200613_104535_V06,9,2.417,1.200,5591,0,104.535,1813,0,53.839
KRIW20200613-1,KRIW20200613_104535_V06,10,3.120,1.200,5593,0,83.723,1919,0,43.256
KRIW20200613-1,KRIW20200613_104535_V06,11,3.999,1.200,5603,0,48.017,1854,0,22.854
KRIW20200613-1,KRIW20200613_104535_V06,12,5.098,1.200,5622,0,32.671,1786,0,15.042
KRIW20200613-1,KRIW20200613_104535_V06,13,6.416,1.200,5649,0,21.963,1821,0,9.002
KRIW20200614-1,KRIW20200614_105343_V06,0,0.483,1.200,9670,0,75716.146,539,0,6819.677
KRIW20200614-1,KRIW20200614_105343_V06,2,0.879,1.200,9678,0,95708.246,1034,0,9594.996
KRIW20200614-1,KRIW20200614_105343_V06,4,1.318,1.200,9681,0,44552.958,869,0,3736.594
KRIW20200614-2,KRIW20200614_121928_V06,0,0.483,1.200,30915,0,154771.532,2443,0,73418.919
KRIW20200614-2,KRIW20200614_121928_V06,2,0.879,1.200,30922,0,294323.695,5702,0,25160.475
KRIW20200614-2,KRIW20200614_121928_V06,6,1.318,1.200,30928,1,251619.896,6254,0,20934.835
KRIW20200616-1,KRIW20200616_120118_V06,0,0.483,1.200,11632,0,207340.840,3466,0,37814.991
KRIW20200616-1,KRIW20200616_120118_V06,2,0.879,1.200,11635,0,511498.489,6719,0,31095.446
KRIW20200616-1,KRIW20200616_121000_V06,0,0.483,1.200,17185,0,302798.696,3997,0,104404.285
KRIW20200616-1,KRIW20200616_121000_V06,2,0.879,1.200,17185,0,617200.160,8385,0,38754.348
KRIW20200616-1,KRIW20200616_121000_V06,6,1.318,1.200,17188,0,582731.178,9796,0,38565.283
KRIW20200616-2,KRIW20200616_124451_V06,0,0.483,1.200,7389,0,175096.613,2266,0,25720.221
KRIW20200616-2,KRIW20200616_124451_V06,2,0.879,1.200,7392,0,350618.378,4186,0,20072.214
KRIW20200617-1,KRIW20200617_104211_V06,0,0.483,1.200,1112,0,17417.931,239,0,7133.560
KRIW20200617-1,KRIW20200617_104211_V06,2,0.879,1.200,1112,0,97522.078,467,0,30959.035
