track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRLX20150604-1,KRLX20150604_101656_V06,0,0.483,1.200,40,0,207.129,1,0,203.955
KRLX20150604-1,KRLX20150604_101656_V06,2,1.494,1.200,39,0,0.055,0,0,0.055
KRLX20150604-1,KRLX20150604_101656_V06,4,2.505,1.200,21,0,0.059,0,0,0.059
KRLX20150605-6,KRLX20150605_090446_V06,0,0.483,1.200,349,0,87887.954,141,0,951.844
KRLX20150605-6,KRLX20150605_090446_V06,2,1.494,1.200,349,6,44445.695,208,0,198.605
KRLX20150605-6,KRLX20150605_090446_V06,4,2.505,1.200,172,0,101420.029,128,0,1.400
KRLX20150605-6,KRLX20150605_090446_V06,5,3.516,1.200,174,0,4609.125,68,0,22.291
KRLX20150605-6,KRLX20150605_090446_V06,6,4.482,1.200,175,0,0.237,0,0,0.237
KRLX20150605-6,KRLX20150605_091429_V06,0,0.483,1.200,1893,6,68430.375,294,0,1682.833
KRLX20150605-6,KRLX20150605_091429_V06,2,1.494,1.200,1890,1,82936.792,425,0,69.583
KRLX20150605-6,KRLX20150605_091429_V06,4,2.505,1.200,949,0,73726.901,261,0,56.464
KRLX20150605-6,KRLX20150605_091429_V06,5,3.516,1.200,947,0,1025.843,112,0,41.605
KRLX20150605-6,KRLX20150605_091429_V06,6,4.482,1.200,950,0,1.300,0,0,1.300
KRLX20150610-1,KRLX20150610_094130_V06,0,0.483,1.200,1002,0,11183.694,43,0,10827.949
KRLX20150610-1,KRLX20150610_094130_V06,2,1.494,1.200,999,0,240.130,13,0,183.766
KRLX20150610-1,KRLX20150610_094130_V06,4,2.505,1.200,504,0,162.644,10,0,135.683
KRLX20150610-1,KRLX20150610_094130_V06,5,3.516,1.200,501,0,99.710,4,0,87.363
KRLX20150617-13,KRLX20150617_111943_V06,0,0.483,1.200,2562,0,9509.172,1145,0,873.584
KRLX20150617-13,KRLX20150617_111943_V06,2,1.450,1.200,2567,0,8351.811,1091,0,62.394
KRLX20150617-13,KRLX20150617_111943_V06,4,2.417,1.200,1278,0,6483.850,471,0,22.313
KRLX20150617-13,KRLX20150617_111943_V06,5,3.384,1.200,1281,0,7270.426,504,0,73.694
KRLX20150617-13,KRLX20150617_111943_V06,6,4.307,1.200,1284,0,6169.874,750,0,111.498
KRLX20150617-13,KRLX20150617_111943_V06,7,5.317,1.200,1291,0,6745.439,625,0,102.075
KRLX20150617-13,KRLX20150617_111943_V06,8,6.196,1.200,1290,0,6574.302,515,0,70.238
KRLX20150617-13,KRLX20150617_111943_V06,9,7.515,1.200,1294,0,10939.381,431,0,553.994
KRLX20150617-13,KRLX20150617_112310_V06,0,0.483,1.200,5810,0,8054.935,1804,0,301.190
KRLX20150617-13,KRLX20150617_112310_V06,2,1.450,1.200,5820,0,7793.038,1531,0,68.069
