track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRTX20160601-1,KRTX20160601_131157_V06,0,0.483,1.200,6734,0,2042.104,882,0,1308.192
KRTX20160601-1,KRTX20160601_131157_V06,2,1.494,1.200,6733,0,1777.865,653,0,1067.519
KRTX20160601-1,KRTX20160601_131157_V06,4,2.505,1.200,3367,0,260.216,20,0,216.334
KRTX20160601-1,KRTX20160601_131157_V06,5,3.516,1.200,3379,0,495.377,37,0,386.214
KRTX20160601-1,KRTX20160601_131157_V06,6,4.482,1.200,3381,0,2461.916,314,0,1320.561
KRTX20160602-7,KRTX20160602_123047_V06,0,0.483,1.200,11016,0,283003.526,867,0,50016.894
KRTX20160602-7,KRTX20160602_123047_V06,2,0.879,1.200,11006,0,105661.120,848,0,21412.212
KRTX20160602-7,KRTX20160602_123047_V06,4,1.318,1.200,11016,0,2896.838,101,0,1071.630
KRTX20160602-7,KRTX20160602_123507_V06,0,0.483,1.200,14807,0,546757.222,1457,0,113065.272
KRTX20160602-7,KRTX20160602_123507_V06,2,0.879,1.200,14806,0,184767.365,1489,0,36532.078
KRTX20160602-7,KRTX20160602_123507_V06,4,1.318,1.200,14815,0,9230.824,374,0,2564.103
KRTX20160602-7,KRTX20160602_123927_V06,0,0.483,1.200,15290,0,877529.531,2070,0,247900.633
KRTX20160602-7,KRTX20160602_123927_V06,2,0.879,1.200,15314,0,322771.536,2064,0,68393.651
KRTX20160602-7,KRTX20160602_123927_V06,4,1.318,1.200,15321,0,5543.507,248,0,2036.325
KRTX20160602-7,KRTX20160602_124347_V06,0,0.483,1.200,17876,0,906440.514,2579,0,183804.035
KRTX20160602-7,KRTX20160602_124347_V06,2,0.879,1.200,17883,0,379379.010,2463,0,70222.792
KRTX20160602-7,KRTX20160602_124347_V06,4,1.318,1.200,17890,0,25270.464,1005,0,6636.545
KRTX20160602-7,KRTX20160602_124808_V06,0,0.483,1.200,19598,0,924738.682,2938,0,199834.344
