track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KSHV20230602-1,KSHV20230602_104637_V06,0,0.308,1.200,1305,0,17360.458,28,0,17227.420
KSHV20230602-1,KSHV20230602_104637_V06,4,0.879,1.200,1305,0,682.787,157,0,617.207
KSHV20230602-1,KSHV20230602_104637_V06,6,1.318,1.200,1307,0,49.079,165,0,23.072
KSHV20230602-1,KSHV20230602_104637_V06,8,1.802,1.200,652,0,17.145,22,0,8.463
KSHV20230602-1,KSHV20230602_104637_V06,9,2.417,1.200,656,0,225.384,245,0,45.065
KSHV20230602-1,KSHV20230602_104637_V06,10,3.120,1.200,655,0,316.510,407,0,65.707
KSHV20230602-1,KSHV20230602_104637_V06,11,3.999,1.200,654,0,52.723,139,0,16.639
KSHV20230602-1,KSHV20230602_104637_V06,12,5.098,1.200,650,0,0.631,0,0,0.631
KSHV20230602-1,KSHV20230602_104637_V06,13,6.416,1.200,659,0,0.743,0,0,0.743
KSHV20230602-1,KSHV20230602_110400_V06,0,0.308,1.200,3210,0,34642.891,23,0,34375.824
KSHV20230602-1,KSHV20230602_110400_V06,4,0.879,1.200,3210,0,5228.007,116,0,5092.511
KSHV20230602-1,KSHV20230602_110400_V06,6,1.318,1.200,3208,0,1053.169,694,0,861.228
KSHV20230602-1,KSHV20230602_110400_V06,8,1.802,1.200,1606,0,89.018,95,0,47.645
KSHV20230602-1,KSHV20230602_110400_V06,9,2.417,1.200,1607,0,218.560,280,0,62.483
KSHV20230602-1,KSHV20230602_110400_V06,10,3.120,1.200,1609,0,729.881,958,0,175.464
KSHV20230602-1,KSHV20230602_110400_V06,11,3.999,1.200,1612,0,365.789,640,0,85.500
KSHV20230602-1,KSHV20230602_110400_V06,12,5.098,1.200,1615,0,39.069,128,0,13.230
KSHV20230602-1,KSHV20230602_110400_V06,13,6.416,1.200,1616,0,1.350,1,0,1.309
KSHV20230605-5,KSHV20230605_103858_V06,0,0.308,1.200,673,0,8972.927,41,0,8688.108
KSHV20230605-5,KSHV20230605_103858_V06,4,0.879,1.200,674,0,318.330,41,0,205.164
KSHV20230605-5,KSHV20230605_103858_V06,6,1.318,1.200,674,0,344.642,39,0,168.868
KSHV20230605-5,KSHV20230605_103858_V06,10,1.802,1.200,339,0,43.926,0,0,43.926
KSHV20230605-5,KSHV20230605_103858_V06,11,2.417,1.200,336,0,68.022,2,0,55.871
KSHV20230605-5,KSHV20230605_103858_V06,12,3.120,1.200,339,0,3837.423,221,0,382.275
KSHV20230605-6,KSHV20230605_103858_V06,0,0.308,1.200,879,0,30573.899,192,0,4460.499
KSHV20230605-6,KSHV20230605_103858_V06,4,0.879,1.200,881,0,58459.644,247,0,2490.059
KSHV20230605-6,KSHV20230605_103858_V06,6,1.318,1.200,880,0,46805.182,198,0,2227.340
KSHV20230605-8,KSHV20230605_111514_V06,0,0.308,1.200,13195,0,158846.974,3337,0,63068.955
KSHV20230605-8,KSHV20230605_111514_V06,4,0.879,1.200,13200,0,142605.530,4506,0,9243.391
KSHV20230605-8,KSHV20230605_111514_V06,6,1.318,1.200,13200,0,142437.225,6160,0,1787.587
KSHV20230605-8,KSHV20230605_111514_V06,8,1.802,1.200,6591,0,138218.409,2251,0,275.271
KSHV20230605-8,KSHV20230605_111514_V06,11,2.417,1.200,6593,0,166380.905,2251,0,123.006
KSHV20230605-8,KSHV20230605_111514_V06,12,3.120,1.200,6602,0,166276.716,2455,0,395.806
KSHV20230605-8,KSHV20230605_111514_V06,13,3.999,1.200,6609,0,431571.885,2923,0,14218.982
KSHV20230605-8,KSHV20230605_111514_V06,14,5.098,1.200,6630,0,359011.362,3321,0,12392.141
KSHV20230605-8,KSHV20230605_111514_V06,15,6.416,1.200,6640,0,141726.857,4063,0,1496.495
KSHV20230605-8,KSHV20230605_111514_V06,16,7.998,1.200,6661,0,64860.649,5281,0,1974.950
KSHV20230605-8,KSHV20230605_112122_V06,0,0.308,1.200,6401,0,115498.684,2407,0,31273.465
KSHV20230605-8,KSHV20230605_112122_V06,4,0.879,1.200,6405,0,113398.662,3286,0,3287.284
KSHV20230605-8,KSHV20230605_112122_V06,6,1.318,1.200,6409,0,136844.175,4093,0,698.274
KSHV20230605-8,KSHV20230605_112122_V06,8,1.802,1.200,3200,0,157235.567,1711,0,181.300
KSHV20230605-8,KSHV20230605_112122_V06,11,2.417,1.200,3202,0,212727.517,1833,0,134.843
KSHV20230605-8,KSHV20230605_112122_V06,12,3.120,1.200,3203,0,275128.583,2050,0,223.293
KSHV20230605-8,KSHV20230605_112122_V06,13,3.999,1.200,3209,0,518399.657,2123,0,14449.478
KSHV20230605-8,KSHV20230605_112122_V06,14,5.098,1.200,3215,0,467241.421,2227,0,10769.098
KSHV20230605-8,KSHV20230605_112122_V06,15,6.416,1.200,3223,0,134499.323,2707,0,1529.214
KSHV20230606-2,KSHV20230606_113508_V06,0,0.308,1.200,1689,0,79381.434,222,0,63968.149
KSHV20230606-2,KSHV20230606_113508_V06,4,0.879,1.200,1691,0,7810.012,507,0,5120.346
KSHV20230606-2,KSHV20230606_113508_V06,6,1.318,1.200,1693,0,1589.596,287,0,968.452
KSHV20230606-2,KSHV20230606_113508_V06,10,1.802,1.200,849,0,141.620,25,0,31.623
KSHV20230606-2,KSHV20230606_113508_V06,11,2.417,1.200,849,0,55.167,6,0,35.848
KSHV20230606-2,KSHV20230606_113508_V06,12,3.120,1.200,847,0,32.767,1,0,28.426
KSHV20230606-3,KSHV20230606_122037_V06,0,0.308,1.200,126,0,6103.867,1,0,5878.665
KSHV20230606-3,KSHV20230606_122037_V06,4,0.879,1.200,126,0,854.831,9,0,822.479
KSHV20230606-3,KSHV20230606_122037_V06,6,1.318,1.200,126,0,57.233,32,0,27.813
KSHV20230606-3,KSHV20230606_122037_V06,10,1.802,1.200,60,0,10.836,11,0,5.619
KSHV20230606-3,KSHV20230606_122037_V06,11,2.417,1.200,61,0,13.713,15,0,7.726
KSHV20230606-3,KSHV20230606_122037_V06,12,3.120,1.200,61,0,6.188,11,0,1.469
KSHV20230606-3,KSHV20230606_122037_V06,13,3.999,1.200,65,0,212.384,63,0,1.781
KSHV20230606-3,KSHV20230606_122037_V06,14,5.098,1.200,62,0,0.042,0,0,0.042
KSHV20230606-3,KSHV20230606_122037_V06,15,6.416,1.200,61,0,0.041,0,0,0.041
KSHV20230608-1,KSHV20230608_101055_V06,0,0.308,1.200,474,0,73052.222,23,0,72689.925
KSHV20230608-1,KSHV20230608_101055_V06,4,0.879,1.200,473,0,2080.034,60,0,1949.182
KSHV20230608-1,KSHV20230608_101055_V06,6,1.318,1.200,475,0,419.537,167,0,229.834
KSHV20230608-1,KSHV20230608_101055_V06,8,1.802,1.200,237,0,26.126,5,0,11.879
KSHV20230608-1,KSHV20230608_101055_V06,9,2.417,1.200,236,0,0.566,0,0,0.566
KSHV20230608-1,KSHV20230608_101055_V06,10,3.120,1.200,237,0,26.849,1,0,22.452
KSHV20230608-1,KSHV20230608_101937_V06,0,0.308,1.200,1947,0,178330.053,129,0,174984.999
KSHV20230608-1,KSHV20230608_101937_V06,4,0.879,1.200,1946,0,5617.115,440,0,4797.464
KSHV20230608-1,KSHV20230608_101937_V06,6,1.318,1.200,1946,0,2014.580,769,0,836.038
KSHV20230608-1,KSHV20230608_101937_V06,8,1.802,1.200,973,0,200.436,29,0,100.012
KSHV20230608-1,KSHV20230608_101937_V06,9,2.417,1.200,973,0,89.038,21,0,30.238
KSHV20230608-1,KSHV20230608_101937_V06,10,3.120,1.200,974,0,117.461,10,0,85.139
KSHV20230609-1,KSHV20230609_104729_V06,0,0.308,1.200,2733,0,24544.596,126,0,23644.949
KSHV20230609-1,KSHV20230609_104729_V06,4,0.879,1.200,2734,0,7208.752,83,0,6911.921
KSHV20230609-1,KSHV20230609_104729_V06,6,1.318,1.200,2736,0,2267.573,125,0,2049.839
KSHV20230609-1,KSHV20230609_104729_V06,8,1.802,1.200,1366,0,1001.537,222,0,613.219
KSHV20230609-1,KSHV20230609_104729_V06,9,2.417,1.200,1368,0,402.412,275,0,278.679
KSHV20230609-1,KSHV20230609_104729_V06,10,3.120,1.200,1367,0,163.442,426,0,78.463
KSHV20230609-1,KSHV20230609_104729_V06,11,3.999,1.200,1374,0,65.388,540,0,27.183
KSHV20230609-1,KSHV20230609_104729_V06,12,5.098,1.200,1372,0,116.762,723,0,37.024
KSHV20230609-1,KSHV20230609_104729_V06,13,6.416,1.200,1378,0,101.541,745,0,31.985
KSHV20230609-1,KSHV20230609_110602_V06,0,0.308,1.200,4014,0,64891.765,13,0,64385.204
KSHV20230609-1,KSHV20230609_110602_V06,4,0.879,1.200,4015,0,24329.747,0,0,24329.747
KSHV20230609-1,KSHV20230609_110602_V06,6,1.318,1.200,4018,0,11511.404,47,0,11369.787
KSHV20230609-1,KSHV20230609_110602_V06,8,1.802,1.200,2007,0,3344.512,441,0,2507.824
KSHV20230609-1,KSHV20230609_110602_V06,9,2.417,1.200,2011,0,703.429,362,0,492.889
