track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KSOX20210602-1,KSOX20210602_130419_V06,0,0.483,1.200,9261,0,12147.282,137,0,10206.066
KSOX20210602-1,KSOX20210602_131358_V06,0,0.483,1.200,13507,0,28830.570,187,0,25417.549
KSOX20210604-1,KSOX20210604_114347_V06,0,0.483,1.200,80,0,4542.073,0,0,4542.073
KSOX20210604-1,KSOX20210604_114347_V06,2,1.494,1.200,80,0,45.455,0,0,45.455
KSOX20210604-1,KSOX20210604_114347_V06,4,2.505,1.200,40,0,3.510,0,0,3.510
KSOX20210604-3,KSOX20210604_123203_V06,0,0.483,1.200,15075,0,80.027,2561,0,44.386
KSOX20210604-3,KSOX20210604_123203_V06,2,1.494,1.200,15082,0,41.577,3325,0,14.889
KSOX20210604-3,KSOX20210604_123203_V06,4,2.505,1.200,7554,0,29.504,907,0,5.996
KSOX20210604-3,KSOX20210604_123203_V06,5,3.516,1.200,7556,0,56.188,671,0,9.342
KSOX20210604-3,KSOX20210604_123203_V06,6,4.482,1.200,7558,0,21.885,525,0,3.531
KSOX20210609-1,KSOX20210609_124822_V06,0,0.483,1.200,737,0,34863.761,59,0,11847.459
KSOX20210609-1,KSOX20210609_124822_V06,2,1.494,1.200,741,0,3797.447,61,0,1816.520
KSOX20210609-1,KSOX20210609_124822_V06,4,2.505,1.200,371,0,1324.287,18,0,230.501
KSOX20210609-1,KSOX20210609_124822_V06,5,3.516,1.200,374,0,300.860,7,0,178.458
KSOX20210609-1,KSOX20210609_124822_V06,6,4.482,1.200,373,0,100.089,8,0,81.717
KSOX20210611-1,KSOX20210611_120203_V06,0,0.483,1.200,261,0,15809.295,19,0,13771.006
KSOX20210611-1,KSOX20210611_120203_V06,2,1.494,1.200,261,0,4540.772,36,0,2882.461
KSOX20210611-1,KSOX20210611_120203_V06,4,2.505,1.200,130,0,517.996,16,0,141.931
KSOX20210611-1,KSOX20210611_120203_V06,5,3.516,1.200,131,0,184.911,16,0,6.115
KSOX20210611-1,KSOX20210611_120203_V06,6,4.482,1.200,131,0,21.009,3,0,17.239
KSOX20210611-3,KSOX20210611_131923_V06,0,0.483,1.200,28230,0,3384.973,5128,0,1582.448
KSOX20210611-3,KSOX20210611_131923_V06,2,1.494,1.200,28237,0,809.897,4047,0,366.590
KSOX20210611-3,KSOX20210611_131923_V06,4,2.505,1.200,14126,0,305.013,835,0,178.209
KSOX20210611-3,KSOX20210611_131923_V06,5,3.516,1.200,14144,0,139.186,397,0,107.734
KSOX20210611-3,KSOX20210611_131923_V06,6,4.482,1.200,14170,0,173.021,427,0,144.978
KSOX20210611-4,KSOX20210611_132903_V06,0,0.483,1.200,7210,0,97.849,1505,0,55.762
KSOX20210611-4,KSOX20210611_132903_V06,2,1.494,1.200,7215,0,63.544,449,0,19.870
KSOX20210611-4,KSOX20210611_132903_V06,4,2.505,1.200,3606,0,6.121,22,0,4.484
KSOX20210611-4,KSOX20210611_132903_V06,5,3.516,1.200,3610,0,13.454,59,0,10.398
KSOX20210611-4,KSOX20210611_132903_V06,6,4.482,1.200,3615,0,4.475,23,0,4.246
KSOX20210612-1,KSOX20210612_114738_V06,0,0.483,1.200,1133,0,27.617,72,0,22.067
KSOX20210612-1,KSOX20210612_114738_V06,2,1.494,1.200,1133,0,19.230,45,0,16.045
KSOX20210612-1,KSOX20210612_114738_V06,4,2.505,1.200,572,0,7.110,5,0,5.606
KSOX20210612-1,KSOX20210612_114738_V06,5,3.516,1.200,568,0,5.716,3,0,5.444
KSOX20210612-1,KSOX20210612_114738_V06,6,4.482,1.200,569,0,5.874,6,0,4.858
KSOX20210613-1,KSOX20210613_114214_V06,0,0.483,1.200,91,0,31608.547,14,0,12505.539
KSOX20210613-1,KSOX20210613_114214_V06,2,1.494,1.200,89,0,111.630,9,0,65.449
KSOX20210613-1,KSOX20210613_114214_V06,4,2.505,1.200,47,0,0.100,0,0,0.100
KSOX20210613-1,KSOX20210613_114214_V06,5,3.516,1.200,44,0,2.716,0,0,2.716
KSOX20210614-1,KSOX20210614_114209_V06,0,0.483,1.200,246,0,10670.827,29,0,4654.230
KSOX20210614-1,KSOX20210614_114209_V06,2,1.494,1.200,247,0,2664.786,43,0,581.090
KSOX20210614-1,KSOX20210614_114209_V06,4,2.505,1.200,123,0,98.437,6,0,78.776
KSOX20210614-1,KSOX20210614_114209_V06,5,3.516,1.200,124,0,5.723,1,0,0.623
KSOX20210614-1,KSOX20210614_114209_V06,6,4.482,1.200,125,0,12.969,6,0,6.473
KSOX20210616-6,KSOX20210616_133635_V06,0,0.483,1.200,5947,0,102355.383,462,0,15126.987
KSOX20210616-6,KSOX20210616_133635_V06,2,1.494,1.200,5953,0,529842.233,1993,0,4102.134
KSOX20210616-6,KSOX20210616_134614_V06,0,0.483,1.200,10339,0,116882.964,1116,0,13661.679
KSOX20210616-6,KSOX20210616_134614_V06,2,1.494,1.200,10346,0,662691.836,2997,0,5672.237
KSOX20210616-7,KSOX20210616_133635_V06,0,0.483,1.200,5288,0,17334.556,131,0,1151.254
KSOX20210616-7,KSOX20210616_133635_V06,2,1.494,1.200,5291,0,100534.964,457,0,536.683
KSOX20210616-7,KSOX20210616_134614_V06,0,0.483,1.200,2327,0,27020.892,77,0,509.090
KSOX20210616-7,KSOX20210616_134614_V06,2,1.494,1.200,2332,0,63958.118,147,0,124.908
KSOX20210616-9,KSOX20210616_134614_V06,0,0.483,1.200,2492,0,41290.110,306,0,2267.606
KSOX20210616-9,KSOX20210616_134614_V06,2,1.494,1.200,2493,0,77211.389,503,0,1112.132
KSOX20210618-5,KSOX20210618_125216_V06,0,0.483,1.200,2318,0,5212.132,384,0,386.850
