track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KSRX20230601-1,KSRX20230601_110610_V06,0,0.483,1.200,472,0,8541.230,34,0,8318.698
KSRX20230601-1,KSRX20230601_110610_V06,2,0.879,1.200,473,0,1893.364,44,0,1711.536
KSRX20230601-1,KSRX20230601_110610_V06,4,1.318,1.200,472,0,509.245,187,0,278.665
KSRX20230601-1,KSRX20230601_110610_V06,8,1.802,1.200,236,0,156.436,30,0,76.594
KSRX20230601-1,KSRX20230601_110610_V06,9,2.417,1.200,235,0,697.405,90,0,254.760
KSRX20230601-1,KSRX20230601_110610_V06,10,3.120,1.200,237,0,58.765,20,0,29.469
KSRX20230601-1,KSRX20230601_110610_V06,11,3.999,1.200,238,0,20.994,3,0,14.737
KSRX20230603-14,KSRX20230603_114525_V06,0,0.483,1.200,5489,0,73388.225,1407,0,3904.406
KSRX20230603-14,KSRX20230603_114525_V06,2,0.879,1.200,5494,0,45269.161,1587,0,2554.329
KSRX20230603-14,KSRX20230603_114525_V06,4,1.318,1.200,5492,0,43329.638,1931,0,1829.870
KSRX20230603-14,KSRX20230603_114525_V06,8,1.802,1.200,2757,0,30297.293,1059,0,706.232
KSRX20230603-14,KSRX20230603_114525_V06,9,2.417,1.200,2756,0,29601.088,939,0,399.706
KSRX20230603-14,KSRX20230603_114525_V06,10,3.120,1.200,2754,0,28156.443,808,0,811.229
KSRX20230603-14,KSRX20230603_114525_V06,11,3.999,1.200,2761,0,25433.847,908,0,269.111
KSRX20230603-14,KSRX20230603_114525_V06,12,5.098,1.200,2759,0,48574.761,1364,0,15328.144
KSRX20230603-14,KSRX20230603_114525_V06,13,6.416,1.200,2767,0,11999.152,1673,0,679.010
KSRX20230603-14,KSRX20230603_115054_V06,0,0.483,1.200,12707,0,30030.592,2458,0,6171.160
KSRX20230603-14,KSRX20230603_115054_V06,2,0.879,1.200,12710,0,21388.161,3268,0,4015.405
KSRX20230603-14,KSRX20230603_115054_V06,4,1.318,1.200,12710,0,19363.347,4005,0,3006.520
KSRX20230603-14,KSRX20230603_115054_V06,8,1.802,1.200,6351,0,12090.201,1779,0,1222.394
KSRX20230603-14,KSRX20230603_115054_V06,9,2.417,1.200,6355,0,10792.520,1491,0,586.009
KSRX20230603-14,KSRX20230603_115054_V06,10,3.120,1.200,6361,0,7664.194,1388,0,448.729
KSRX20230603-14,KSRX20230603_115054_V06,11,3.999,1.200,6367,0,4970.228,1939,0,401.096
KSRX20230603-14,KSRX20230603_115054_V06,12,5.098,1.200,6381,0,5391.522,2728,0,878.088
KSRX20230603-14,KSRX20230603_115054_V06,13,6.416,1.200,6397,0,1690.095,2670,0,238.041
KSRX20230603-5,KSRX20230603_110433_V06,0,0.483,1.200,5791,0,10559.193,575,0,3939.568
KSRX20230603-5,KSRX20230603_110433_V06,2,0.879,1.200,5791,0,25943.460,1683,0,7912.293
KSRX20230603-5,KSRX20230603_110433_V06,4,1.318,1.200,5792,0,19586.416,1506,0,4560.459
KSRX20230603-5,KSRX20230603_110433_V06,6,1.802,1.200,2897,0,3751.087,53,0,349.811
KSRX20230603-6,KSRX20230603_110433_V06,0,0.483,1.200,1333,0,85876.561,362,0,13953.134
KSRX20230603-6,KSRX20230603_110433_V06,2,0.879,1.200,1330,2,106116.325,404,0,3159.208
KSRX20230603-6,KSRX20230603_110433_V06,4,1.318,1.200,1331,0,106742.660,581,0,1188.545
KSRX20230603-6,KSRX20230603_110433_V06,6,1.802,1.200,663,0,101621.699,232,0,783.929
KSRX20230603-6,KSRX20230603_110433_V06,7,2.417,1.200,667,0,78821.130,337,0,973.112
KSRX20230603-6,KSRX20230603_110433_V06,10,3.120,1.200,664,0,45679.621,483,0,702.750
KSRX20230603-6,KSRX20230603_110433_V06,11,3.999,1.200,669,0,21113.552,408,0,244.096
KSRX20230603-6,KSRX20230603_110433_V06,12,5.098,1.200,668,0,2946.516,217,0,43.423
KSRX20230604-3,KSRX20230604_104155_V06,0,0.483,1.200,272,0,21433.081,39,0,21011.698
KSRX20230604-3,KSRX20230604_104155_V06,2,0.879,1.200,273,0,1756.148,52,0,1705.045
KSRX20230604-3,KSRX20230604_104155_V06,4,1.318,1.200,271,0,460.305,164,0,177.946
KSRX20230604-3,KSRX20230604_104155_V06,8,1.802,1.200,134,0,753.667,89,0,208.147
KSRX20230604-3,KSRX20230604_104155_V06,9,2.417,1.200,135,0,405.092,58,0,117.323
KSRX20230604-3,KSRX20230604_104155_V06,10,3.120,1.200,134,0,8.415,3,0,1.430
KSRX20230604-3,KSRX20230604_104155_V06,11,3.999,1.200,135,0,6.861,1,0,3.701
KSRX20230604-3,KSRX20230604_104726_V06,0,0.483,1.200,1735,0,16012.812,221,0,14732.874
KSRX20230604-3,KSRX20230604_104726_V06,2,0.879,1.200,1735,0,3133.833,317,0,2817.193
KSRX20230604-3,KSRX20230604_104726_V06,4,1.318,1.200,1733,0,2174.675,897,0,868.147
KSRX20230604-3,KSRX20230604_104726_V06,8,1.802,1.200,860,0,4792.018,533,0,1444.066
KSRX20230604-3,KSRX20230604_104726_V06,9,2.417,1.200,860,0,3866.502,471,0,977.375
KSRX20230604-3,KSRX20230604_104726_V06,10,3.120,1.200,861,0,245.914,89,0,85.351
KSRX20230604-3,KSRX20230604_104726_V06,11,3.999,1.200,865,0,34.930,6,0,18.634
KSRX20230604-5,KSRX20230604_112550_V06,0,0.483,1.200,932,0,59571.564,143,0,58593.882
KSRX20230604-5,KSRX20230604_112550_V06,2,0.879,1.200,932,0,7182.403,110,0,6949.578
KSRX20230604-5,KSRX20230604_112550_V06,4,1.318,1.200,933,0,428.223,64,0,93.182
KSRX20230604-5,KSRX20230604_112550_V06,8,1.802,1.200,465,0,250.491,49,0,111.789
KSRX20230604-5,KSRX20230604_112550_V06,9,2.417,1.200,469,0,2669.157,227,0,618.761
KSRX20230604-5,KSRX20230604_112550_V06,10,3.120,1.200,468,0,606.434,143,0,136.563
KSRX20230604-5,KSRX20230604_112550_V06,11,3.999,1.200,468,0,9.305,4,0,2.363
KSRX20230604-6,KSRX20230604_114218_V06,0,0.483,1.200,856,0,89724.796,114,0,72811.096
KSRX20230604-6,KSRX20230604_114218_V06,2,0.879,1.200,856,0,9514.228,99,0,8085.688
KSRX20230604-6,KSRX20230604_114218_V06,4,1.318,1.200,855,0,165.948,71,0,105.722
KSRX20230604-6,KSRX20230604_114218_V06,8,1.802,1.200,427,0,465.579,71,0,183.693
KSRX20230604-6,KSRX20230604_114218_V06,9,2.417,1.200,427,0,2721.563,256,0,610.341
KSRX20230604-6,KSRX20230604_114218_V06,10,3.120,1.200,428,0,385.384,88,0,134.879
KSRX20230604-6,KSRX20230604_114218_V06,11,3.999,1.200,431,0,18.244,5,0,9.197
KSRX20230604-7,KSRX20230604_121518_V06,0,0.483,1.200,1036,0,215931.176,157,0,187197.675
KSRX20230604-7,KSRX20230604_121518_V06,2,0.879,1.200,1036,0,12703.323,101,0,11551.169
KSRX20230604-7,KSRX20230604_121518_V06,4,1.318,1.200,1037,0,241.866,89,0,161.250
KSRX20230604-7,KSRX20230604_121518_V06,8,1.802,1.200,520,0,559.839,65,0,145.851
KSRX20230604-7,KSRX20230604_121518_V06,9,2.417,1.200,520,0,4490.787,325,0,1008.415
KSRX20230604-7,KSRX20230604_121518_V06,10,3.120,1.200,521,0,1607.203,213,0,359.575
KSRX20230604-7,KSRX20230604_121518_V06,11,3.999,1.200,520,0,28.527,9,0,11.340
KSRX20230605-2,KSRX20230605_112828_V06,0,0.483,1.200,9602,0,200570.673,4235,0,60654.519
KSRX20230605-2,KSRX20230605_112828_V06,2,0.879,1.200,9611,0,126262.080,3470,0,24371.804
KSRX20230605-2,KSRX20230605_112828_V06,4,1.318,1.200,9616,0,34029.845,1199,0,4869.744
KSRX20230607-2,KSRX20230607_111752_V06,0,0.483,1.200,9292,0,292404.385,4540,0,161399.051
KSRX20230607-2,KSRX20230607_111752_V06,2,0.879,1.200,18590,0,742433.151,11726,0,189830.762
KSRX20230607-2,KSRX20230607_111752_V06,4,1.318,1.200,9300,0,108960.404,4043,0,18645.057
KSRX20230607-3,KSRX20230607_121452_V06,0,0.483,1.200,4126,0,87782.523,2186,0,35048.864
KSRX20230607-3,KSRX20230607_121452_V06,2,0.879,1.200,4124,0,156093.513,3018,0,32458.135
KSRX20230607-3,KSRX20230607_121452_V06,4,1.318,1.200,4123,0,51904.651,2118,0,11728.040
KSRX20230608-1,KSRX20230608_100321_V06,0,0.483,1.200,248,0,16194.465,90,0,9523.915
KSRX20230608-1,KSRX20230608_100321_V06,2,0.879,1.200,247,0,18184.248,146,0,6058.147
KSRX20230608-1,KSRX20230608_100321_V06,4,1.318,1.200,248,0,16016.665,214,0,1586.862
KSRX20230608-1,KSRX20230608_100321_V06,8,1.802,1.200,122,0,1666.626,69,0,199.614
KSRX20230608-1,KSRX20230608_100321_V06,9,2.417,1.200,123,0,0.514,0,0,0.514
KSRX20230610-3,KSRX20230610_121036_V06,0,0.483,1.200,14309,0,21425.328,3436,0,14896.085
KSRX20230610-3,KSRX20230610_121036_V06,2,0.879,1.200,14303,0,46492.867,2853,0,35470.977
KSRX20230610-3,KSRX20230610_121036_V06,4,1.318,1.200,14311,0,36161.600,3220,0,28846.733
KSRX20230610-3,KSRX20230610_121036_V06,8,1.802,1.200,7154,0,4779.618,580,0,3596.502
KSRX20230610-3,KSRX20230610_121036_V06,9,2.417,1.200,7158,0,2066.700,285,0,907.092
KSRX20230610-3,KSRX20230610_121036_V06,10,3.120,1.200,7165,0,3807.154,809,0,1081.977
KSRX20230610-3,KSRX20230610_121036_V06,11,3.999,1.200,7170,0,5401.349,2021,0,702.223
KSRX20230611-9,KSRX20230611_121208_V06,0,0.483,1.200,7286,0,908476.268,1809,0,65886.498
KSRX20230611-9,KSRX20230611_121208_V06,2,0.879,1.200,7286,0,802805.847,1953,0,59066.017
KSRX20230611-9,KSRX20230611_121739_V06,0,0.483,1.200,10152,0,914529.329,1930,0,32223.364
KSRX20230611-9,KSRX20230611_121739_V06,2,0.879,1.200,10163,0,1436960.154,2469,0,76503.473
KSRX20230611-9,KSRX20230611_122309_V06,0,0.483,1.200,10666,0,496854.612,1360,0,48428.443
KSRX20230611-9,KSRX20230611_122309_V06,2,0.879,1.200,10675,0,643214.213,1678,0,196315.353
KSRX20230611-9,KSRX20230611_122840_V06,0,0.483,1.200,11776,0,186577.741,1128,0,16775.857
KSRX20230611-9,KSRX20230611_122840_V06,2,0.879,1.200,11776,0,150976.900,1348,0,28995.688
KSRX20230611-3,KSRX20230611_101110_V06,0,0.483,1.200,650,0,8279.170,73,0,7951.852
KSRX20230611-3,KSRX20230611_101110_V06,2,0.879,1.200,650,0,3880.981,137,0,3534.446
KSRX20230611-3,KSRX20230611_101110_V06,4,1.318,1.200,648,0,1045.431,268,0,533.668
KSRX20230611-3,KSRX20230611_101110_V06,6,1.802,1.200,328,0,114.387,34,0,50.198
KSRX20230611-3,KSRX20230611_101110_V06,9,2.417,1.200,327,0,8.192,2,0,5.298
KSRX20230611-3,KSRX20230611_101110_V06,10,3.120,1.200,329,0,9.633,0,0,9.633
KSRX20230611-3,KSRX20230611_101110_V06,11,3.999,1.200,324,0,43.842,3,0,21.153
KSRX20230611-7,KSRX20230611_110046_V06,0,0.483,1.200,1081,0,78921.125,128,0,69063.280
KSRX20230611-7,KSRX20230611_110046_V06,2,0.879,1.200,1082,0,37738.781,138,0,32443.754
KSRX20230611-7,KSRX20230611_110046_V06,4,1.318,1.200,1081,0,6745.962,388,0,4223.612
KSRX20230611-7,KSRX20230611_110046_V06,8,1.802,1.200,541,0,210.943,38,0,89.995
KSRX20230611-7,KSRX20230611_110046_V06,9,2.417,1.200,542,0,51.517,5,0,38.974
KSRX20230611-7,KSRX20230611_110046_V06,10,3.120,1.200,542,0,63.318,3,0,52.620
KSRX20230611-7,KSRX20230611_110046_V06,11,3.999,1.200,545,0,17.541,3,0,11.150
KSRX20230611-8,KSRX20230611_110607_V06,0,0.483,1.200,9091,0,36157.856,751,0,9744.265
KSRX20230611-8,KSRX20230611_110607_V06,2,0.879,1.200,9095,0,8707.032,395,0,2971.986
KSRX20230611-8,KSRX20230611_110607_V06,4,1.318,1.200,9092,0,317.575,15,0,161.806
KSRX20230612-1,KSRX20230612_111442_V06,0,0.483,1.200,1461,0,1938190.442,1089,0,354948.555
KSRX20230612-1,KSRX20230612_111442_V06,2,0.879,1.200,1460,0,7097111.178,1252,0,921075.780
KSRX20230612-1,KSRX20230612_111442_V06,4,1.318,1.200,1460,0,7865870.084,1397,0,250888.486
KSRX20230613-8,KSRX20230613_105340_V06,0,0.483,1.200,465,0,8103.435,48,0,8040.923
KSRX20230613-8,KSRX20230613_105340_V06,2,0.879,1.200,465,0,3447.841,97,0,3268.630
KSRX20230613-8,KSRX20230613_105340_V06,4,1.318,1.200,463,0,1030.168,206,0,641.591
KSRX20230613-8,KSRX20230613_105340_V06,6,1.802,1.200,232,0,544.720,139,0,197.534
KSRX20230613-8,KSRX20230613_105340_V06,7,2.417,1.200,235,0,470.424,163,0,108.075
KSRX20230613-8,KSRX20230613_105340_V06,8,3.120,1.200,236,0,101.393,134,0,25.547
KSRX20230613-8,KSRX20230613_105340_V06,9,3.999,1.200,236,0,44.154,91,0,12.934
KSRX20230613-8,KSRX20230613_105340_V06,10,5.098,1.200,235,0,17.813,37,0,8.530
KSRX20230613-8,KSRX20230613_105340_V06,11,6.416,1.200,236,0,0.491,2,0,0.132
KSRX20230613-9,KSRX20230613_115214_V06,0,0.483,1.200,542,0,19694.833,53,0,17813.286
KSRX20230613-9,KSRX20230613_115214_V06,2,0.879,1.200,544,0,4867.599,64,0,4677.205
KSRX20230613-9,KSRX20230613_115214_V06,4,1.318,1.200,543,0,695.436,112,0,516.619
KSRX20230613-9,KSRX20230613_115214_V06,6,1.802,1.200,271,0,53.749,5,0,36.549
KSRX20230613-9,KSRX20230613_115214_V06,7,2.417,1.200,270,0,21.471,1,0,16.792
KSRX20230613-9,KSRX20230613_115214_V06,8,3.120,1.200,273,0,66.346,11,0,42.411
KSRX20230613-9,KSRX20230613_115214_V06,9,3.999,1.200,273,0,26.321,6,0,8.511
KSRX20230614-2,KSRX20230614_103247_V06,0,0.483,1.200,430,0,6744.846,37,0,6578.600
KSRX20230614-2,KSRX20230614_103247_V06,2,0.879,1.200,431,0,1768.779,53,0,1569.131
KSRX20230614-2,KSRX20230614_103247_V06,4,1.318,1.200,430,0,362.456,80,0,269.922
KSRX20230614-2,KSRX20230614_103247_V06,6,1.802,1.200,216,0,16.926,1,0,14.944
KSRX20230614-2,KSRX20230614_103247_V06,7,2.417,1.200,214,0,13.254,0,0,13.254
KSRX20230614-2,KSRX20230614_103247_V06,8,3.120,1.200,214,0,3.845,0,0,3.845
KSRX20230614-2,KSRX20230614_103247_V06,9,3.999,1.200,215,0,31.785,3,0,25.995
KSRX20230616-5,KSRX20230616_110731_V06,0,0.483,1.200,1203,0,22973.669,200,0,601.149
KSRX20230616-5,KSRX20230616_110731_V06,2,0.879,1.200,1205,0,96859.850,295,0,1105.952
KSRX20230616-5,KSRX20230616_110731_V06,4,1.318,1.200,1203,0,291232.377,339,0,1204.575
KSRX20230616-9,KSRX20230616_112444_V06,0,0.483,1.200,2716,0,326914.301,113,0,320590.894
KSRX20230616-9,KSRX20230616_112444_V06,2,0.879,1.200,2714,0,125096.410,341,0,115038.648
KSRX20230616-9,KSRX20230616_112444_V06,4,1.318,1.200,2720,0,15246.143,1326,0,6841.394
