track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KTBW20230604-3,KTBW20230604_101235_V06,0,0.483,1.200,3278,0,10134.373,761,0,8297.776
KTBW20230604-3,KTBW20230604_101235_V06,2,0.879,1.200,3279,0,455.641,761,0,303.444
KTBW20230604-3,KTBW20230604_101235_V06,6,1.318,1.200,3278,0,44.283,485,0,25.382
KTBW20230604-3,KTBW20230604_101235_V06,8,1.802,1.200,1633,0,5.788,18,0,2.296
KTBW20230604-3,KTBW20230604_101235_V06,9,2.417,1.200,1633,0,1.390,0,0,1.390
KTBW20230604-3,KTBW20230604_101235_V06,12,3.120,1.200,1634,0,1.654,1,0,1.606
KTBW20230604-3,KTBW20230604_101235_V06,13,3.999,1.200,1637,0,1.132,4,0,0.836
KTBW20230604-3,KTBW20230604_101235_V06,14,5.098,1.200,1642,0,1.232,1,0,1.092
KTBW20230604-3,KTBW20230604_101235_V06,15,6.416,1.200,1648,0,1.683,7,0,1.087
KTBW20230605-2,KTBW20230605_100827_V06,0,0.483,1.200,4614,0,16756.267,413,0,16012.661
KTBW20230605-2,KTBW20230605_100827_V06,2,0.879,1.200,4614,0,783.591,670,0,723.375
KTBW20230605-2,KTBW20230605_100827_V06,4,1.318,1.200,4614,0,46.318,734,0,25.055
KTBW20230605-2,KTBW20230605_100827_V06,8,1.802,1.200,2311,0,4.880,42,0,2.004
KTBW20230605-2,KTBW20230605_100827_V06,9,2.417,1.200,2313,0,2.846,17,0,2.073
KTBW20230605-2,KTBW20230605_100827_V06,10,3.120,1.200,2316,0,3.150,15,0,2.263
KTBW20230605-2,KTBW20230605_100827_V06,11,3.999,1.200,2314,0,3.238,16,0,2.350
KTBW20230605-2,KTBW20230605_100827_V06,12,5.098,1.200,2315,0,3.585,18,0,2.434
KTBW20230605-2,KTBW20230605_100827_V06,13,6.416,1.200,2320,0,3.177,18,0,2.038
KTBW20230606-1,KTBW20230606_101533_V06,0,0.483,1.200,13073,0,115967.945,2306,0,108064.935
KTBW20230606-1,KTBW20230606_101533_V06,2,0.879,1.200,13072,0,10131.964,1774,0,8252.592
