track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KUDX20180601-6,KUDX20180601_115243_V06,0,0.483,1.200,972,0,132639.244,126,0,116301.967
KUDX20180601-6,KUDX20180601_115243_V06,2,0.879,1.200,977,0,53367.720,147,0,40236.824
KUDX20180601-6,KUDX20180601_115243_V06,4,1.318,1.200,973,0,3589.696,109,0,2139.911
KUDX20180601-6,KUDX20180601_115243_V06,6,1.802,1.200,487,0,52.547,1,0,49.975
KUDX20180601-6,KUDX20180601_115243_V06,9,2.417,1.200,490,0,59.610,2,0,43.445
KUDX20180601-6,KUDX20180601_115243_V06,10,3.120,1.200,495,0,20.923,4,0,12.598
KUDX20180601-6,KUDX20180601_115243_V06,11,3.999,1.200,490,0,62.158,5,0,28.091
KUDX20180602-6,KUDX20180602_112604_V06,0,0.483,1.200,883,0,110701.922,43,0,100184.829
KUDX20180602-6,KUDX20180602_112604_V06,2,0.879,1.200,882,0,50575.417,49,0,48349.476
KUDX20180602-6,KUDX20180602_112604_V06,4,1.318,1.200,881,0,1344.739,46,0,998.117
KUDX20180602-6,KUDX20180602_112604_V06,8,1.802,1.200,440,0,28.444,3,0,22.615
KUDX20180602-6,KUDX20180602_112604_V06,9,2.417,1.200,441,0,12.256,1,0,10.318
KUDX20180602-6,KUDX20180602_112604_V06,10,3.120,1.200,440,0,31.727,9,0,7.960
KUDX20180602-6,KUDX20180602_112604_V06,11,3.999,1.200,441,0,65.917,11,0,22.404
KUDX20180603-1,KUDX20180603_101202_V06,0,0.483,1.200,588,0,28696.286,39,0,24551.539
KUDX20180603-1,KUDX20180603_101202_V06,2,0.879,1.200,588,0,672.891,34,0,613.341
KUDX20180603-1,KUDX20180603_101202_V06,4,1.318,1.200,587,0,73.527,24,0,59.388
KUDX20180603-1,KUDX20180603_101202_V06,6,1.802,1.200,292,0,5.742,4,0,1.392
KUDX20180603-1,KUDX20180603_101202_V06,7,2.417,1.200,292,0,8.648,5,0,4.790
KUDX20180603-1,KUDX20180603_101202_V06,8,3.120,1.200,294,0,10.185,6,0,6.144
KUDX20180603-1,KUDX20180603_101202_V06,9,3.999,1.200,296,0,4.485,2,0,3.001
KUDX20180603-1,KUDX20180603_101202_V06,10,5.098,1.200,296,0,7.061,5,0,3.242
KUDX20180603-1,KUDX20180603_101909_V06,0,0.483,1.200,2754,0,35233.225,253,0,31851.730
KUDX20180603-1,KUDX20180603_101909_V06,2,0.879,1.200,2755,0,860.077,137,0,679.143
KUDX20180603-1,KUDX20180603_101909_V06,4,1.318,1.200,2758,0,328.025,85,0,236.970
KUDX20180603-1,KUDX20180603_101909_V06,6,1.802,1.200,1379,0,22.682,17,0,8.678
KUDX20180603-1,KUDX20180603_101909_V06,7,2.417,1.200,1380,0,20.723,18,0,8.379
KUDX20180603-1,KUDX20180603_101909_V06,8,3.120,1.200,1380,0,16.322,18,0,6.922
KUDX20180603-1,KUDX20180603_101909_V06,9,3.999,1.200,1382,0,9.979,6,0,6.728
KUDX20180603-1,KUDX20180603_101909_V06,10,5.098,1.200,1385,0,18.694,10,0,12.096
KUDX20180603-2,KUDX20180603_101202_V06,0,0.483,1.200,504,0,123585.918,29,0,107994.509
KUDX20180603-2,KUDX20180603_101202_V06,2,0.879,1.200,503,0,41126.623,49,0,36498.526
KUDX20180603-2,KUDX20180603_101202_V06,4,1.318,1.200,503,0,882.100,29,0,799.614
KUDX20180603-2,KUDX20180603_101202_V06,6,1.802,1.200,252,0,12.420,6,0,1.498
KUDX20180603-2,KUDX20180603_101202_V06,7,2.417,1.200,252,0,14.084,5,0,2.626
KUDX20180603-2,KUDX20180603_101202_V06,8,3.120,1.200,255,0,3.322,0,0,3.322
KUDX20180603-2,KUDX20180603_101202_V06,9,3.999,1.200,254,0,27.183,3,0,17.416
KUDX20180603-2,KUDX20180603_101909_V06,0,0.483,1.200,2080,0,143806.003,162,0,129321.174
KUDX20180603-2,KUDX20180603_101909_V06,2,0.879,1.200,2082,0,49818.624,148,0,45270.420
KUDX20180603-2,KUDX20180603_101909_V06,4,1.318,1.200,2081,0,2196.037,114,0,1893.437
KUDX20180603-2,KUDX20180603_101909_V06,6,1.802,1.200,1047,0,53.357,5,0,35.383
KUDX20180603-2,KUDX20180603_101909_V06,7,2.417,1.200,1045,0,23.623,7,0,3.008
KUDX20180603-2,KUDX20180603_101909_V06,8,3.120,1.200,1046,0,177.472,12,0,21.612
KUDX20180603-2,KUDX20180603_101909_V06,9,3.999,1.200,1047,0,83.166,10,0,53.001
KUDX20180604-1,KUDX20180604_102326_V06,0,0.483,1.200,750,0,132300.798,69,0,118288.850
KUDX20180604-1,KUDX20180604_102326_V06,2,0.879,1.200,750,0,50042.875,81,0,44716.596
KUDX20180604-1,KUDX20180604_102326_V06,4,1.318,1.200,751,0,1984.847,66,0,1810.477
KUDX20180604-1,KUDX20180604_102326_V06,6,1.802,1.200,375,0,23.411,2,0,18.283
KUDX20180604-1,KUDX20180604_102326_V06,7,2.417,1.200,377,0,19.421,3,0,11.951
KUDX20180604-1,KUDX20180604_102326_V06,8,3.120,1.200,377,0,31.849,6,0,12.537
