track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KVAX20170601-1,KVAX20170601_093316_V06,0,0.483,1.200,2606,0,150427.857,234,0,144446.531
KVAX20170601-1,KVAX20170601_093316_V06,2,1.450,1.200,2610,0,1882.631,135,0,529.871
KVAX20170601-1,KVAX20170601_093316_V06,4,2.417,1.200,1307,0,6410.397,70,0,1734.107
KVAX20170601-1,KVAX20170601_093316_V06,5,3.384,1.200,1306,0,25692.960,192,0,292.886
KVAX20170601-1,KVAX20170601_093812_V06,0,0.483,1.200,4941,0,55709.049,602,0,49338.015
KVAX20170601-1,KVAX20170601_093812_V06,2,1.450,1.200,4942,0,2991.801,212,0,526.502
KVAX20170601-1,KVAX20170601_093812_V06,4,2.417,1.200,2472,0,10778.251,95,0,2549.384
KVAX20170601-1,KVAX20170601_093812_V06,5,3.384,1.200,2497,0,18078.431,203,0,304.442
KVAX20170601-3,KVAX20170601_093316_V06,0,0.483,1.200,134,0,5890.687,6,0,5801.155
KVAX20170601-3,KVAX20170601_093316_V06,2,1.450,1.200,133,0,0.058,0,0,0.058
KVAX20170601-3,KVAX20170601_093316_V06,4,2.417,1.200,75,0,0.066,0,0,0.066
KVAX20170601-3,KVAX20170601_093316_V06,5,3.384,1.200,76,0,0.067,0,0,0.067
KVAX20170601-3,KVAX20170601_093316_V06,6,4.307,1.200,75,0,0.066,0,0,0.066
KVAX20170601-3,KVAX20170601_093316_V06,7,6.021,1.200,75,0,1.125,0,0,1.125
KVAX20170601-3,KVAX20170601_093812_V06,0,0.483,1.200,1386,0,11964.797,290,0,9545.674
KVAX20170601-3,KVAX20170601_093812_V06,2,1.450,1.200,1385,0,17.003,3,0,16.044
KVAX20170601-3,KVAX20170601_093812_V06,4,2.417,1.200,704,0,0.615,0,0,0.615
KVAX20170601-3,KVAX20170601_093812_V06,5,3.384,1.200,703,0,0.615,0,0,0.615
KVAX20170601-3,KVAX20170601_093812_V06,6,4.307,1.200,701,0,0.616,0,0,0.616
KVAX20170601-3,KVAX20170601_093812_V06,7,6.021,1.200,703,0,55.530,26,0,9.641
KVAX20170601-11,KVAX20170601_110243_V06,0,0.483,1.200,4044,0,92793.688,343,0,43017.134
KVAX20170601-11,KVAX20170601_110739_V06,0,0.483,1.200,6079,0,86295.736,483,0,39213.845
KVAX20170601-5,KVAX20170601_095257_V06,0,0.483,1.200,4884,0,137745.866,194,0,130329.234
KVAX20170601-5,KVAX20170601_095257_V06,2,1.450,1.200,4880,0,2121.837,33,0,1534.725
KVAX20170601-7,KVAX20170601_100809_V06,0,0.483,1.200,19187,0,2666224.568,4518,0,529829.286
KVAX20170601-7,KVAX20170601_100809_V06,2,1.450,1.200,19189,0,4865231.476,5051,0,874750.590
KVAX20170601-8,KVAX20170601_100809_V06,0,0.483,1.200,3205,0,147060.782,495,0,121154.014
KVAX20170601-8,KVAX20170601_100809_V06,2,1.450,1.200,3203,0,548.953,678,0,371.435
KVAX20170601-8,KVAX20170601_100809_V06,4,2.417,1.200,1602,0,35.966,53,0,23.198
KVAX20170601-8,KVAX20170601_100809_V06,5,3.384,1.200,1605,0,7.658,34,0,5.126
KVAX20170601-8,KVAX20170601_100809_V06,6,4.307,1.200,1607,0,8.360,8,0,6.609
KVAX20170601-8,KVAX20170601_100809_V06,7,6.021,1.200,1613,0,27.104,23,0,7.885
KVAX20170601-9,KVAX20170601_101826_V06,0,0.483,1.200,629,0,52152.615,17,0,51548.150
KVAX20170601-9,KVAX20170601_101826_V06,2,1.450,1.200,629,0,3.052,1,0,0.679
KVAX20170601-9,KVAX20170601_101826_V06,4,2.417,1.200,313,0,97.981,2,0,81.718
KVAX20170601-9,KVAX20170601_101826_V06,5,3.384,1.200,314,0,105.390,0,0,105.390
KVAX20170601-10,KVAX20170601_101826_V06,0,0.483,1.200,1615,0,18033.838,117,0,7391.159
KVAX20170601-10,KVAX20170601_101826_V06,2,1.450,1.200,1622,0,31613.582,244,0,1878.208
KVAX20170601-12,KVAX20170601_110739_V06,0,0.483,1.200,1467,0,52120.836,234,0,6429.391
KVAX20170601-13,KVAX20170601_111234_V06,0,0.483,1.200,400,0,14737.178,154,0,908.877
KVAX20170601-13,KVAX20170601_111234_V06,2,1.450,1.200,398,0,200317.177,191,0,14818.846
KVAX20170602-8,KVAX20170602_111722_V06,0,0.483,1.200,16906,0,161228.463,2497,0,49158.546
KVAX20170602-8,KVAX20170602_111722_V06,2,1.450,1.200,16913,0,173399.108,3544,0,2831.484
KVAX20170602-8,KVAX20170602_111722_V06,4,2.417,1.200,8472,0,168662.189,1649,0,2745.691
KVAX20170602-8,KVAX20170602_112217_V06,0,0.483,1.200,21376,0,155344.071,2987,0,47027.421
KVAX20170602-8,KVAX20170602_112217_V06,2,1.450,1.200,21393,0,115290.391,3594,0,2282.624
KVAX20170602-8,KVAX20170602_112217_V06,4,2.417,1.200,10706,0,101241.521,1548,0,1723.725
KVAX20170602-8,KVAX20170602_112712_V06,0,0.483,1.200,26990,0,149244.158,3618,0,34878.914
KVAX20170602-8,KVAX20170602_112712_V06,2,1.450,1.200,27002,0,78382.024,3605,0,2258.224
KVAX20170602-8,KVAX20170602_112712_V06,4,2.417,1.200,13517,0,74913.663,1453,0,3416.825
KVAX20170602-8,KVAX20170602_113207_V06,0,0.483,1.200,14575,0,52041.952,2182,0,19570.555
KVAX20170602-8,KVAX20170602_113207_V06,2,1.450,1.200,14587,0,30040.096,1876,0,637.756
KVAX20170602-8,KVAX20170602_113207_V06,4,2.417,1.200,7304,0,24500.378,749,0,105.287
KVAX20170602-8,KVAX20170602_113207_V06,5,3.384,1.200,7306,0,31578.452,495,0,5137.029
KVAX20170602-8,KVAX20170602_113728_V06,0,0.483,1.200,21560,0,36158.659,2613,0,15712.251
KVAX20170602-8,KVAX20170602_113728_V06,2,1.450,1.200,21570,0,17347.137,1912,0,811.969
KVAX20170602-8,KVAX20170602_113728_V06,4,2.417,1.200,10797,0,15882.646,699,0,235.472
KVAX20170602-8,KVAX20170602_113728_V06,5,3.384,1.200,10810,0,21788.493,557,0,3002.272
KVAX20170602-8,KVAX20170602_114250_V06,0,0.483,1.200,11205,0,17637.548,1367,0,9272.256
KVAX20170602-8,KVAX20170602_114250_V06,2,1.450,1.200,11210,0,7252.017,883,0,383.238
KVAX20170602-8,KVAX20170602_114250_V06,4,2.417,1.200,5608,0,3671.604,246,0,72.003
KVAX20170602-8,KVAX20170602_114250_V06,5,3.384,1.200,5618,0,3995.605,155,0,1251.923
KVAX20170602-2,KVAX20170602_094355_V06,0,0.483,1.200,6602,0,89823.314,400,0,2452.468
KVAX20170602-2,KVAX20170602_094355_V06,2,1.450,1.200,6605,0,141816.068,907,0,6819.957
KVAX20170602-2,KVAX20170602_094850_V06,0,0.483,1.200,5127,0,115428.724,466,0,1782.736
KVAX20170602-2,KVAX20170602_094850_V06,2,1.450,1.200,5139,0,78502.280,686,0,4675.179
KVAX20170602-4,KVAX20170602_100335_V06,0,0.483,1.200,263,0,5774.984,59,0,3448.435
KVAX20170602-4,KVAX20170602_100335_V06,2,1.450,1.200,265,0,0.226,0,0,0.226
KVAX20170602-4,KVAX20170602_100335_V06,4,2.417,1.200,132,0,0.225,0,0,0.225
KVAX20170602-4,KVAX20170602_100335_V06,5,3.384,1.200,133,0,177.211,21,0,19.685
KVAX20170602-6,KVAX20170602_100830_V06,0,0.483,1.200,8149,0,26488.407,1469,0,24592.103
KVAX20170602-6,KVAX20170602_100830_V06,2,1.450,1.200,8149,0,1795.925,1269,0,1302.117
KVAX20170602-6,KVAX20170602_100830_V06,4,2.417,1.200,4078,0,53.199,79,0,26.991
KVAX20170602-6,KVAX20170602_100830_V06,5,3.384,1.200,4077,0,12.752,20,0,5.035
KVAX20170602-6,KVAX20170602_100830_V06,6,4.307,1.200,4083,0,2.566,8,0,2.383
KVAX20170602-6,KVAX20170602_100830_V06,7,6.021,1.200,4093,0,2.541,1,0,2.168
KVAX20170602-6,KVAX20170602_100830_V06,8,9.888,1.200,4140,0,5.824,17,0,2.275
KVAX20170602-11,KVAX20170602_113207_V06,0,0.483,1.200,6761,0,15368.643,659,0,3392.411
KVAX20170602-11,KVAX20170602_113207_V06,2,1.450,1.200,6732,0,8388.214,482,0,467.912
