track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KVBX20140602-1,KVBX20140602_115405_V06,0,0.483,1.200,382,0,8026.614,41,0,7262.828
KVBX20140602-1,KVBX20140602_115405_V06,2,1.494,1.200,381,0,52.837,2,0,50.510
KVBX20140602-1,KVBX20140602_115405_V06,4,2.505,1.200,192,0,0.355,0,0,0.355
KVBX20140602-1,KVBX20140602_115405_V06,5,3.516,1.200,190,0,18.164,4,0,7.564
KVBX20140605-1,KVBX20140605_132358_V06,0,0.483,1.200,4867,0,27935.596,29,0,22983.772
KVBX20140610-1,KVBX20140610_124254_V06,0,0.483,1.200,163,0,2659.604,0,0,2659.604
KVBX20140610-1,KVBX20140610_124254_V06,2,1.494,1.200,162,0,0.660,0,0,0.660
KVBX20140613-1,KVBX20140613_120348_V06,0,0.483,1.200,8378,0,79.776,2688,0,50.141
KVBX20140613-1,KVBX20140613_120348_V06,2,1.494,1.200,8384,0,22.138,2214,0,12.650
KVBX20140613-1,KVBX20140613_120348_V06,4,2.505,1.200,4194,0,31.220,438,0,21.175
KVBX20140613-1,KVBX20140613_120348_V06,5,3.516,1.200,4201,0,7.923,499,0,6.308
KVBX20140613-1,KVBX20140613_120348_V06,6,4.482,1.200,4206,0,6.906,681,0,4.017
KVBX20140613-2,KVBX20140613_123508_V06,0,0.483,1.200,5270,0,47332.606,1,0,47255.957
KVBX20140613-3,KVBX20140613_124450_V06,0,0.483,1.200,10765,0,117.397,3584,0,72.999
KVBX20140613-3,KVBX20140613_124450_V06,2,1.494,1.200,10772,0,4.816,3564,0,0.729
KVBX20140613-3,KVBX20140613_124450_V06,4,2.505,1.200,5394,0,18.609,2149,0,4.614
KVBX20140613-3,KVBX20140613_124450_V06,5,3.516,1.200,5400,0,9.301,1332,0,3.950
KVBX20140613-3,KVBX20140613_124450_V06,6,4.482,1.200,5403,0,9.829,1548,0,1.645
KVBX20140614-1,KVBX20140614_125410_V06,0,0.483,1.200,16105,0,2450101.573,356,0,2381112.861
KVBX20140614-1,KVBX20140614_125410_V06,2,1.450,1.200,16110,0,50.364,1,0,40.480
KVBX20140614-1,KVBX20140614_125410_V06,4,2.417,1.200,8067,0,31.847,0,0,31.847
KVBX20140614-2,KVBX20140614_133506_V06,0,0.483,1.200,7260,326,16627538.999,2,326,16627538.737
KVBX20140614-2,KVBX20140614_133506_V06,2,1.494,1.200,7260,0,49.738,10,0,38.106
KVBX20140614-2,KVBX20140614_133506_V06,4,2.505,1.200,7272,0,176.746,10,0,174.758
KVBX20140614-3,KVBX20140614_135433_V06,0,0.483,1.200,2983,0,58.952,155,0,36.007
KVBX20140614-3,KVBX20140614_135433_V06,2,1.494,1.200,2982,0,801.478,114,0,787.530
KVBX20140614-3,KVBX20140614_135433_V06,4,2.505,1.200,2981,0,44.120,150,0,31.749
KVBX20140614-3,KVBX20140614_135433_V06,6,3.516,1.200,1493,0,41.402,68,0,33.733
KVBX20140614-3,KVBX20140614_135433_V06,7,4.482,1.200,1497,0,36.363,92,0,29.521
KVBX20140616-1,KVBX20140616_115342_V06,0,0.483,1.200,1114,0,20.682,40,0,18.051
KVBX20140616-1,KVBX20140616_115342_V06,2,1.494,1.200,1117,0,81.513,105,0,56.633
KVBX20140616-1,KVBX20140616_115342_V06,4,2.505,1.200,1118,0,19.501,165,0,13.329
KVBX20140616-1,KVBX20140616_115342_V06,6,3.516,1.200,561,0,8.644,18,0,5.959
KVBX20140616-1,KVBX20140616_115342_V06,7,4.482,1.200,561,0,9.381,14,0,7.708
KVBX20140616-3,KVBX20140616_121309_V06,0,0.483,1.200,467,0,76.524,174,0,32.409
KVBX20140616-3,KVBX20140616_121309_V06,2,1.494,1.200,465,0,1.998,5,0,0.504
KVBX20140616-3,KVBX20140616_121309_V06,4,2.505,1.200,463,0,2.092,3,0,1.810
KVBX20140616-3,KVBX20140616_121309_V06,6,3.516,1.200,234,0,0.515,0,0,0.515
KVBX20140617-1,KVBX20140617_115150_V06,0,0.483,1.200,1129,0,13.240,27,0,11.451
KVBX20140617-1,KVBX20140617_115150_V06,2,1.494,1.200,1130,0,121.031,42,0,113.720
KVBX20140617-1,KVBX20140617_115150_V06,4,2.505,1.200,1126,0,26.739,273,0,9.948
KVBX20140617-1,KVBX20140617_115150_V06,6,3.516,1.200,563,0,13.191,23,0,10.489
KVBX20140617-1,KVBX20140617_115150_V06,7,4.482,1.200,569,0,8.738,18,0,6.460
KVBX20140618-1,KVBX20140618_115004_V06,0,0.483,1.200,9562,0,23852.575,2029,0,7288.635
KVBX20140618-2,KVBX20140618_131743_V06,0,0.483,1.200,8343,0,49309.398,22,0,49239.968
KVBX20140618-2,KVBX20140618_131743_V06,2,1.494,1.200,8348,0,41.964,23,0,26.074
KVBX20140618-2,KVBX20140618_131743_V06,4,2.505,1.200,8359,0,23.274,16,0,21.545
KVBX20140618-3,KVBX20140618_132727_V06,0,0.483,1.200,46144,0,3344239.320,4129,0,3320161.104
KVBX20140618-3,KVBX20140618_132727_V06,2,1.494,1.200,46172,0,306.973,249,0,169.288
KVBX20140618-3,KVBX20140618_132727_V06,4,2.505,1.200,46222,0,1170.045,357,0,165.334
KVBX20140618-4,KVBX20140618_133712_V06,0,0.483,1.200,7610,0,59432.671,3090,0,580.745
