track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KVTX20230603-3,KVTX20230603_121052_V06,0,0.483,1.200,453,0,132.898,45,0,109.107
KVTX20230603-3,KVTX20230603_121052_V06,2,1.494,1.200,454,0,128.097,30,0,110.294
KVTX20230603-3,KVTX20230603_121052_V06,4,2.505,1.200,461,0,95.561,32,0,84.663
KVTX20230603-3,KVTX20230603_121052_V06,6,3.516,1.200,230,0,12.430,90,0,7.943
KVTX20230603-3,KVTX20230603_121052_V06,7,4.482,1.200,226,0,0.878,27,0,0.597
KVTX20230603-5,KVTX20230603_122037_V06,0,0.483,1.200,7483,0,3415.080,1778,0,1792.131
KVTX20230603-5,KVTX20230603_122037_V06,2,1.494,1.200,7489,0,101.655,44,0,37.196
KVTX20230604-1,KVTX20230604_121618_V06,0,0.483,1.200,8324,0,6682.466,1780,0,4091.563
KVTX20230604-1,KVTX20230604_121618_V06,2,1.494,1.200,8332,0,133.401,40,0,74.825
KVTX20230604-2,KVTX20230604_133410_V06,0,0.483,1.200,799,0,699.058,62,0,614.830
KVTX20230604-2,KVTX20230604_133410_V06,2,1.494,1.200,798,0,106.138,448,0,52.305
KVTX20230604-2,KVTX20230604_133410_V06,4,2.505,1.200,796,0,33.310,425,0,13.216
KVTX20230604-2,KVTX20230604_133410_V06,6,3.516,1.200,402,0,0.686,0,0,0.686
KVTX20230605-3,KVTX20230605_124124_V06,0,0.483,1.200,11318,0,10925.662,1785,0,9034.471
KVTX20230605-3,KVTX20230605_124124_V06,2,1.494,1.200,11321,0,1096.217,3459,0,729.978
KVTX20230605-3,KVTX20230605_124124_V06,4,2.505,1.200,11326,0,110.824,1222,0,69.909
KVTX20230605-3,KVTX20230605_124124_V06,6,3.516,1.200,5667,0,16.786,39,0,14.769
KVTX20230612-1,KVTX20230612_122420_V06,0,0.483,1.200,1131,0,4.362,112,0,3.304
KVTX20230612-1,KVTX20230612_122420_V06,2,1.494,1.200,1132,0,3.502,68,0,2.760
KVTX20230612-1,KVTX20230612_122420_V06,4,2.505,1.200,567,0,1.046,4,0,0.889
KVTX20230612-1,KVTX20230612_122420_V06,5,3.516,1.200,567,0,0.817,4,0,0.726
KVTX20230612-1,KVTX20230612_122420_V06,6,4.482,1.200,567,0,1.579,26,0,0.990
KVTX20230621-2,KVTX20230621_130911_V06,0,0.483,1.200,2014,0,3367.247,43,0,3223.213
KVTX20230621-2,KVTX20230621_130911_V06,2,0.879,1.200,2014,0,29.352,3,0,12.057
KVTX20230621-2,KVTX20230621_130911_V06,4,1.318,1.200,2015,0,45.012,3,0,33.301
KVTX20230621-2,KVTX20230621_130911_V06,6,1.802,1.200,1007,0,5.185,0,0,5.185
KVTX20230621-2,KVTX20230621_131603_V06,0,0.483,1.200,5111,0,9573.030,113,0,8824.568
KVTX20230621-2,KVTX20230621_131603_V06,2,0.879,1.200,5108,0,659.359,25,0,443.294
KVTX20230621-2,KVTX20230621_131603_V06,4,1.318,1.200,5105,0,547.730,19,0,346.168
KVTX20230621-2,KVTX20230621_131603_V06,6,1.802,1.200,2558,0,13.168,0,0,13.168
KVTX20230621-2,KVTX20230621_132255_V06,0,0.483,1.200,822,0,8067.415,73,0,7540.378
KVTX20230621-2,KVTX20230621_132255_V06,2,0.879,1.200,822,0,234.221,14,0,103.478
KVTX20230621-2,KVTX20230621_132255_V06,4,1.318,1.200,823,0,298.985,7,0,235.109
KVTX20230621-2,KVTX20230621_132255_V06,6,1.802,1.200,415,0,114.783,4,0,17.240
KVTX20230626-1,KVTX20230626_134154_V06,0,0.483,1.200,7711,0,1752.587,778,0,1365.231
