track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KYUX20230601-1,KYUX20230601_130500_V06,0,0.483,1.200,1503,0,17866.732,153,0,6696.774
KYUX20230601-1,KYUX20230601_130500_V06,2,0.879,1.200,1503,0,1763.321,53,0,802.184
KYUX20230601-1,KYUX20230601_130500_V06,4,1.318,1.200,1503,0,6.520,0,0,6.520
KYUX20230602-3,KYUX20230602_130502_V06,0,0.483,1.200,10998,0,858116.398,1588,0,836274.966
KYUX20230602-3,KYUX20230602_130502_V06,2,0.879,1.200,10999,0,20186.677,510,0,17243.975
KYUX20230602-3,KYUX20230602_130502_V06,4,1.318,1.200,11004,0,3044.888,295,0,1592.166
KYUX20230602-3,KYUX20230602_130502_V06,8,1.802,1.200,5517,0,179.140,2,0,131.731
KYUX20230602-4,KYUX20230602_132220_V06,0,0.483,1.200,5642,1,728017.219,618,1,722346.756
KYUX20230602-4,KYUX20230602_132220_V06,2,0.879,1.200,5646,0,53473.976,273,0,52176.405
KYUX20230602-4,KYUX20230602_132220_V06,4,1.318,1.200,5647,0,1841.962,209,0,873.359
KYUX20230602-4,KYUX20230602_132220_V06,8,1.802,1.200,2814,0,39.843,0,0,39.843
KYUX20230602-4,KYUX20230602_132220_V06,9,2.417,1.200,2815,0,11.339,0,0,11.339
KYUX20230603-6,KYUX20230603_133222_V06,0,0.483,1.200,2785,16,4328869.616,176,16,4321493.911
KYUX20230603-6,KYUX20230603_133222_V06,2,0.879,1.200,2787,0,99582.604,179,0,98580.380
KYUX20230603-6,KYUX20230603_133222_V06,4,1.318,1.200,2791,0,3924.099,285,0,2085.102
KYUX20230603-6,KYUX20230603_133222_V06,8,1.802,1.200,1395,0,123.546,4,0,93.875
KYUX20230603-6,KYUX20230603_133222_V06,9,2.417,1.200,1391,0,5.973,0,0,5.973
KYUX20230603-6,KYUX20230603_134101_V06,0,0.483,1.200,5242,6,5104933.663,361,6,5088663.123
KYUX20230603-6,KYUX20230603_134101_V06,2,0.879,1.200,5246,0,104113.691,481,0,101222.914
KYUX20230603-6,KYUX20230603_134101_V06,4,1.318,1.200,5249,0,6027.590,485,0,3664.089
KYUX20230603-6,KYUX20230603_134101_V06,8,1.802,1.200,2623,0,237.331,10,0,159.784
