track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
3,KABR20180601_102633_V06,-21.962,0.131,387.062,354.417,15.835,-97.859,45.210,7917.439,51334.585,20180601_052633,479162,3772,101208,131
5,KABR20180601_113613_V06,47.704,0.058,204.300,215.422,16.392,-99.029,45.835,8195.799,63859.134,20180601_063613,479180,2280,91583,126
1,KABR20180602_095127_V06,-56.522,0.236,385.730,347.457,10.955,-97.867,45.241,5477.386,48994.481,20180602_045127,479182,71,39238,53
1,KABR20180602_095457_V06,-53.022,0.731,386.486,347.880,15.465,-97.862,45.239,7732.545,49427.425,20180602_045457,479176,77,39549,47
2,KABR20180602_095127_V06,-56.522,0.057,215.603,189.271,3.253,-98.957,45.953,1626.282,69612.771,20180602_045127,479182,71,39238,53
1,KABR20180603_100538_V06,-41.837,0.057,313.872,392.045,5.246,-98.325,45.042,2622.925,46542.120,20180603_050538,479170,116,23780,90
1,KABR20180605_100928_V06,-37.116,0.276,226.992,113.255,2.347,-98.887,46.295,1173.555,100254.654,20180605_050928,479175,51,42301,50
5,KABR20180605_105339_V06,7.067,0.253,227.871,109.796,6.539,-98.881,46.311,3269.596,101710.732,20180605_055339,479191,115,35771,42
5,KABR20180606_110638_V06,20.435,0.259,386.727,350.724,16.018,-97.861,45.226,8008.867,50235.524,20180606_060638,479179,109,48235,12
5,KABR20180606_111115_V06,25.052,0.064,387.134,351.199,21.725,-97.858,45.224,10862.655,50531.230,20180606_061115,479179,55,47354,14
8,KABR20180606_120402_V06,77.835,0.063,388.169,351.597,13.883,-97.852,45.222,6941.547,51078.368,20180606_070402,479183,35,39211,29
8,KABR20180606_120720_V06,81.135,0.249,388.386,351.723,18.327,-97.850,45.222,9163.526,51203.629,20180606_070720,479186,18,39037,15
4,KABR20180606_102539_V06,-20.548,0.103,391.448,355.710,16.556,-97.831,45.204,8278.017,53540.452,20180606_052539,479186,104,41482,38
6,KABR20180606_114303_V06,56.852,0.700,385.760,351.303,13.250,-97.867,45.224,6624.838,49966.858,20180606_064303,479181,19,42465,16
2,KABR20180607_101128_V06,-34.386,0.442,210.245,401.860,6.756,-98.982,44.996,3377.901,67880.962,20180607_051128,479173,456,45841,61
2,KABR20180607_101602_V06,-29.819,0.320,210.275,402.207,12.182,-98.982,44.995,6091.119,68001.398,20180607_051602,479177,405,46332,57
2,KABR20180607_102036_V06,-25.253,-1.000,210.298,402.476,18.019,-98.982,44.993,9009.282,68095.086,20180607_052036,479174,367,46828,52
2,KABR20180607_102511_V06,-20.669,0.087,209.556,405.045,11.165,-98.986,44.982,5582.523,69308.257,20180607_052511,479174,409,47176,79
4,KABR20180608_115044_V06,65.186,0.128,285.635,401.305,29.418,-98.504,45.000,14709.190,51159.423,20180608_065044,479190,554,64834,28
7,KABR20180609_102537_V06,-19.664,0.140,224.562,110.929,7.986,-98.903,46.305,3992.901,101782.420,20180609_052537,479185,1746,118136,129
7,KABR20180609_103009_V06,-15.131,0.081,224.093,110.826,13.801,-98.906,46.306,6900.383,101917.385,20180609_053009,479182,1798,114777,88
11,KABR20180609_104717_V06,2.002,0.444,384.312,228.004,8.582,-97.871,45.778,4291.191,55434.444,20180609_054717,479185,2449,104116,108
11,KABR20180609_105126_V06,6.152,0.091,384.359,228.181,13.733,-97.871,45.778,6866.684,55394.876,20180609_055126,479178,2746,103322,130
5,KABR20180609_100805_V06,-37.198,0.063,231.403,110.462,6.295,-98.858,46.308,3147.446,100784.954,20180609_050805,479176,1243,110851,195
6,KABR20180609_101634_V06,-28.714,0.059,386.436,286.490,26.545,-97.860,45.515,13272.541,43742.933,20180609_051634,479177,1485,115784,115
14,KABR20180609_105522_V06,10.086,0.073,358.813,424.710,35.952,-98.041,44.894,17976.095,68941.341,20180609_055522,479176,2922,99368,190
16,KABR20180609_110315_V06,17.969,0.160,221.052,111.388,10.703,-98.925,46.303,5351.622,102234.329,20180609_060315,479185,2827,95571,211
1,KABR20180610_100939_V06,-35.404,0.054,230.981,107.550,3.231,-98.861,46.321,1615.620,102225.981,20180610_050939,479172,52,27552,29
1,KABR20180610_101645_V06,-28.304,0.094,230.809,107.576,11.282,-98.862,46.321,5640.758,102242.851,20180610_051645,479169,60,26967,38
1,KABR20180612_094752_V06,-56.854,0.668,388.645,348.108,11.686,-97.849,45.238,5843.155,50428.866,20180612_044752,479174,33,50564,23
2,KABR20180612_094752_V06,-56.854,0.085,308.351,130.486,2.795,-98.359,46.218,1397.675,84859.803,20180612_044752,479174,33,50564,23
5,KABR20180612_095427_V06,-50.271,0.068,318.953,116.065,15.702,-98.290,46.283,7850.788,92454.550,20180612_045427,479183,31,51201,26
6,KABR20180612_100736_V06,-37.121,0.100,173.306,352.197,7.935,-99.220,45.218,3967.304,68512.574,20180612_050736,479191,48,48847,38
7,KABR20180612_114111_V06,56.463,0.065,286.427,423.594,26.329,-98.499,44.900,13164.309,62168.691,20180612_064111,479175,112,39995,96
1,KABR20180613_110241_V06,18.070,0.080,218.468,196.846,12.339,-98.939,45.919,6169.405,65742.215,20180613_060241,479174,114,16917,60
2,KABR20180613_111652_V06,32.254,0.052,368.349,298.617,36.718,-97.976,45.461,18358.898,34181.644,20180613_061652,479172,107,15612,63
1,KABR20180614_104824_V06,3.855,0.291,388.151,347.038,10.998,-97.852,45.243,5499.113,49957.782,20180614_054824,479173,30,15903,26
4,KABR20180615_111926_V06,34.918,0.229,388.725,348.283,13.772,-97.848,45.237,6885.851,50505.681,20180615_061926,479184,26,46700,22
4,KABR20180615_112431_V06,40.001,0.077,388.559,349.484,19.681,-97.849,45.232,9840.337,50723.180,20180615_062431,479183,35,46036,29
5,KABR20180615_113443_V06,50.201,0.160,330.172,81.900,13.416,-98.217,46.437,6707.771,110088.386,20180615_063443,479178,32,46833,27
5,KABR20180615_113949_V06,55.301,0.308,331.056,80.737,21.421,-98.211,46.442,10710.332,110725.570,20180615_063949,479179,41,47294,30
1,KABR20180615_094445_V06,-59.766,0.160,387.362,349.131,11.814,-97.857,45.233,5907.139,50114.704,20180615_044445,479184,28,51147,25
2,KABR20180615_102051_V06,-23.666,0.102,388.266,348.175,12.536,-97.851,45.238,6268.171,50278.596,20180615_052051,479194,68,50757,28
3,KABR20180615_103324_V06,-11.116,0.056,387.811,347.727,10.790,-97.854,45.240,5395.016,49971.701,20180615_053324,479188,63,47749,28
6,KABR20180615_113443_V06,50.201,0.066,380.358,221.963,15.250,-97.896,45.806,7624.950,56007.170,20180615_063443,479178,32,46833,27
6,KABR20180615_113949_V06,55.301,0.067,392.578,219.197,13.169,-97.817,45.818,6584.507,61440.767,20180615_063949,479179,41,47294,30
9,KABR20180615_114455_V06,60.401,0.376,383.922,348.237,13.529,-97.879,45.238,6764.652,48398.468,20180615_064455,479178,36,48281,22
10,KABR20180615_114455_V06,60.401,0.255,346.293,62.972,17.896,-98.111,46.522,8947.952,120752.970,20180615_064455,479178,36,48281,22
9,KABR20180616_103229_V06,-12.042,0.345,288.855,138.299,24.391,-98.485,46.183,12195.511,81042.103,20180616_053229,479175,7298,92641,607
9,KABR20180616_103728_V06,-7.059,0.430,290.971,135.722,30.350,-98.472,46.195,15175.147,82263.216,20180616_053728,479186,8221,97037,850
9,KABR20180616_104229_V06,-2.042,0.359,300.938,129.395,33.125,-98.407,46.223,16562.305,85303.708,20180616_054229,479184,8711,102541,1023
9,KABR20180616_104933_V06,5.024,0.298,307.943,113.950,34.072,-98.362,46.293,17036.218,93109.801,20180616_054933,479174,11298,110708,1311
9,KABR20180616_105439_V06,10.124,0.092,312.281,104.043,34.962,-98.333,46.337,17480.951,98170.497,20180616_055439,479180,12110,114958,1626
33,KABR20180616_113610_V06,51.641,0.089,265.997,382.879,23.998,-98.629,45.083,11998.764,44791.628,20180616_063610,479190,29799,163152,6696
10,KABR20180617_111621_V06,31.776,0.452,204.007,271.776,27.329,-99.028,45.581,13664.289,50028.241,20180617_061621,479187,697,152244,49
10,KABR20180617_112014_V06,35.659,0.126,204.765,270.212,32.703,-99.023,45.588,16351.448,49892.334,20180617_062014,479193,504,147084,69
9,KABR20180617_111214_V06,27.659,0.117,415.522,289.854,8.736,-97.674,45.499,4367.783,57983.529,20180617_061214,479183,554,154476,45
13,KABR20180617_111621_V06,31.776,0.079,361.136,288.089,15.177,-98.022,45.509,7588.566,31142.732,20180617_061621,479187,697,152244,49
16,KABR20180617_112408_V06,39.559,0.051,247.411,428.064,18.211,-98.746,44.879,9105.515,69220.645,20180617_062408,479180,419,141921,44
21,KABR20180617_113155_V06,47.343,0.067,298.512,206.211,21.461,-98.423,45.878,10730.339,46900.431,20180617_063155,479179,290,135235,26
9,KABR20180618_101712_V06,-27.461,0.125,26.083,443.690,31.729,-100.144,44.796,15864.725,154658.940,20180618_051712,479182,77,60973,61
9,KABR20180618_102135_V06,-23.077,0.394,26.249,442.561,38.460,-100.143,44.801,19230.038,154323.521,20180618_052135,479172,76,60209,56
9,KABR20180618_102555_V06,-18.744,0.698,27.928,435.905,43.937,-100.133,44.831,21968.629,152063.686,20180618_052555,479177,53,60476,42
9,KABR20180618_103030_V06,-14.161,0.731,29.875,425.633,50.211,-100.123,44.878,25105.451,148955.896,20180618_053030,479180,65,60142,53
9,KABR20180618_103504_V06,-9.594,0.582,34.987,420.365,55.029,-100.091,44.902,27514.745,145533.198,20180618_053504,479171,52,59379,51
9,KABR20180618_103938_V06,-5.027,0.619,36.819,422.754,55.243,-100.079,44.891,27621.665,145200.369,20180618_053938,479176,57,58610,54
9,KABR20180618_104407_V06,-0.544,0.281,37.950,428.176,46.188,-100.071,44.867,23093.754,145858.856,20180618_054407,479179,59,57369,59
9,KABR20180618_104838_V06,3.973,0.087,38.357,428.099,51.606,-100.069,44.867,25802.937,145659.339,20180618_054838,479173,57,58265,55
1,KABR20180618_094622_V06,-58.294,0.366,227.400,113.003,2.735,-98.884,46.296,1367.725,100298.101,20180618_044622,479172,100,63272,44
1,KABR20180618_095043_V06,-53.944,0.072,227.509,113.078,8.171,-98.883,46.296,4085.577,100242.981,20180618_045043,479171,132,61004,47
6,KABR20180618_100353_V06,-40.777,0.223,280.347,431.537,15.936,-98.537,44.864,7967.859,66498.606,20180618_050353,479179,79,58852,53
10,KABR20180618_103504_V06,-9.594,0.061,216.871,202.206,12.329,-98.949,45.895,6164.522,64176.056,20180618_053504,479171,52,59379,51
13,KABR20180618_104838_V06,3.973,0.096,366.301,506.738,35.742,-97.996,44.525,17871.168,108554.542,20180618_054838,479173,57,58265,55
14,KABR20180618_110847_V06,24.123,0.057,15.821,432.774,23.961,-100.210,44.844,11980.485,156833.196,20180618_060847,479177,61,53049,48
18,KABR20180618_120121_V06,76.689,0.077,431.735,348.069,77.222,-97.574,45.236,38611.061,70115.743,20180618_070121,479174,47,44759,38
2,KABR20180619_100348_V06,-40.985,0.073,227.777,112.167,1.862,-98.882,46.300,930.906,100619.833,20180619_050348,479170,36,49085,31
7,KABR20180619_120217_V06,77.498,0.082,385.172,351.709,16.308,-97.871,45.222,8154.100,49819.733,20180619_070217,479170,49,42358,47
4,KABR20180620_105106_V06,6.152,0.059,313.224,112.179,32.277,-98.327,46.301,16138.519,94143.080,20180620_055106,479167,26,38137,20
4,KABR20180620_110029_V06,15.535,0.323,313.685,112.154,39.340,-98.324,46.301,19670.206,94171.704,20180620_060029,479173,43,39042,34
4,KABR20180620_110511_V06,20.235,0.149,325.004,110.548,42.670,-98.251,46.308,21334.990,95547.228,20180620_060511,479176,66,38785,53
4,KABR20180620_111155_V06,26.969,0.148,330.772,113.877,48.054,-98.213,46.293,24027.011,94324.929,20180620_061155,479173,96,37623,75
4,KABR20180620_111637_V06,31.669,-1.000,335.715,115.377,51.744,-98.181,46.286,25871.929,94022.708,20180620_061637,479172,91,37593,75
4,KABR20180620_112119_V06,36.369,0.150,309.941,143.881,27.090,-98.349,46.158,13544.777,78217.663,20180620_062119,479172,95,38469,74
4,KABR20180620_112601_V06,41.069,0.136,309.086,142.967,33.635,-98.354,46.162,16817.538,78647.642,20180620_062601,479174,130,40307,92
11,KABR20180620_112119_V06,36.369,0.092,450.061,508.255,23.844,-97.469,44.515,11922.091,128343.695,20180620_062119,479172,95,38469,74
11,KABR20180620_112601_V06,41.069,0.086,450.475,507.849,30.963,-97.467,44.517,15481.573,128300.556,20180620_062601,479174,130,40307,92
11,KABR20180620_113043_V06,45.769,0.092,453.696,508.092,36.051,-97.447,44.515,18025.388,129349.276,20180620_063043,479181,137,40381,100
11,KABR20180620_113524_V06,50.452,0.058,457.983,498.725,47.414,-97.419,44.557,23706.931,126935.222,20180620_063524,479174,156,40746,112
5,KABR20180620_110029_V06,15.535,0.086,188.664,146.543,47.785,-99.134,46.144,23892.342,94795.591,20180620_060029,479173,43,39042,34
5,KABR20180620_110511_V06,20.235,0.087,190.332,144.528,53.443,-99.123,46.153,26721.499,95129.414,20180620_060511,479176,66,38785,53
7,KABR20180620_111155_V06,26.969,0.090,428.427,197.662,8.224,-97.585,45.913,4111.916,82107.253,20180620_061155,479173,96,37623,75
7,KABR20180620_111637_V06,31.669,-1.000,428.427,197.662,15.697,-97.585,45.913,7848.416,82107.253,20180620_061637,479172,91,37593,75
7,KABR20180620_112119_V06,36.369,0.148,434.632,205.134,20.970,-97.546,45.879,10484.785,82348.764,20180620_062119,479172,95,38469,74
1,KABR20180620_101331_V06,-31.431,0.053,429.989,490.370,45.152,-97.594,44.596,22575.874,115258.291,20180620_051331,479174,18,36762,16
2,KABR20180620_103219_V06,-12.631,0.200,405.119,316.386,21.046,-97.742,45.380,10522.968,53193.994,20180620_053219,479170,55,35799,50
3,KABR20180620_104142_V06,-3.248,0.060,330.538,123.059,29.207,-98.215,46.252,14603.329,89778.277,20180620_054142,479167,45,37377,44
6,KABR20180620_110029_V06,15.535,0.067,185.593,518.458,3.644,-99.132,44.471,1822.003,123301.566,20180620_060029,479173,43,39042,34
8,KABR20180620_111637_V06,31.669,0.100,320.035,118.797,40.778,-98.283,46.271,20389.023,91153.632,20180620_061637,479172,91,37593,75
12,KABR20180620_112601_V06,41.069,0.072,264.977,523.533,40.252,-98.633,44.450,20126.064,113130.189,20180620_062601,479174,130,40307,92
12,KABR20180620_113043_V06,45.769,0.381,251.493,519.053,32.262,-98.718,44.470,16131.163,112179.804,20180620_063043,479181,137,40381,100
1,KABR20180621_094844_V06,-56.415,0.139,228.744,109.844,5.379,-98.876,46.310,2689.335,101533.865,20180621_044844,479176,76,114981,69
1,KABR20180621_095412_V06,-50.948,0.087,227.789,109.921,12.393,-98.882,46.310,6196.541,101666.677,20180621_045412,479172,69,114155,66
11,KABR20180621_115148_V06,66.652,0.206,215.825,197.450,9.462,-98.956,45.916,4731.104,66336.211,20180621_065148,479176,48,87629,46
11,KABR20180621_120112_V06,76.052,0.592,216.993,198.824,15.821,-98.948,45.910,7910.288,65434.837,20180621_070112,479169,57,85130,38
7,KABR20180621_112340_V06,38.519,0.096,340.641,409.552,23.331,-98.156,44.963,11665.730,58423.528,20180621_062340,479170,53,97258,46
10,KABR20180621_114226_V06,57.285,0.430,215.908,199.093,11.619,-98.955,45.908,5809.580,65676.812,20180621_064226,479177,52,90939,40
12,KABR20180621_120552_V06,80.719,0.050,224.478,110.804,6.845,-98.903,46.306,3422.678,101856.322,20180621_070552,479175,52,82749,38
7,KABR20180623_105129_V06,5.825,0.076,161.758,256.435,15.064,-99.300,45.648,7532.101,72471.868,20180623_055129,479174,126,59570,40
7,KABR20180623_110139_V06,15.992,0.078,182.334,263.225,31.745,-99.167,45.619,15872.542,61639.491,20180623_060139,479178,163,57726,39
21,KABR20180623_120415_V06,78.592,0.074,221.871,128.677,29.926,-98.919,46.225,14963.062,94148.546,20180623_070415,479175,493,64602,44
21,KABR20180623_120836_V06,82.942,0.078,220.792,126.961,35.333,-98.926,46.233,17666.360,95153.023,20180623_070836,479171,510,65398,19
17,KABR20180623_115038_V06,64.975,0.091,387.926,346.249,14.397,-97.853,45.246,7198.639,49673.843,20180623_065038,479175,276,63620,36
8,KABR20180624_102034_V06,-25.401,0.232,184.659,382.902,7.552,-99.146,45.080,3775.921,71021.413,20180624_052034,479173,1510,92270,28
8,KABR20180624_102613_V06,-19.751,0.203,185.073,383.898,13.993,-99.143,45.076,6996.341,71146.022,20180624_052613,479174,1174,90412,34
8,KABR20180624_103209_V06,-13.818,-1.000,185.439,384.778,21.179,-99.140,45.072,10589.490,71259.391,20180624_053209,479174,983,88584,37
8,KABR20180624_103803_V06,-7.918,0.116,185.968,384.697,17.547,-99.137,45.072,8773.312,71022.756,20180624_053803,479177,856,90110,29
8,KABR20180624_104359_V06,-1.984,0.061,185.313,384.405,25.233,-99.141,45.074,12616.263,71199.157,20180624_054359,479173,572,90143,33
15,KABR20180624_110811_V06,22.216,0.107,247.737,106.647,34.867,-98.752,46.325,17433.563,100145.727,20180624_060811,479172,508,84039,20
17,KABR20180624_111420_V06,28.366,0.325,216.394,346.103,12.969,-98.946,45.247,6484.257,47737.273,20180624_061420,479173,492,83363,21
39,KABR20180624_120759_V06,82.016,0.063,200.608,216.513,19.114,-99.053,45.830,9557.058,64901.546,20180624_070759,479174,100,64975,35
1,KABR20180625_100801_V06,-38.296,0.178,76.376,244.425,8.578,-99.849,45.697,4289.026,115213.116,20180625_050801,479171,30,20182,30
3,KABR20180625_100801_V06,-38.296,0.053,201.709,123.716,35.952,-99.050,46.247,17975.899,100917.232,20180625_050801,479171,30,20182,30
5,KABR20180625_103349_V06,-12.496,0.104,336.015,386.150,4.988,-98.184,45.068,2494.118,46687.471,20180625_053349,479170,39,22324,36
1,KABR20180626_094646_V06,-59.927,0.075,228.794,107.720,4.309,-98.875,46.320,2154.648,102520.349,20180626_044646,479173,48,25721,42
2,KABR20180626_095111_V06,-55.510,0.087,383.799,347.266,8.705,-97.879,45.242,4352.650,48104.844,20180626_045111,479178,42,26328,32
1,KABR20180627_095108_V06,-55.976,0.059,219.535,199.834,14.144,-98.932,45.905,7071.911,64241.675,20180627_045108,479187,6049,177959,1251
6,KABR20180627_101335_V06,-33.526,0.131,161.604,93.914,14.854,-99.313,46.379,7427.099,124121.697,20180627_051335,479176,3886,193873,318
7,KABR20180627_102449_V06,-22.292,0.057,433.576,329.677,14.496,-97.561,45.319,7247.763,68416.310,20180627_052449,479188,3348,201764,202
1,KABR20180628_094844_V06,-58.825,0.147,213.699,193.121,8.912,-98.969,45.935,4456.165,68685.821,20180628_044844,479180,93,42112,68
2,KABR20180628_095223_V06,-55.175,0.158,311.342,121.273,6.644,-98.340,46.260,3322.243,89543.136,20180628_045223,479190,64,46240,56
4,KABR20180628_100325_V06,-44.142,0.209,230.307,108.269,5.818,-98.865,46.317,2909.231,102002.285,20180628_050325,479188,70,52576,59
4,KABR20180628_100706_V06,-40.458,-1.000,230.307,108.269,11.675,-98.865,46.317,5837.481,102002.285,20180628_050706,479174,62,55149,40
4,KABR20180628_101047_V06,-36.775,0.054,224.957,111.084,7.098,-98.900,46.305,3548.927,101637.292,20180628_051047,479179,35,58187,28
8,KABR20180628_104009_V06,-7.408,0.062,220.539,118.098,36.239,-98.928,46.273,18119.734,99250.207,20180628_054009,479186,143,52921,129
9,KABR20180628_105110_V06,3.608,0.157,230.231,109.626,9.228,-98.866,46.311,4614.073,101377.946,20180628_055110,479177,162,53907,134
10,KABR20180628_111311_V06,25.625,0.105,355.453,402.114,27.242,-98.061,44.996,13620.899,58099.667,20180628_061311,479177,115,51211,104
