track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KABX20230601_114258_V06,-11.277,0.138,214.088,308.996,23.734,-107.295,35.108,11867.002,43190.660,20230601_054258,479172,14,58042,11
1,KABX20230602_110423_V06,-49.555,0.136,196.942,276.628,5.791,-107.390,35.254,2895.727,52837.400,20230602_050423,479173,8,59804,8
3,KABX20230602_110423_V06,-49.555,0.055,364.561,416.527,7.576,-106.471,34.624,3788.097,66608.379,20230602_050423,479173,8,59804,8
5,KABX20230602_114157_V06,-11.989,0.052,301.697,524.752,34.494,-106.814,34.137,17247.089,112379.272,20230602_054157,479178,41,52635,28
6,KABX20230602_121411_V06,20.245,0.060,193.561,278.249,8.735,-107.408,35.246,4367.558,54319.149,20230602_061411,479171,33,45702,22
1,KABX20230606_120025_V06,7.424,0.063,201.338,374.745,41.253,-107.362,34.812,20626.629,61888.864,20230606_060025,479171,14,37986,13
2,KABX20230606_122841_V06,35.690,0.214,195.969,278.490,9.663,-107.395,35.245,4831.738,53115.616,20230606_062841,479169,13,36099,10
6,KABX20230607_130431_V06,71.691,0.070,27.371,193.015,32.789,-108.328,35.623,16394.638,146434.445,20230607_070431,479168,30,32024,26
6,KABX20230607_131136_V06,78.774,0.085,27.951,189.582,39.836,-108.325,35.638,19918.155,146801.562,20230607_071136,479171,54,31800,49
1,KABX20230607_110420_V06,-48.493,0.235,341.507,139.095,2.377,-106.594,35.875,1188.648,83086.195,20230607_050420,479167,1,75266,1
2,KABX20230607_110420_V06,-48.493,0.115,365.183,126.832,20.769,-106.462,35.930,10384.708,92514.940,20230607_050420,479167,1,75266,1
1,KABX20230611_112237_V06,-29.817,0.055,361.617,188.370,70.806,-106.483,35.652,35403.118,63753.255,20230611_052237,479170,24,46916,19
1,KABX20230612_110130_V06,-50.905,0.151,192.405,278.325,6.724,-107.414,35.246,3362.078,54878.466,20230612_050130,479173,19,57432,15
1,KABX20230612_110604_V06,-46.338,0.148,192.459,278.457,12.747,-107.414,35.245,6373.616,54838.927,20230612_050604,479178,29,57405,22
1,KABX20230614_113641_V06,-15.745,0.124,313.715,159.493,7.594,-106.747,35.783,3796.799,70587.399,20230614_053641,479171,7,32882,5
3,KABX20230614_122615_V06,33.822,0.051,194.790,276.785,6.112,-107.401,35.253,3056.101,53870.504,20230614_062615,479172,19,27988,16
1,KABX20230616_111226_V06,-40.124,0.070,192.753,277.936,9.046,-107.413,35.248,4522.966,54746.590,20230616_051226,479171,19,53927,19
1,KABX20230618_114251_V06,-9.941,0.076,196.210,273.506,5.908,-107.394,35.268,2954.054,53559.114,20230618_054251,479167,9,39359,5
1,KABX20230620_111854_V06,-34.226,0.158,19.923,393.780,29.438,-108.352,34.717,14719.086,147680.303,20230620_051854,479176,12,57861,8
1,KABX20230620_112601_V06,-27.109,0.491,23.494,389.612,39.711,-108.333,34.736,19855.343,145332.353,20230620_052601,479169,57,55593,47
2,KABX20230620_113302_V06,-20.092,0.094,395.997,282.582,46.326,-106.296,35.227,23162.819,48782.261,20230620_053302,479163,22,53967,20
2,KABX20230620_114002_V06,-13.092,0.052,394.058,282.365,52.531,-106.307,35.228,26265.465,47848.393,20230620_054002,479175,21,53547,15
1,KABX20230622_113848_V06,-14.758,0.070,369.889,297.936,39.019,-106.440,35.158,19509.613,34959.635,20230622_053848,479172,9,53605,6
2,KABX20230622_114555_V06,-7.641,0.088,479.628,140.549,61.394,-105.829,35.864,30696.880,120094.584,20230622_054555,479172,5,55722,1
2,KABX20230622_115300_V06,-0.558,-1.000,479.628,140.549,72.656,-105.829,35.864,36328.130,120094.584,20230622_055300,479174,19,54724,13
2,KABX20230622_120714_V06,13.676,0.260,474.170,145.085,62.800,-105.859,35.844,31400.051,116548.205,20230622_060714,479172,16,51709,12
2,KABX20230622_121421_V06,20.792,0.231,464.484,156.272,56.122,-105.914,35.794,28061.230,109216.437,20230622_061421,479173,27,51146,21
2,KABX20230623_131342_V06,79.891,0.287,375.632,275.026,36.399,-106.408,35.262,18199.265,39824.146,20230623_071342,479168,134,45231,110
2,KABX20230623_132049_V06,87.007,0.170,378.203,276.632,44.181,-106.394,35.254,22090.599,40809.853,20230623_072049,479175,145,45535,128
1,KABX20230623_130635_V06,72.774,0.060,195.078,280.689,4.044,-107.400,35.235,2021.828,53342.379,20230623_070635,479176,106,44136,92
1,KABX20230624_110400_V06,-50.084,0.141,323.301,101.100,22.759,-106.694,36.046,11379.253,100129.965,20230624_050400,479175,11,66082,8
1,KABX20230625_123650_V06,42.452,0.115,365.126,417.804,14.463,-106.468,34.618,7231.735,67303.645,20230625_063650,479173,13,51629,8
2,KABX20230626_124431_V06,49.816,0.104,367.320,268.626,38.230,-106.453,35.291,19114.952,37135.944,20230626_064431,479169,52,64767,37
3,KABX20230626_125138_V06,56.933,0.074,369.999,414.550,17.342,-106.442,34.633,8671.223,67121.940,20230626_065138,479173,58,64270,49
5,KABX20230627_113050_V06,-24.208,0.143,375.715,285.673,35.988,-106.408,35.214,17993.965,38529.092,20230627_053050,479172,14,70713,11
5,KABX20230627_113619_V06,-18.724,0.074,376.361,285.563,42.576,-106.404,35.214,21287.889,38856.843,20230627_053619,479177,6,71628,4
5,KABX20230627_114218_V06,-12.741,-1.000,376.949,285.464,50.151,-106.401,35.214,25075.556,39154.986,20230627_054218,479174,22,72220,18
5,KABX20230627_114817_V06,-6.758,0.196,381.091,284.978,42.166,-106.378,35.217,21083.176,41235.131,20230627_054817,479175,20,71392,14
5,KABX20230627_120017_V06,5.242,0.144,381.418,285.378,50.345,-106.376,35.215,25172.414,41360.047,20230627_060017,479176,25,69676,18
5,KABX20230627_120616_V06,11.226,0.061,384.496,286.641,44.322,-106.359,35.209,22160.885,42772.585,20230627_060616,479174,33,68835,23
15,KABX20230627_130617_V06,71.242,0.166,352.982,192.684,64.238,-106.531,35.633,32118.816,59840.886,20230627_070617,479172,14,60038,10
15,KABX20230627_131221_V06,77.309,0.083,354.693,191.396,72.552,-106.521,35.639,36276.155,60799.037,20230627_071221,479179,50,59394,35
2,KABX20230627_111508_V06,-39.908,0.054,25.361,412.470,26.216,-108.321,34.634,13107.876,148387.945,20230627_051508,479175,5,71256,5
3,KABX20230627_112006_V06,-34.941,0.060,323.020,100.905,17.990,-106.696,36.047,8995.152,100210.799,20230627_052006,479174,14,70847,9
4,KABX20230627_112521_V06,-29.691,0.102,387.092,284.254,42.450,-106.345,35.220,21224.808,44252.020,20230627_052521,479176,10,70736,7
13,KABX20230627_125412_V06,59.159,0.080,319.911,90.930,13.040,-106.713,36.092,6519.772,105008.162,20230627_065412,479175,28,64712,25
16,KABX20230627_131221_V06,77.309,0.122,227.539,309.124,23.419,-107.221,35.108,11709.305,36516.461,20230627_071221,,,,
2,KABX20230629_112406_V06,-31.685,0.074,228.143,423.287,15.043,-107.215,34.593,7521.395,71349.603,20230629_052406,479176,16,64624,13
2,KABX20230629_113113_V06,-24.569,0.155,231.519,422.799,24.370,-107.197,34.596,12184.779,70301.633,20230629_053113,479174,29,64702,17
