track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KBGM20220601_083438_V06,-55.646,0.085,154.438,400.781,4.884,-76.860,41.743,2442.165,88522.493,20220601_043438,479169,8,33518,1
2,KBGM20220601_084143_V06,-48.562,0.067,154.642,400.758,11.904,-76.859,41.743,5951.892,88432.478,20220601_044143,479171,9,35029,6
3,KBGM20220601_083438_V06,-55.646,0.052,134.849,399.998,3.400,-76.978,41.745,1700.012,96533.258,20220601_043438,479169,8,33518,1
3,KBGM20220601_084143_V06,-48.562,0.102,134.159,400.573,10.317,-76.982,41.743,5158.672,96976.978,20220601_044143,479171,9,35029,6
11,KBGM20220601_100538_V06,35.354,0.159,149.367,402.997,8.434,-76.890,41.732,4217.026,91239.549,20220601_060538,479165,8,26609,5
12,KBGM20220601_100538_V06,35.354,0.067,134.837,401.132,2.834,-76.978,41.740,1417.118,96832.954,20220601_060538,479165,8,26609,5
11,KBGM20220602_100639_V06,36.821,0.053,19.210,338.995,24.360,-77.680,42.012,12179.947,141742.401,20220602_060639,479165,31,55188,7
11,KBGM20220602_101009_V06,40.321,0.238,19.993,339.688,28.434,-77.675,42.009,14216.906,141402.687,20220602_061009,479169,13,55647,6
11,KBGM20220602_101339_V06,43.821,-1.000,20.519,340.153,32.998,-77.672,42.007,16498.975,141175.287,20220602_061339,479181,3,57099,1
11,KBGM20220602_101709_V06,47.321,0.064,25.545,345.726,24.746,-77.641,41.982,12372.938,139119.087,20220602_061709,479167,10,57203,6
3,KBGM20220602_093512_V06,5.371,0.062,149.871,401.117,7.824,-76.887,41.741,3911.903,90503.332,20220602_053512,479187,8,54002,0
1,KBGM20220603_083041_V06,-58.730,0.437,149.467,403.146,9.462,-76.890,41.732,4730.934,91240.510,20220603_043041,479166,123,71926,27
1,KBGM20220603_083419_V06,-55.096,0.078,149.508,403.083,14.251,-76.889,41.732,7125.534,91205.886,20220603_043419,479195,125,69371,30
3,KBGM20220603_090654_V06,-22.513,0.055,152.967,401.034,8.128,-76.869,41.741,4064.241,89200.188,20220603_050654,479175,33,59783,3
4,KBGM20220603_094830_V06,19.087,0.109,149.454,403.281,9.969,-76.890,41.731,4984.262,91283.820,20220603_054830,479168,2,46302,1
5,KBGM20220603_100236_V06,33.187,0.065,149.343,406.221,11.928,-76.890,41.718,5963.818,92168.887,20220603_060236,479187,6,39049,2
1,KBGM20220604_083551_V06,-53.182,0.387,150.700,400.826,6.618,-76.882,41.742,3308.985,90078.118,20220604_043551,479172,1,36534,1
1,KBGM20220604_084257_V06,-46.082,0.275,149.532,401.489,13.917,-76.889,41.739,6958.374,90747.610,20220604_044257,479165,3,36420,2
10,KBGM20220604_093904_V06,10.035,0.300,149.189,403.553,8.867,-76.891,41.730,4433.741,91470.158,20220604_053904,479168,11,21551,11
10,KBGM20220604_094611_V06,17.152,0.357,149.156,403.216,15.219,-76.892,41.731,7609.423,91388.464,20220604_054611,479173,0,20822,0
4,KBGM20220604_083551_V06,-53.182,0.113,393.753,428.630,7.951,-75.423,41.619,3975.615,79585.257,20220604_043551,479172,1,36534,1
8,KBGM20220604_091810_V06,-10.865,0.099,149.372,404.832,10.684,-76.890,41.724,5341.965,91758.883,20220604_051810,479172,1,25538,1
8,KBGM20220604_092509_V06,-3.882,0.137,149.582,401.642,8.712,-76.889,41.739,4355.808,90770.012,20220604_052509,479172,6,24257,6
12,KBGM20220604_101431_V06,45.485,0.092,148.777,402.992,8.774,-76.894,41.732,4387.112,91481.627,20220604_061431,479171,4,22470,4
13,KBGM20220604_103548_V06,66.768,0.097,148.876,402.462,8.933,-76.893,41.735,4466.578,91292.119,20220604_063548,479173,0,23714,0
1,KBGM20220605_083141_V06,-57.001,0.078,149.365,404.404,10.444,-76.890,41.726,5221.920,91639.288,20220605_043141,479170,0,22556,0
2,KBGM20220605_090654_V06,-21.785,0.066,149.225,403.387,8.560,-76.891,41.731,4279.840,91408.162,20220605_050654,479166,0,11931,0
3,KBGM20220605_090654_V06,-21.785,0.052,138.373,400.521,3.124,-76.957,41.743,1562.080,95167.931,20220605_050654,479166,0,11931,0
3,KBGM20220606_083415_V06,-54.123,0.061,154.440,127.407,7.333,-76.877,42.973,3666.267,112889.155,20220606_043415,479174,0,48721,0
3,KBGM20220606_084120_V06,-47.039,0.234,159.899,130.171,15.329,-76.844,42.961,7664.328,110079.794,20220606_044120,479173,0,50176,0
7,KBGM20220606_084825_V06,-39.956,0.135,222.989,118.527,40.386,-76.457,43.016,20193.140,98568.589,20220606_044825,479169,0,50806,0
7,KBGM20220606_090235_V06,-25.789,0.267,241.166,115.698,49.494,-76.346,43.029,24746.791,96732.272,20220606_050235,479167,0,51419,0
23,KBGM20220606_102736_V06,59.227,0.139,140.476,400.583,3.570,-76.944,41.743,1784.954,94293.431,20220606_062736,479168,0,49434,0
23,KBGM20220606_103435_V06,66.211,0.094,140.484,400.534,10.545,-76.944,41.743,5272.287,94277.014,20220606_063435,479170,0,48915,0
6,KBGM20220606_084120_V06,-47.039,0.068,275.567,469.740,3.180,-76.131,41.436,1590.174,85744.909,20220606_044120,479173,0,50176,0
8,KBGM20220606_084825_V06,-39.956,0.058,311.372,124.702,42.265,-75.915,42.989,21132.538,87833.319,20220606_044825,479169,0,50806,0
11,KBGM20220606_092351_V06,-4.523,0.072,139.075,400.491,3.633,-76.952,41.743,1816.637,94862.358,20220606_052351,479171,0,57509,0
19,KBGM20220606_100622_V06,37.994,0.055,341.798,423.988,32.413,-75.734,41.641,16206.322,65421.989,20220606_060622,479164,0,52723,0
21,KBGM20220606_101327_V06,45.077,0.065,176.351,205.513,23.310,-76.739,42.623,11655.249,77808.740,20220606_061327,479173,0,52277,0
1,KBGM20220607_083320_V06,-54.762,0.379,141.887,399.752,3.377,-76.935,41.747,1688.490,93474.674,20220607_043320,479166,3,33564,1
1,KBGM20220607_084005_V06,-48.012,0.080,141.884,399.726,10.185,-76.935,41.747,5092.654,93469.181,20220607_044005,479188,0,42976,0
9,KBGM20220607_090414_V06,-23.862,0.101,23.640,64.740,32.019,-77.686,43.246,16009.382,181467.793,20220607_050414,479173,0,31525,0
9,KBGM20220607_091058_V06,-17.128,0.051,25.192,74.163,42.920,-77.676,43.204,21460.048,177849.284,20220607_051058,479168,0,34105,0
28,KBGM20220607_103223_V06,64.288,0.083,357.602,428.726,30.730,-75.639,41.620,15365.242,70513.152,20220607_063223,479168,0,42333,0
28,KBGM20220607_103907_V06,71.022,0.177,355.466,427.616,37.639,-75.652,41.625,18819.282,69574.259,20220607_063907,479169,0,43188,0
5,KBGM20220607_083320_V06,-54.762,0.053,375.709,76.299,28.755,-75.519,43.206,14377.388,118082.420,20220607_043320,479166,3,33564,1
7,KBGM20220607_085347_V06,-34.312,0.141,149.801,405.824,11.527,-76.887,41.720,5763.666,91867.152,20220607_045347,479171,0,42593,0
18,KBGM20220607_092437_V06,-3.478,0.053,275.518,467.589,8.035,-76.131,41.445,4017.408,84683.946,20220607_052437,479170,0,34405,0
9,KBGM20220608_104602_V06,78.181,0.345,148.770,403.454,10.117,-76.894,41.730,5058.294,91614.871,20220608_064602,479171,3,40563,3
9,KBGM20220608_105301_V06,85.164,0.453,148.748,403.960,15.632,-76.894,41.728,7815.859,91767.193,20220608_065301,479164,4,40689,4
8,KBGM20220608_102901_V06,61.164,0.216,149.819,404.112,10.152,-76.887,41.727,5075.813,91369.646,20220608_062901,479178,0,22288,0
12,KBGM20220610_104311_V06,75.712,0.145,148.870,403.302,10.111,-76.893,41.731,5055.429,91530.900,20220610_064311,479168,3,40648,3
12,KBGM20220610_105002_V06,82.562,0.085,148.930,403.182,16.886,-76.893,41.732,8442.911,91471.940,20220610_065002,479167,4,41356,4
1,KBGM20220611_103448_V06,67.468,0.096,18.103,182.354,29.365,-77.706,42.716,14682.669,152730.546,20220611_063448,479167,0,31806,0
1,KBGM20220611_104135_V06,74.251,0.079,20.112,185.269,41.006,-77.693,42.703,20502.885,151245.132,20220611_064135,479173,0,34107,0
4,KBGM20220612_083235_V06,-54.645,0.124,148.436,403.629,8.632,-76.896,41.730,4315.807,91802.437,20220612_043235,479169,5,38686,5
4,KBGM20220612_084040_V06,-46.562,0.063,148.821,402.963,15.768,-76.894,41.733,7883.911,91455.469,20220612_044040,479170,2,37212,2
1,KBGM20220612_083235_V06,-54.645,0.305,338.925,75.818,6.468,-75.746,43.209,3233.883,113768.109,20220612_043235,479169,5,38686,5
2,KBGM20220612_083235_V06,-54.645,0.248,275.623,469.031,3.463,-76.131,41.439,1731.465,85389.797,20220612_043235,479169,5,38686,5
9,KBGM20220612_095430_V06,27.272,0.063,148.624,403.315,11.541,-76.895,41.731,5770.607,91635.983,20220612_055430,479170,1,32286,1
12,KBGM20220612_101953_V06,52.655,0.052,274.619,112.881,5.838,-76.141,43.042,2919.109,94416.437,20220612_061953,479170,18,32087,4
14,KBGM20220612_104759_V06,80.755,0.081,149.453,404.646,11.446,-76.890,41.725,5723.215,91672.383,20220612_064759,479176,135,37425,7
