track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
6,KBLX20230602_111231_V06,-14.818,0.135,501.377,87.283,59.643,-107.287,46.803,29821.381,146458.988,20230602_051231,479174,15,318962,1
6,KBLX20230602_111932_V06,-7.801,0.149,486.207,96.153,50.204,-107.387,46.764,25101.841,138046.078,20230602_051932,479173,37,322269,2
3,KBLX20230604_103725_V06,-48.916,0.057,361.989,376.761,29.154,-108.209,45.508,14577.129,49332.835,20230604_043725,479172,165,73294,4
4,KBLX20230607_121021_V06,45.225,0.274,198.769,111.651,14.510,-109.268,46.699,7254.787,106914.925,20230607_061021,479174,0,27043,0
4,KBLX20230607_121722_V06,52.241,0.310,197.982,111.610,21.880,-109.273,46.699,10939.903,107119.398,20230607_061722,479172,1,24499,0
4,KBLX20230607_122423_V06,59.258,0.107,200.010,112.627,12.633,-109.260,46.695,6316.278,106191.474,20230607_062423,479174,0,24232,0
1,KBLX20230607_103805_V06,-47.042,0.121,199.175,111.516,13.840,-109.265,46.700,6919.754,106878.236,20230607_043805,479170,6,71034,0
2,KBLX20230607_103805_V06,-47.042,0.063,110.756,416.026,2.916,-109.813,45.326,1458.004,110990.074,20230607_043805,479170,6,71034,0
3,KBLX20230607_120319_V06,38.191,0.062,197.419,107.596,18.534,-109.277,46.717,9267.038,109020.774,20230607_060319,479171,0,28254,0
2,KBLX20230608_102601_V06,-58.786,0.092,284.663,281.282,8.231,-108.705,45.938,4115.463,12099.493,20230608_042601,479184,403,108567,10
6,KBLX20230610_110708_V06,-17.144,0.079,300.131,35.301,36.912,-108.605,47.045,18456.192,132349.748,20230610_050708,479180,1817,80507,38
4,KBLX20230611_122233_V06,58.474,0.223,200.415,111.048,16.486,-109.257,46.702,8243.219,106794.108,20230611_062233,479172,0,52096,0
4,KBLX20230611_123113_V06,67.141,0.399,197.483,109.654,25.304,-109.276,46.708,12651.924,108098.709,20230611_063113,479173,0,48300,0
4,KBLX20230611_123946_V06,75.691,0.217,199.204,111.295,17.695,-109.265,46.701,8847.467,106968.784,20230611_063946,479169,0,46715,0
4,KBLX20230611_124818_V06,84.224,0.072,197.509,110.055,26.555,-109.276,46.706,13277.736,107916.348,20230611_064818,479173,0,47024,0
2,KBLX20230611_120512_V06,41.124,0.158,196.991,108.545,20.192,-109.280,46.713,10095.854,108703.726,20230611_060512,479175,0,57517,0
3,KBLX20230611_122233_V06,58.474,0.229,239.670,454.652,37.524,-108.990,45.157,18761.885,83001.467,20230611_062233,479172,0,52096,0
1,KBLX20230612_111235_V06,-11.331,0.050,333.686,428.054,31.974,-108.391,45.278,15987.082,66205.508,20230612_051235,479179,0,37948,0
4,KBLX20230614_110718_V06,-16.413,0.195,13.992,281.396,24.439,-110.450,45.923,12219.302,143306.286,20230614_050718,479167,0,33309,0
4,KBLX20230614_111558_V06,-7.746,0.171,16.507,278.661,32.847,-110.434,45.935,16423.556,142147.409,20230614_051558,479182,1,34877,0
1,KBLX20230614_104205_V06,-41.629,0.052,32.269,510.492,40.178,-110.301,44.894,20089.016,170284.111,20230614_044205,479177,0,39325,0
2,KBLX20230614_105025_V06,-33.296,0.202,23.054,457.829,31.481,-110.366,45.130,15740.369,159380.792,20230614_045025,479179,3,35369,0
2,KBLX20230616_120408_V06,40.462,0.253,443.856,342.239,5.232,-107.683,45.660,2616.217,74964.316,20230616_060408,479174,0,64067,0
10,KBLX20230618_105042_V06,-33.089,0.052,47.156,168.231,56.282,-110.251,46.435,28140.877,142559.774,20230618_045042,479178,0,71784,0
12,KBLX20230618_113402_V06,10.244,0.072,22.951,430.963,34.982,-110.371,45.251,17490.887,153221.896,20230618_053402,479175,0,60627,0
14,KBLX20230618_120845_V06,44.961,0.058,278.912,347.652,2.942,-108.741,45.639,1470.808,26054.749,20230618_060845,479170,0,59954,0
9,KBLX20230620_105123_V06,-32.679,0.094,29.984,382.625,60.760,-110.333,45.469,30380.135,141187.494,20230620_045123,479177,65,128710,1
9,KBLX20230620_110144_V06,-22.329,0.312,34.153,373.494,69.670,-110.307,45.511,34834.801,137909.449,20230620_050144,479199,149,126658,2
