track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KBRO20200601_113022_V06,-7.543,0.050,263.442,341.740,19.684,-97.601,25.727,9841.867,27742.965,20200601_063022,479169,7138,126939,56
5,KBRO20200601_121107_V06,33.207,0.066,218.035,310.821,19.051,-97.827,25.866,9525.677,41338.309,20200601_071107,479169,7378,121567,83
9,KBRO20200601_123439_V06,56.741,0.055,213.951,296.923,17.432,-97.848,25.929,8715.984,43051.927,20200601_073439,479173,7583,122201,113
6,KBRO20200604_110255_V06,-34.631,0.254,236.687,405.580,17.518,-97.733,25.439,8759.174,61554.276,20200604_060255,479173,165,34842,83
6,KBRO20200604_110719_V06,-30.231,0.118,236.628,403.945,22.774,-97.734,25.446,11387.002,60870.114,20200604_060719,479174,151,36442,87
7,KBRO20200604_113759_V06,0.436,0.384,230.104,377.321,13.775,-97.766,25.566,6887.554,52115.402,20200604_063759,479171,152,44094,86
2,KBRO20200605_104747_V06,-49.684,0.402,25.597,131.041,19.443,-98.797,26.671,9721.642,161124.158,20200605_054747,479181,44,38062,35
1,KBRO20200606_113535_V06,-1.825,0.052,301.162,158.450,1.894,-97.413,26.554,947.006,70777.440,20200606_063535,479177,278,49741,31
1,KBRO20200607_104233_V06,-54.819,0.054,97.412,369.437,8.406,-98.427,25.599,4202.888,107078.880,20200607_054233,479172,356,24016,332
1,KBRO20200608_114204_V06,4.717,0.123,156.969,95.597,17.974,-98.138,26.836,8986.937,124738.490,20200608_064204,479175,377,75075,272
1,KBRO20200608_114643_V06,9.367,0.144,157.525,95.526,24.528,-98.135,26.837,12263.860,124608.018,20200608_064643,479181,279,75342,230
2,KBRO20200608_123315_V06,55.900,0.101,321.983,71.784,16.281,-97.308,26.945,8140.549,114636.077,20200608_073315,479171,181,82285,99
3,KBRO20200608_124714_V06,69.883,0.057,371.229,495.382,35.254,-97.066,25.033,17627.045,103980.224,20200608_074714,479172,261,79092,169
