track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCRP20140601_114137_V06,7.248,0.273,324.134,472.109,12.348,-97.389,27.007,6174.075,86896.579,20140601_064137,479182,26,38333,19
1,KCRP20140601_115117_V06,16.915,0.720,323.189,471.238,20.020,-97.394,27.011,10009.874,86400.732,20140601_065117,479193,33,39146,31
1,KCRP20140601_120056_V06,26.565,0.740,322.293,475.033,23.402,-97.399,26.994,11700.857,88223.513,20140601_070056,479186,23,39529,20
1,KCRP20140601_121034_V06,36.198,0.653,326.028,481.241,28.051,-97.380,26.966,14025.575,91550.151,20140601_071034,479190,47,40333,46
1,KCRP20140606_114809_V06,14.452,0.072,230.695,328.814,14.673,-97.862,27.653,7336.300,37528.151,20140606_064809,479185,107,18215,98
1,KCRP20140608_110558_V06,-27.614,0.154,335.155,360.650,27.626,-97.333,27.510,13813.145,35050.914,20140608_060558,479177,123,41519,120
3,KCRP20140610_114627_V06,12.903,0.812,322.945,459.837,16.771,-97.395,27.063,8385.427,80737.938,20140610_064627,479204,1152,63477,165
3,KCRP20140610_115046_V06,17.220,0.726,322.793,457.914,21.248,-97.396,27.071,10623.862,79775.398,20140610_065046,479180,908,62544,151
3,KCRP20140610_115505_V06,21.537,0.647,323.722,456.209,21.613,-97.391,27.079,10806.695,79000.054,20140610_065505,479196,630,62312,77
3,KCRP20140610_115924_V06,25.853,0.805,323.064,451.297,27.446,-97.395,27.101,13722.787,76522.299,20140610_065924,479197,509,61843,91
3,KCRP20140610_120343_V06,30.170,0.780,328.218,451.166,27.629,-97.369,27.102,13814.593,76888.355,20140610_070343,479192,360,61919,73
3,KCRP20140610_120802_V06,34.487,0.584,331.261,449.240,30.645,-97.353,27.110,15322.435,76239.739,20140610_070802,479195,201,60250,59
3,KCRP20140610_121220_V06,38.787,0.518,333.266,447.208,34.617,-97.343,27.120,17308.610,75459.775,20140610_071220,479194,157,58874,69
3,KCRP20140610_121638_V06,43.087,0.236,337.875,449.279,36.395,-97.320,27.110,18197.290,77004.633,20140610_071638,479198,204,57638,76
3,KCRP20140610_122059_V06,47.437,0.142,342.091,450.643,37.819,-97.299,27.104,18909.430,78206.578,20140610_072059,479192,248,56891,119
3,KCRP20140610_122517_V06,51.737,-1.000,346.166,451.800,39.559,-97.278,27.099,19779.430,79332.441,20140610_072517,479175,194,55539,110
3,KCRP20140610_122936_V06,56.053,0.100,355.742,456.132,37.024,-97.230,27.079,18512.097,82891.988,20140610_072936,479196,172,55400,107
5,KCRP20140610_122517_V06,51.737,0.050,355.308,462.029,31.002,-97.232,27.052,15501.017,85604.516,20140610_072517,479175,194,55539,110
3,KCRP20140611_112633_V06,-7.011,0.444,321.210,465.729,11.023,-97.404,27.036,5511.426,83540.464,20140611_062633,479187,155,44618,98
3,KCRP20140611_113612_V06,2.639,0.858,317.813,459.416,22.563,-97.421,27.065,11281.566,80204.052,20140611_063612,479184,202,43411,125
3,KCRP20140611_114550_V06,12.272,0.822,319.911,453.300,24.049,-97.410,27.092,12024.551,77293.947,20140611_064550,479187,171,42897,96
3,KCRP20140611_115528_V06,21.906,0.851,316.076,449.391,31.507,-97.430,27.110,15753.511,75126.933,20140611_065528,479179,182,43177,105
