track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KCXX20180601_081307_V06,-57.926,0.052,216.336,374.071,6.962,-73.690,44.177,3480.927,55870.699,20180601_041307,479169,75,36839,50
5,KCXX20180601_085137_V06,-19.426,0.078,197.612,283.365,28.639,-73.811,44.584,14319.405,51865.372,20180601_045137,479177,87,41988,73
8,KCXX20180601_095421_V06,43.308,0.133,312.541,398.629,12.994,-73.088,44.067,6496.809,49711.653,20180601_055421,479176,153,64772,62
1,KCXX20180602_081156_V06,-58.594,0.054,217.190,376.243,8.654,-73.684,44.167,4327.017,56281.907,20180602_041156,479173,53,11746,53
4,KCXX20180602_090811_V06,-2.344,0.059,289.889,218.997,10.840,-73.230,44.876,5419.979,40815.953,20180602_050811,479171,16,7857,14
5,KCXX20180602_092820_V06,17.806,0.050,306.909,397.659,10.514,-73.123,44.072,5257.010,48951.329,20180602_052820,479173,17,8879,17
7,KCXX20180602_094832_V06,38.006,0.204,205.241,401.614,9.869,-73.758,44.052,4934.673,69470.750,20180602_054832,479173,22,9423,17
8,KCXX20180602_094832_V06,38.006,0.105,350.931,184.360,15.215,-72.843,45.031,7607.391,63179.360,20180602_054832,479173,22,9423,17
1,KCXX20180603_081254_V06,-57.149,0.052,186.344,327.834,2.527,-73.880,44.384,1263.710,58507.448,20180603_041254,479172,25,14904,24
2,KCXX20180603_093610_V06,26.118,0.127,234.672,81.651,5.492,-73.584,45.493,2746.031,113956.164,20180603_053610,479173,62,11257,57
1,KCXX20180605_081319_V06,-55.888,0.086,218.058,375.176,6.969,-73.679,44.172,3484.262,55601.070,20180605_041319,479175,43,31313,43
2,KCXX20180605_081319_V06,-55.888,0.076,186.510,327.525,2.356,-73.879,44.385,1178.099,58390.012,20180605_041319,479175,43,31313,43
3,KCXX20180605_084115_V06,-27.955,0.113,278.791,156.433,8.090,-73.301,45.157,4045.242,72562.410,20180605_044115,479170,57,18072,55
4,KCXX20180605_094402_V06,34.828,0.097,215.988,374.146,10.761,-73.692,44.176,5380.571,56026.055,20180605_054402,479169,60,11548,60
8,KCXX20180605_100434_V06,55.362,0.055,204.736,400.981,4.748,-73.761,44.055,2374.187,69412.451,20180605_060434,479172,53,16905,53
9,KCXX20180605_102522_V06,76.162,0.061,205.000,400.702,8.017,-73.759,44.056,4008.450,69220.415,20180605_062522,479172,39,20303,38
1,KCXX20180606_081200_V06,-56.840,0.063,216.165,373.692,6.658,-73.691,44.178,3329.107,55809.332,20180606_041200,479170,58,19153,58
1,KCXX20180606_081857_V06,-49.890,0.060,216.961,373.617,14.407,-73.686,44.179,7203.419,55486.151,20180606_041857,479166,50,18285,49
4,KCXX20180606_091348_V06,4.960,0.065,331.124,172.172,51.642,-72.969,45.086,25820.965,65781.421,20180606_051348,479173,63,14122,58
1,KCXX20180607_081827_V06,-50.063,0.478,216.727,374.613,7.945,-73.687,44.174,3972.689,55905.134,20180607_041827,479173,46,15830,46
1,KCXX20180607_082511_V06,-43.330,0.175,217.013,373.959,14.852,-73.685,44.177,7426.047,55580.297,20180607_042511,479173,37,15784,37
1,KCXX20180607_083155_V06,-36.597,0.054,216.149,375.645,6.496,-73.691,44.170,3247.837,56464.960,20180607_043155,479174,55,15047,53
2,KCXX20180607_081827_V06,-50.063,0.103,205.094,399.087,2.373,-73.759,44.064,1186.283,68603.074,20180607_041827,479173,46,15830,46
2,KCXX20180607_082511_V06,-43.330,0.097,205.174,399.468,9.310,-73.758,44.062,4655.153,68712.881,20180607_042511,479173,37,15784,37
6,KCXX20180607_091946_V06,11.253,0.087,216.264,375.045,7.106,-73.690,44.172,3552.830,56221.658,20180607_051946,479170,69,6978,68
7,KCXX20180607_100034_V06,52.053,0.095,215.809,374.896,7.202,-73.693,44.173,3601.019,56341.556,20180607_060034,479173,61,7024,59
