track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KDAX20150601_114436_V06,-59.876,0.103,297.549,463.491,9.234,-121.691,37.765,4616.884,81754.513,20150601_044436,479189,261,39831,245
4,KDAX20150601_124236_V06,-1.876,0.427,397.631,514.833,12.941,-121.124,37.532,6470.549,117988.503,20150601_054236,479184,159,19598,149
6,KDAX20150601_132332_V06,39.057,0.173,275.842,381.303,11.703,-121.814,38.135,5851.353,42408.165,20150601_062332,479183,191,16087,171
7,KDAX20150601_135233_V06,68.074,0.118,278.858,384.197,13.507,-121.797,38.122,6753.704,43405.514,20150601_065233,479186,267,15408,249
1,KDAX20150603_120238_V06,-41.126,0.058,168.454,113.196,2.195,-122.440,39.340,1097.715,114236.523,20150603_050238,479191,654,37647,634
2,KDAX20150603_122154_V06,-21.859,0.300,222.736,153.838,14.702,-122.124,39.159,7351.120,82663.516,20150603_052154,479181,616,28889,585
3,KDAX20150603_124111_V06,-2.576,0.066,399.051,514.590,13.816,-121.116,37.533,6908.080,118173.372,20150603_054111,479186,622,24901,588
4,KDAX20150603_131008_V06,26.374,0.056,265.022,411.718,13.945,-121.876,37.998,6972.584,58532.929,20150603_061008,479186,952,24169,900
5,KDAX20150603_131008_V06,26.374,0.053,394.069,504.622,17.006,-121.144,37.578,8502.870,112604.647,20150603_061008,479186,952,24169,900
1,KDAX20150604_121815_V06,-25.197,0.190,319.189,366.560,23.569,-121.567,38.201,11784.660,34635.321,20150604_051815,479189,374,42089,331
4,KDAX20150604_134105_V06,57.636,0.064,278.972,382.302,13.442,-121.797,38.130,6721.014,42472.742,20150604_064105,479188,353,30675,310
1,KDAX20150605_120025_V06,-42.749,0.074,281.621,382.718,14.377,-121.781,38.128,7188.389,42367.330,20150605_050025,479189,246,42140,186
2,KDAX20150605_123704_V06,-6.099,0.104,280.377,380.833,14.492,-121.789,38.137,7246.235,41590.278,20150605_053704,479195,430,36089,396
6,KDAX20150605_134222_V06,59.201,0.070,277.999,384.618,13.918,-121.802,38.120,6958.776,43715.927,20150605_064222,479199,148,38475,109
7,KDAX20150605_135219_V06,69.151,0.391,278.426,381.763,17.202,-121.800,38.133,8600.809,42280.715,20150605_065219,479199,180,37873,135
1,KDAX20150606_121706_V06,-25.816,0.082,375.318,310.049,7.626,-121.245,38.455,3812.965,37992.577,20150606_051706,479184,980,44076,955
3,KDAX20150606_122328_V06,-19.449,0.137,404.025,430.339,8.161,-121.085,37.913,4080.462,83380.575,20150606_052328,479202,883,42203,865
4,KDAX20150606_122328_V06,-19.449,0.109,465.801,382.087,9.275,-120.731,38.128,4637.262,92504.168,20150606_052328,479202,883,42203,865
1,KDAX20150607_124754_V06,5.203,0.266,279.804,380.544,14.111,-121.792,38.138,7055.325,41518.770,20150607_054754,479194,452,41834,438
2,KDAX20150607_130349_V06,21.120,0.064,279.507,380.694,14.603,-121.794,38.138,7301.739,41627.690,20150607_060349,479198,551,41923,519
3,KDAX20150607_134728_V06,64.770,0.053,279.078,379.696,13.998,-121.796,38.142,6999.084,41198.375,20150607_064728,479188,346,37242,322
2,KDAX20150608_121814_V06,-24.275,0.211,401.528,423.780,3.349,-121.099,37.942,1674.635,80046.023,20150608_051814,479185,692,24640,652
2,KDAX20150608_122749_V06,-14.692,0.053,399.784,425.864,16.785,-121.109,37.933,8392.533,80309.765,20150608_052749,479187,707,20663,669
1,KDAX20150608_120840_V06,-33.842,0.095,312.517,292.166,10.463,-121.605,38.536,5231.316,7382.936,20150608_050840,479187,729,31950,694
1,KDAX20150609_121407_V06,-28.235,0.158,401.718,427.609,6.432,-121.098,37.925,3216.227,81594.367,20150609_051407,479184,1317,21151,1207
1,KDAX20150609_122335_V06,-18.768,0.233,402.839,428.235,16.467,-121.092,37.922,8233.566,82188.896,20150609_052335,479180,1298,16945,1205
1,KDAX20150609_123301_V06,-9.335,0.169,407.601,428.922,13.173,-121.065,37.919,6586.426,83962.490,20150609_053301,479181,1406,16917,1295
5,KDAX20150610_134221_V06,60.124,0.136,41.167,315.659,41.957,-123.159,38.421,20978.485,129653.240,20150610_064221,479179,1070,193969,704
