track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KDGX20200601_100440_V06,-49.220,0.274,252.062,78.823,5.979,-90.242,33.277,2989.666,113156.088,20200601_050440,479155,2,47800,1
4,KDGX20200603_104141_V06,-11.753,0.050,339.680,403.367,19.099,-89.775,31.814,9549.301,55360.597,20200603_054141,479156,212,124922,3
2,KDGX20200605_120529_V06,72.396,0.070,217.529,169.619,8.343,-90.425,32.867,4171.329,77137.305,20200605_070529,479161,0,48823,0
2,KDGX20200605_121408_V06,81.046,0.055,217.001,168.954,16.084,-90.428,32.870,8042.037,77559.446,20200605_071408,479156,2,49199,1
1,KDGX20200605_101049_V06,-42.271,0.079,393.862,317.734,8.690,-89.487,32.199,4345.074,47761.453,20200605_051049,479157,1,34924,0
4,KDGX20200606_102219_V06,-30.634,0.052,162.038,234.293,11.757,-90.719,32.574,5878.593,76405.079,20200606_052219,479146,258,74436,18
8,KDGX20200606_111040_V06,17.716,0.075,375.947,59.948,32.610,-89.576,33.362,16305.088,125889.833,20200606_061040,479153,203,85822,18
10,KDGX20200606_111626_V06,23.482,0.136,233.861,260.645,13.974,-90.336,32.457,6986.856,38480.878,20200606_061626,479140,168,84933,16
3,KDGX20200607_121317_V06,80.444,0.054,326.977,410.565,26.774,-89.842,31.781,13387.161,56904.478,20200607_071317,479157,4,43801,3
1,KDGX20200610_101153_V06,-40.770,0.236,50.649,238.730,91.802,-91.312,32.549,45901.054,128384.050,20200610_051153,479151,11997,209821,325
7,KDGX20200610_115131_V06,58.863,0.052,192.258,336.762,44.285,-90.555,32.113,22142.500,56920.513,20200610_065131,479151,5405,121403,34
1,KDGX20200612_103733_V06,-15.104,0.066,270.301,103.620,73.587,-90.144,33.165,36793.598,99306.323,20200612_053733,479161,32,35748,18
1,KDGX20200612_104945_V06,-2.904,0.166,259.903,111.342,78.284,-90.199,33.130,39141.926,96436.276,20200612_054945,479152,45,58493,25
2,KDGX20200612_104945_V06,-2.904,0.053,51.914,158.972,3.718,-91.310,32.909,1858.908,142684.668,20200612_054945,479152,45,58493,25
3,KDGX20200612_110041_V06,8.029,0.132,291.900,521.915,19.547,-90.027,31.279,9773.263,111031.467,20200612_060041,479154,25,59947,9
1,KDGX20200617_104338_V06,-9.442,0.110,463.800,420.095,21.808,-89.120,31.736,10904.022,101554.425,20200617_054338,479156,7,31872,0
1,KDGX20200618_101140_V06,-41.563,0.723,395.983,253.237,9.459,-89.474,32.490,4729.431,53384.481,20200618_051140,479153,31,35065,7
1,KDGX20200618_101755_V06,-35.313,0.866,397.159,253.602,15.313,-89.468,32.488,7656.501,53834.487,20200618_051755,479156,44,35796,6
1,KDGX20200618_102416_V06,-28.963,0.703,400.115,253.170,19.689,-89.452,32.490,9844.286,55263.209,20200618_052416,479158,31,34585,6
1,KDGX20200619_104620_V06,-7.073,0.184,473.972,433.147,30.752,-89.067,31.676,15376.181,109538.381,20200619_054620,479161,7,32907,5
2,KDGX20200619_113750_V06,44.427,0.377,322.231,420.904,22.070,-89.867,31.735,11035.076,61465.356,20200619_063750,479159,24,43206,17
