track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
20,KDMX20190601_112417_V06,41.425,0.163,229.499,418.560,5.881,-94.143,41.197,2940.523,68968.971,20190601_062417,479185,1516,65659,490
20,KDMX20190601_112810_V06,45.308,0.192,229.530,418.567,10.794,-94.143,41.197,5396.937,68964.015,20190601_062810,479195,1656,66791,448
2,KDMX20190601_094919_V06,-53.542,0.098,57.829,113.667,24.463,-95.197,42.560,12231.533,152779.580,20190601_044919,479179,663,23946,335
3,KDMX20190601_094919_V06,-53.542,0.064,221.267,220.049,10.964,-94.199,42.090,5481.766,56104.592,20190601_044919,479179,663,23946,335
5,KDMX20190601_100330_V06,-39.359,0.292,59.587,82.937,18.959,-95.190,42.699,9479.743,161952.734,20190601_050330,479174,746,28481,423
6,KDMX20190601_100330_V06,-39.359,0.269,363.840,102.886,9.958,-93.334,42.618,4979.195,103597.310,20190601_050330,479174,746,28481,423
13,KDMX20190601_101743_V06,-25.142,0.165,229.288,418.307,6.362,-94.144,41.198,3180.925,68914.428,20190601_051743,479179,794,34001,501
17,KDMX20190601_105528_V06,12.608,0.090,229.553,417.401,6.399,-94.143,41.202,3199.583,68457.692,20190601_055528,479181,751,59843,322
17,KDMX20190601_110204_V06,19.208,0.100,228.998,418.824,4.784,-94.146,41.195,2391.956,69210.658,20190601_060204,479186,1017,61593,450
19,KDMX20190601_111631_V06,33.658,0.064,467.762,359.501,6.379,-92.719,41.459,3189.508,89000.645,20190601_061631,479186,1451,64302,513
23,KDMX20190601_115026_V06,67.575,0.077,229.387,417.473,6.562,-94.144,41.201,3281.050,68531.259,20190601_065026,479182,2125,73874,674
2,KDMX20190602_094756_V06,-54.479,0.429,307.837,119.309,9.634,-93.675,42.544,4816.753,90430.213,20190602_044756,479175,171,30591,152
2,KDMX20190602_100712_V06,-35.212,0.091,307.962,119.300,16.487,-93.674,42.545,8243.672,90437.605,20190602_050712,479175,120,33962,99
12,KDMX20190602_112415_V06,41.838,0.119,227.809,417.175,8.089,-94.153,41.203,4044.331,68814.365,20190602_062415,479174,323,27883,215
12,KDMX20190602_113353_V06,51.471,0.202,227.954,417.390,16.747,-94.152,41.202,8373.559,68867.638,20190602_063353,479174,462,28208,264
6,KDMX20190602_100712_V06,-35.212,0.053,347.434,173.913,2.343,-93.435,42.298,1171.482,67357.096,20190602_050712,479175,120,33962,99
8,KDMX20190602_103605_V06,-6.329,0.068,422.267,262.882,8.259,-92.986,41.896,4129.387,63888.628,20190602_053605,479177,199,30114,143
10,KDMX20190602_104543_V06,3.304,0.071,226.210,419.496,8.181,-94.163,41.192,4090.254,70221.368,20190602_054543,479176,216,28930,131
1,KDMX20190603_094836_V06,-53.400,0.482,307.587,119.851,9.252,-93.677,42.542,4626.049,90154.353,20190603_044836,479173,656,23676,505
1,KDMX20190603_100752_V06,-34.133,0.390,307.808,119.586,12.895,-93.675,42.543,6447.603,90291.607,20190603_050752,479174,771,26858,570
9,KDMX20190603_115501_V06,73.017,0.118,229.207,419.118,6.608,-94.145,41.194,3303.860,69283.432,20190603_065501,479177,678,42516,474
9,KDMX20190603_120425_V06,82.417,0.101,229.387,419.394,14.305,-94.144,41.193,7152.561,69356.341,20190603_070425,479176,586,44197,414
2,KDMX20190603_100752_V06,-34.133,0.159,469.080,359.961,9.301,-92.711,41.457,4650.484,89698.678,20190603_050752,479174,771,26858,570
3,KDMX20190603_100752_V06,-34.133,0.072,127.100,107.342,8.820,-94.776,42.594,4409.823,129433.008,20190603_050752,479174,771,26858,570
7,KDMX20190603_112454_V06,42.900,0.066,228.530,419.812,8.198,-94.149,41.191,4098.761,69754.436,20190603_062454,479174,827,26160,608
7,KDMX20190603_113432_V06,52.533,0.093,229.179,418.495,6.497,-94.145,41.197,3248.407,69023.135,20190603_063432,479182,669,38901,476
10,KDMX20190603_115501_V06,73.017,0.091,422.841,266.725,8.529,-92.983,41.879,4264.526,63633.902,20190603_065501,479177,678,42516,474
2,KDMX20190604_094517_V06,-56.338,0.064,224.192,219.520,8.334,-94.181,42.092,4167.234,55280.904,20190604_044517,479184,88,24797,10
14,KDMX20190605_114108_V06,59.856,0.061,17.506,424.739,20.801,-95.406,41.157,10400.658,154404.558,20190605_064108,479191,8959,58926,969
14,KDMX20190605_114538_V06,64.356,0.119,18.420,424.620,27.092,-95.400,41.158,13546.042,153962.201,20190605_064538,479192,8608,58126,968
14,KDMX20190605_115013_V06,68.939,-1.000,19.139,424.526,33.701,-95.396,41.158,16850.273,153614.712,20190605_065013,479195,8440,57058,1054
14,KDMX20190605_115447_V06,73.506,0.197,28.923,426.498,33.293,-95.337,41.150,16646.456,149570.015,20190605_065447,479199,8235,57580,1083
1,KDMX20190605_094218_V06,-58.977,0.147,311.217,120.885,8.748,-93.655,42.537,4374.199,89732.813,20190605_044218,479191,1971,47007,160
1,KDMX20190605_094612_V06,-55.077,0.159,311.192,121.333,13.612,-93.655,42.535,6806.093,89508.401,20190605_044612,479186,2054,49030,131
10,KDMX20190605_104921_V06,8.073,0.075,176.440,18.048,15.551,-94.480,42.998,7775.511,153918.610,20190605_054921,479192,6778,57582,399
11,KDMX20190605_105409_V06,12.873,0.068,358.061,173.014,16.617,-93.371,42.302,8308.609,69815.030,20190605_055409,479183,6910,58969,337
12,KDMX20190605_112738_V06,46.356,0.096,227.255,222.255,9.032,-94.162,42.080,4516.178,53235.517,20190605_062738,479188,8268,59903,530
13,KDMX20190605_113638_V06,55.356,0.066,290.899,325.819,15.572,-93.777,41.615,7785.751,13688.119,20190605_063638,479186,9008,60910,792
1,KDMX20190606_094154_V06,-59.067,0.252,309.784,120.227,8.969,-93.663,42.540,4484.619,90019.661,20190606_044154,479172,298,48790,211
1,KDMX20190607_094925_V06,-51.274,0.081,310.325,119.797,3.133,-93.660,42.542,1566.586,90249.041,20190607_044925,479175,35,40580,29
4,KDMX20190608_100049_V06,-39.632,0.107,309.473,118.226,6.568,-93.665,42.549,3283.890,91010.573,20190608_050049,479176,181,45859,119
4,KDMX20190608_100700_V06,-33.449,0.058,309.863,118.346,13.256,-93.663,42.549,6628.134,90960.607,20190608_050700,479175,120,45632,88
1,KDMX20190608_094233_V06,-57.899,0.160,227.691,420.687,5.221,-94.154,41.187,2610.435,70345.433,20190608_044233,479181,155,42022,111
2,KDMX20190608_094233_V06,-57.899,0.093,310.441,120.155,5.111,-93.659,42.541,2555.317,90073.979,20190608_044233,479181,155,42022,111
3,KDMX20190608_094233_V06,-57.899,0.056,137.630,338.776,7.991,-94.696,41.552,3995.481,83468.210,20190608_044233,479181,155,42022,111
1,KDMX20190609_101324_V06,-26.841,0.086,195.826,221.269,10.508,-94.352,42.084,5253.950,65289.357,20190609_051324,479178,1,28053,1
2,KDMX20190609_113957_V06,59.709,0.072,75.539,158.451,15.781,-95.085,42.360,7890.738,132682.543,20190609_063957,479177,15,31696,11
7,KDMX20190610_101019_V06,-29.751,0.062,230.799,418.495,8.196,-94.135,41.197,4097.755,68611.167,20190610_051019,479182,416,29627,146
7,KDMX20190610_101500_V06,-25.068,0.132,230.711,417.995,14.513,-94.136,41.199,7256.639,68417.466,20190610_051500,479177,419,28825,141
11,KDMX20190610_101942_V06,-20.368,0.188,310.136,120.067,6.160,-93.661,42.541,3079.815,90109.265,20190610_051942,479184,507,28614,213
11,KDMX20190610_102423_V06,-15.684,0.052,310.073,120.188,13.549,-93.661,42.541,6774.497,90046.887,20190610_052423,479173,498,28139,186
13,KDMX20190610_103346_V06,-6.301,0.077,229.714,417.469,5.925,-94.142,41.202,2962.341,68445.414,20190610_053346,479177,583,30083,232
13,KDMX20190610_103828_V06,-1.601,0.168,229.728,417.353,12.089,-94.142,41.202,6044.718,68392.286,20190610_053828,479181,580,30648,285
1,KDMX20190610_094212_V06,-57.868,0.273,229.260,418.331,5.251,-94.144,41.198,2625.708,68931.689,20190610_044212,479177,465,32777,159
3,KDMX20190610_094212_V06,-57.868,0.060,423.072,265.715,6.364,-92.981,41.883,3181.934,63879.299,20190610_044212,479177,465,32777,159
4,KDMX20190610_094653_V06,-53.184,0.068,139.019,339.814,8.813,-94.688,41.548,4406.265,82915.717,20190610_044653,479181,465,32246,167
5,KDMX20190610_100057_V06,-39.118,0.075,229.439,417.371,6.341,-94.143,41.202,3170.633,68474.290,20190610_050057,479181,483,30494,160
12,KDMX20190610_102905_V06,-10.984,0.058,228.381,416.962,8.444,-94.150,41.204,4222.004,68573.554,20190610_052905,479175,554,29434,227
14,KDMX20190610_103346_V06,-6.301,0.061,422.359,263.880,8.576,-92.986,41.891,4288.197,63789.399,20190610_053346,479177,583,30083,232
17,KDMX20190610_105232_V06,12.466,0.178,227.817,418.008,8.085,-94.153,41.199,4042.339,69166.834,20190610_055232,479182,520,28262,224
20,KDMX20190610_111116_V06,31.199,0.099,227.843,416.585,8.287,-94.153,41.205,4143.414,68554.252,20190610_061116,479176,591,21840,285
20,KDMX20190610_112053_V06,40.816,0.085,229.679,418.406,5.830,-94.142,41.197,2914.831,68856.748,20190610_062053,479178,446,22542,288
22,KDMX20190610_113031_V06,50.449,0.220,43.424,358.121,9.419,-95.258,41.459,4709.598,131538.062,20190610_063031,479176,414,22835,346
23,KDMX20190610_114946_V06,69.699,0.150,227.724,417.003,7.777,-94.154,41.204,3888.670,68763.073,20190610_064946,479179,878,23758,459
1,KDMX20190611_094548_V06,-54.128,0.374,229.423,419.422,5.826,-94.143,41.193,2912.827,69359.216,20190611_044548,479176,403,41796,115
1,KDMX20190611_095235_V06,-47.345,0.199,229.440,419.575,12.613,-94.143,41.192,6306.305,69420.571,20190611_045235,479175,402,43792,110
6,KDMX20190611_101257_V06,-26.978,0.265,19.519,434.771,26.213,-95.393,41.112,13106.321,155589.919,20190611_051257,479176,302,46255,103
6,KDMX20190611_101943_V06,-20.211,-1.000,19.519,434.771,36.972,-95.393,41.112,18485.821,155589.919,20190611_051943,479178,264,47477,73
6,KDMX20190611_102630_V06,-13.428,0.054,26.356,430.830,40.486,-95.352,41.131,20243.000,151655.350,20190611_052630,479176,257,48920,63
23,KDMX20190611_114801_V06,68.089,0.105,230.265,417.786,9.783,-94.138,41.200,4891.388,68440.513,20190611_064801,479177,719,87376,363
23,KDMX20190611_115243_V06,72.789,0.104,231.262,417.854,16.193,-94.133,41.200,8096.435,68217.608,20190611_065243,479177,797,90125,344
13,KDMX20190611_104651_V06,6.922,0.109,445.579,207.695,8.306,-92.842,42.143,4153.183,86187.875,20190611_054651,479176,342,56098,138
15,KDMX20190611_111948_V06,39.872,0.055,468.677,358.788,5.637,-92.713,41.462,2818.649,89314.135,20190611_061948,479185,435,76776,210
24,KDMX20190611_114801_V06,68.089,0.067,470.541,361.179,8.704,-92.702,41.451,4351.847,90591.180,20190611_064801,479177,719,87376,363
1,KDMX20190612_094352_V06,-55.956,0.315,227.799,416.998,6.132,-94.153,41.204,3065.805,68741.327,20190612_044352,479177,48,68642,19
1,KDMX20190612_094814_V06,-51.589,0.058,227.860,416.904,12.491,-94.153,41.204,6245.425,68685.560,20190612_044814,479182,51,66584,7
10,KDMX20190612_100118_V06,-38.522,0.273,222.518,68.788,43.314,-94.196,42.771,21656.969,121924.508,20190612_050118,479174,143,59942,14
10,KDMX20190612_100540_V06,-34.156,0.071,224.305,70.136,48.647,-94.185,42.765,24323.742,121003.100,20190612_050540,479174,88,57851,19
3,KDMX20190612_094352_V06,-55.956,0.095,389.898,532.644,11.175,-93.191,40.682,5587.263,124704.734,20190612_044352,479177,48,68642,19
5,KDMX20190612_094352_V06,-55.956,0.084,138.269,340.757,7.752,-94.692,41.544,3875.952,83393.641,20190612_044352,479177,48,68642,19
8,KDMX20190612_095235_V06,-47.239,0.059,407.250,416.131,20.303,-93.083,41.207,10151.588,79039.216,20190612_045235,479190,81,65177,9
