track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KDVN20180604_111848_V06,49.463,0.077,189.748,237.492,4.896,-91.245,41.891,2447.765,63369.445,20180604_061848,479173,298,20689,223
2,KDVN20180605_102417_V06,-4.718,0.069,459.488,419.711,9.422,-89.632,41.069,4711.212,99708.515,20180605_052417,479188,54,38629,48
3,KDVN20180606_102805_V06,-0.617,0.054,342.841,393.734,7.211,-90.326,41.189,3605.261,51529.983,20180606_052805,479171,135,21990,97
6,KDVN20180609_102345_V06,-4.255,0.067,276.074,323.456,6.178,-90.724,41.506,3089.230,16752.843,20180609_052345,479178,18251,136765,687
10,KDVN20180609_112136_V06,53.595,0.263,313.419,557.575,8.927,-90.502,40.452,4463.533,128962.226,20180609_062136,479183,12064,120031,1221
15,KDVN20180609_113807_V06,70.112,0.082,344.176,186.362,45.646,-90.314,42.123,22822.868,60961.387,20180609_063807,479183,12161,116502,1500
5,KDVN20180610_104748_V06,19.958,0.509,321.784,377.514,15.364,-90.451,41.263,7682.236,40258.238,20180610_054748,479186,9646,106933,215
1,KDVN20180611_113324_V06,65.686,0.055,9.197,464.123,15.872,-92.305,40.860,7935.843,166959.994,20180611_063324,479181,89,30249,25
1,KDVN20180611_113717_V06,69.570,0.299,9.790,464.266,21.348,-92.302,40.859,10673.958,166737.291,20180611_063717,479184,150,30928,27
1,KDVN20180611_114108_V06,73.420,0.100,12.268,466.551,24.227,-92.287,40.849,12113.701,166229.326,20180611_064108,479179,123,31218,25
3,KDVN20180612_094826_V06,-39.186,0.067,24.634,417.774,27.781,-92.219,41.070,13890.480,149747.511,20180612_044826,479177,2005,75448,81
3,KDVN20180612_095218_V06,-35.320,0.103,24.644,418.140,33.134,-92.219,41.068,16566.795,149814.969,20180612_045218,479193,1807,72055,80
1,KDVN20180612_092828_V06,-59.153,0.059,21.606,444.832,27.471,-92.234,40.948,13735.350,156907.144,20180612_042828,479188,1330,81588,115
2,KDVN20180612_094826_V06,-39.186,0.079,431.717,307.286,20.979,-89.791,41.576,10489.319,65959.207,20180612_044826,479177,2005,75448,81
1,KDVN20180613_104248_V06,15.241,0.058,108.583,357.196,14.447,-91.724,41.348,7223.351,99889.950,20180613_054248,479169,39,22406,32
8,KDVN20180614_104429_V06,16.950,0.140,21.484,332.483,22.797,-92.248,41.453,11398.308,140201.713,20180614_054429,479183,878,42993,200
2,KDVN20180622_094042_V06,-47.806,0.126,133.595,182.324,27.265,-91.587,42.137,13632.437,101904.634,20180622_044042,479183,533,204529,24
2,KDVN20180622_094620_V06,-42.173,0.078,125.531,181.221,24.050,-91.636,42.142,12025.105,105532.127,20180622_044620,479186,489,199682,29
9,KDVN20180622_102540_V06,-2.839,0.077,350.635,269.183,33.809,-90.276,41.750,16904.480,29637.573,20180622_052540,479181,659,155907,32
9,KDVN20180622_103117_V06,2.777,0.068,337.083,278.621,28.266,-90.358,41.708,14132.980,21402.308,20180622_053117,479180,659,150070,31
16,KDVN20180622_112102_V06,52.527,0.204,475.489,151.612,30.923,-89.517,42.275,15461.365,114908.276,20180622_062102,479178,317,119191,46
21,KDVN20180622_114836_V06,80.094,0.079,377.035,305.898,34.646,-90.119,41.584,17322.926,38630.319,20180622_064836,479189,145,112059,26
1,KDVN20180623_093354_V06,-54.870,0.200,412.384,115.534,5.055,-89.898,42.440,2527.374,108002.095,20180623_043354,479172,55,35065,46
1,KDVN20180623_094239_V06,-46.120,0.168,413.311,114.808,12.202,-89.892,42.443,6100.926,108553.421,20180623_044239,479171,31,33678,30
3,KDVN20180623_101730_V06,-11.270,0.053,445.956,260.942,60.245,-89.703,41.784,30122.589,75545.589,20180623_051730,479174,52,24210,43
