track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KESX20180601_113349_V06,-51.156,0.055,486.997,130.228,14.174,-113.848,36.462,7086.773,126283.821,20180601_043349,479177,0,30155,0
1,KESX20180603_112956_V06,-54.449,0.139,109.956,293.324,8.811,-115.942,35.727,4405.606,95080.530,20180603_042956,479178,0,65863,0
1,KESX20180603_113940_V06,-44.716,0.113,112.063,291.336,7.745,-115.930,35.736,3872.557,94068.227,20180603_043940,479178,0,64195,0
3,KESX20180603_122038_V06,-3.749,0.069,327.609,408.820,35.653,-114.740,35.211,17826.288,56133.720,20180603_052038,479179,0,55244,0
2,KESX20180604_123715_V06,13.121,0.452,516.260,458.857,53.845,-113.707,34.979,26922.314,134167.754,20180604_053715,479186,0,40040,0
2,KESX20180604_124857_V06,24.821,0.311,515.743,458.548,63.889,-113.710,34.981,31944.616,133867.910,20180604_054857,479183,0,38602,0
3,KESX20180604_124857_V06,24.821,0.115,214.001,210.080,31.565,-115.369,36.105,15782.650,62212.004,20180604_054857,479183,0,38602,0
3,KESX20180604_130827_V06,44.321,0.131,211.808,206.954,39.900,-115.381,36.119,19949.987,64100.091,20180604_060827,479181,0,34049,0
1,KESX20180604_113845_V06,-45.379,0.075,329.669,390.569,6.484,-114.728,35.293,3242.146,47652.502,20180604_043845,479180,0,48843,0
1,KESX20180608_112931_V06,-53.885,0.149,110.252,288.690,6.663,-115.940,35.748,3331.596,95042.371,20180608_042931,479171,0,22416,0
3,KESX20180611_122848_V06,5.647,0.091,254.696,119.269,20.926,-115.144,36.515,10462.763,93161.410,20180611_052848,479173,2,51310,1
3,KESX20180611_123836_V06,15.447,0.545,256.573,118.813,31.151,-115.134,36.517,15575.481,93159.155,20180611_053836,479176,0,50526,0
3,KESX20180611_124823_V06,25.231,0.102,266.033,118.960,37.232,-115.081,36.517,18615.802,92099.425,20180611_054823,479172,1,48491,0
1,KESX20180611_113000_V06,-53.153,0.091,109.557,292.254,8.187,-115.944,35.731,4093.284,95300.159,20180611_043000,479176,0,46527,0
2,KESX20180611_121900_V06,-4.153,0.197,259.624,116.238,24.207,-115.117,36.529,12103.470,94072.941,20180611_051900,479164,0,52107,0
1,KESX20180612_112633_V06,-56.576,0.066,110.747,290.201,8.633,-115.937,35.741,4316.730,94753.133,20180612_042633,479173,0,32040,0
1,KESX20180612_113621_V06,-46.776,0.156,110.042,290.631,15.628,-115.941,35.739,7813.811,95094.612,20180612_043621,479171,0,30932,0
2,KESX20180612_130433_V06,41.424,0.054,397.232,321.725,3.400,-114.355,35.602,1700.146,49814.599,20180612_060433,479168,0,21062,0
2,KESX20180613_112738_V06,-55.492,0.053,224.922,396.367,2.731,-115.304,35.266,1365.429,61080.362,20180613_042738,479167,0,32765,0
2,KESX20180613_113726_V06,-45.692,0.056,224.853,396.322,10.309,-115.304,35.266,5154.256,61084.036,20180613_043726,479162,0,32818,0
1,KESX20180613_112738_V06,-55.492,0.053,110.369,290.184,7.063,-115.940,35.741,3531.326,94942.547,20180613_042738,479167,0,32765,0
3,KESX20180613_121641_V06,-6.442,0.054,381.492,307.686,27.068,-114.441,35.666,13533.993,40926.754,20180613_051641,479166,0,32707,0
3,KESX20180616_134137_V06,78.329,0.072,224.003,397.349,2.919,-115.309,35.262,1459.478,61750.173,20180616_064137,479172,0,30138,0
1,KESX20180619_123755_V06,14.232,0.058,347.800,409.354,30.673,-114.629,35.208,15336.359,59672.119,20180619_053755,479173,1,43671,1
1,KESX20180620_120718_V06,-16.568,0.051,338.641,418.129,29.552,-114.679,35.169,14775.887,62144.034,20180620_050718,479172,0,33159,0
1,KESX20180621_112810_V06,-55.908,0.057,399.190,259.384,8.205,-114.342,35.883,4102.303,53591.996,20180621_042810,479172,0,33695,0
3,KESX20180622_131218_V06,47.993,0.054,388.330,288.065,8.652,-114.403,35.754,4325.867,44566.548,20180622_061218,479177,0,39188,0
3,KESX20180622_131927_V06,55.143,0.072,390.865,291.261,15.799,-114.389,35.739,7899.587,45642.214,20180622_061927,479175,0,38321,0
1,KESX20180622_113203_V06,-52.257,0.056,333.102,396.573,11.503,-114.709,35.266,5751.551,51044.381,20180622_043203,479172,0,30388,0
2,KESX20180622_122212_V06,-2.107,0.063,247.294,422.390,30.796,-115.181,35.149,15398.199,66628.090,20180622_052212,479173,0,36831,0
