track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KFDX20140603_114356_V07,1.761,0.066,359.631,400.222,17.988,-103.306,34.183,8994.219,58310.311,20140603_054356,242477,70,24529,69
3,KFDX20140605_130345_V07,82.022,0.081,277.176,143.604,70.781,-103.755,35.340,35390.385,79026.482,20140605_070345,242486,410,31235,297
3,KFDX20140605_130654_V07,85.172,0.093,278.183,143.042,75.980,-103.749,35.343,37989.815,79233.542,20140605_070654,242487,342,30389,248
2,KFDX20140605_113458_V07,-6.762,0.072,342.811,225.980,8.389,-103.395,34.969,4194.550,42754.584,20140605_053458,242475,454,40537,366
4,KFDX20140606_114626_V07,4.887,0.105,206.356,300.237,18.602,-104.140,34.633,9300.903,46821.904,20140606_054626,242478,96,19679,86
4,KFDX20140606_114936_V07,8.053,0.055,206.299,299.945,23.392,-104.140,34.634,11696.208,46850.443,20140606_054936,242482,102,19584,88
5,KFDX20140606_120537_V07,24.070,0.059,209.079,298.113,18.228,-104.125,34.643,9113.993,45470.472,20140606_060537,242480,103,19012,101
5,KFDX20140606_120936_V07,28.053,0.055,208.539,298.249,23.371,-104.128,34.642,11685.597,45738.974,20140606_060936,242480,99,18790,90
6,KFDX20140606_121932_V07,37.987,0.102,205.907,299.144,17.660,-104.143,34.638,8829.762,47048.274,20140606_061932,242481,94,17781,87
7,KFDX20140606_124928_V07,67.920,0.058,208.122,300.547,17.542,-104.130,34.632,8771.166,45939.762,20140606_064928,242489,104,17151,96
8,KFDX20140606_130537_V07,84.070,0.192,207.918,300.773,19.998,-104.132,34.631,9999.210,46042.461,20140606_070537,242485,91,16897,85
3,KFDX20140607_125945_V07,78.358,0.071,283.191,306.796,13.751,-103.721,34.605,6875.744,9065.393,20140607_065945,242479,635,30241,89
3,KFDX20140607_130254_V07,81.508,0.050,283.231,307.211,18.415,-103.721,34.603,9207.586,9126.561,20140607_070254,242471,756,30683,68
3,KFDX20140607_130604_V07,84.675,0.660,279.510,310.526,16.036,-103.741,34.588,8017.971,11517.692,20140607_070604,242479,764,30833,71
2,KFDX20140607_123732_V07,56.142,0.051,204.102,301.871,19.492,-104.152,34.626,9746.031,47958.361,20140607_063732,242483,593,24546,57
3,KFDX20140608_130128_V07,80.203,0.274,206.532,298.291,18.575,-104.139,34.642,9287.695,46741.954,20140608_070128,242459,74,17161,62
3,KFDX20140609_121351_V07,32.688,0.102,205.771,298.005,18.475,-104.143,34.643,9237.394,47125.278,20140609_061351,242468,46,13492,46
3,KFDX20140609_121723_V07,36.221,0.062,205.199,298.306,23.484,-104.146,34.642,11741.874,47407.822,20140609_061723,242462,58,13858,58
1,KFDX20140609_104145_V07,-59.412,0.081,218.382,318.113,6.903,-104.074,34.553,3451.332,41801.814,20140609_044145,242464,200,16120,61
2,KFDX20140609_120621_V07,25.188,0.053,205.615,299.120,20.131,-104.144,34.638,10065.365,47194.342,20140609_060621,242468,61,14154,59
1,KFDX20140610_124719_V07,66.229,0.051,266.731,455.771,4.781,-103.809,33.933,2390.697,79642.025,20140610_064719,242487,30,10915,24
8,KFDX20140612_121402_V07,33.016,0.255,205.310,300.431,20.095,-104.146,34.632,10047.661,47345.431,20140612_061402,242467,75,13895,73
8,KFDX20140612_121733_V07,36.532,0.078,204.804,300.273,24.746,-104.149,34.633,12373.124,47598.155,20140612_061733,242452,67,14362,66
4,KFDX20140612_111713_V07,-23.801,0.064,207.314,301.646,17.336,-104.135,34.627,8667.803,46350.476,20140612_051713,242471,84,21973,84
1,KFDX20140613_121207_V07,31.095,0.351,296.783,302.177,9.950,-103.647,34.625,4974.987,1942.142,20140613_061207,242494,37,8247,37
2,KFDX20140613_121757_V07,36.928,0.076,205.159,302.165,20.442,-104.147,34.624,10220.757,47432.781,20140613_061757,242489,45,8091,45
3,KFDX20140613_125257_V07,71.928,0.152,299.358,304.101,12.217,-103.633,34.617,6108.540,2075.269,20140613_065257,242479,63,9100,63
1,KFDX20140615_111012_V07,-30.909,0.052,291.279,200.329,32.038,-103.677,35.084,16019.112,50025.720,20140615_051012,243088,80,15566,74
3,KFDX20140616_113359_V07,-7.208,0.072,343.575,410.352,26.711,-103.393,34.138,13355.268,59321.909,20140616_053359,242482,221,26484,183
4,KFDX20140616_120411_V07,22.992,0.050,333.919,405.144,33.360,-103.446,34.161,16679.983,55239.839,20140616_060411,242483,265,23366,221
5,KFDX20140616_121707_V07,35.925,0.567,317.132,406.311,28.781,-103.537,34.156,14390.360,53841.080,20140616_061707,242486,306,22968,216
