track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KFSD20190601_100906_V06,-39.570,0.137,354.422,334.510,85.280,-96.393,43.432,42639.900,32220.795,20190601_050906,479177,94,42316,13
4,KFSD20190601_101420_V06,-34.337,0.195,378.113,326.965,71.366,-96.246,43.465,35682.800,41318.093,20190601_051420,479171,156,41171,14
1,KFSD20190602_104402_V06,-4.143,0.062,376.353,248.299,14.310,-96.254,43.819,7155.220,46105.139,20190602_054402,479179,54,23468,39
3,KFSD20190604_100359_V06,-43.312,0.112,368.856,251.623,4.737,-96.301,43.805,2368.481,42075.762,20190604_050359,479173,37,5976,2
1,KFSD20190605_112636_V06,39.690,0.072,423.211,238.737,10.379,-95.963,43.861,5189.716,68800.791,20190605_062636,479173,77,11373,56
1,KFSD20190606_095043_V06,-55.844,0.123,166.489,389.534,2.963,-97.550,43.182,1481.253,80376.682,20190606_045043,479173,11,13032,7
4,KFSD20190606_111822_V06,31.806,0.064,83.394,459.519,13.956,-98.054,42.862,6977.818,134503.428,20190606_061822,479175,21,14944,18
3,KFSD20190607_094758_V06,-58.281,0.057,177.109,377.631,3.561,-97.485,43.236,1780.640,72678.923,20190607_044758,479173,17,23837,17
6,KFSD20190607_104457_V06,-1.298,0.110,28.880,392.017,62.987,-98.396,43.161,31493.525,143155.007,20190607_054457,479172,11,18140,9
1,KFSD20190608_094726_V06,-58.538,0.054,368.939,252.460,3.234,-96.301,43.801,1616.779,41870.951,20190608_044726,479174,2,9187,2
1,KFSD20190608_100125_V06,-44.555,0.083,367.467,254.228,12.300,-96.310,43.793,6150.124,40764.235,20190608_050125,479171,8,12349,7
20,KFSD20190609_121008_V06,84.402,0.115,28.341,416.335,34.058,-98.396,43.052,17028.763,147760.366,20190609_071008,479171,335,88543,142
20,KFSD20190609_121531_V06,89.785,0.091,30.854,413.151,42.418,-98.381,43.067,21209.032,145981.926,20190609_071531,479177,249,86554,95
14,KFSD20190609_111615_V06,30.519,0.124,242.954,270.254,49.043,-97.083,43.721,24521.664,32167.777,20190609_061615,479174,221,115403,49
12,KFSD20190610_114842_V06,63.172,0.075,292.167,147.589,7.461,-96.778,44.274,3730.488,76306.139,20190610_064842,479172,38,12015,24
12,KFSD20190610_120301_V06,77.489,0.106,288.162,144.579,18.133,-96.803,44.287,9066.437,77935.561,20190610_070301,479174,109,11617,82
1,KFSD20190610_095209_V06,-53.378,0.195,422.629,239.000,12.465,-95.966,43.860,6232.510,68481.691,20190610_045209,479172,278,13390,265
2,KFSD20190610_101340_V06,-31.861,0.089,372.969,255.148,9.207,-96.276,43.789,4603.741,42825.857,20190610_051340,479172,179,12286,167
4,KFSD20190610_102802_V06,-17.495,0.077,422.560,238.668,10.907,-95.967,43.861,5453.339,68524.576,20190610_052802,479172,103,13683,85
6,KFSD20190610_103512_V06,-10.328,0.073,188.976,93.695,22.849,-97.427,44.514,11424.255,117141.016,20190610_053512,479169,93,13715,87
7,KFSD20190610_104931_V06,3.989,0.200,422.158,239.201,11.380,-95.969,43.859,5690.113,68225.832,20190610_054931,479177,44,13467,41
10,KFSD20190610_112522_V06,39.839,0.107,370.203,254.474,9.490,-96.293,43.792,4745.037,41836.167,20190610_062522,479175,24,13209,23
13,KFSD20190610_120301_V06,77.489,0.082,453.723,277.630,10.013,-95.776,43.684,5006.310,77671.320,20190610_070301,479174,109,11617,82
21,KFSD20190611_114528_V06,60.106,0.083,195.885,321.331,17.460,-97.372,43.490,8729.820,53138.609,20190611_064528,479170,311,157329,26
21,KFSD20190611_115238_V06,67.272,-1.000,195.885,321.331,28.855,-97.372,43.490,14427.320,53138.609,20190611_065238,479170,183,157636,22
21,KFSD20190611_120304_V06,77.706,0.062,213.496,321.438,28.096,-97.264,43.490,14047.766,44560.253,20190611_070304,479172,191,153969,26
21,KFSD20190611_120903_V06,83.689,-1.000,221.995,321.490,29.237,-97.211,43.490,14618.691,40455.559,20190611_070903,479175,198,154498,18
21,KFSD20190611_121430_V06,89.139,0.245,232.553,321.524,26.826,-97.146,43.490,13412.900,35398.822,20190611_071430,479176,241,153437,32
5,KFSD20190611_100805_V06,-37.278,0.095,33.468,400.424,34.921,-98.367,43.124,17460.732,142411.766,20190611_050805,479175,498,207718,77
5,KFSD20190611_101319_V06,-32.044,0.165,35.149,404.074,40.191,-98.356,43.108,20095.600,142282.774,20190611_051319,479176,578,204230,115
15,KFSD20190611_111324_V06,28.039,0.121,373.793,267.713,17.790,-96.271,43.732,8895.054,40273.515,20190611_061324,479175,1647,166201,350
15,KFSD20190611_111846_V06,33.406,-1.000,373.793,267.713,26.323,-96.271,43.732,13161.554,40273.515,20190611_061846,479166,1395,161788,320
15,KFSD20190611_112355_V06,38.556,0.063,390.527,268.818,17.956,-96.167,43.727,8978.111,47873.471,20190611_062355,479177,1312,160078,252
17,KFSD20190611_112355_V06,38.556,0.100,263.814,245.934,27.788,-96.954,43.831,13893.877,32528.875,20190611_062355,479177,1312,160078,252
22,KFSD20190611_120903_V06,83.689,0.409,226.104,321.097,24.715,-97.186,43.492,12357.424,38424.500,20190611_070903,479175,198,154498,18
6,KFSD20190612_102756_V06,-17.297,0.080,365.333,253.653,6.429,-96.323,43.796,3214.577,40051.390,20190612_052756,479172,10,22574,8
8,KFSD20190613_114042_V06,55.564,0.239,139.576,13.219,16.494,-97.744,44.874,8246.991,164300.853,20190613_064042,479172,29,21346,27
8,KFSD20190613_114931_V06,64.380,0.862,142.278,19.213,24.991,-97.726,44.847,12495.270,161026.312,20190613_064931,479171,67,21099,58
1,KFSD20190613_094557_V06,-59.186,0.187,453.414,277.948,11.341,-95.778,43.683,5670.494,77495.156,20190613_044557,479173,28,18235,20
2,KFSD20190613_094557_V06,-59.186,0.054,75.908,393.420,6.405,-98.107,43.159,3202.390,121392.355,20190613_044557,479173,28,18235,20
3,KFSD20190613_100336_V06,-41.536,0.058,370.830,254.726,4.812,-96.289,43.791,2405.903,42031.359,20190613_050336,479173,19,19421,12
5,KFSD20190613_111412_V06,29.064,0.153,371.614,254.479,9.958,-96.284,43.792,4979.046,42428.628,20190613_061412,479171,46,20753,25
6,KFSD20190613_112301_V06,37.880,0.133,143.974,42.991,28.741,-97.714,44.740,14370.355,150331.250,20190613_062301,479169,65,20953,47
1,KFSD20190616_111132_V06,26.462,0.056,29.386,401.943,57.170,-98.392,43.117,28585.228,144589.172,20190616_061132,479171,1,16353,1
