track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KFSX20220601_111838_V06,-54.523,0.058,213.013,136.702,2.780,-111.677,35.309,1389.793,92510.892,20220601_041838,479076,12,50478,5
2,KFSX20220601_112728_V06,-45.690,0.053,213.876,134.988,12.265,-111.672,35.317,6132.424,93067.484,20220601_042728,479073,8,48211,5
3,KFSX20220601_122925_V06,16.260,0.054,215.387,136.941,8.583,-111.664,35.308,4291.481,91852.470,20220601_052925,479071,17,22769,2
3,KFSX20220601_123815_V06,25.094,0.074,215.929,136.954,16.382,-111.661,35.308,8190.795,91722.123,20220601_053815,479077,15,22347,0
1,KFSX20220601_111838_V06,-54.523,0.078,339.390,415.261,1.984,-110.985,34.055,991.850,60903.064,20220601_041838,479076,12,50478,5
5,KFSX20220601_132231_V06,69.360,0.132,214.352,135.889,9.186,-111.669,35.313,4593.151,92558.377,20220601_062231,479077,15,22807,0
3,KFSX20220602_120025_V06,-12.454,0.313,304.742,124.684,50.028,-111.172,35.365,25013.914,87690.206,20220602_050025,479071,12,23104,1
3,KFSX20220602_120917_V06,-3.587,0.238,306.458,126.141,59.958,-111.163,35.358,29979.112,86989.352,20220602_050917,479076,15,21003,6
3,KFSX20220602_121809_V06,5.279,0.290,307.729,129.104,58.655,-111.156,35.345,29327.481,85535.272,20220602_051809,479071,18,20237,10
3,KFSX20220602_122659_V06,14.113,0.106,294.088,127.909,52.586,-111.231,35.350,26293.009,86096.387,20220602_052659,479073,34,18911,24
3,KFSX20220602_123550_V06,22.963,0.052,287.703,128.333,57.612,-111.266,35.348,28805.986,86053.297,20220602_053550,479076,19,18142,14
3,KFSX20220602_124441_V06,31.813,-1.000,281.772,128.728,63.282,-111.299,35.346,31640.783,86119.810,20220602_054441,479079,45,18039,26
3,KFSX20220602_130223_V06,49.513,0.232,272.132,135.887,51.304,-111.352,35.314,25652.176,83231.275,20220602_060223,479078,30,18948,18
3,KFSX20220602_131114_V06,58.363,0.070,253.108,127.676,44.167,-111.456,35.351,22083.447,89294.865,20220602_061114,479078,43,19600,21
4,KFSX20220602_120025_V06,-12.454,0.078,288.055,293.244,9.176,-111.263,34.605,4587.841,6861.655,20220602_050025,479071,12,23104,1
1,KFSX20220603_111837_V06,-53.995,0.086,302.870,359.802,2.444,-111.183,34.305,1221.758,29935.586,20220603_041837,479076,13,30640,1
1,KFSX20220605_111448_V06,-57.376,0.389,301.264,359.577,8.143,-111.191,34.306,4071.306,29795.030,20220605_041448,479074,35,29021,2
