track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KFTG20170601_103933_V06,-52.430,0.125,380.077,61.074,14.693,-104.070,40.862,7346.443,125994.168,20170601_043933,479169,90,41930,75
1,KFTG20170602_113453_V06,3.289,0.066,379.899,63.207,6.987,-104.072,40.852,3493.744,124954.939,20170602_053453,479164,107,24021,83
2,KFTG20170602_123318_V06,61.706,0.743,379.887,61.795,5.662,-104.072,40.858,2830.807,125622.135,20170602_063318,479165,141,23928,106
1,KFTG20170603_113717_V06,6.043,0.098,382.622,61.325,8.190,-104.055,40.860,4095.177,126285.474,20170603_053717,479173,52,14197,38
1,KFTG20170604_104156_V06,-48.985,0.154,120.122,343.135,6.022,-105.592,39.588,3011.105,92488.659,20170604_044156,479172,13,35431,10
4,KFTG20170605_114605_V06,15.455,0.154,383.114,57.225,15.760,-104.052,40.879,7879.768,128303.958,20170605_054605,479171,88,27511,58
1,KFTG20170606_103645_V06,-53.620,0.726,379.843,59.420,10.661,-104.072,40.869,5330.383,126741.718,20170606_043645,479169,54,38356,42
1,KFTG20170606_104629_V06,-43.886,0.503,380.084,59.397,15.415,-104.070,40.869,7707.312,126790.502,20170606_044629,479175,74,35409,40
2,KFTG20170606_103645_V06,-53.620,0.154,172.329,93.260,6.764,-105.301,40.715,3381.821,121492.185,20170606_043645,479169,54,38356,42
2,KFTG20170606_104629_V06,-43.886,0.110,172.317,92.693,18.581,-105.301,40.718,9290.668,121736.591,20170606_044629,479175,74,35409,40
4,KFTG20170606_104629_V06,-43.886,0.075,96.840,219.350,40.692,-105.737,40.144,20345.966,109291.265,20170606_044629,479175,74,35409,40
2,KFTG20170607_104100_V06,-49.144,0.080,27.228,26.546,23.120,-106.166,41.007,11559.929,193120.271,20170607_044100,479169,49,30594,29
2,KFTG20170608_120404_V06,34.117,0.533,382.536,57.330,9.663,-104.056,40.878,4831.478,128160.872,20170608_060404,479171,114,23509,94
