track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KFWS20170601_104426_V06,-38.066,0.277,342.701,408.449,16.567,-97.077,32.084,8283.358,58276.417,20170601_054426,479195,2429,110436,318
4,KFWS20170601_104820_V06,-34.166,0.109,343.159,407.724,21.587,-97.074,32.087,10793.575,58023.843,20170601_054820,479198,2493,113953,280
4,KFWS20170601_105214_V06,-30.266,0.225,345.258,403.995,16.012,-97.063,32.104,8005.766,56708.146,20170601_055214,479184,2370,114725,221
3,KFWS20170601_103622_V06,-46.133,0.116,344.543,414.062,16.717,-97.067,32.058,8358.456,61225.389,20170601_053622,479177,2468,104113,253
8,KFWS20170601_112524_V06,2.901,0.072,209.067,182.831,15.539,-97.790,33.100,7769.302,74157.432,20170601_062524,479196,3260,114481,175
8,KFWS20170601_112959_V06,7.484,-1.000,209.067,182.831,22.826,-97.790,33.100,11413.052,74157.432,20170601_062959,479188,3183,113726,140
8,KFWS20170601_113449_V06,12.317,0.071,216.127,184.557,13.382,-97.752,33.092,6690.794,71347.186,20170601_063449,479192,3387,114431,92
15,KFWS20170601_124609_V06,83.651,0.095,123.010,115.258,18.067,-98.254,33.402,9033.413,127920.943,20170601_074609,479198,3391,113630,294
11,KFWS20170603_122424_V06,62.371,0.082,261.195,503.240,21.363,-97.507,31.656,10681.343,103455.652,20170603_072424,479200,4442,245424,67
1,KFWS20170606_113548_V06,14.288,0.062,387.201,408.469,30.087,-96.841,32.083,15043.457,69587.408,20170606_063548,479173,14,35318,7
1,KFWS20170607_102256_V06,-58.457,0.259,297.470,224.207,2.265,-97.316,32.914,1132.599,37917.513,20170607_052256,479179,31,23322,22
1,KFWS20170608_103149_V06,-49.478,0.051,280.290,276.381,2.273,-97.408,32.679,1136.486,15381.481,20170608_053149,479180,46,20340,33
2,KFWS20170608_112120_V06,0.039,0.091,375.106,131.458,14.273,-96.899,33.332,7136.543,92259.470,20170608_062120,479182,24,17677,19
30,KFWS20170609_123648_V06,75.577,0.054,37.880,51.709,38.883,-98.716,33.684,19441.698,180523.905,20170609_073648,479194,22725,227308,1896
