track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KGGW20190606_102912_V06,-38.542,0.583,13.068,164.916,17.710,-108.577,48.797,8854.952,158569.907,20190606_042912,479170,2,28654,1
1,KGGW20190606_103853_V06,-28.859,0.567,20.610,163.024,27.508,-108.526,48.807,13753.874,155580.393,20190606_043853,479171,1,28184,0
1,KGGW20190606_104832_V06,-19.209,0.639,32.931,139.787,40.580,-108.446,48.912,20289.868,155719.291,20190606_044832,479171,2,27720,0
3,KGGW20190606_104832_V06,-19.209,0.089,279.676,536.169,28.787,-106.758,47.144,14393.711,118520.856,20190606_044832,479171,2,27720,0
2,KGGW20190608_105331_V06,-13.421,0.054,24.945,435.341,47.107,-108.453,47.583,23553.389,153274.871,20190608_045331,479177,1992,84097,114
2,KGGW20190608_110212_V06,-4.738,0.257,27.477,430.195,59.614,-108.437,47.607,29807.219,151012.573,20190608_050212,479170,1094,81166,54
2,KGGW20190608_110632_V06,-0.404,-1.000,28.648,427.816,65.904,-108.429,47.617,32952.022,149973.816,20190608_050632,479174,742,80171,55
2,KGGW20190608_111053_V06,3.946,0.150,31.405,426.126,66.799,-108.411,47.625,33399.279,148366.854,20190608_051053,479177,442,76658,21
2,KGGW20190608_111515_V06,8.312,0.157,32.570,426.448,67.391,-108.403,47.624,33695.560,147908.833,20190608_051515,479171,222,74182,8
2,KGGW20190608_111936_V06,12.662,0.201,31.893,427.389,64.805,-108.408,47.620,32402.459,148415.993,20190608_051936,479173,71,73612,4
2,KGGW20190608_112356_V06,16.996,0.210,31.423,427.727,63.861,-108.411,47.618,31930.592,148701.032,20190608_052356,479174,19,73615,0
2,KGGW20190608_112816_V06,21.329,0.241,31.628,430.978,61.385,-108.409,47.603,30692.537,149313.925,20190608_052816,479163,9,73597,0
2,KGGW20190608_113237_V06,25.679,0.173,31.435,430.629,59.276,-108.410,47.605,29638.074,149324.342,20190608_053237,479172,17,72478,0
2,KGGW20190608_113658_V06,30.029,0.231,31.301,433.123,56.998,-108.411,47.594,28499.031,149933.826,20190608_053658,479173,24,71197,0
2,KGGW20190608_114119_V06,34.379,0.644,32.709,432.251,53.618,-108.401,47.598,26808.956,149109.935,20190608_054119,479171,27,71176,4
2,KGGW20190608_114540_V06,38.729,0.634,34.702,437.948,55.892,-108.387,47.572,27946.224,149509.997,20190608_054540,479178,44,70002,1
2,KGGW20190608_115001_V06,43.079,0.452,35.970,434.491,56.840,-108.379,47.588,28419.990,148155.331,20190608_055001,479170,61,69460,0
2,KGGW20190608_115422_V06,47.429,0.110,37.451,429.164,59.591,-108.370,47.612,29795.345,146300.394,20190608_055422,479174,38,68988,0
2,KGGW20190608_120306_V06,56.162,0.164,37.940,418.893,56.266,-108.369,47.658,28132.788,143884.461,20190608_060306,479172,55,66528,0
2,KGGW20190608_120726_V06,60.496,0.088,38.686,414.139,60.838,-108.364,47.680,30418.794,142576.687,20190608_060726,479172,28,65315,0
2,KGGW20190608_121147_V06,64.846,0.075,37.393,411.057,62.007,-108.373,47.694,31003.681,142562.480,20190608_061147,479174,23,64059,0
3,KGGW20190608_110632_V06,-0.404,0.200,27.689,447.746,49.614,-108.432,47.528,24807.169,154904.815,20190608_050632,479174,742,80171,55
3,KGGW20190611_104037_V06,-25.441,0.402,415.845,13.821,21.896,-105.825,49.490,10947.983,154368.676,20190611_044037,479174,4,24851,1
3,KGGW20190611_105016_V06,-15.791,0.200,418.511,16.380,31.831,-105.807,49.479,15915.482,153692.034,20190611_045016,479172,10,21704,0
1,KGGW20190613_111627_V06,10.759,0.121,220.369,154.152,11.940,-107.167,48.861,5970.131,83085.365,20190613_051627,479175,4,30059,1
12,KGGW20190614_120306_V06,57.527,0.121,20.948,109.852,33.072,-108.533,49.046,16536.224,168838.713,20190614_060306,479182,104,56067,7
12,KGGW20190614_120751_V06,62.277,-1.000,20.948,109.852,40.625,-108.533,49.046,20312.474,168838.713,20190614_060751,479181,122,55201,1
12,KGGW20190614_121235_V06,67.011,0.524,25.887,107.007,46.837,-108.500,49.059,23418.301,167618.749,20190614_061235,479186,104,54773,2
12,KGGW20190614_121720_V06,71.761,0.236,28.773,109.694,50.335,-108.479,49.047,25167.509,165665.520,20190614_061720,479187,86,53531,2
12,KGGW20190614_122205_V06,76.511,0.203,35.698,109.091,51.213,-108.432,49.051,25606.627,163020.051,20190614_062205,479180,52,51797,1
19,KGGW20190614_122205_V06,76.511,0.063,278.192,237.535,40.710,-106.772,48.487,20355.227,33081.244,20190614_062205,479180,52,51797,1
