track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KGJX20190601_110250_V06,-46.179,0.111,380.743,288.696,13.550,-107.746,39.112,6774.956,40765.047,20190601_050250,479177,0,35150,0
2,KGJX20190601_110931_V06,-39.496,0.786,380.457,289.415,21.895,-107.748,39.109,10947.563,40575.156,20190601_050931,479176,0,34386,0
2,KGJX20190601_111556_V06,-33.079,0.312,385.210,288.692,22.991,-107.720,39.112,11495.644,42978.530,20190601_051556,479172,0,33680,0
8,KGJX20190601_122036_V06,31.588,0.652,227.430,195.195,12.492,-108.635,39.533,6246.168,63738.785,20190601_062036,479175,1,24734,0
8,KGJX20190601_122617_V06,37.271,0.596,226.633,195.308,21.041,-108.640,39.533,10520.376,63920.088,20190601_062617,479177,0,26926,0
8,KGJX20190601_123158_V06,42.954,-1.000,225.961,195.404,29.666,-108.644,39.532,14832.814,64074.554,20190601_063158,479172,0,28566,0
8,KGJX20190601_123737_V06,48.604,0.067,227.681,183.294,28.725,-108.634,39.587,14362.678,68648.179,20190601_063737,479176,0,28835,0
1,KGJX20190601_110250_V06,-46.179,0.764,351.458,406.464,21.082,-107.918,38.582,10541.098,59123.815,20190601_050250,479177,0,35150,0
1,KGJX20190601_110931_V06,-39.496,0.253,351.815,402.641,29.025,-107.916,38.600,14512.333,57489.124,20190601_050931,479176,0,34386,0
5,KGJX20190601_120914_V06,20.221,0.110,350.587,229.484,33.524,-107.920,39.379,16761.913,43392.319,20190601_060914,479175,0,21140,0
7,KGJX20190601_121454_V06,25.888,0.116,294.598,164.627,23.927,-108.245,39.672,11963.329,67740.301,20190601_061454,479173,0,22616,0
7,KGJX20190601_122036_V06,31.588,-1.000,294.598,164.627,32.990,-108.245,39.672,16494.829,67740.301,20190601_062036,479175,1,24734,0
7,KGJX20190601_122617_V06,37.271,0.191,301.297,149.859,28.900,-108.205,39.738,14449.810,75073.266,20190601_062617,479177,0,26926,0
