track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KGRB20140601_092249_V06,-48.046,0.077,166.938,77.012,60.231,-88.962,45.498,30115.484,129835.670,20140601_042249,479180,2965,118546,24
2,KGRB20140601_092836_V06,-42.263,0.143,167.610,73.937,66.904,-88.958,45.512,33451.806,130988.120,20140601_042836,479176,3104,120749,13
1,KGRB20140603_091638_V06,-53.241,0.086,274.618,376.797,3.400,-88.270,44.153,1700.233,40441.569,20140603_041638,479183,73,19707,64
1,KGRB20140603_092621_V06,-43.524,0.071,273.939,377.580,12.056,-88.274,44.149,6028.176,40919.968,20140603_042621,479182,58,18727,57
4,KGRB20140603_095528_V06,-14.408,0.062,273.299,378.639,5.480,-88.278,44.144,2740.229,41524.132,20140603_045528,479180,58,26313,46
4,KGRB20140603_100511_V06,-4.691,0.111,273.236,378.696,12.512,-88.278,44.144,6256.084,41561.420,20140603_050511,479182,80,25627,71
4,KGRB20140603_101453_V06,5.009,-1.000,273.177,378.750,20.034,-88.279,44.144,10016.971,41596.429,20140603_051453,479185,77,24654,54
4,KGRB20140603_102436_V06,14.726,0.060,273.389,379.568,5.638,-88.277,44.140,2818.935,41949.837,20140603_052436,479187,55,23286,48
4,KGRB20140603_103418_V06,24.426,-1.000,273.389,379.568,21.061,-88.277,44.140,10530.435,41949.837,20140603_053418,479187,58,23436,47
4,KGRB20140603_104400_V06,34.126,0.084,273.403,378.880,6.589,-88.277,44.143,3294.392,41621.755,20140603_054400,479186,76,23225,69
2,KGRB20140604_102201_V06,12.581,0.064,9.504,381.787,15.825,-89.926,44.116,7912.309,150894.666,20140604_052201,479189,34,33196,19
2,KGRB20140605_095813_V06,-10.817,0.066,326.281,281.940,21.486,-87.946,44.579,10743.095,15943.912,20140605_045813,479188,381,30226,34
5,KGRB20140605_105036_V06,41.566,0.101,248.660,413.475,30.359,-88.431,43.987,15179.344,62274.191,20140605_055036,479185,622,31556,35
1,KGRB20140612_111619_V06,69.040,0.113,325.903,304.297,13.458,-87.948,44.479,6729.107,13128.398,20140612_061619,479173,97,21089,7
1,KGRB20140613_095400_V06,-13.177,0.111,273.403,378.981,4.866,-88.277,44.143,2433.214,41669.762,20140613_045400,479190,48,13836,36
4,KGRB20140615_105443_V06,47.626,0.149,31.880,270.614,29.502,-89.800,44.618,14750.990,134862.854,20140615_055443,479186,345,47478,13
4,KGRB20140615_105941_V06,52.592,0.067,33.424,267.286,36.557,-89.791,44.633,18278.495,134287.911,20140615_055941,479178,362,48273,16
2,KGRB20140617_102005_V06,12.927,0.125,55.737,428.389,79.276,-89.632,43.910,39638.012,137974.546,20140617_052005,479199,1410,156598,25
2,KGRB20140617_102445_V06,17.594,0.123,51.860,429.353,83.530,-89.656,43.906,41764.810,139915.469,20140617_052445,479195,1356,151038,29
6,KGRB20140617_111117_V06,64.127,0.346,26.328,256.613,45.196,-89.837,44.681,22597.960,138544.851,20140617_061117,479182,3815,136100,175
6,KGRB20140617_111557_V06,68.794,0.289,26.438,257.312,52.014,-89.836,44.677,26007.076,138436.056,20140617_061557,479185,3953,131914,209
6,KGRB20140617_112035_V06,73.427,0.486,24.844,281.485,37.233,-89.843,44.569,18616.297,137889.200,20140617_062035,479189,3993,127351,250
6,KGRB20140617_112515_V06,78.094,0.298,25.477,282.754,42.725,-89.839,44.563,21362.284,137532.254,20140617_062515,479187,3828,121050,294
6,KGRB20140617_112956_V06,82.777,0.636,27.866,292.811,36.798,-89.823,44.518,18399.044,136114.292,20140617_062956,479198,4084,114711,320
6,KGRB20140617_113436_V06,87.444,0.517,28.527,291.511,42.306,-89.819,44.524,21153.114,135802.606,20140617_063436,479202,4022,108521,316
5,KGRB20140618_091946_V06,-47.478,0.104,20.476,190.879,8.838,-89.883,44.976,4418.906,150034.364,20140618_041946,479188,16965,301763,505
5,KGRB20140618_092443_V06,-42.528,0.351,21.770,189.609,16.242,-89.875,44.981,8121.046,149664.870,20140618_042443,479188,15829,300972,356
6,KGRB20140618_091946_V06,-47.478,0.057,195.626,549.088,47.366,-88.755,43.376,23683.165,135035.994,20140618_041946,479188,16965,301763,505
8,KGRB20140618_094929_V06,-17.761,0.093,192.387,176.584,72.779,-88.794,45.052,36389.618,81871.758,20140618_044929,479186,13813,307410,315
1,KGRB20140619_095740_V06,-9.704,0.051,21.960,490.754,30.505,-89.834,43.627,15252.350,168592.150,20140619_045740,479180,39,32565,29
3,KGRB20140621_100240_V06,-5.066,0.070,317.969,307.349,15.118,-87.998,44.465,7559.135,9706.817,20140621_050240,479186,261,38597,25
1,KGRB20140626_100400_V06,-5.262,0.188,174.692,342.036,4.899,-88.896,44.306,2449.402,66085.384,20140626_050400,479190,57,23461,52
1,KGRB20140626_101344_V06,4.471,0.073,173.811,342.129,14.137,-88.902,44.306,7068.601,66518.078,20140626_051344,479177,39,22051,36
1,KGRB20140627_110956_V06,60.263,0.088,486.798,255.381,12.759,-86.933,44.693,6379.585,96026.482,20140627_060956,479185,1060,37522,45
1,KGRB20140628_100559_V06,-4.128,0.071,273.448,373.128,4.996,-88.277,44.169,2498.026,38899.747,20140628_050559,479184,45,25937,38
1,KGRB20140629_100930_V06,-1.084,0.051,340.166,222.440,2.155,-87.857,44.847,1077.469,43671.774,20140629_050930,479192,3736,170839,102
3,KGRB20140629_112207_V06,71.532,0.052,31.098,274.767,49.876,-89.805,44.599,24937.935,135041.655,20140629_062207,479195,688,96631,23
2,KGRB20140630_091220_V06,-58.755,0.053,440.521,208.794,10.428,-87.221,44.905,5214.046,83762.584,20140630_041220,479191,126,28775,12
1,KGRB20140703_091646_V06,-56.016,0.196,232.826,497.336,8.828,-88.527,43.610,4414.111,104228.141,20140703_041646,479183,70,28363,48
1,KGRB20140703_092630_V06,-46.282,0.084,232.604,496.808,16.504,-88.529,43.612,8251.834,104013.890,20140703_042630,479184,156,29788,127
3,KGRB20140703_095100_V06,-21.782,0.298,235.131,497.786,9.514,-88.513,43.608,4757.020,104075.976,20140703_045100,479184,109,22062,68
3,KGRB20140703_095555_V06,-16.866,0.139,234.781,498.145,15.315,-88.515,43.606,7657.627,104301.117,20140703_045555,479185,137,20294,104
4,KGRB20140703_103512_V06,22.418,0.153,210.158,518.765,7.959,-88.667,43.513,3979.437,118247.104,20140703_053512,479181,81,24255,36
4,KGRB20140703_104008_V06,27.351,0.064,211.033,519.141,14.634,-88.661,43.511,7317.189,118255.878,20140703_054008,479184,119,24133,71
2,KGRB20140703_092630_V06,-46.282,0.094,267.345,476.881,8.163,-88.314,43.702,4081.307,89934.971,20140703_042630,479184,156,29788,127
