track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KHNX20190601_122230_V06,-19.893,0.052,307.493,431.472,6.733,-119.590,35.722,3366.688,65842.571,20190601_052230,479173,119,19548,96
1,KHNX20190602_114204_V06,-60.001,0.071,297.110,520.285,8.395,-119.647,35.321,4197.449,110151.962,20190602_044204,479175,80,13954,48
2,KHNX20190602_131909_V06,37.082,0.083,471.225,428.958,32.256,-118.685,35.729,16128.216,107177.622,20190602_061909,479175,220,20373,184
3,KHNX20190602_132853_V06,46.816,0.057,427.226,151.773,12.706,-118.917,36.980,6352.806,97669.820,20190602_062853,479176,222,20261,158
1,KHNX20190603_120128_V06,-40.304,0.149,484.417,484.814,7.259,-118.615,35.477,3629.690,130543.116,20190603_050128,479172,78,16800,36
1,KHNX20190604_133917_V06,57.780,0.101,322.882,445.242,8.174,-119.505,35.660,4087.118,73516.843,20190604_063917,479168,126,17516,87
1,KHNX20190605_123214_V06,-9.030,0.117,24.837,425.178,37.244,-121.152,35.740,18621.927,151149.102,20190605_053214,479173,201,14308,129
1,KHNX20190609_130011_V06,19.593,0.059,26.569,422.102,47.342,-121.143,35.754,23670.864,149727.421,20190609_060011,479174,81,20830,37
3,KHNX20190610_121313_V06,-27.276,0.463,365.057,522.992,17.950,-119.273,35.309,8975.169,116144.291,20190610_051313,479173,399,16365,270
3,KHNX20190610_122019_V06,-20.176,0.430,366.001,523.866,25.092,-119.268,35.305,12546.248,116696.305,20190610_052019,479174,357,14232,241
3,KHNX20190610_122726_V06,-13.059,0.298,370.537,524.907,24.585,-119.243,35.300,12292.542,117854.446,20190610_052726,479173,408,13608,277
3,KHNX20190610_123432_V06,-5.959,0.075,376.482,527.492,31.919,-119.211,35.288,15959.621,120002.371,20190610_053432,479173,385,13311,268
1,KHNX20190610_115152_V06,-48.626,0.174,359.724,520.254,9.742,-119.303,35.321,4870.764,114103.906,20190610_045152,479172,369,16225,234
1,KHNX20190610_120606_V06,-34.392,0.240,363.560,521.683,20.504,-119.282,35.315,10251.822,115307.702,20190610_050606,479174,330,18052,231
