track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
15,KICX20220624_124726_V06,36.209,0.126,256.547,518.393,21.711,-113.105,36.607,10855.539,111336.977,20220624_064726,479135,137,45956,0
15,KICX20220624_125225_V06,41.193,-1.000,256.547,518.393,29.635,-113.105,36.607,14817.289,111336.977,20220624_065225,479119,143,47269,0
15,KICX20220624_130227_V06,51.226,-1.000,256.547,518.393,45.588,-113.105,36.607,22793.789,111336.977,20220624_070227,479133,295,46425,0
15,KICX20220624_130727_V06,56.226,0.114,269.384,513.956,41.677,-113.033,36.627,20838.407,108067.564,20220624_070727,479117,229,46388,0
20,KICX20220624_132609_V06,74.926,0.095,490.213,383.256,18.951,-111.791,37.211,9475.668,103817.553,20220624_072609,479119,253,43674,0
20,KICX20220624_133049_V06,79.593,0.132,492.212,382.631,24.231,-111.779,37.214,12115.589,104610.479,20220624_073049,479127,225,43211,0
20,KICX20220624_133529_V06,84.259,0.070,502.035,375.180,21.280,-111.724,37.247,10640.177,107784.672,20220624_073529,479135,228,44149,0
5,KICX20220624_113834_V06,-32.657,0.108,204.874,76.084,24.282,-113.408,38.598,12141.184,121642.082,20220624_053834,479115,290,61833,0
5,KICX20220624_114334_V06,-27.657,0.060,215.011,74.916,20.845,-113.350,38.604,10422.398,120297.324,20220624_054334,479117,229,57027,0
1,KICX20220625_111742_V06,-53.837,0.069,296.775,346.441,5.236,-112.880,37.382,2617.832,23276.464,20220625_051742,479130,0,61121,0
1,KICX20220628_113025_V06,-42.206,0.177,297.147,345.863,10.239,-112.878,37.384,5119.329,22976.072,20220628_053025,479132,0,55913,0
1,KICX20220628_113908_V06,-33.489,0.159,296.895,346.011,17.429,-112.880,37.384,8714.302,23057.827,20220628_053908,479131,0,51702,0
6,KICX20220710_131953_V06,60.993,0.059,276.478,404.572,15.139,-112.995,37.120,7569.670,53592.669,20220710_071953,479131,0,50265,0
4,KICX20220714_120856_V06,-12.601,0.083,286.596,421.704,8.110,-112.938,37.043,4054.974,61219.950,20220714_060856,479121,54,43682,0
10,KICX20220714_132727_V06,65.916,0.052,273.765,234.221,16.687,-113.011,37.887,8343.494,35408.766,20220714_072727,479126,154,58097,0
12,KICX20220714_134343_V06,82.183,0.056,290.288,454.785,29.045,-112.917,36.893,14522.443,77544.889,20220714_074343,479126,86,59992,0
4,KICX20220723_125033_V06,22.339,0.106,235.612,327.161,5.753,-113.226,37.468,2876.690,34941.272,20220723_065033,479132,1,44500,1
4,KICX20220723_125450_V06,26.622,0.052,235.711,326.766,11.705,-113.226,37.470,5852.458,34819.107,20220723_065450,479128,2,44394,1
3,KICX20220727_120210_V06,-29.252,0.139,327.867,518.666,25.381,-112.706,36.606,12690.504,110217.462,20220727_060210,479125,8,71551,0
3,KICX20220731_132625_V06,51.695,0.118,28.305,387.518,44.155,-114.392,37.187,22077.477,142721.609,20220731_072625,479108,1,45209,1
22,KICX20220805_131836_V06,39.668,0.169,154.634,229.219,17.794,-113.689,37.907,8896.767,80841.055,20220805_071836,479125,455,76360,0
22,KICX20220805_132252_V06,43.935,0.072,154.701,228.176,23.084,-113.688,37.911,11542.128,81040.681,20220805_072252,479123,496,75540,1
22,KICX20220805_132708_V06,48.202,-1.000,154.752,227.392,28.745,-113.688,37.915,14372.572,81192.714,20220805_072708,479133,447,74545,2
22,KICX20220805_133124_V06,52.468,0.099,157.023,215.522,18.475,-113.676,37.969,9237.371,83034.447,20220805_073124,479129,464,73498,0
8,KICX20220805_120744_V06,-31.198,0.182,398.713,338.030,26.819,-112.305,37.418,13409.269,52892.596,20220805_060744,479122,1301,89434,5
21,KICX20220805_131408_V06,35.202,0.051,167.755,350.657,16.349,-113.609,37.360,8174.583,70807.784,20220805_071408,479110,494,77030,6
29,KICX20220805_133956_V06,61.002,0.051,282.871,423.213,27.328,-112.958,37.036,13664.007,62198.943,20220805_073956,479129,385,71422,1
20,KICX20220809_140304_V06,80.734,0.103,489.524,462.177,25.056,-111.800,36.855,12527.942,124720.626,20220809_080304,479135,7,53892,0
20,KICX20220809_140720_V06,85.001,0.148,489.578,462.076,30.877,-111.799,36.856,15438.496,124708.048,20220809_080720,479125,6,53911,0
4,KICX20220809_120641_V06,-35.649,0.115,549.615,521.355,24.389,-111.468,36.585,12194.639,166812.305,20220809_060641,479126,5,51328,1
13,KICX20220809_131043_V06,28.384,0.114,358.650,563.629,34.689,-112.535,36.403,17344.627,135036.844,20220809_071043,479124,4,53839,0
15,KICX20220809_132026_V06,38.101,0.061,521.968,498.973,33.035,-111.620,36.688,16517.624,149046.768,20220809_072026,479117,33,54689,0
18,KICX20220809_135433_V06,72.217,0.060,308.680,554.420,37.179,-112.814,36.445,18589.714,127284.010,20220809_075433,479124,5,53354,0
5,KICX20220811_130023_V06,16.346,0.081,435.019,322.615,24.616,-112.099,37.486,12307.791,68449.814,20220811_070023,479126,1,57524,1
6,KICX20220811_130440_V06,20.629,0.065,194.082,191.408,26.637,-113.466,38.078,13318.275,75846.794,20220811_070440,479129,1,60956,1
6,KICX20220825_132914_V06,33.280,0.089,407.967,520.892,54.325,-112.259,36.594,27162.617,122932.939,20220825_072914,479124,4,66306,0
1,KICX20220827_140222_V06,64.723,0.066,343.126,15.066,17.002,-112.614,38.874,8501.236,144089.721,20220827_080222,479123,0,44254,0
2,KICX20220902_130522_V06,2.683,0.218,241.635,570.516,27.775,-113.187,36.372,13887.331,138370.221,20220902_070522,479135,0,59746,0
2,KICX20220902_131358_V06,11.283,0.459,237.717,572.283,32.993,-113.209,36.364,16496.425,139658.000,20220902_071358,479141,0,62139,0
2,KICX20220902_132234_V06,19.883,0.158,223.089,578.510,20.119,-113.291,36.335,10059.360,144467.476,20220902_072234,479133,0,63063,0
2,KICX20220902_133109_V06,28.466,0.206,221.643,578.613,27.556,-113.299,36.335,13777.871,144710.681,20220902_073109,479128,0,64495,0
2,KICX20220902_133945_V06,37.066,0.065,212.126,581.033,17.981,-113.351,36.324,8990.330,147225.276,20220902_073945,479128,0,64672,0
2,KICX20220908_125515_V06,-12.430,0.053,281.903,305.554,6.948,-112.965,37.566,3473.835,9464.916,20220908_065515,479124,0,54188,0
5,KICX20220913_124732_V06,-24.299,0.059,300.305,67.805,26.188,-112.860,38.637,13093.994,116097.665,20220913_064732,479130,10637,200814,2154
18,KICX20220913_134625_V06,34.584,0.083,411.789,558.720,36.899,-112.239,36.424,18449.398,140919.073,20220913_074625,479125,20923,208245,5370
23,KICX20220913_141230_V06,60.667,0.476,224.778,326.804,36.196,-113.287,37.469,18097.996,39927.570,20220913_081230,479126,29604,185297,10789
7,KICX20220914_133427_V06,21.785,0.171,17.354,424.134,27.503,-114.450,37.021,13751.461,154351.918,20220914_073427,479127,212,142818,8
7,KICX20220914_134007_V06,27.452,0.072,18.220,423.308,33.492,-114.446,37.025,16745.821,153789.614,20220914_074007,479126,156,135391,4
7,KICX20220914_134547_V06,33.119,0.618,23.284,417.628,33.816,-114.418,37.051,16908.139,150339.891,20220914_074547,479118,121,127194,1
7,KICX20220914_135128_V06,38.802,0.548,25.624,414.379,32.730,-114.405,37.065,16364.805,148631.063,20220914_075128,479127,56,121792,2
7,KICX20220914_140250_V06,50.169,0.549,27.237,416.706,36.314,-114.396,37.055,18156.857,148340.858,20220914_080250,479129,96,110129,6
7,KICX20220914_140830_V06,55.835,0.629,29.026,417.884,41.084,-114.385,37.050,20542.011,147752.740,20220914_080830,479125,104,104164,0
7,KICX20220914_141409_V06,61.485,0.572,32.242,420.589,43.841,-114.367,37.038,21920.276,146829.858,20220914_081409,479121,72,99801,0
7,KICX20220914_141950_V06,67.169,0.223,34.521,418.104,48.497,-114.354,37.049,24248.574,145282.442,20220914_081950,479123,45,95949,0
9,KICX20220915_140835_V06,55.086,0.132,197.913,335.316,34.137,-113.439,37.430,17068.748,54011.421,20220915_080835,479123,23,43905,0
4,KICX20220920_125414_V06,-23.454,0.323,351.641,313.757,26.625,-112.570,37.528,13312.592,26721.131,20220920_065414,479123,12,54557,0
13,KICX20220920_142136_V06,63.913,0.113,371.044,386.490,16.866,-112.462,37.201,8432.850,55963.643,20220920_082136,479137,1900,97628,25
14,KICX20220920_142700_V06,69.313,0.547,468.347,201.189,18.065,-111.903,38.032,9032.719,97601.746,20220920_082700,479126,1575,98786,16
15,KICX20220920_142700_V06,69.313,0.156,232.996,354.700,24.380,-113.240,37.344,12189.957,43248.098,20220920_082700,479126,1575,98786,16
15,KICX20220920_143207_V06,74.430,0.063,238.750,332.202,20.401,-113.208,37.445,10200.451,34599.789,20220920_083207,479134,1333,98423,27
8,KICX20220921_123700_V06,-41.531,0.056,429.400,288.085,22.017,-112.129,37.642,11008.598,64973.671,20220921_063700,479128,651,94679,3
16,KICX20220921_133853_V06,20.353,0.055,435.811,337.028,32.605,-112.095,37.422,16302.668,70384.240,20220921_073853,479129,807,102062,36
19,KICX20220921_140717_V06,48.753,0.107,384.548,262.301,32.190,-112.382,37.760,16095.158,46285.976,20220921_080717,479121,495,101576,11
19,KICX20220921_141134_V06,53.036,-1.000,384.548,262.301,39.001,-112.382,37.760,19500.408,46285.976,20220921_081134,479126,602,99717,9
19,KICX20220921_141628_V06,57.936,0.071,393.831,242.676,30.971,-112.329,37.848,15485.294,54977.830,20220921_081628,479125,659,98689,15
20,KICX20220921_140717_V06,48.753,0.098,384.049,176.793,16.346,-112.383,38.145,8173.214,74572.553,20220921_080717,479121,495,101576,11
4,KICX20220929_130530_V06,-19.876,0.056,295.378,352.012,8.670,-112.888,37.357,4335.110,26108.526,20220929_070530,479129,0,40679,0
1,KICX20221019_144454_V06,61.285,0.060,338.862,304.017,32.955,-112.642,37.573,16477.512,19534.361,20221019_084454,479138,0,70092,0
1,KICX20221019_150850_V06,85.219,0.051,327.563,340.460,37.696,-112.707,37.408,18848.054,24478.224,20221019_090850,479128,0,66928,0
1,KICX20221020_143629_V06,51.898,0.051,311.152,330.134,13.836,-112.799,37.455,6917.854,16065.761,20221020_083629,479129,0,46169,0
1,KICX20221020_150025_V06,75.832,0.116,311.332,325.394,20.160,-112.798,37.476,10080.057,13903.730,20221020_090025,479127,0,56905,0
12,KICX20221023_133428_V06,-13.065,0.063,308.406,389.766,25.350,-112.815,37.186,12675.186,45079.391,20221023_073428,479133,1,155550,0
1,KICX20221101_132229_V06,-34.181,0.069,24.811,201.615,29.986,-114.429,38.024,14992.769,146123.619,20221101_072229,479133,0,38352,0
2,KICX20221101_133110_V06,-25.498,0.378,277.010,53.636,47.846,-112.994,38.701,23922.842,123716.986,20221101_073110,479128,0,39673,0
3,KICX20221101_151124_V06,74.735,0.075,35.315,210.863,58.070,-114.369,37.983,29034.775,139645.438,20221101_091124,479130,0,40167,0
2,KICX20221108_141045_V06,6.763,0.219,381.021,181.430,21.337,-112.400,38.124,10668.400,71803.922,20221108_071045,479132,64,157958,0
3,KICX20221108_141045_V06,6.763,0.085,49.094,99.915,10.048,-114.300,38.483,5024.145,160458.624,20221108_071045,479132,64,157958,0
1,KICX20221109_133615_V06,-28.793,0.080,112.115,309.726,113.763,-113.925,37.542,56881.577,94068.292,20221109_063615,479129,0,373873,0
7,KICX20221113_151233_V06,63.272,0.113,26.121,397.248,32.239,-114.404,37.143,16119.566,145316.091,20221113_081233,479138,0,175716,0
7,KICX20221113_151806_V06,68.822,0.104,26.554,398.282,38.172,-114.401,37.138,19085.947,145285.832,20221113_081806,479132,0,181146,0
7,KICX20221113_152340_V06,74.388,0.061,26.952,405.217,31.696,-114.398,37.107,15848.025,146309.415,20221113_082340,479135,0,185180,0
1,KICX20221121_132420_V06,-53.365,0.094,323.448,361.268,8.977,-112.730,37.315,4488.346,32800.605,20221121_062420,479130,0,25204,0
3,KICX20221202_134819_V06,-40.290,0.224,434.037,170.660,65.684,-112.097,38.171,32841.866,93132.850,20221202_064819,479131,0,130621,0
3,KICX20221202_135349_V06,-34.790,0.149,435.703,171.298,71.822,-112.088,38.168,35910.992,93514.352,20221202_065349,479128,0,132139,0
2,KICX20221202_133719_V06,-51.290,0.084,500.494,295.413,25.002,-111.727,37.606,12500.820,100273.347,20221202_063719,479132,0,129536,0
10,KICX20221202_143222_V06,3.760,0.057,425.717,122.636,31.024,-112.143,38.388,15512.032,108699.824,20221202_073222,479129,5,159728,0
2,KICX20221203_134721_V06,-42.176,0.078,395.598,399.896,57.382,-112.324,37.140,28691.124,69134.363,20221203_064721,479135,0,172223,0
3,KICX20221203_140435_V06,-24.943,0.071,42.294,202.725,58.081,-114.330,38.020,29040.386,137726.757,20221203_070435,479131,0,181488,0
1,KICX20221204_153352_V06,63.436,0.075,24.619,251.967,31.331,-114.426,37.797,15665.300,139769.347,20221204_083352,479127,0,53940,0
10,KICX20221207_150723_V06,34.343,0.068,126.122,209.282,34.423,-113.852,37.995,17211.632,98060.528,20221207_080723,479131,3,285957,0
2,KICX20221211_151331_V06,37.261,0.228,20.298,220.041,27.302,-114.453,37.940,13651.157,145453.482,20221211_081331,479127,0,48182,0
2,KICX20221211_151901_V06,42.761,0.696,25.127,212.530,33.829,-114.426,37.975,16914.624,144227.220,20221211_081901,479134,0,47417,0
2,KICX20221211_152431_V06,48.261,0.191,33.187,202.498,41.224,-114.382,38.020,20611.946,142034.798,20221211_082431,479132,0,48927,0
1,KICX20221220_150310_V06,21.024,0.093,33.123,247.582,54.653,-114.378,37.817,27326.294,135987.815,20221220_080310,479130,0,46717,0
5,KICX20221223_143105_V06,-12.537,0.052,498.778,491.340,18.492,-111.750,36.724,9245.933,137952.549,20221223_073105,479132,0,41743,0
15,KICX20221227_151255_V06,27.754,0.076,24.824,119.268,32.207,-114.437,38.395,16103.302,164609.944,20221227_081255,479127,0,105142,0
15,KICX20221227_151954_V06,34.737,0.339,27.898,115.961,47.130,-114.420,38.410,23564.944,164247.954,20221227_081954,479128,0,112040,0
15,KICX20221227_152651_V06,41.687,0.224,40.977,120.899,62.845,-114.345,38.388,31422.610,157456.551,20221227_082651,479125,0,116999,0
15,KICX20221227_153349_V06,48.654,0.053,49.887,120.355,62.279,-114.294,38.391,31139.310,153971.239,20221227_083349,479128,0,123258,0
2,KICX20221227_135155_V06,-53.246,0.060,340.276,20.871,21.437,-112.630,38.848,10718.620,141009.974,20221227_065155,479130,0,52377,0
2,KICX20221227_140225_V06,-42.746,0.087,344.379,24.354,29.669,-112.607,38.832,14834.612,139597.954,20221227_070225,479131,0,58546,0
18,KICX20221227_154049_V06,55.654,0.078,22.901,199.159,32.518,-114.440,38.035,16258.989,147438.572,20221227_084049,479124,0,125883,0
18,KICX20221227_154634_V06,61.404,0.182,23.428,198.909,38.789,-114.437,38.036,19394.408,147234.204,20221227_084634,479129,0,127312,0
4,KICX20221227_140225_V06,-42.746,0.085,37.459,458.794,54.312,-114.334,36.866,27155.884,153414.045,20221227_070225,479131,0,58546,0
5,KICX20221227_140225_V06,-42.746,0.069,59.713,403.410,31.301,-114.214,37.117,15650.717,130797.118,20221227_070225,479131,0,58546,0
5,KICX20221228_140525_V06,-40.051,0.073,399.773,78.346,52.397,-112.290,38.588,26198.292,121537.178,20221228_070525,479139,18,151456,0
5,KICX20221228_141145_V06,-33.718,0.191,401.373,77.499,59.796,-112.280,38.592,29898.146,122252.937,20221228_071145,479132,57,153367,0
5,KICX20221228_141705_V06,-28.385,-1.000,402.544,76.878,66.320,-112.274,38.594,33160.112,122778.836,20221228_071705,479130,119,155067,0
5,KICX20221228_142226_V06,-23.035,0.066,438.084,97.855,35.107,-112.071,38.499,17553.535,122402.880,20221228_072226,479124,181,159056,0
8,KICX20221228_141145_V06,-33.718,0.124,348.098,388.280,15.007,-112.591,37.193,7503.340,50266.230,20221228_071145,479132,57,153367,0
8,KICX20221228_141705_V06,-28.385,0.053,348.600,390.135,22.845,-112.589,37.184,11422.443,51201.263,20221228_071705,479130,119,155067,0
8,KICX20221228_142226_V06,-23.035,0.169,362.388,385.066,13.857,-112.511,37.207,6928.288,52745.576,20221228_072226,479124,181,159056,0
4,KICX20221228_140525_V06,-40.051,0.159,304.234,401.347,21.919,-112.838,37.134,10959.654,50717.808,20221228_070525,479139,18,151456,0
9,KICX20221228_141145_V06,-33.718,0.087,93.244,114.928,31.660,-114.046,38.419,15830.023,138744.311,20221228_071145,479132,57,153367,0
11,KICX20221228_141705_V06,-28.385,0.111,257.278,403.772,28.395,-113.103,37.123,14197.594,56110.952,20221228_071705,479130,119,155067,0
16,KICX20221228_142747_V06,-17.685,0.594,439.990,228.161,53.173,-112.066,37.912,26586.491,78673.625,20221228_072747,479132,177,164497,1
