track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KINX20140601_112722_V06,20.934,0.111,354.830,412.973,30.164,-95.262,35.666,15081.833,62787.958,20140601_062722,479173,0,32253,0
1,KINX20140601_113703_V06,30.618,-1.000,354.830,412.973,45.560,-95.262,35.666,22780.083,62787.958,20140601_063703,479172,0,34409,0
1,KINX20140601_114645_V06,40.318,0.080,343.093,411.739,27.595,-95.326,35.671,13797.394,59880.333,20140601_064645,479170,0,34847,0
17,KINX20140602_112400_V06,17.886,0.319,447.123,116.366,58.468,-94.738,37.000,29233.879,117650.532,20140602_062400,479183,16147,288252,801
17,KINX20140602_112927_V06,23.336,0.099,448.377,117.438,65.871,-94.731,36.995,32935.662,117627.354,20140602_062927,479196,17902,289574,711
17,KINX20140602_113454_V06,28.786,0.090,460.073,111.957,64.737,-94.665,37.019,32368.674,123474.200,20140602_063454,479191,18892,287356,834
17,KINX20140602_114022_V06,34.253,0.100,471.002,115.274,62.156,-94.604,37.003,31078.079,125862.280,20140602_064022,479188,18535,282339,800
4,KINX20140602_102143_V06,-44.397,0.082,148.921,109.746,67.371,-96.413,37.029,33685.585,121471.547,20140602_052143,479173,22802,294461,3816
4,KINX20140602_102656_V06,-39.180,0.198,150.523,108.949,73.781,-96.404,37.033,36890.454,121288.548,20140602_052656,479201,19141,292195,3225
4,KINX20140602_103209_V06,-33.964,0.185,173.312,101.219,70.425,-96.277,37.069,35212.582,117859.857,20140602_053209,479181,21338,292171,3288
4,KINX20140602_103723_V06,-28.730,0.054,175.502,104.652,76.799,-96.264,37.053,38399.423,115824.046,20140602_053723,479189,21997,294105,3039
24,KINX20140602_120211_V06,56.070,0.051,500.713,113.031,98.729,-94.437,37.012,49364.399,137152.328,20140602_070211,479186,15418,276740,768
6,KINX20140604_112718_V06,21.739,0.240,277.520,188.024,12.699,-95.690,36.679,6349.476,57105.005,20140604_062718,479183,745,53884,25
6,KINX20140604_113237_V06,27.056,0.341,279.744,189.029,19.740,-95.678,36.675,9869.822,56402.322,20140604_063237,479179,680,57904,54
9,KINX20140604_113824_V06,32.839,0.068,299.971,196.814,16.432,-95.565,36.640,8215.942,51593.172,20140604_063824,479179,898,59358,45
4,KINX20140606_105815_V06,-6.871,0.522,317.782,384.766,8.721,-95.466,35.793,4360.518,43305.360,20140606_055815,479179,2,33928,0
4,KINX20140606_110308_V06,-1.988,-1.000,317.782,384.766,16.486,-95.466,35.793,8242.768,43305.360,20140606_060308,479184,2,33708,1
4,KINX20140606_110802_V06,2.912,0.107,324.775,384.715,18.054,-95.427,35.793,9026.979,44131.488,20140606_060802,479183,1,32912,0
4,KINX20140606_111256_V06,7.812,0.250,330.838,384.551,20.563,-95.394,35.794,10281.690,44999.619,20140606_061256,479176,1,34034,1
2,KINX20140608_120647_V06,61.989,0.150,25.912,472.905,34.566,-97.073,35.386,17283.245,162034.163,20140608_070647,479194,12426,231869,3164
2,KINX20140608_121139_V06,66.856,0.211,26.683,472.170,41.382,-97.069,35.390,20690.973,161511.918,20140608_071139,479188,12492,239107,3015
2,KINX20140608_121631_V06,71.722,0.078,30.911,465.654,42.917,-97.046,35.419,21458.680,157995.342,20140608_071631,479185,11965,245387,3150
22,KINX20140612_113955_V06,35.439,0.175,349.070,287.224,75.239,-95.292,36.232,37619.713,25353.158,20140612_063955,479200,677,146221,119
22,KINX20140612_114510_V06,40.689,0.575,356.482,289.644,78.311,-95.250,36.221,39155.715,28711.739,20140612_064510,479197,832,147613,212
22,KINX20140612_115024_V06,45.922,0.790,369.261,287.583,76.165,-95.179,36.230,38082.331,35182.655,20140612_065024,479222,961,151724,231
22,KINX20140612_115551_V06,51.372,0.693,384.964,299.888,69.481,-95.092,36.175,34740.311,42482.171,20140612_065551,479209,921,156529,165
22,KINX20140612_120119_V06,56.839,0.254,394.056,300.255,74.044,-95.042,36.173,37021.762,47027.946,20140612_070119,479193,911,156693,191
22,KINX20140612_120646_V06,62.289,0.149,382.118,301.198,95.328,-95.108,36.169,47664.028,41063.448,20140612_070646,479191,846,152780,154
22,KINX20140612_121215_V06,67.772,0.129,383.528,300.634,103.398,-95.100,36.171,51699.129,41765.224,20140612_071215,479196,1006,150338,159
22,KINX20140612_121742_V06,73.222,0.079,390.993,297.164,124.003,-95.059,36.187,62001.694,45518.769,20140612_071742,479194,993,148432,113
12,KINX20140612_110910_V06,4.689,0.052,177.597,365.680,84.824,-96.242,35.877,42411.835,69455.427,20140612_060910,479199,629,186089,161
