track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KIWA20210606_120207_V06,-15.037,0.106,258.679,353.208,6.574,-111.890,33.049,3286.789,33684.239,20210606_050207,479182,32,22495,26
1,KIWA20210606_121041_V06,-6.470,0.142,258.998,353.147,14.713,-111.889,33.049,7356.639,33562.723,20210606_051041,479180,82,21263,71
1,KIWA20210609_111907_V06,-57.734,0.214,190.805,98.056,5.040,-112.262,34.198,2519.968,114787.795,20210609_041907,479180,71,32441,59
1,KIWA20210611_112231_V06,-54.261,0.071,173.349,49.134,5.022,-112.358,34.418,2511.162,140511.932,20210611_042231,479184,111,24531,80
1,KIWA20210612_120217_V06,-14.496,0.053,262.058,352.999,4.829,-111.872,33.050,2414.467,32590.325,20210612_050217,479183,99,21516,57
1,KIWA20210615_112501_V06,-51.915,0.051,431.563,409.745,2.733,-110.967,32.792,1366.262,85663.331,20210615_042501,479181,139,33693,99
1,KIWA20210615_113340_V06,-43.265,0.064,431.051,410.002,10.309,-110.970,32.791,5154.679,85549.476,20210615_043340,479182,127,33778,95
2,KIWA20210615_120727_V06,-9.481,0.088,232.890,270.363,19.337,-112.030,33.422,9668.550,36681.445,20210615_050727,479181,93,33297,74
4,KIWA20210615_121552_V06,-1.065,0.157,323.856,72.047,34.219,-111.540,34.317,17109.444,114599.173,20210615_051552,479182,147,34418,110
5,KIWA20210615_122412_V06,7.269,0.146,438.972,417.156,15.612,-110.928,32.759,7805.815,90882.687,20210615_052412,479183,143,35405,117
1,KIWA20210616_120803_V06,-8.980,0.353,235.663,231.767,21.722,-112.016,33.596,10860.903,46890.898,20210616_050803,479184,115,35830,86
1,KIWA20210616_121635_V06,-0.447,0.310,237.716,230.439,29.814,-112.005,33.602,14906.832,46685.205,20210616_051635,479182,120,35260,90
1,KIWA20210617_121128_V06,-5.686,0.078,262.070,353.317,8.712,-111.872,33.049,4355.789,32715.859,20210617_051128,479184,160,31663,128
1,KIWA20210618_120433_V06,-12.749,0.184,231.395,285.612,9.439,-112.038,33.353,4719.419,35048.660,20210618_050433,479185,120,33847,102
2,KIWA20210618_120433_V06,-12.749,0.065,169.885,526.407,29.793,-112.360,32.266,14896.730,130566.137,20210618_050433,479185,120,33847,102
