track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KJAX20160601_094445_V06,-40.234,0.074,205.673,246.152,13.738,-82.194,30.726,6869.131,54307.481,20160601_054445,479566,0,33526,0
2,KJAX20160601_094943_V06,-35.268,0.111,27.958,411.881,14.256,-83.111,29.972,7128.158,147074.846,20160601_054943,478816,3,38136,1
2,KJAX20160601_095441_V06,-30.301,0.127,24.030,436.159,34.366,-83.130,29.862,17183.167,153866.051,20160601_055441,479181,6,39685,2
4,KJAX20160601_102925_V06,4.432,0.107,28.910,445.676,30.061,-83.104,29.820,15030.287,153876.104,20160601_062925,479145,4,47468,2
4,KJAX20160602_095336_V06,-31.176,0.083,180.767,509.578,13.031,-82.317,29.538,6515.651,120560.596,20160602_055336,479153,12,30425,9
4,KJAX20160602_095833_V06,-26.226,-1.000,180.767,509.578,20.902,-82.317,29.538,10450.901,120560.596,20160602_055833,478856,7,30683,3
4,KJAX20160602_100332_V06,-21.243,0.056,182.086,509.171,18.638,-82.310,29.540,9318.917,120058.312,20160602_060332,479214,22,30193,14
3,KJAX20160603_095742_V06,-26.893,0.073,198.215,507.390,23.941,-82.227,29.548,11970.554,115510.672,20160603_055742,478447,34,39781,1
4,KJAX20160603_105851_V06,34.257,0.465,288.472,169.607,10.956,-81.762,31.072,5478.157,65450.730,20160603_065851,479188,0,34239,0
1,KJAX20160604_094245_V06,-41.683,0.058,179.557,373.238,4.961,-82.327,30.153,2480.619,70480.969,20160604_054245,479218,0,25435,0
1,KJAX20160608_092434_V06,-59.464,0.175,297.272,245.140,9.611,-81.716,30.732,4805.351,27463.916,20160608_052434,479160,5,37193,5
1,KJAX20160608_092931_V06,-54.514,0.133,296.405,245.704,16.803,-81.721,30.729,8401.278,27207.432,20160608_052931,479173,5,37065,4
1,KJAX20160608_093430_V06,-49.531,0.096,297.569,245.576,11.219,-81.715,30.730,5609.303,27239.178,20160608_053430,479415,11,38306,6
4,KJAX20160608_100418_V06,-19.731,0.081,89.857,447.321,7.650,-82.789,29.815,3825.015,128319.783,20160608_060418,479232,35,35242,28
4,KJAX20160608_100916_V06,-14.764,0.113,90.849,448.894,14.026,-82.784,29.808,7013.162,128367.984,20160608_060916,479198,26,41651,17
3,KJAX20160608_095421_V06,-29.681,0.057,274.278,352.193,13.648,-81.836,30.249,6824.156,29093.454,20160608_055421,478977,19,37534,16
5,KJAX20160608_101415_V06,-9.781,0.181,313.124,341.028,15.037,-81.634,30.299,7518.579,21537.976,20160608_061415,479330,31,48340,25
6,KJAX20160608_103408_V06,10.103,0.066,28.503,435.376,36.021,-83.107,29.866,18010.632,151688.307,20160608_063408,479044,28,53517,12
3,KJAX20160609_093532_V06,-48.455,0.149,412.298,364.457,5.273,-81.119,30.192,2636.686,64741.084,20160609_053532,479186,0,50047,0
7,KJAX20160609_094520_V06,-38.655,0.053,369.863,440.329,28.107,-81.340,29.851,14053.495,78379.150,20160609_054520,479188,0,50830,0
8,KJAX20160609_101445_V06,-9.238,0.054,233.944,283.645,14.785,-82.046,30.558,7392.265,34025.257,20160609_061445,479181,2,36721,2
2,KJAX20160610_095524_V06,-28.569,0.150,23.634,435.522,27.635,-83.132,29.865,13817.348,153902.914,20160610_055524,479190,3,65236,2
3,KJAX20160610_095524_V06,-28.569,0.091,156.320,267.500,13.584,-82.451,30.629,6791.843,73655.044,20160610_055524,479190,3,65236,2
1,KJAX20160612_093820_V06,-45.664,0.406,365.531,110.352,8.477,-81.358,31.339,4238.461,100325.226,20160612_053820,479177,0,39769,0
1,KJAX20160613_095227_V06,-31.595,0.076,365.310,123.630,10.504,-81.359,31.279,5251.942,94036.821,20160613_055227,479185,0,35594,0
1,KJAX20160614_095906_V06,-25.015,0.108,278.023,341.206,7.250,-81.816,30.299,3624.987,23350.433,20160614_055906,479189,0,42842,0
2,KJAX20160614_100855_V06,-15.199,0.086,343.010,150.734,8.894,-81.476,31.157,4446.999,77669.405,20160614_060855,479195,10,40425,10
1,KJAX20160615_095549_V06,-28.390,0.114,191.771,425.076,6.872,-82.262,29.919,3436.144,82700.666,20160615_055549,479183,2,31064,0
2,KJAX20160615_101524_V06,-8.807,0.057,201.737,514.386,52.776,-82.209,29.516,26387.960,117916.325,20160615_061524,479184,6,25249,6
3,KJAX20160615_102512_V06,0.993,0.243,203.198,200.759,24.148,-82.208,30.931,12073.814,69317.322,20160615_062512,479182,0,23146,0
3,KJAX20160616_095433_V06,-29.770,0.174,245.527,235.629,9.807,-81.986,30.774,4903.528,42163.210,20160616_055433,479351,394,53869,4
3,KJAX20160617_100446_V06,-19.687,0.149,280.629,340.320,6.137,-81.803,30.303,3068.445,22365.770,20160617_060446,479087,1436,33340,79
3,KJAX20160617_100945_V06,-14.704,0.334,280.496,341.703,14.697,-81.803,30.296,7348.648,23019.315,20160617_060945,479408,1536,34464,78
3,KJAX20160617_101444_V06,-9.721,0.250,281.129,342.470,19.054,-81.800,30.293,9527.121,23237.008,20160617_061444,478809,1679,36723,61
1,KJAX20160617_093949_V06,-44.637,0.065,367.435,112.998,8.520,-81.348,31.327,4260.128,99394.697,20160617_053949,479242,746,36692,38
5,KJAX20160618_101533_V06,-9.059,0.155,309.905,338.019,13.562,-81.650,30.313,6780.869,19644.197,20160618_061533,478948,181,25716,12
5,KJAX20160618_102032_V06,-4.076,0.876,313.283,337.932,21.402,-81.633,30.313,10700.792,20095.292,20160618_062032,479278,161,24858,24
5,KJAX20160618_102532_V06,0.924,0.620,320.206,336.092,28.688,-81.597,30.322,14343.780,20681.607,20160618_062532,479138,161,25498,9
5,KJAX20160618_103031_V06,5.907,0.214,318.289,338.748,31.199,-81.607,30.310,15599.398,21423.631,20160618_063031,479150,193,26583,28
5,KJAX20160618_103530_V06,10.891,0.181,314.439,343.622,31.449,-81.627,30.288,15724.659,22974.922,20160618_063530,478904,175,27324,31
1,KJAX20160618_094542_V06,-38.909,0.055,183.132,357.518,8.251,-82.309,30.224,4125.490,65127.410,20160618_054542,479664,47,34372,3
2,KJAX20160618_095539_V06,-28.959,0.101,361.779,119.159,13.551,-81.377,31.300,6775.261,95551.392,20160618_055539,479155,117,34577,2
3,KJAX20160618_095539_V06,-28.959,0.076,306.901,246.365,7.065,-81.666,30.726,3532.597,27038.744,20160618_055539,479155,117,34577,2
8,KJAX20160618_112023_V06,55.774,0.051,365.769,312.918,12.194,-81.360,30.426,6096.905,33512.992,20160618_072023,479152,91,31988,7
8,KJAX20160618_112522_V06,60.757,-1.000,365.769,312.918,20.117,-81.360,30.426,10058.655,33512.992,20160618_072522,479057,143,32975,2
8,KJAX20160618_113021_V06,65.741,0.153,367.700,310.809,14.159,-81.350,30.435,7079.742,34278.578,20160618_073021,479155,185,33447,3
2,KJAX20160619_095311_V06,-31.601,0.092,187.719,383.238,3.011,-82.284,30.108,1505.676,69884.948,20160619_055311,479473,9,42128,4
3,KJAX20160619_095811_V06,-26.601,0.312,191.230,352.913,6.776,-82.267,30.245,3387.770,60478.618,20160619_055811,479161,5,39128,4
5,KJAX20160619_101809_V06,-6.635,0.073,281.827,118.867,29.749,-81.797,31.301,14874.300,91021.367,20160619_061809,478963,14,33795,11
6,KJAX20160619_102308_V06,-1.651,0.079,301.576,339.369,22.013,-81.694,30.307,11006.594,19700.087,20160619_062308,479527,11,37763,5
3,KJAX20160620_095549_V06,-29.164,0.193,110.850,150.576,5.706,-82.694,31.155,2852.953,120524.928,20160620_055549,479126,16,41193,16
3,KJAX20160620_100048_V06,-24.181,0.152,110.721,150.976,12.327,-82.694,31.153,6163.705,120451.785,20160620_060048,478583,12,38870,11
3,KJAX20160620_100548_V06,-19.181,0.319,109.841,153.042,15.174,-82.699,31.143,7587.070,120163.778,20160620_060548,479678,9,34718,8
3,KJAX20160620_101047_V06,-14.197,0.512,111.846,154.679,20.587,-82.688,31.136,10293.362,118869.896,20160620_061047,479030,19,29505,16
3,KJAX20160620_101547_V06,-9.197,0.237,111.357,157.596,27.112,-82.691,31.123,13555.999,118178.929,20160620_061547,479555,21,30022,16
6,KJAX20160620_100548_V06,-19.181,0.407,156.719,70.744,9.815,-82.456,31.516,4907.555,135173.668,20160620_060548,479678,9,34718,8
6,KJAX20160620_101047_V06,-14.197,0.059,157.238,71.442,16.763,-82.453,31.513,8381.568,134740.344,20160620_061047,479030,19,29505,16
6,KJAX20160620_101547_V06,-9.197,0.074,154.709,75.690,18.716,-82.467,31.494,9358.116,133626.858,20160620_061547,479555,21,30022,16
9,KJAX20160620_101047_V06,-14.197,0.053,301.691,339.832,6.724,-81.693,30.305,3362.234,19933.968,20160620_061047,479030,19,29505,16
9,KJAX20160620_101547_V06,-9.197,-1.000,301.691,339.832,14.674,-81.693,30.305,7337.234,19933.968,20160620_061547,479555,21,30022,16
9,KJAX20160620_102046_V06,-4.214,-1.000,301.691,339.832,22.598,-81.693,30.305,11298.984,19933.968,20160620_062046,478859,17,32441,10
9,KJAX20160620_102546_V06,0.786,0.050,305.524,337.697,24.179,-81.673,30.314,12089.585,19049.919,20160620_062546,479312,23,31365,18
4,KJAX20160620_095549_V06,-29.164,0.082,189.691,386.469,3.284,-82.274,30.093,1642.101,70080.183,20160620_055549,479126,16,41193,16
5,KJAX20160620_100048_V06,-24.181,0.051,209.735,190.395,28.577,-82.174,30.978,14288.637,70994.732,20160620_060048,478583,12,38870,11
8,KJAX20160620_101047_V06,-14.197,0.077,83.599,448.868,6.946,-82.821,29.808,3473.144,131330.798,20160620_061047,479030,19,29505,16
3,KJAX20160621_100537_V06,-19.580,0.057,342.166,332.154,19.555,-81.483,30.339,9777.514,26513.395,20160621_060537,479186,36,30274,30
3,KJAX20160622_101244_V06,-12.699,0.254,307.792,337.238,7.338,-81.661,30.316,3669.008,19022.081,20160622_061244,479175,16,48354,16
3,KJAX20160622_102234_V06,-2.865,-1.000,307.792,337.238,22.973,-81.661,30.316,11486.508,19022.081,20160622_062234,479186,2,44744,2
3,KJAX20160622_103222_V06,6.935,0.071,311.718,333.697,25.717,-81.641,30.332,12858.392,17838.086,20160622_063222,479182,8,45782,6
1,KJAX20160622_094043_V06,-44.715,0.060,176.393,126.995,12.965,-82.351,31.263,6482.653,106312.587,20160622_054043,479189,0,57179,0
2,KJAX20160622_100021_V06,-25.082,0.050,172.586,418.922,17.153,-82.362,29.946,8576.618,87144.485,20160622_060021,479185,0,50308,0
1,KJAX20160623_100718_V06,-18.386,0.107,308.146,335.801,6.983,-81.660,30.323,3491.535,18358.220,20160623_060718,479187,8,39166,4
1,KJAX20160623_101706_V06,-8.586,0.362,294.442,335.780,19.039,-81.731,30.323,9519.456,18104.637,20160623_061706,479185,10,31600,8
2,KJAX20160624_102350_V06,-2.127,0.071,314.133,332.431,21.548,-81.628,30.338,10773.878,17688.190,20160624_062350,479177,2,30637,2
2,KJAX20160624_103607_V06,10.157,0.756,307.917,329.485,26.689,-81.661,30.351,13344.261,15264.722,20160624_063607,479188,2,27283,0
2,KJAX20160624_104555_V06,19.957,0.073,306.688,322.782,34.221,-81.667,30.382,17110.601,11871.551,20160624_064555,479187,0,26794,0
1,KJAX20160624_100414_V06,-21.727,0.142,279.710,338.286,8.443,-81.807,30.312,4221.310,21665.153,20160624_060414,479190,0,36769,0
8,KJAX20160625_101023_V06,-15.869,0.572,111.001,154.886,12.328,-82.693,31.135,6164.088,119141.511,20160625_061023,479181,4,45457,4
8,KJAX20160625_102011_V06,-6.069,0.067,110.206,155.204,24.170,-82.697,31.134,12084.821,119360.441,20160625_062011,479189,2,41188,0
11,KJAX20160625_102958_V06,3.715,0.118,315.717,330.147,30.465,-81.620,30.348,15232.628,16999.134,20160625_062958,479189,44,40858,6
11,KJAX20160625_104229_V06,16.231,0.137,314.354,330.860,42.356,-81.627,30.345,21177.903,17017.578,20160625_064229,479189,44,47014,0
2,KJAX20160625_095047_V06,-35.469,0.117,331.485,512.901,10.746,-81.540,29.524,5372.900,107608.019,20160625_055047,479191,0,45548,0
4,KJAX20160625_095047_V06,-35.469,0.055,299.327,255.076,5.072,-81.705,30.687,2535.801,22464.281,20160625_055047,479191,0,45548,0
6,KJAX20160625_100035_V06,-25.669,0.168,186.627,104.678,25.660,-82.298,31.364,12830.074,112920.396,20160625_060035,479185,0,47740,0
7,KJAX20160625_100035_V06,-25.669,0.062,207.092,271.195,14.337,-82.186,30.613,7168.411,48635.240,20160625_060035,479185,0,47740,0
9,KJAX20160625_101023_V06,-15.869,0.460,204.827,519.265,29.043,-82.193,29.495,14521.599,119514.900,20160625_061023,479181,4,45457,4
15,KJAX20160626_101944_V06,-6.829,0.314,319.307,329.543,22.967,-81.602,30.351,11483.597,17646.329,20160626_061944,478902,6085,63254,102
15,KJAX20160626_102536_V06,-0.962,0.811,315.818,333.715,26.414,-81.620,30.332,13207.235,18620.445,20160626_062536,478904,6136,64691,89
15,KJAX20160626_103130_V06,4.938,0.658,313.828,334.956,30.141,-81.630,30.327,15070.522,18796.101,20160626_063130,479059,6484,66821,59
15,KJAX20160626_103722_V06,10.805,0.574,311.850,334.618,34.399,-81.640,30.328,17199.720,18295.264,20160626_063722,478340,7587,71580,84
15,KJAX20160626_104314_V06,16.671,0.281,311.581,332.377,41.354,-81.642,30.338,20676.998,17192.912,20160626_064314,478908,7431,72870,85
4,KJAX20160627_101151_V06,-15.040,0.054,307.514,338.055,6.772,-81.663,30.313,3385.975,19394.710,20160627_061151,478995,18,33938,1
4,KJAX20160627_101649_V06,-10.073,0.319,306.672,338.376,13.216,-81.667,30.311,6607.847,19476.094,20160627_061649,479822,40,34700,6
4,KJAX20160627_102148_V06,-5.090,0.449,305.296,339.303,15.323,-81.674,30.307,7661.379,19829.308,20160627_062148,478894,43,35272,5
4,KJAX20160627_102647_V06,-0.106,0.485,307.743,340.530,19.780,-81.662,30.302,9889.753,20631.470,20160627_062647,479326,38,36590,7
4,KJAX20160627_103146_V06,4.877,0.440,307.370,340.470,21.557,-81.664,30.302,10778.429,20567.952,20160627_063146,479196,37,40664,5
4,KJAX20160627_103646_V06,9.877,0.720,306.929,340.295,24.265,-81.666,30.303,12132.592,20443.250,20160627_063646,479352,50,42581,13
4,KJAX20160627_104144_V06,14.844,0.307,302.600,342.689,25.199,-81.688,30.292,12599.389,21384.109,20160627_064144,479139,56,44919,18
4,KJAX20160628_101138_V06,-15.601,0.166,308.139,336.567,7.086,-81.660,30.320,3543.003,18731.075,20160628_061138,479176,84,39040,51
4,KJAX20160628_101637_V06,-10.618,0.088,307.670,336.763,13.823,-81.662,30.319,6911.306,18777.433,20160628_061637,479193,38,44745,19
4,KJAX20160628_102136_V06,-5.635,0.086,308.970,335.417,17.340,-81.655,30.325,8670.013,18267.713,20160628_062136,479127,35,48550,21
4,KJAX20160628_102636_V06,-0.635,0.353,313.596,335.727,23.088,-81.631,30.323,11543.890,19113.385,20160628_062636,479019,22,50767,13
4,KJAX20160628_103135_V06,4.349,0.081,315.161,333.787,29.690,-81.623,30.332,14844.900,18516.428,20160628_063135,479428,27,52313,21
1,KJAX20160628_093646_V06,-50.468,0.060,355.400,130.505,18.101,-81.411,31.249,9050.655,89159.663,20160628_053646,479076,29,29608,20
2,KJAX20160628_095144_V06,-35.501,0.202,332.358,59.802,18.583,-81.532,31.568,9291.256,121183.796,20160628_055144,479057,37,33418,10
3,KJAX20160628_095144_V06,-35.501,0.085,189.505,412.922,5.177,-82.274,29.974,2588.594,78994.279,20160628_055144,479057,37,33418,10
5,KJAX20160628_101138_V06,-15.601,0.095,366.842,126.093,24.454,-81.351,31.268,12226.913,93154.861,20160628_061138,479176,84,39040,51
6,KJAX20160628_103633_V06,9.315,0.117,384.234,119.510,28.088,-81.260,31.298,14043.831,99589.127,20160628_063633,479054,39,52234,24
7,KJAX20160629_103545_V06,8.154,0.864,307.718,327.099,34.040,-81.662,30.362,17019.924,14088.559,20160629_063545,479185,4,28876,4
7,KJAX20160629_104531_V06,17.920,0.818,307.384,316.619,43.092,-81.664,30.409,21545.843,9092.993,20160629_064531,479186,4,29618,2
7,KJAX20160629_105518_V06,27.704,0.063,308.994,310.260,47.639,-81.655,30.438,23819.588,6821.792,20160629_065518,479180,12,29643,10
4,KJAX20160629_100657_V06,-20.646,0.251,272.824,350.256,15.850,-81.843,30.258,7924.931,28566.527,20160629_060657,478131,8,30876,3
4,KJAX20160629_101121_V06,-16.246,0.167,273.326,349.503,21.440,-81.841,30.261,10719.900,28115.963,20160629_061121,478141,8,28788,6
1,KJAX20160630_101607_V06,-11.857,0.712,310.853,334.298,13.242,-81.646,30.330,6620.764,17986.880,20160630_061607,479346,16,31653,8
1,KJAX20160630_102012_V06,-7.774,0.949,312.651,333.977,17.351,-81.636,30.331,8675.718,18127.899,20160630_062012,480590,11,34824,7
1,KJAX20160630_102416_V06,-3.707,0.921,314.408,332.750,22.645,-81.627,30.337,11322.714,17889.711,20160630_062416,481379,6,37673,5
1,KJAX20160630_102833_V06,0.576,0.794,311.514,334.373,24.090,-81.642,30.329,12045.030,18124.796,20160630_062833,480944,20,39590,15
1,KJAX20160630_103237_V06,4.643,0.063,305.223,328.490,24.074,-81.675,30.356,12037.063,14482.187,20160630_063237,480442,17,41533,11
5,KJAX20160701_101328_V06,-14.901,0.152,305.720,337.286,9.462,-81.672,30.316,4730.913,18861.213,20160701_061328,479009,256,28683,46
5,KJAX20160701_101827_V06,-9.918,0.142,306.913,335.544,16.865,-81.666,30.324,8432.649,18105.007,20160701_061827,479746,226,33453,15
5,KJAX20160701_102326_V06,-4.934,0.821,307.068,337.226,20.767,-81.665,30.317,10383.648,18945.409,20160701_062326,479082,250,36492,2
