track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
3,KLCH20210602_110301_V06,-8.689,0.077,232.825,330.511,40.064,-93.564,29.987,20032.106,36889.597,20210602_060301,479169,845,43970,26
7,KLCH20210603_123513_V06,83.695,0.094,394.667,156.111,17.965,-92.721,30.773,8982.338,86118.705,20210603_073513,479169,2037,72780,38
2,KLCH20210606_102246_V06,-48.347,0.134,314.006,406.184,11.621,-93.144,29.646,5810.736,53551.677,20210606_052246,479181,5567,88253,113
1,KLCH20210610_102155_V06,-48.981,0.050,402.369,322.235,7.688,-92.685,30.024,3844.109,52377.981,20210610_052155,479171,0,25657,0
2,KLCH20210611_112329_V06,12.582,0.143,103.632,150.086,6.233,-94.242,30.797,3116.463,123525.597,20210611_062329,479170,25,46437,12
3,KLCH20210611_123012_V06,79.299,0.094,30.031,422.442,41.545,-94.609,29.565,20772.701,148219.038,20210611_073012,479173,10,46890,9
4,KLCH20210611_123012_V06,79.299,0.084,23.411,357.459,18.847,-94.647,29.858,9423.640,141246.868,20210611_073012,479173,10,46890,9
1,KLCH20210613_111228_V06,1.491,0.053,28.190,425.209,41.156,-94.618,29.553,20577.871,149631.264,20210613_061228,479169,42,34073,11
1,KLCH20210614_104620_V06,-24.712,0.057,22.951,270.833,21.098,-94.655,30.249,10549.095,139289.940,20210614_054620,479172,320,54009,10
2,KLCH20210614_110837_V06,-2.429,0.050,347.110,217.111,14.930,-92.970,30.499,7464.848,47670.684,20210614_060837,479174,160,54532,47
3,KLCH20210614_122515_V06,74.205,0.064,321.841,411.907,17.367,-93.103,29.620,8683.384,57009.310,20210614_072515,479169,47,59784,26
1,KLCH20210615_102544_V06,-45.404,0.055,235.160,354.334,18.148,-93.551,29.879,9074.224,42297.668,20210615_052544,479172,6,42998,5
1,KLCH20210616_104142_V06,-29.550,0.434,460.950,173.454,11.878,-92.376,30.693,5939.240,102370.249,20210616_054142,479175,33,26928,20
1,KLCH20210616_105027_V06,-20.800,0.432,460.263,179.043,23.400,-92.380,30.668,11699.838,100392.648,20210616_055027,479166,68,23564,29
1,KLCH20210617_102917_V06,-42.100,0.063,463.662,167.090,8.241,-92.361,30.722,4120.438,105416.111,20210617_052917,479169,1137,51169,13
2,KLCH20210617_104608_V06,-25.250,0.199,461.755,171.155,10.815,-92.372,30.703,5407.280,103399.467,20210617_054608,479175,1162,44111,20
1,KLCH20210618_102030_V06,-51.037,0.129,463.007,169.877,5.625,-92.365,30.709,2812.290,104286.963,20210618_052030,479169,29,36373,20
1,KLCH20210618_102607_V06,-45.420,0.332,463.045,170.526,12.010,-92.365,30.706,6005.116,104099.992,20210618_052607,479173,28,37164,20
1,KLCH20210618_103144_V06,-39.804,0.268,463.284,172.533,7.372,-92.364,30.697,3685.902,103573.058,20210618_053144,479161,47,34895,20
2,KLCH20210620_105420_V06,-17.572,0.073,285.819,367.028,13.832,-93.289,29.823,6916.000,34255.984,20210620_055420,479170,437,38874,3
2,KLCH20210620_110503_V06,-6.855,0.092,286.638,364.918,21.484,-93.285,29.832,10741.753,33139.400,20210620_060503,479168,378,38947,7
1,KLCH20210620_102706_V06,-44.805,0.071,389.208,184.235,5.360,-92.751,30.646,2679.783,73074.554,20210620_052706,479165,400,43285,9
3,KLCH20210621_102805_V06,-44.035,0.075,385.582,338.925,11.181,-92.773,29.949,5590.528,47009.224,20210621_052805,479167,406,92098,5
3,KLCH20210621_103357_V06,-38.168,0.165,387.143,338.824,17.754,-92.764,29.949,8877.069,47700.196,20210621_053357,479166,533,90697,2
6,KLCH20210621_104556_V06,-26.185,0.192,320.746,355.636,7.520,-93.108,29.874,3759.928,29688.877,20210621_054556,479174,689,90164,6
6,KLCH20210621_105202_V06,-20.085,0.060,320.942,354.715,15.279,-93.107,29.878,7639.707,29292.972,20210621_055202,479163,899,90185,6
1,KLCH20210621_101606_V06,-56.018,0.076,170.250,90.321,14.481,-93.896,31.069,7240.290,123288.607,20210621_051606,479166,405,97571,4
14,KLCH20210622_115136_V06,39.250,0.073,378.381,352.280,39.534,-92.810,29.889,19767.109,47108.349,20210622_065136,479172,15668,156904,685
14,KLCH20210622_120551_V06,53.500,0.103,390.517,352.569,49.307,-92.747,29.887,24653.519,52337.551,20210622_070551,479165,12311,148618,192
8,KLCH20210622_110227_V06,-9.900,0.060,270.667,382.792,10.801,-93.367,29.751,5400.620,43917.529,20210622_060227,479163,12521,166105,174
9,KLCH20210622_110227_V06,-9.900,0.058,407.469,318.250,19.315,-92.659,30.042,9657.440,54503.851,20210622_060227,479163,12521,166105,174
16,KLCH20210622_121243_V06,60.366,0.156,445.890,360.271,10.876,-92.461,29.851,5438.210,78924.896,20210622_071243,479166,12248,150332,203
1,KLCH20210623_102228_V06,-50.135,0.629,264.295,98.908,21.303,-93.403,31.032,10651.604,102118.780,20210623_052228,479167,3,41970,2
5,KLCH20210623_103948_V06,-32.801,0.115,225.479,306.446,18.484,-93.602,30.095,9241.947,37399.663,20210623_053948,479167,6,31832,5
5,KLCH20210625_102546_V06,-47.391,0.086,341.422,362.304,19.425,-93.002,29.844,9712.341,37408.466,20210625_052546,479168,300,49110,13
5,KLCH20210625_103139_V06,-41.508,0.248,344.141,361.563,25.828,-92.987,29.847,12914.038,37876.426,20210625_053139,479171,400,49998,8
5,KLCH20210625_103732_V06,-35.624,0.137,349.264,357.468,25.944,-92.961,29.866,12971.865,37846.633,20210625_053732,479170,436,48971,6
7,KLCH20210625_122620_V06,73.176,0.067,357.091,247.318,32.446,-92.919,30.362,16222.755,38841.969,20210625_072620,479169,499,48617,19
7,KLCH20210625_123227_V06,79.292,0.447,357.071,252.695,43.202,-92.919,30.338,21601.035,37063.603,20210625_073227,479172,353,48501,11
7,KLCH20210625_123849_V06,85.659,0.191,352.923,258.948,57.330,-92.941,30.310,28665.060,33489.444,20210625_073849,479168,333,46933,11
6,KLCH20210625_104339_V06,-29.508,0.103,322.822,356.182,8.811,-93.098,29.872,4405.630,30320.277,20210625_054339,479166,360,49373,12
3,KLCH20210626_103029_V06,-42.979,0.239,375.539,394.981,15.697,-92.826,29.696,7848.434,60678.471,20210626_053029,479169,46,38217,4
3,KLCH20210628_110337_V06,-10.506,0.646,437.209,277.818,17.282,-92.503,30.223,8640.980,69495.461,20210628_060337,479171,1752,64912,16
3,KLCH20210628_110949_V06,-4.306,0.322,436.674,275.539,22.731,-92.506,30.233,11365.688,69422.694,20210628_060949,479169,1643,68011,15
3,KLCH20210628_111602_V06,1.910,0.055,437.464,275.298,28.127,-92.502,30.234,14063.723,69832.700,20210628_061602,479161,1822,70406,12
3,KLCH20210628_112155_V06,7.794,0.082,438.794,271.321,27.143,-92.495,30.252,13571.501,70863.100,20210628_062155,479159,2153,73796,13
10,KLCH20210628_112155_V06,7.794,0.167,208.590,252.179,20.892,-93.691,30.340,10446.236,51581.399,20210628_062155,479159,2153,73796,13
10,KLCH20210628_112732_V06,13.410,0.362,208.870,250.470,28.827,-93.690,30.348,14413.633,51860.149,20210628_062732,479168,1978,76624,22
10,KLCH20210628_113310_V06,19.044,0.054,207.070,240.965,31.449,-93.699,30.390,15724.583,55047.822,20210628_063310,479170,1887,78715,21
11,KLCH20210628_112155_V06,7.794,0.141,269.134,361.907,29.769,-93.376,29.846,14884.598,34587.616,20210628_062155,479159,2153,73796,13
11,KLCH20210628_112732_V06,13.410,0.088,268.116,358.067,35.594,-93.381,29.863,17796.978,33122.404,20210628_062732,479168,1978,76624,22
5,KLCH20210628_110337_V06,-10.506,0.221,327.945,186.279,23.152,-93.070,30.638,11576.118,58552.081,20210628_060337,479171,1752,64912,16
8,KLCH20210628_110949_V06,-4.306,0.082,216.459,425.024,9.300,-93.647,29.560,4649.887,75183.066,20210628_060949,479169,1643,68011,15
9,KLCH20210628_111602_V06,1.910,0.055,215.096,297.572,16.703,-93.656,30.135,8351.604,42469.286,20210628_061602,479161,1822,70406,12
3,KLCH20210629_105218_V06,-22.178,0.059,330.401,356.121,9.080,-93.058,29.872,4539.896,31913.032,20210629_055218,479171,689,40114,16
3,KLCH20210629_110314_V06,-11.245,0.077,328.759,351.664,21.793,-93.067,29.892,10896.293,29564.526,20210629_060314,479172,677,41745,4
3,KLCH20210629_110842_V06,-5.778,0.101,324.200,345.454,25.749,-93.091,29.920,12874.580,25747.399,20210629_060842,479173,671,43539,8
3,KLCH20210629_111410_V06,-0.311,0.106,324.871,345.841,26.254,-93.087,29.918,13127.227,26076.615,20210629_061410,479171,596,46535,9
2,KLCH20210629_104123_V06,-33.095,0.076,328.357,356.925,6.929,-93.069,29.868,3464.699,31798.685,20210629_054123,479168,454,41622,10
2,KLCH20210629_104650_V06,-27.645,0.159,328.991,357.127,14.049,-93.066,29.867,7024.371,32031.089,20210629_054650,479166,642,40495,7
2,KLCH20210630_110041_V06,-14.166,0.160,327.469,355.128,12.771,-93.074,29.876,6385.704,30796.393,20210630_060041,479170,337,39940,14
